t_s,x_m,y_m,v,k
13.088,0.114,-0.030,0.000,1.000
13.588,0.114,-0.030,0.000,1.000
13.688,0.114,-0.030,0.000,1.000
13.989,0.114,-0.030,0.000,1.000
17.588,-0.000,0.056,2.459,1.000
17.689,0.345,0.373,2.441,1.000
17.788,0.593,0.377,2.483,1.000
17.889,0.842,0.380,2.489,1.000
17.988,1.095,0.384,2.522,1.000
18.088,1.352,0.392,2.556,1.000
18.189,1.610,0.402,2.573,1.000
18.288,1.876,0.413,2.632,1.000
18.389,2.141,0.422,2.647,1.000
18.488,2.410,0.427,2.674,1.000
18.588,2.680,0.423,2.694,1.000
18.689,2.801,1.175,2.654,1.000
18.788,2.926,1.416,2.710,1.000
18.889,3.062,1.659,2.773,1.000
18.988,3.209,1.900,2.808,1.000
19.088,3.366,2.140,2.853,1.000
19.189,3.531,2.380,2.897,1.000
19.288,3.706,2.623,2.969,1.000
19.389,3.885,2.868,3.022,1.000
19.488,4.059,3.112,2.996,1.000
19.588,4.231,3.360,3.014,1.000
19.689,4.311,4.085,2.943,1.000
19.788,4.481,4.331,2.987,1.000
19.889,4.660,4.573,3.008,1.000
19.988,4.850,4.813,3.052,1.000
20.088,5.047,5.054,3.108,1.000
20.189,5.248,5.296,3.138,1.000
20.288,5.453,5.540,3.180,1.000
20.389,5.658,5.785,3.187,1.000
20.488,5.864,6.039,3.251,1.000
20.588,6.066,6.299,3.285,1.000
20.689,6.196,6.893,3.254,1.000
20.788,6.386,7.157,3.255,1.000
20.889,6.575,7.422,3.257,0.999
20.988,6.762,7.687,3.244,1.000
21.088,6.955,7.952,3.277,0.999
21.189,7.147,8.210,3.221,1.000
21.288,7.347,8.470,3.269,1.000
21.389,7.543,8.725,3.229,1.000
21.488,7.742,8.984,3.251,1.000
21.588,7.940,9.238,3.229,1.000
21.689,8.050,9.678,3.115,0.984
21.788,8.241,9.921,3.085,0.985
21.889,8.434,10.168,3.131,0.984
21.988,8.622,10.412,3.087,0.985
22.088,8.816,10.663,3.152,0.985
22.189,9.005,10.907,3.103,0.985
22.288,9.199,11.156,3.136,0.985
22.389,9.388,11.394,3.063,0.985
22.488,9.580,11.630,3.051,0.985
22.588,9.769,11.858,2.991,0.985
22.689,9.949,12.282,2.996,0.991
22.788,10.148,12.504,2.941,0.992
22.889,10.344,12.728,2.983,0.992
22.988,10.537,12.951,2.937,0.992
23.088,10.731,13.179,2.988,0.992
23.189,10.927,13.410,3.029,0.992
23.288,11.124,13.643,3.060,0.992
23.389,11.320,13.879,3.066,0.992
23.488,11.519,14.117,3.109,0.992
23.588,11.716,14.359,3.120,0.992
23.689,11.951,14.819,3.235,1.001
23.788,12.154,15.072,3.224,1.002
