t_s,x_m,y_m,v,k
13.394,-0.299,-0.608,0.000,1.000
13.794,-0.299,-0.608,0.000,1.000
13.994,-0.298,-0.608,0.000,1.000
14.394,-0.298,-0.608,0.000,1.000
17.594,0.095,0.249,1.594,1.000
17.694,0.095,0.249,1.576,1.000
17.794,0.095,0.249,1.599,1.000
17.894,0.245,0.784,1.666,1.000
17.994,0.245,0.784,1.711,1.000
18.094,0.245,0.784,1.745,1.000
18.194,0.245,0.784,1.799,1.000
18.294,0.245,0.784,1.913,1.000
18.394,0.245,0.784,1.984,1.000
18.494,0.245,0.784,2.073,1.000
18.594,0.245,0.784,2.123,1.000
18.694,0.245,0.784,2.229,1.000
18.794,0.245,0.784,2.327,1.000
18.894,0.320,1.300,2.437,1.000
18.994,0.467,1.495,2.447,1.000
19.094,0.619,1.698,2.525,1.000
19.194,0.772,1.902,2.539,1.000
19.294,0.931,2.114,2.606,1.000
19.394,1.089,2.324,2.619,1.000
19.494,1.256,2.547,2.702,1.000
19.594,1.425,2.772,2.760,1.000
19.694,1.601,3.006,2.847,1.000
19.794,1.774,3.236,2.866,1.000
19.894,1.949,4.207,2.980,1.000
19.994,2.128,4.446,2.983,1.000
20.094,2.311,4.690,3.034,1.000
20.194,2.495,4.935,3.053,1.000
20.294,2.683,5.186,3.110,1.000
20.394,2.874,5.440,3.157,1.000
20.494,2.902,5.451,3.228,1.000
20.594,3.119,5.682,3.184,1.000
20.694,3.339,5.919,3.221,1.000
20.794,3.559,6.154,3.225,1.000
20.894,3.925,6.870,3.219,1.000
20.994,4.148,7.109,3.264,1.000
21.094,4.367,7.344,3.220,1.000
21.194,4.589,7.581,3.240,1.000
21.294,4.812,7.819,3.265,1.000
21.394,5.034,8.058,3.258,1.000
21.494,5.257,8.296,3.265,1.000
21.594,5.482,8.537,3.297,1.000
21.694,5.708,8.779,3.306,1.000
21.794,5.939,9.027,3.388,1.000
21.894,6.705,9.273,3.364,1.000
21.994,6.938,9.523,3.416,1.000
22.094,7.173,9.774,3.439,1.000
22.194,7.409,10.027,3.453,1.000
22.294,7.642,10.277,3.429,1.000
22.394,7.882,10.534,3.511,1.000
22.494,8.121,10.790,3.491,1.000
22.594,8.365,11.051,3.573,1.000
22.694,8.605,11.309,3.525,1.000
22.794,8.851,11.572,3.593,1.000
22.894,9.489,11.906,3.630,1.000
22.994,9.738,12.172,3.640,0.995
23.094,9.985,12.437,3.624,0.998
23.194,10.234,12.704,3.658,0.995
23.294,10.482,12.969,3.613,0.997
23.394,10.687,13.185,3.657,0.996
23.494,10.942,13.447,3.654,0.996
23.594,11.202,13.714,3.730,0.996
23.694,11.462,13.981,3.736,0.996
23.794,11.727,14.254,3.802,0.996
23.894,12.178,14.839,3.955,1.012
23.994,12.458,15.126,3.968,1.012
24.094,12.728,15.403,3.932,1.012
24.194,13.008,15.691,3.973,1.012
24.294,13.292,15.982,4.032,1.012
24.394,13.576,16.274,4.058,1.012
24.494,13.858,16.564,4.051,1.012
24.594,14.146,16.859,4.113,1.012
24.694,14.437,17.158,4.161,1.012
24.794,14.730,17.459,4.198,1.012
24.894,15.119,18.041,4.200,1.012
24.994,15.413,18.342,4.209,1.010
25.094,15.710,18.647,4.256,1.006
25.194,16.004,18.949,4.213,1.008
25.294,16.300,19.253,4.243,1.007
25.394,16.806,19.869,4.298,1.006
25.494,17.066,20.212,4.312,1.006
25.594,17.329,20.559,4.350,1.006
25.694,17.594,20.908,4.381,1.006
25.794,17.861,21.259,4.414,1.006
25.894,18.540,21.584,4.493,1.008
25.994,18.811,21.941,4.472,1.009
26.094,19.081,22.298,4.486,1.009
26.194,19.354,22.657,4.507,1.009
26.294,19.626,23.017,4.513,1.009
26.394,19.902,23.380,4.562,1.008
26.494,20.176,23.742,4.536,1.009
26.594,20.450,24.102,4.524,1.009
26.694,20.725,24.466,4.559,1.009
26.794,21.001,24.829,4.565,1.009
26.894,21.756,25.141,4.643,1.016
26.994,22.036,25.511,4.657,1.015
27.094,22.317,25.881,4.632,1.016
27.194,22.752,26.508,4.627,1.016
27.294,23.004,26.902,4.684,1.015
27.394,23.257,27.298,4.702,1.015
27.494,23.513,27.698,4.753,1.015
27.594,23.770,28.101,4.776,1.015
27.694,24.028,28.504,4.792,1.015
27.794,24.287,28.910,4.819,1.015
27.894,24.967,29.238,4.798,1.016
27.994,25.227,29.643,4.769,1.016
28.094,25.484,30.046,4.799,1.016
28.194,25.741,30.449,4.766,1.016
28.294,25.998,30.850,4.763,1.016
28.394,26.256,31.253,4.782,1.016
28.494,26.515,31.658,4.807,1.016
28.594,26.775,32.065,4.827,1.016
28.694,27.034,32.471,4.822,1.016
28.794,27.291,32.873,4.769,1.016
28.894,27.879,33.675,4.768,1.015
28.994,28.098,34.103,4.713,1.016
29.094,28.313,34.523,4.749,1.016
29.194,28.529,34.945,4.730,1.016
29.294,28.747,35.370,4.779,1.016
29.394,28.964,35.793,4.752,1.016
29.494,29.180,36.216,4.753,1.016
29.594,29.398,36.640,4.758,1.016
29.694,29.616,37.066,4.792,1.016
29.794,29.830,37.483,4.679,1.016
29.894,30.217,37.925,4.657,1.017
29.994,30.430,38.340,4.648,1.017
30.094,30.642,38.754,4.657,1.017
30.194,30.854,39.168,4.652,1.017
30.294,31.066,39.583,4.656,1.017
30.394,31.282,40.004,4.737,1.017
30.494,31.500,40.429,4.790,1.016
30.594,31.720,40.857,4.820,1.016
30.694,31.938,41.284,4.793,1.016
30.794,32.158,41.714,4.820,1.016
30.894,32.498,42.280,4.927,1.020
30.994,32.725,42.722,4.897,1.021
31.094,32.948,43.158,4.882,1.021
31.194,33.172,43.595,4.929,1.021
31.294,33.399,44.037,4.990,1.020
31.394,33.626,44.482,4.992,1.020
