t_s,x_m,y_m,v,k
13.088,0.035,-0.286,0.000,1.000
13.188,0.035,-0.286,0.000,1.000
14.088,0.035,-0.286,0.000,1.000
14.188,0.035,-0.286,0.000,1.000
17.588,-0.061,0.085,1.312,1.000
17.688,0.066,0.044,1.346,1.000
17.788,0.195,-0.000,1.364,1.000
17.888,0.327,-0.048,1.400,1.000
17.988,0.467,-0.101,1.481,1.000
18.088,0.618,-0.162,1.597,1.000
18.188,0.780,-0.228,1.702,1.000
18.288,0.947,-0.295,1.765,1.000
18.388,1.126,-0.362,1.856,1.000
18.488,1.128,-0.650,1.884,1.000
18.588,1.319,-0.710,1.961,1.000
18.688,1.523,-0.767,2.057,1.000
18.788,1.737,-0.821,2.140,1.000
18.888,1.959,-0.873,2.214,1.000
18.988,2.189,-0.927,2.289,1.000
19.088,2.411,-0.977,2.285,1.000
19.188,2.646,-1.031,2.342,1.000
19.288,2.875,-1.082,2.345,1.000
19.388,3.100,-1.127,2.322,1.000
19.488,2.564,-1.694,2.288,1.000
19.588,2.495,-1.913,2.293,1.000
19.688,2.428,-2.134,2.307,1.000
19.788,2.360,-2.361,2.343,1.000
19.888,2.290,-2.583,2.336,1.000
19.988,2.212,-2.817,2.400,1.000
20.088,2.124,-3.040,2.399,1.000
20.188,2.025,-3.265,2.425,1.000
20.288,1.911,-3.489,2.464,1.000
20.388,1.777,-3.727,2.585,1.000
20.488,1.082,-4.404,2.754,1.000
20.588,0.940,-4.637,2.740,1.000
20.688,0.797,-4.874,2.757,1.000
20.788,0.650,-5.120,2.811,1.000
20.888,0.501,-5.363,2.832,1.000
20.988,0.346,-5.612,2.881,1.000
21.088,0.188,-5.864,2.923,1.000
21.188,0.028,-6.122,2.980,1.000
21.288,-0.126,-6.383,3.003,1.000
21.388,-0.277,-6.651,3.038,1.000
21.488,-0.898,-7.388,3.257,1.000
21.588,-1.048,-7.682,3.285,1.000
21.688,-1.194,-7.978,3.295,1.000
21.788,-1.339,-8.286,3.358,1.000
21.888,-1.478,-8.587,3.335,1.000
21.988,-1.620,-8.899,3.393,1.000
22.088,-1.763,-9.213,3.430,1.000
22.188,-1.910,-9.525,3.444,1.000
22.288,-2.065,-9.837,3.471,1.000
22.388,-2.226,-10.143,3.464,1.000
22.488,-2.784,-10.873,3.560,1.000
22.588,-2.963,-11.183,3.584,1.000
22.688,-3.150,-11.489,3.581,1.000
22.788,-3.338,-11.792,3.564,1.000
22.888,-3.529,-12.100,3.622,1.000
22.988,-3.722,-12.410,3.644,1.000
23.088,-3.919,-12.724,3.694,1.000
23.188,-4.119,-13.038,3.722,1.000
23.288,-4.327,-13.353,3.763,1.000
23.388,-4.543,-13.666,3.805,1.000
23.488,-5.105,-14.369,3.877,1.000
23.588,-5.336,-14.679,3.861,1.008
23.688,-5.571,-14.989,3.897,1.002
23.788,-5.810,-15.298,3.909,1.001
23.888,-6.055,-15.611,3.997,0.998
23.988,-6.305,-15.925,4.021,0.997
24.088,-6.563,-16.245,4.126,0.996
24.188,-6.826,-16.561,4.112,0.996
24.288,-7.102,-16.874,4.174,0.995
24.388,-7.386,-17.184,4.207,0.995
24.488,-8.015,-17.890,4.394,1.008
24.588,-8.316,-18.210,4.392,1.008
24.688,-8.633,-18.553,4.483,1.008
24.788,-8.936,-18.892,4.511,1.008
24.888,-9.244,-19.240,4.589,1.008
24.988,-9.546,-19.572,4.518,1.008
25.088,-9.873,-19.910,4.665,1.008
25.188,-10.211,-20.238,4.695,1.008
25.288,-10.556,-20.563,4.738,1.008
25.388,-10.901,-20.877,4.675,1.008
25.488,-11.542,-21.522,4.822,1.008
25.588,-11.906,-21.831,4.773,1.008
25.688,-12.278,-22.142,4.840,1.008
25.788,-12.645,-22.449,4.789,1.008
25.888,-13.028,-22.762,4.925,1.008
25.988,-13.427,-23.057,4.955,1.008
26.088,-13.841,-23.331,4.959,1.008
26.188,-14.260,-23.583,4.906,1.008
26.288,-14.685,-23.831,4.918,1.008
26.388,-15.378,-24.340,4.856,1.008
26.488,-15.802,-24.583,4.880,1.002
26.588,-16.223,-24.827,4.862,1.004
26.688,-16.647,-25.079,4.939,1.000
26.788,-17.067,-25.334,4.909,1.001
26.888,-17.484,-25.599,4.947,1.001
26.988,-17.894,-25.871,4.918,1.001
27.088,-18.309,-26.147,4.982,1.001
27.188,-18.724,-26.417,4.952,1.001
27.288,-19.143,-26.687,4.979,1.001
27.388,-19.566,-26.956,5.003,1.001
27.488,-20.223,-27.457,4.968,1.002
27.588,-20.644,-27.718,4.924,1.003
27.688,-21.055,-27.982,4.880,1.003
27.788,-21.468,-28.252,4.929,1.003
27.888,-21.879,-28.513,4.868,1.003
27.988,-22.293,-28.767,4.865,1.003
28.088,-22.719,-29.017,4.925,1.003
28.188,-23.154,-29.258,4.962,1.003
28.288,-23.586,-29.481,4.875,1.003
28.388,-24.266,-29.959,4.893,1.010
28.488,-24.704,-30.177,4.914,1.010
28.588,-25.149,-30.393,4.974,1.009
28.688,-25.596,-30.607,4.945,1.009
28.788,-26.046,-30.823,4.993,1.009
28.888,-26.500,-31.035,5.009,1.009
28.988,-26.962,-31.238,5.047,1.009
29.088,-27.422,-31.432,4.996,1.009
29.188,-27.885,-31.627,5.012,1.009
29.288,-28.341,-31.825,4.987,1.009
29.388,-28.802,-32.027,5.018,1.009
29.488,-29.529,-32.477,5.065,1.016
29.588,-29.994,-32.675,5.098,1.015
29.688,-30.460,-32.879,5.066,1.016
29.788,-30.924,-33.090,5.105,1.016
29.888,-31.380,-33.307,5.054,1.016
29.988,-31.844,-33.534,5.135,1.016
30.088,-32.302,-33.757,5.099,1.016
30.188,-32.778,-33.969,5.181,1.016
30.288,-33.267,-34.162,5.238,1.015
30.388,-33.768,-34.345,5.316,1.015
30.488,-34.523,-34.775,5.340,1.021
30.588,-35.020,-34.955,5.402,1.020
30.688,-35.531,-35.130,5.407,1.020
30.788,-36.049,-35.297,5.465,1.020
30.888,-36.572,-35.456,5.475,1.020
30.988,-37.102,-35.600,5.487,1.020
31.088,-37.628,-35.737,5.445,1.020
31.188,-38.161,-35.876,5.488,1.020
31.288,-38.692,-36.009,5.476,1.020
31.388,-39.219,-36.141,5.452,1.020
31.488,-39.909,-36.459,5.405,1.020
31.588,-40.431,-36.601,5.400,1.020
31.688,-40.955,-36.734,5.415,1.020
31.788,-41.485,-36.846,5.423,1.020
31.888,-42.016,-36.940,5.392,1.020
31.988,-42.552,-37.026,5.419,1.020
32.088,-43.093,-37.107,5.455,1.020
32.188,-43.635,-37.195,5.481,1.020
32.288,-44.174,-37.289,5.475,1.020
32.388,-44.926,-37.581,5.520,1.022
32.488,-45.462,-37.696,5.558,1.021
32.588,-46.006,-37.812,5.552,1.021
32.688,-46.548,-37.917,5.505,1.022
32.788,-47.086,-38.008,5.453,1.022
32.888,-47.630,-38.086,5.484,1.022
32.988,-48.161,-38.166,5.408,1.022
33.088,-48.689,-38.257,5.378,1.022
33.188,-49.220,-38.363,5.400,1.022
33.288,-49.748,-38.471,5.394,1.022
33.388,-50.283,-38.572,5.421,1.022
33.488,-51.001,-38.821,5.442,1.023
33.588,-51.540,-38.901,5.439,1.023
33.688,-52.079,-38.965,5.476,1.023
33.788,-52.625,-39.015,5.472,1.023
33.888,-53.170,-39.055,5.464,1.023
33.988,-53.720,-39.100,5.511,1.023
34.088,-54.272,-39.151,5.533,1.023
34.188,-54.833,-39.198,5.599,1.023
34.288,-55.399,-39.226,5.647,1.023
34.388,-56.019,-39.346,5.549,1.020
34.488,-56.570,-39.331,5.587,1.020
34.588,-57.127,-39.296,5.585,1.020
34.688,-57.683,-39.241,5.588,1.020
34.788,-58.233,-39.169,5.548,1.020
34.888,-58.784,-39.086,5.562,1.020
34.988,-59.334,-38.996,5.569,1.020
35.088,-59.876,-38.896,5.531,1.020
35.188,-60.408,-38.775,5.491,1.020
35.288,-60.943,-38.625,5.527,1.020
35.388,-61.485,-38.514,5.515,1.017
35.488,-61.994,-38.309,5.547,1.017
35.588,-62.502,-38.087,5.482,1.017
35.688,-62.989,-37.831,5.502,1.017
35.788,-63.461,-37.547,5.508,1.017
35.888,-63.911,-37.235,5.486,1.017
35.988,-64.339,-36.900,5.455,1.017
36.088,-64.752,-36.544,5.451,1.017
36.188,-65.157,-36.178,5.456,1.017
36.288,-65.544,-35.801,5.423,1.017
36.388,-65.796,-35.467,5.257,1.012
36.488,-66.142,-35.070,5.268,1.012
36.588,-66.483,-34.674,5.213,1.012
36.688,-66.811,-34.290,5.071,1.012
36.788,-67.129,-33.910,4.993,1.012
36.888,-67.452,-33.528,5.003,1.012
36.988,-67.779,-33.151,4.992,1.012
37.088,-68.107,-32.786,4.937,1.012
37.188,-68.443,-32.428,4.921,1.012
37.288,-68.795,-32.076,4.954,1.012
37.388,-69.158,-31.742,4.939,1.012
37.488,-69.508,-31.496,4.862,1.010
37.588,-69.897,-31.205,4.864,1.010
37.688,-70.308,-30.946,4.846,1.010
37.788,-70.734,-30.722,4.805,1.010
37.888,-71.166,-30.531,4.733,1.010
37.988,-71.609,-30.373,4.712,1.010
38.088,-72.066,-30.246,4.733,1.010
38.188,-72.529,-30.152,4.728,1.010
38.288,-72.995,-30.095,4.700,1.010
38.388,-73.455,-30.068,4.643,1.010
38.488,-73.913,-30.198,4.572,1.008
38.588,-74.368,-30.237,4.574,1.008
38.688,-74.820,-30.313,4.592,1.008
38.788,-75.266,-30.432,4.632,1.008
38.888,-75.704,-30.589,4.654,1.008
38.988,-76.142,-30.775,4.745,1.008
39.088,-76.573,-30.981,4.777,1.007
39.188,-76.999,-31.214,4.844,1.007
39.288,-77.402,-31.479,4.826,1.007
39.388,-77.965,-31.973,4.907,1.011
39.488,-78.339,-32.295,4.856,1.011
39.588,-78.676,-32.644,4.833,1.012
39.688,-78.981,-33.009,4.756,1.012
39.788,-79.258,-33.409,4.831,1.012
39.888,-79.513,-33.818,4.829,1.012
39.988,-79.763,-34.238,4.867,1.012
40.088,-80.012,-34.656,4.865,1.012
40.188,-80.270,-35.078,4.913,1.012
40.288,-80.539,-35.486,4.901,1.012
40.388,-80.819,-35.895,4.930,1.012
40.488,-81.146,-36.519,4.961,1.013
40.588,-81.576,-36.955,5.095,1.013
40.688,-81.874,-37.363,5.088,1.013
40.788,-82.211,-37.774,5.135,1.013
40.888,-82.523,-38.161,5.094,1.013
40.988,-82.880,-38.554,5.160,1.013
41.088,-83.223,-38.927,5.126,1.013
41.188,-83.597,-39.292,5.165,1.013
41.288,-83.968,-39.625,5.088,1.013
41.388,-84.354,-40.126,5.070,1.013
41.488,-84.746,-40.444,5.056,1.014
41.588,-85.150,-40.762,5.104,1.013
41.688,-85.548,-41.066,5.052,1.014
41.788,-85.965,-41.368,5.107,1.013
41.888,-86.389,-41.652,5.105,1.013
41.988,-86.843,-41.916,5.192,1.013
42.088,-87.306,-42.138,5.159,1.013
42.188,-87.786,-42.335,5.174,1.013
42.288,-88.263,-42.507,5.116,1.013
42.388,-88.749,-42.796,5.077,1.011
42.488,-89.232,-42.937,5.046,1.011
42.588,-89.715,-43.074,5.026,1.011
42.688,-90.201,-43.209,5.042,1.011
42.788,-90.693,-43.337,5.069,1.011
42.888,-91.182,-43.450,5.032,1.011
42.988,-91.674,-43.536,5.008,1.011
43.088,-92.168,-43.594,4.986,1.011
43.188,-92.671,-43.629,5.021,1.011
43.288,-93.165,-43.646,4.965,1.011
43.388,-93.651,-43.773,4.940,1.011
43.488,-94.143,-43.790,4.917,1.011
43.588,-94.632,-43.809,4.898,1.011
43.688,-95.119,-43.823,4.876,1.011
43.788,-95.602,-43.820,4.836,1.011
43.888,-96.090,-43.799,4.871,1.011
43.988,-96.576,-43.758,4.877,1.011
44.088,-97.058,-43.703,4.859,1.011
44.188,-97.535,-43.632,4.829,1.011
44.288,-98.011,-43.548,4.835,1.011
44.388,-98.479,-43.544,4.844,1.011
44.488,-98.948,-43.440,4.764,1.012
44.588,-99.410,-43.333,4.745,1.012
44.688,-99.875,-43.218,4.790,1.012
44.788,-100.344,-43.090,4.864,1.012
44.888,-100.804,-42.950,4.805,1.012
44.988,-101.260,-42.797,4.802,1.012
45.088,-101.712,-42.629,4.823,1.012
45.188,-102.159,-42.447,4.827,1.012
45.288,-102.591,-42.257,4.737,1.012
45.388,-103.016,-42.056,4.701,1.012
45.488,-103.416,-41.920,4.723,1.012
45.588,-103.834,-41.702,4.709,1.012
45.688,-104.245,-41.472,4.713,1.012
45.788,-104.650,-41.234,4.691,1.012
45.888,-105.053,-40.987,4.723,1.012
45.988,-105.448,-40.732,4.703,1.012
46.088,-105.826,-40.470,4.609,1.012
46.188,-106.192,-40.198,4.569,1.012
46.288,-106.552,-39.914,4.584,1.012
46.388,-106.875,-39.678,4.589,1.012
46.488,-107.224,-39.381,4.575,1.012
46.588,-107.575,-39.082,4.627,1.012
46.688,-107.929,-38.788,4.591,1.012
46.788,-108.278,-38.498,4.542,1.012
46.888,-108.616,-38.214,4.426,1.012
46.988,-108.950,-37.925,4.423,1.012
47.088,-109.279,-37.633,4.401,1.012
47.188,-109.599,-37.342,4.334,1.012
47.288,-109.919,-37.051,4.329,1.012
47.388,-110.246,-36.761,4.366,1.012
47.488,-110.632,-36.506,4.492,1.016
47.588,-110.978,-36.220,4.475,1.016
47.688,-111.325,-35.947,4.362,1.016
47.788,-111.672,-35.677,4.402,1.016
47.888,-112.020,-35.407,4.400,1.016
47.988,-112.369,-35.138,4.405,1.016
48.088,-112.711,-34.875,4.322,1.016
48.188,-113.056,-34.613,4.330,1.016
48.288,-113.406,-34.352,4.362,1.016
48.388,-113.781,-34.131,4.426,1.018
48.488,-114.142,-33.876,4.356,1.018
48.588,-114.503,-33.633,4.342,1.018
48.688,-114.875,-33.404,4.374,1.018
48.788,-115.258,-33.184,4.417,1.018
48.888,-115.641,-32.969,4.393,1.018
48.988,-116.024,-32.754,4.388,1.018
49.088,-116.408,-32.539,4.409,1.018
49.188,-116.795,-32.322,4.433,1.018
49.288,-117.185,-32.109,4.438,1.018
49.388,-117.577,-31.906,4.417,1.018
49.488,-117.988,-31.707,4.433,1.018
