t_s,x_m,y_m,v,k
13.389,-0.194,-0.040,0.000,1.000
13.489,-0.194,-0.040,0.000,1.000
14.189,-0.194,-0.040,0.000,1.000
14.389,-0.194,-0.040,0.000,1.000
17.589,0.096,-0.079,1.378,1.000
17.689,0.234,-0.317,1.610,1.000
17.789,0.387,-0.281,1.566,1.000
17.889,0.538,-0.249,1.549,1.000
17.989,0.693,-0.218,1.578,1.000
18.089,0.854,-0.187,1.628,1.000
18.189,1.013,-0.156,1.622,1.000
18.289,1.173,-0.124,1.633,1.000
18.389,1.343,-0.090,1.705,1.000
18.489,1.514,-0.054,1.741,1.000
18.589,1.686,-0.016,1.753,1.000
18.689,1.407,-0.641,1.806,1.000
18.789,1.363,-0.816,1.810,1.000
18.889,1.315,-0.995,1.849,1.000
18.989,1.265,-1.162,1.765,1.000
19.089,1.217,-1.316,1.662,1.000
19.189,1.168,-1.462,1.585,1.000
19.289,1.120,-1.603,1.531,1.000
19.389,1.070,-1.742,1.500,1.000
19.489,1.019,-1.886,1.515,1.000
19.589,0.967,-2.033,1.539,1.000
19.689,0.591,-2.669,1.645,1.000
19.789,0.539,-2.828,1.664,1.000
19.889,0.487,-2.988,1.679,1.000
19.989,0.436,-3.149,1.687,1.000
20.089,0.384,-3.310,1.684,1.000
20.189,0.333,-3.463,1.643,1.000
20.289,0.280,-3.620,1.648,1.000
20.389,0.226,-3.773,1.631,1.000
20.489,0.166,-3.933,1.685,1.000
20.589,0.103,-4.095,1.722,1.000
20.689,-0.252,-4.721,1.944,1.000
20.789,-0.333,-4.903,1.987,1.000
20.889,-0.414,-5.087,2.005,1.000
20.989,-0.497,-5.277,2.056,1.000
21.089,-0.581,-5.472,2.104,1.000
21.189,-0.665,-5.665,2.109,1.000
21.289,-0.754,-5.867,2.177,1.000
21.389,-0.845,-6.069,2.209,1.000
21.489,-0.940,-6.280,2.290,1.000
21.589,-1.039,-6.495,2.349,1.000
21.689,-1.385,-7.131,2.444,1.000
21.789,-1.489,-7.355,2.461,1.000
21.889,-1.590,-7.578,2.452,1.000
21.989,-1.690,-7.798,2.420,1.000
