t_s,x_m,y_m,v,k
13.297,-0.064,-0.088,0.000,1.000
14.097,-0.066,-0.087,0.000,1.000
14.397,-0.066,-0.087,0.000,1.000
17.597,-0.168,0.693,1.094,1.000
17.697,-0.168,0.693,0.974,1.000
17.797,-0.168,0.693,0.916,1.000
17.897,-0.168,0.693,0.938,1.000
17.997,-0.168,0.693,1.035,1.000
18.097,-0.168,0.693,1.135,1.000
18.197,-0.168,0.693,1.205,1.000
18.297,-0.168,0.693,1.272,1.000
18.397,-0.168,0.693,1.368,1.000
18.497,-0.388,1.480,1.594,1.000
18.597,-0.564,1.205,1.605,1.000
18.697,-0.463,1.341,1.705,1.000
18.797,-0.353,1.487,1.812,1.000
18.897,-0.239,1.639,1.870,1.000
18.997,-0.121,1.796,1.938,1.000
19.097,0.003,1.961,2.024,1.000
19.197,0.133,2.135,2.123,1.000
19.297,0.266,2.312,2.187,1.000
19.397,0.401,2.491,2.225,1.000
19.497,0.526,3.439,2.379,1.000
19.597,0.671,3.631,2.401,1.000
19.697,0.816,3.825,2.415,1.000
19.797,0.962,4.019,2.431,1.000
19.897,1.115,4.223,2.521,1.000
19.997,1.270,4.430,2.570,1.000
20.097,1.425,4.636,2.575,1.000
20.197,1.584,4.847,2.637,1.000
20.297,1.744,5.061,2.666,1.000
20.397,1.906,5.277,2.692,1.000
20.497,2.270,5.990,2.762,1.000
20.597,2.437,6.212,2.781,1.000
20.697,2.607,6.439,2.834,1.000
20.797,2.780,6.669,2.872,1.000
20.897,2.684,6.578,2.864,1.000
20.997,2.882,6.790,2.897,1.000
21.097,3.076,6.997,2.845,1.000
21.197,3.270,7.206,2.852,1.000
21.297,3.467,7.417,2.883,1.000
21.397,3.662,7.625,2.850,1.000
21.497,4.015,8.209,2.852,1.000
21.597,4.211,8.419,2.878,1.000
21.697,4.409,8.631,2.893,1.000
21.797,4.608,8.843,2.911,1.000
21.897,4.806,9.056,2.903,1.000
21.997,5.007,9.271,2.949,1.000
22.097,5.210,9.488,2.968,1.000
22.197,5.407,9.700,2.895,1.000
22.297,5.605,9.911,2.896,1.000
22.397,5.804,10.125,2.925,1.000
22.497,6.020,10.723,2.904,1.000
22.597,6.218,10.936,2.912,1.000
22.697,6.419,11.151,2.937,1.000
22.797,6.621,11.367,2.957,1.000
22.897,6.822,11.583,2.952,1.000
22.997,7.023,11.799,2.951,1.000
23.097,7.225,12.015,2.957,1.000
23.197,7.426,12.229,2.937,1.000
23.297,7.623,12.441,2.900,1.000
23.397,7.822,12.654,2.912,1.000
23.497,7.924,13.280,2.937,1.000
23.597,8.123,13.494,2.926,1.000
23.697,8.323,13.708,2.922,1.000
23.797,8.523,13.922,2.933,1.000
23.897,8.724,14.138,2.952,1.000
23.997,8.925,14.353,2.938,1.000
24.097,9.127,14.569,2.957,1.000
24.197,9.332,14.789,3.004,1.000
24.297,9.537,15.008,3.005,1.000
24.397,9.740,15.225,2.971,1.000
24.497,9.827,15.743,2.976,1.000
24.597,10.036,15.958,3.006,1.000
24.697,10.246,16.173,3.002,1.000
24.797,10.454,16.387,2.982,1.000
24.897,10.662,16.600,2.982,1.000
24.997,10.871,16.815,2.994,1.000
25.097,11.079,17.028,2.980,1.000
25.197,11.285,17.241,2.965,1.000
25.297,11.493,17.454,2.975,1.000
25.397,11.700,17.666,2.966,1.000
25.497,11.983,18.047,2.967,1.000
25.597,12.191,18.260,2.978,1.000
25.697,12.400,18.476,3.004,1.000
25.797,12.612,18.693,3.038,1.000
25.897,12.825,18.912,3.046,1.000
25.997,13.037,19.129,3.042,1.000
26.097,13.251,19.349,3.065,1.000
26.197,13.464,19.568,3.055,1.000
26.297,13.677,19.787,3.051,1.000
26.397,13.890,20.006,3.059,1.000
26.497,14.285,20.260,3.034,1.000
26.597,14.495,20.476,3.014,1.000
26.697,14.705,20.692,3.014,1.000
26.797,14.916,20.908,3.019,1.000
26.897,15.126,21.124,3.010,1.000
26.997,15.338,21.342,3.043,1.000
27.097,15.771,21.842,3.058,1.000
27.197,15.955,22.084,3.037,1.000
27.297,16.138,22.326,3.036,1.000
27.397,16.321,22.567,3.031,1.000
27.497,16.787,22.744,3.066,1.000
27.597,16.973,22.990,3.085,1.000
27.697,17.160,23.237,3.094,1.000
27.797,17.347,23.483,3.089,1.000
27.897,17.534,23.729,3.091,1.000
27.997,17.721,23.976,3.100,1.000
28.097,17.909,24.223,3.104,1.000
28.197,18.097,24.472,3.116,1.000
28.297,18.286,24.720,3.122,1.000
28.397,18.476,24.971,3.149,1.000
28.497,19.122,25.013,3.152,1.000
28.597,19.312,25.264,3.150,1.000
28.697,19.503,25.515,3.152,1.000
28.797,19.693,25.766,3.144,1.000
28.897,19.886,26.020,3.189,1.000
28.997,20.080,26.275,3.205,1.000
29.097,20.274,26.532,3.215,1.000
29.197,20.468,26.787,3.212,1.000
29.297,20.664,27.046,3.242,1.000
29.397,20.858,27.301,3.209,1.000
29.497,21.487,27.364,3.261,1.000
29.597,21.683,27.622,3.248,1.000
29.697,21.881,27.883,3.273,1.000
29.797,22.247,28.425,3.248,1.000
29.897,22.423,28.700,3.261,1.000
29.997,22.598,28.973,3.250,1.000
30.097,22.775,29.250,3.280,1.000
30.197,22.951,29.525,3.267,1.000
30.297,23.130,29.805,3.317,1.000
30.397,23.309,30.086,3.329,1.000
30.497,23.847,30.224,3.340,1.000
30.597,24.026,30.504,3.322,1.000
30.697,24.206,30.786,3.340,1.000
30.797,24.385,31.066,3.327,1.000
30.897,24.565,31.347,3.330,1.000
30.997,24.743,31.625,3.308,1.000
31.097,24.921,31.904,3.309,1.000
31.197,25.099,32.182,3.306,1.000
31.297,25.276,32.459,3.286,1.000
31.397,25.452,32.734,3.265,1.000
31.497,25.834,32.963,3.297,1.000
31.597,26.012,33.241,3.295,1.000
31.697,26.191,33.521,3.328,1.000
31.797,26.368,33.799,3.296,1.000
31.897,26.546,34.077,3.305,1.000
31.997,26.725,34.356,3.312,1.000
32.097,26.904,34.637,3.331,1.000
32.197,27.283,35.312,3.278,1.000
32.297,27.434,35.606,3.303,1.000
32.397,27.583,35.898,3.276,1.000
32.497,27.754,36.224,3.270,1.000
32.597,27.901,36.512,3.235,1.000
32.697,28.049,36.801,3.249,1.000
32.797,28.196,37.088,3.225,1.000
32.897,28.345,37.379,3.264,1.000
32.997,28.492,37.664,3.210,1.000
33.097,28.639,37.951,3.223,1.000
33.197,28.785,38.237,3.213,1.000
33.297,28.934,38.527,3.252,1.000
33.397,29.081,38.815,3.236,1.000
33.497,29.324,39.105,3.289,1.000
33.597,29.473,39.396,3.275,1.000
33.697,29.623,39.688,3.277,1.000
33.797,29.774,39.982,3.305,1.000
33.897,29.923,40.274,3.286,1.000
33.997,30.072,40.565,3.263,1.000
34.097,30.221,40.856,3.271,1.000
34.197,30.372,41.150,3.299,1.000
34.297,30.521,41.442,3.283,1.000
34.397,30.671,41.733,3.275,1.000
34.497,30.802,42.074,3.266,1.000
34.597,30.954,42.370,3.327,1.000
34.697,31.103,42.661,3.272,1.000
34.797,31.253,42.954,3.294,1.000
34.897,31.402,43.245,3.270,1.000
34.997,31.554,43.541,3.321,1.000
35.097,31.703,43.832,3.279,1.000
35.197,31.853,44.125,3.284,1.000
35.297,32.002,44.415,3.266,1.000
35.397,32.151,44.707,3.274,1.000
35.497,32.277,45.029,3.218,1.000
35.597,32.425,45.318,3.248,1.000
35.697,32.573,45.607,3.250,1.000
35.797,32.723,45.900,3.285,1.000
35.897,32.870,46.186,3.222,1.000
35.997,33.018,46.476,3.248,1.000
36.097,33.166,46.764,3.243,1.000
36.197,33.315,47.054,3.256,1.000
36.297,33.464,47.345,3.272,1.000
36.397,33.820,48.139,3.325,1.000
36.497,33.795,48.511,3.281,1.000
36.597,33.911,48.820,3.296,1.000
36.697,34.026,49.126,3.269,1.000
36.797,34.142,49.435,3.304,1.000
36.897,34.258,49.742,3.280,1.000
36.997,34.372,50.045,3.244,1.000
37.097,34.487,50.353,3.284,1.000
37.197,34.603,50.662,3.300,1.000
37.297,34.720,50.972,3.310,1.000
37.397,34.835,51.280,3.292,1.000
37.497,34.994,51.551,3.265,1.000
37.597,35.109,51.858,3.277,1.000
37.697,35.225,52.167,3.300,1.000
37.797,35.340,52.473,3.273,1.000
37.897,35.455,52.780,3.280,1.000
37.997,35.571,53.089,3.296,1.000
38.097,35.686,53.394,3.266,1.000
38.197,35.799,53.695,3.214,1.000
38.297,35.913,53.999,3.242,1.000
38.397,36.027,54.302,3.241,1.000
38.497,36.384,54.492,3.243,1.000
38.597,36.498,54.795,3.231,1.000
38.697,36.611,55.096,3.221,1.000
38.797,36.724,55.397,3.211,1.000
38.897,36.838,55.700,3.235,1.000
38.997,36.951,56.002,3.224,1.000
39.097,37.065,56.304,3.233,1.000
39.197,37.179,56.607,3.236,1.000
39.297,37.294,56.915,3.288,1.000
39.397,37.408,57.219,3.245,1.000
39.497,37.640,57.462,3.270,1.000
39.597,37.755,57.770,3.287,1.000
39.697,37.870,58.075,3.259,1.000
39.797,37.985,58.382,3.279,1.000
39.897,38.101,58.690,3.292,1.000
39.997,38.216,58.996,3.269,1.000
40.097,38.330,59.301,3.257,1.000
