t_s,x_m,y_m,v,k
13.095,-0.303,-0.173,0.000,1.000
13.395,-0.312,-0.168,0.000,1.000
13.995,-0.312,-0.168,0.000,1.000
14.195,-0.312,-0.168,0.000,1.000
14.295,-0.312,-0.168,0.000,1.000
17.595,0.029,0.807,1.225,1.000
17.695,0.029,0.807,1.173,1.000
17.795,0.029,0.807,1.286,1.000
17.895,0.029,0.807,1.346,1.000
17.995,0.029,0.807,1.397,1.000
18.095,0.029,0.807,1.454,1.000
18.195,0.029,0.807,1.615,1.000
18.295,0.134,1.476,1.783,1.000
18.395,0.247,1.627,1.937,1.000
18.495,0.372,1.793,2.061,1.000
18.595,0.513,1.981,2.266,1.000
18.695,0.664,2.182,2.416,1.000
18.795,0.820,2.389,2.515,1.000
18.895,0.984,2.608,2.633,1.000
18.995,1.160,2.843,2.786,1.000
19.095,1.346,3.090,2.947,1.000
19.195,1.533,3.339,3.034,1.000
19.295,1.727,3.597,3.137,1.000
19.395,2.217,4.620,3.453,1.000
19.495,2.425,4.897,3.458,1.000
19.595,2.633,5.174,3.467,1.000
19.695,2.842,5.452,3.473,1.000
19.795,2.855,5.488,3.522,1.000
19.895,3.103,5.754,3.594,1.000
19.995,3.348,6.016,3.593,1.000
20.095,3.599,6.285,3.651,1.000
20.195,3.853,6.557,3.698,1.000
20.295,4.111,6.834,3.759,1.000
20.395,4.793,7.572,3.822,1.000
20.495,5.056,7.853,3.845,1.000
20.595,5.321,8.137,3.876,1.000
20.695,5.588,8.422,3.901,1.000
20.795,5.846,8.699,3.811,1.000
20.895,6.110,8.982,3.861,1.000
20.995,6.371,9.261,3.825,1.000
21.095,6.637,9.546,3.885,1.000
21.195,6.909,9.838,3.979,1.000
21.295,7.713,10.393,4.122,1.000
21.395,7.991,10.692,4.082,1.000
21.495,8.272,10.993,4.116,1.000
21.595,8.553,11.293,4.112,1.000
21.695,8.839,11.599,4.182,1.000
21.795,9.127,11.909,4.227,1.000
21.895,9.421,12.224,4.300,1.000
21.995,9.722,12.545,4.389,1.000
22.095,10.024,12.869,4.433,1.000
22.195,10.328,13.195,4.450,1.000
22.295,10.589,13.474,4.482,1.000
22.395,11.335,14.060,4.530,1.000
22.495,11.653,14.386,4.561,1.000
22.595,11.975,14.717,4.615,1.000
22.695,12.296,15.047,4.599,1.000
22.795,12.621,15.380,4.653,1.000
22.895,12.946,15.714,4.661,1.000
22.995,13.271,16.047,4.650,1.000
23.095,13.596,16.381,4.660,1.000
23.195,13.924,16.718,4.697,1.000
23.295,14.578,17.357,4.745,1.000
23.395,14.912,17.700,4.780,0.978
23.495,15.244,18.041,4.744,0.985
23.595,15.577,18.383,4.794,0.982
23.695,15.909,18.724,4.740,0.984
23.795,16.242,19.066,4.787,0.983
23.895,16.846,19.724,4.844,0.982
23.995,17.141,20.113,4.890,0.982
24.095,17.435,20.501,4.861,0.982
24.195,17.735,20.895,4.953,0.982
24.295,18.813,21.227,5.050,0.998
24.395,19.118,21.629,5.091,0.997
24.495,19.425,22.033,5.047,0.998
24.595,19.731,22.437,5.065,0.998
24.695,20.041,22.845,5.124,0.997
24.795,20.354,23.257,5.178,0.997
24.895,20.666,23.670,5.178,0.997
24.995,20.982,24.086,5.223,0.997
25.095,21.300,24.505,5.250,0.997
25.195,21.621,24.929,5.310,0.997
25.295,21.942,25.351,5.304,0.997
25.395,22.759,25.777,5.353,0.999
25.495,23.265,26.499,5.411,0.998
25.595,23.556,26.955,5.433,0.998
25.695,23.848,27.412,5.405,0.998
25.795,24.139,27.867,5.398,0.998
25.895,24.427,28.317,5.354,0.998
25.995,24.716,28.770,5.371,0.998
26.095,25.005,29.222,5.364,0.998
26.195,25.295,29.676,5.380,0.998
26.295,25.794,30.247,5.409,0.996
26.395,26.085,30.703,5.411,0.996
26.495,26.376,31.159,5.414,0.996
26.595,26.668,31.615,5.417,0.996
