t_s,x_m,y_m,v,k
13.293,-0.015,0.057,0.000,1.000
13.393,-0.017,0.058,0.000,1.000
13.593,-0.017,0.058,0.000,1.000
14.393,-0.011,0.064,0.000,1.000
17.593,0.038,-0.543,1.040,1.000
17.693,0.038,-0.543,1.004,1.000
17.793,0.038,-0.543,1.064,1.000
17.893,0.038,-0.543,1.064,1.000
17.993,0.038,-0.543,1.099,1.000
18.093,0.038,-0.543,1.081,1.000
18.193,0.038,-0.543,1.130,1.000
18.293,0.038,-0.543,1.188,1.000
18.393,0.198,-1.136,1.244,1.000
18.493,0.151,-1.253,1.267,1.000
18.593,0.100,-1.378,1.349,1.000
18.693,0.049,-1.506,1.375,1.000
18.793,-0.008,-1.648,1.485,1.000
18.893,-0.070,-1.802,1.595,1.000
18.993,-0.136,-1.966,1.700,1.000
19.093,-0.207,-2.144,1.829,1.000
19.193,-0.284,-2.334,1.956,1.000
19.293,-0.359,-2.522,1.992,1.000
19.393,-0.313,-3.508,2.341,1.000
19.493,-0.401,-3.727,2.353,1.000
19.593,-0.492,-3.955,2.414,1.000
19.693,-0.589,-4.195,2.520,1.000
19.793,-0.687,-4.440,2.590,1.000
19.893,-0.787,-4.689,2.651,1.000
19.993,-0.892,-4.950,2.750,1.000
20.093,-0.994,-5.203,2.734,1.000
20.193,-1.097,-5.459,2.753,1.000
20.293,-1.199,-5.715,2.750,1.000
20.393,-1.055,-6.725,2.921,1.000
20.493,-1.165,-6.998,2.941,1.000
20.593,-1.272,-7.265,2.890,1.000
20.693,-1.381,-7.537,2.920,1.000
20.793,-1.495,-7.818,3.005,1.000
20.893,-1.612,-8.112,3.122,1.000
20.993,-1.732,-8.409,3.183,1.000
21.093,-1.853,-8.710,3.234,1.000
21.193,-1.975,-9.015,3.283,1.000
21.293,-2.097,-9.319,3.275,1.000
21.393,-2.070,-10.174,3.264,1.000
21.493,-2.302,-10.731,3.277,0.994
21.593,-2.436,-11.033,3.306,0.989
21.693,-2.571,-11.337,3.342,0.987
21.793,-2.707,-11.641,3.323,0.987
21.893,-2.842,-11.947,3.347,0.987
21.993,-2.978,-12.253,3.349,0.987
22.093,-3.114,-12.558,3.338,0.987
22.193,-3.248,-12.859,3.295,0.987
22.293,-3.383,-13.165,3.338,0.987
22.393,-3.949,-13.732,3.401,0.997
22.493,-4.087,-14.043,3.419,0.997
22.593,-4.225,-14.355,3.404,0.997
22.693,-4.366,-14.671,3.469,0.996
22.793,-4.508,-14.991,3.515,0.996
22.893,-4.650,-15.311,3.493,0.996
22.993,-4.793,-15.631,3.507,0.996
