t_s,x_m,y_m,v,k
13.496,0.186,-0.478,0.037,1.000
14.196,0.211,-0.477,0.000,1.000
14.496,0.211,-0.477,0.000,1.000
17.596,-0.035,0.477,0.963,1.000
17.696,0.067,0.488,1.042,1.000
17.796,0.182,0.498,1.158,1.000
17.896,0.310,0.504,1.268,1.000
17.996,0.443,0.506,1.320,1.000
18.096,0.584,0.507,1.395,1.000
18.196,0.738,0.507,1.494,1.000
18.296,0.901,0.507,1.585,1.000
18.396,1.133,1.230,1.672,1.000
18.496,1.207,1.393,1.767,1.000
18.596,1.285,1.570,1.877,1.000
18.696,1.366,1.759,1.981,1.000
18.796,1.457,1.964,2.118,1.000
18.896,1.555,2.170,2.202,1.000
18.996,1.668,2.386,2.317,1.000
19.096,1.795,2.612,2.451,1.000
19.196,1.930,2.845,2.564,1.000
19.296,2.067,3.080,2.642,1.000
19.396,2.422,4.004,2.980,1.000
19.496,2.579,4.253,2.965,1.000
19.596,2.744,4.500,2.966,1.000
19.696,2.912,4.746,2.974,1.000
19.796,3.078,4.997,2.994,1.000
19.896,3.242,5.255,3.030,1.000
19.996,3.404,5.514,3.047,1.000
20.096,3.564,5.774,3.048,1.000
20.196,3.721,6.033,3.038,1.000
20.296,3.876,6.296,3.043,1.000
20.396,4.244,7.074,3.112,1.000
20.496,4.391,7.353,3.147,1.000
20.596,4.534,7.634,3.154,1.000
20.696,4.681,7.915,3.164,1.000
20.796,4.839,8.194,3.202,1.000
20.896,5.008,8.470,3.232,1.000
20.996,5.189,8.746,3.292,1.000
21.096,5.378,9.018,3.309,1.000
21.196,5.571,9.286,3.302,1.000
21.296,5.774,9.563,3.416,1.000
21.396,6.247,10.268,3.574,1.000
21.496,6.467,10.549,3.570,1.000
21.596,6.697,10.823,3.578,1.000
21.696,6.939,11.093,3.619,1.000
21.796,7.192,11.364,3.699,1.000
21.896,7.446,11.629,3.667,1.000
21.996,7.700,11.896,3.687,1.000
22.096,7.960,12.171,3.767,1.000
22.196,8.221,12.448,3.800,1.000
22.296,8.480,12.723,3.776,1.000
22.396,9.017,13.344,3.907,1.000
22.496,9.283,13.632,3.920,1.000
22.596,9.550,13.930,3.996,1.000
