t_s,x_m,y_m,v,k
13.191,-0.192,0.141,0.000,1.000
13.491,-0.190,0.146,0.000,1.000
13.691,-0.190,0.146,0.000,1.000
13.890,-0.190,0.146,0.000,1.000
14.491,-0.025,0.085,0.000,1.000
17.590,0.235,-0.008,0.000,1.000
17.691,0.235,-0.008,0.000,1.000
17.791,0.235,-0.008,0.000,1.000
17.890,0.235,-0.008,0.000,1.000
17.991,0.235,-0.008,0.000,1.000
18.090,0.235,-0.008,0.000,1.000
18.191,0.235,-0.008,0.000,1.000
18.291,0.235,-0.008,0.000,1.000
18.390,0.240,-0.009,0.000,1.000
18.491,0.240,-0.009,0.000,1.000
18.590,0.240,-0.009,0.000,1.000
18.691,0.240,-0.009,0.044,1.000
18.791,0.240,-0.009,0.068,1.000
18.890,0.240,-0.009,0.078,1.000
18.991,0.240,-0.009,0.100,1.000
19.090,0.240,-0.009,0.206,1.000
19.191,0.240,-0.009,0.342,1.000
19.291,0.240,-0.009,0.389,1.000
19.390,0.250,0.001,0.495,1.000
19.491,0.250,0.001,0.581,1.000
19.590,0.250,0.001,0.702,1.000
19.691,0.250,0.001,0.820,1.000
19.791,0.250,0.001,0.927,1.000
19.890,0.250,0.001,1.030,1.000
19.991,0.250,0.001,1.148,1.000
20.090,0.250,0.001,1.175,1.000
20.191,0.250,0.001,1.318,1.000
20.291,0.250,0.001,1.452,1.000
20.390,0.324,-0.088,1.464,1.000
20.491,0.324,-0.088,1.555,1.000
20.590,0.324,-0.088,1.669,1.000
20.691,0.324,-0.088,1.764,1.000
20.791,0.324,-0.088,1.863,1.000
20.890,0.324,-0.088,1.927,1.000
20.991,0.324,-0.088,2.027,1.000
21.090,0.324,-0.088,2.091,1.000
21.191,0.324,-0.088,2.092,1.000
21.291,0.324,-0.088,2.096,1.000
21.390,0.601,-0.080,2.069,1.000
21.491,0.601,-0.080,2.050,1.000
21.590,0.601,-0.080,2.037,1.000
21.691,0.601,-0.080,2.031,1.000
21.791,0.601,-0.080,2.070,1.000
21.890,0.601,-0.080,2.093,1.000
21.991,0.601,-0.080,2.098,1.000
22.090,0.601,-0.080,2.114,1.000
22.191,0.601,-0.080,2.175,1.000
22.291,0.601,-0.080,2.198,1.000
22.390,1.028,-0.100,2.222,1.000
22.491,1.233,-0.182,2.202,1.000
22.590,1.438,-0.265,2.212,1.000
22.691,1.643,-0.347,2.208,1.000
22.791,1.843,-0.427,2.175,1.000
22.890,2.049,-0.510,2.199,1.000
22.991,2.255,-0.592,2.209,1.000
23.090,2.459,-0.674,2.204,1.000
23.191,2.663,-0.756,2.203,1.000
23.291,2.868,-0.838,2.203,1.000
23.390,3.556,-0.954,2.241,1.000
23.491,3.771,-1.040,2.277,1.000
23.590,3.986,-1.127,2.298,1.000
23.691,4.214,-1.218,2.376,1.000
23.791,4.449,-1.313,2.453,1.000
23.890,4.687,-1.408,2.506,1.000
23.991,4.931,-1.506,2.569,1.000
24.090,5.176,-1.604,2.605,1.000
24.191,5.419,-1.701,2.612,1.000
24.291,5.658,-1.798,2.597,1.000
24.390,6.262,-2.047,2.553,1.000
24.491,6.496,-2.141,2.532,1.000
24.590,6.726,-2.234,2.501,1.000
24.691,6.955,-2.325,2.476,1.000
24.791,7.184,-2.417,2.471,1.000
24.890,7.414,-2.509,2.476,1.000
24.991,7.639,-2.600,2.442,1.000
25.090,7.872,-2.693,2.483,1.000
25.191,8.107,-2.787,2.517,1.000
25.291,8.344,-2.882,2.539,1.000
25.390,8.851,-3.248,2.566,1.000
25.491,9.087,-3.343,2.549,1.000
25.590,9.324,-3.438,2.553,1.000
25.691,9.563,-3.533,2.564,1.000
25.791,9.799,-3.628,2.550,1.000
25.890,10.038,-3.724,2.565,1.000
25.991,10.278,-3.820,2.585,1.000
26.090,10.514,-3.915,2.556,1.000
26.191,10.753,-4.011,2.564,1.000
26.291,10.988,-4.105,2.545,1.000
