t_s,x_m,y_m,v,k
13.191,-0.260,-0.028,0.000,1.000
13.491,-0.260,-0.028,0.000,1.000
13.691,-0.260,-0.028,0.000,1.000
13.890,-0.260,-0.028,0.000,1.000
14.491,-0.069,-0.025,0.000,1.000
17.590,0.231,-0.021,0.000,1.000
17.691,0.231,-0.021,0.000,1.000
17.791,0.231,-0.021,0.000,1.000
17.890,0.231,-0.021,0.000,1.000
17.991,0.231,-0.021,0.000,1.000
18.090,0.231,-0.021,0.000,1.000
18.191,0.231,-0.021,0.000,1.000
18.291,0.231,-0.021,0.000,1.000
18.390,0.236,-0.021,0.000,1.000
18.491,0.236,-0.021,0.000,1.000
18.590,0.236,-0.021,0.000,1.000
18.691,0.239,-0.021,0.044,1.000
18.791,0.245,-0.021,0.068,1.000
18.890,0.253,-0.021,0.078,1.000
18.991,0.263,-0.021,0.100,1.000
19.090,0.283,-0.021,0.206,1.000
19.191,0.318,-0.021,0.342,1.000
19.291,0.358,-0.020,0.389,1.000
19.390,0.413,-0.019,0.495,1.000
19.491,0.471,-0.019,0.581,1.000
19.590,0.541,-0.018,0.702,1.000
19.691,0.624,-0.018,0.820,1.000
19.791,0.718,-0.019,0.927,1.000
19.890,0.823,-0.019,1.030,1.000
19.991,0.940,-0.020,1.148,1.000
20.090,1.058,-0.020,1.175,1.000
20.191,1.194,-0.019,1.318,1.000
20.291,1.344,-0.014,1.452,1.000
20.390,1.524,-0.044,1.464,1.000
20.491,1.682,-0.024,1.555,1.000
20.590,1.853,0.006,1.669,1.000
20.691,2.032,0.047,1.764,1.000
20.791,2.221,0.094,1.863,1.000
20.890,2.415,0.142,1.927,1.000
20.991,2.624,0.190,2.027,1.000
21.090,2.838,0.232,2.091,1.000
21.191,3.044,0.270,2.092,1.000
21.291,3.251,0.304,2.096,1.000
21.390,3.477,0.132,2.069,1.000
21.491,3.668,0.064,2.050,1.000
21.590,3.858,-0.006,2.037,1.000
21.691,4.048,-0.076,2.031,1.000
21.791,4.248,-0.147,2.070,1.000
21.890,4.448,-0.220,2.093,1.000
21.991,4.647,-0.290,2.098,1.000
22.090,4.852,-0.353,2.114,1.000
22.191,5.073,-0.411,2.175,1.000
22.291,5.290,-0.467,2.198,1.000
22.390,5.534,-0.656,2.222,1.000
22.491,5.742,-0.717,2.203,1.000
22.590,5.957,-0.775,2.212,1.000
22.691,6.171,-0.828,2.208,1.000
22.791,6.378,-0.877,2.175,1.000
22.890,6.595,-0.929,2.200,1.000
22.991,6.812,-0.979,2.209,1.000
23.090,7.025,-1.031,2.204,1.000
23.191,7.237,-1.090,2.203,1.000
23.291,7.446,-1.160,2.203,1.000
23.390,7.693,-1.361,2.239,1.000
23.491,7.908,-1.446,2.276,1.000
23.590,8.124,-1.532,2.297,1.000
23.691,8.351,-1.625,2.375,1.000
23.791,8.584,-1.726,2.453,1.000
23.890,8.819,-1.827,2.506,1.000
23.991,9.062,-1.927,2.569,1.000
24.090,9.308,-2.023,2.605,1.000
24.191,9.554,-2.113,2.612,1.000
24.291,9.798,-2.198,2.597,1.000
24.390,10.077,-2.399,2.553,1.000
24.491,10.314,-2.485,2.532,1.000
24.590,10.547,-2.572,2.501,1.000
24.691,10.777,-2.657,2.476,1.000
24.791,11.008,-2.746,2.471,1.000
24.890,11.238,-2.836,2.476,1.000
24.991,11.461,-2.931,2.442,1.000
25.090,11.689,-3.036,2.483,1.000
25.191,11.914,-3.154,2.517,1.000
25.291,12.136,-3.279,2.539,1.000
25.390,12.394,-3.526,2.566,1.000
25.491,12.610,-3.661,2.548,1.000
25.590,12.824,-3.800,2.553,1.000
25.691,13.041,-3.937,2.564,1.000
25.791,13.259,-4.068,2.550,1.000
25.890,13.483,-4.194,2.565,1.000
25.991,13.711,-4.318,2.585,1.000
26.090,13.937,-4.435,2.556,1.000
26.191,14.167,-4.549,2.564,1.000
26.291,14.395,-4.661,2.545,1.000
26.390,14.645,-4.870,2.473,1.000
26.491,14.866,-4.982,2.480,1.000
26.590,15.088,-5.094,2.488,1.000
26.691,15.314,-5.210,2.523,1.000
26.791,15.537,-5.324,2.510,1.000
26.890,15.761,-5.441,2.520,1.000
26.991,15.982,-5.562,2.525,1.000
27.090,16.204,-5.688,2.543,1.000
27.191,16.423,-5.816,2.537,1.000
27.291,16.643,-5.951,2.569,1.000
27.390,16.885,-6.190,2.578,1.000
27.491,17.101,-6.335,2.604,1.000
27.590,17.318,-6.478,2.601,1.000
27.691,17.536,-6.618,2.587,1.000
27.791,17.760,-6.754,2.613,1.000
27.890,17.995,-6.882,2.666,1.000
27.991,18.235,-6.997,2.666,1.000
28.090,18.478,-7.107,2.664,1.000
28.191,18.716,-7.212,2.611,1.000
28.291,18.960,-7.315,2.644,1.000
28.390,19.245,-7.506,2.641,1.000
28.491,19.488,-7.607,2.636,1.000
28.590,19.725,-7.713,2.599,1.000
28.691,19.960,-7.825,2.606,1.000
28.791,20.193,-7.943,2.610,1.000
28.890,20.424,-8.069,2.628,1.000
28.991,20.649,-8.199,2.603,1.000
29.090,20.872,-8.333,2.602,1.000
29.191,21.096,-8.466,2.604,1.000
29.291,21.320,-8.601,2.614,1.000
29.390,21.584,-8.830,2.639,1.000
29.491,21.813,-8.967,2.675,1.000
29.590,22.050,-9.106,2.737,1.000
29.691,22.289,-9.244,2.758,1.000
29.791,22.527,-9.377,2.729,1.000
29.890,22.767,-9.507,2.735,1.000
29.991,23.008,-9.633,2.722,1.000
30.090,23.249,-9.755,2.699,1.000
30.191,23.488,-9.871,2.661,1.000
30.291,23.733,-9.986,2.703,1.000
30.390,24.020,-10.182,2.722,1.000
30.491,24.268,-10.300,2.752,1.000
30.590,24.516,-10.420,2.745,1.000
30.691,24.763,-10.538,2.747,1.000
30.791,25.009,-10.655,2.716,1.000
30.890,25.251,-10.771,2.695,1.000
30.991,25.493,-10.887,2.682,1.000
31.090,25.739,-11.006,2.728,1.000
31.191,25.986,-11.124,2.731,1.000
31.291,26.234,-11.240,2.743,1.000
31.390,26.535,-11.424,2.739,1.000
31.491,26.784,-11.533,2.712,1.000
31.590,27.036,-11.636,2.720,1.000
31.691,27.294,-11.732,2.750,1.000
31.791,27.548,-11.825,2.715,1.000
31.890,27.805,-11.922,2.738,1.000
31.991,28.054,-12.023,2.695,1.000
32.090,28.300,-12.125,2.672,1.000
32.191,28.538,-12.226,2.600,1.000
32.291,28.778,-12.332,2.618,1.000
32.391,29.086,-12.519,2.686,1.000
32.490,29.337,-12.625,2.719,1.000
32.590,29.590,-12.722,2.711,1.000
32.691,29.850,-12.815,2.749,1.000
32.791,30.109,-12.904,2.747,1.000
32.891,30.375,-12.988,2.781,1.000
32.990,30.636,-13.062,2.726,1.000
33.090,30.904,-13.135,2.763,1.000
33.191,31.181,-13.207,2.845,1.000
33.291,31.460,-13.276,2.873,1.000
33.391,31.817,-13.420,2.909,1.000
33.490,32.099,-13.487,2.899,1.000
33.590,32.385,-13.554,2.933,1.000
33.691,32.674,-13.622,2.966,1.000
33.791,32.960,-13.693,2.948,1.000
33.891,33.247,-13.771,2.979,1.000
33.990,33.533,-13.855,2.979,1.000
34.090,33.818,-13.942,2.975,1.000
34.191,34.100,-14.026,2.952,1.000
34.291,34.387,-14.105,2.971,1.000
34.391,34.751,-14.251,2.992,1.000
34.490,35.047,-14.327,3.055,1.000
34.590,35.340,-14.403,3.034,1.000
34.691,35.633,-14.479,3.025,1.000
34.791,35.923,-14.555,2.998,1.000
34.891,36.211,-14.629,2.975,1.000
34.990,36.497,-14.700,2.947,1.000
35.090,36.783,-14.769,2.944,1.000
35.191,37.068,-14.836,2.933,1.000
35.291,37.354,-14.901,2.931,1.000
35.391,37.706,-15.018,2.913,1.000
35.490,37.987,-15.076,2.869,1.000
35.590,38.266,-15.138,2.852,1.000
35.691,38.543,-15.205,2.854,1.000
35.791,38.816,-15.274,2.817,1.000
35.891,39.092,-15.344,2.847,1.000
35.990,39.362,-15.414,2.796,1.000
36.090,39.633,-15.486,2.798,1.000
36.191,39.903,-15.559,2.800,1.000
36.291,40.177,-15.628,2.820,1.000
36.391,40.520,-15.754,2.846,1.000
36.490,40.796,-15.819,2.841,1.000
36.590,41.073,-15.888,2.851,1.000
36.691,41.354,-15.961,2.899,1.000
36.791,41.634,-16.036,2.901,1.000
36.891,41.914,-16.108,2.890,1.000
36.990,42.190,-16.181,2.856,1.000
37.090,42.463,-16.262,2.850,1.000
37.191,42.733,-16.350,2.845,1.000
37.291,43.004,-16.445,2.869,1.000
37.391,43.341,-16.603,2.853,1.000
37.490,43.607,-16.705,2.852,1.000
37.590,43.876,-16.811,2.885,1.000
37.691,44.146,-16.919,2.910,1.000
37.791,44.415,-17.027,2.900,1.000
37.891,44.690,-17.136,2.953,1.000
37.990,44.962,-17.246,2.937,1.000
38.090,45.239,-17.358,2.981,1.000
38.191,45.514,-17.467,2.965,1.000
38.291,45.796,-17.573,3.011,1.000
38.391,46.164,-17.736,3.122,1.000
38.490,46.457,-17.835,3.093,1.000
38.590,46.745,-17.941,3.072,1.000
38.691,47.028,-18.058,3.063,1.000
38.791,47.306,-18.184,3.053,1.000
38.891,47.586,-18.316,3.091,1.000
38.990,47.862,-18.449,3.061,1.000
39.090,48.140,-18.584,3.093,1.000
39.191,48.426,-18.722,3.166,1.000
39.291,48.714,-18.859,3.184,1.000
39.391,49.077,-19.057,3.230,1.000
39.490,49.368,-19.190,3.201,1.000
39.590,49.663,-19.320,3.228,1.000
39.691,49.964,-19.442,3.247,1.000
39.791,50.269,-19.554,3.244,1.000
39.891,50.575,-19.656,3.234,1.000
39.990,50.887,-19.758,3.278,1.000
40.090,51.192,-19.858,3.214,1.000
40.191,51.502,-19.963,3.268,1.000
40.291,51.806,-20.069,3.220,1.000
40.391,52.168,-20.234,3.199,1.000
40.490,52.467,-20.348,3.202,1.000
40.590,52.766,-20.469,3.220,1.000
40.691,53.052,-20.594,3.125,1.000
40.791,53.335,-20.726,3.128,1.000
40.891,53.619,-20.852,3.106,1.000
40.990,53.915,-20.972,3.187,1.000
41.090,54.203,-21.082,3.094,1.000
41.191,54.495,-21.189,3.109,1.000
41.291,54.787,-21.288,3.084,1.000
41.391,55.136,-21.440,3.111,1.000
41.490,55.426,-21.541,3.074,1.000
41.590,55.720,-21.646,3.123,1.000
41.691,56.014,-21.752,3.118,1.000
41.791,56.315,-21.859,3.192,1.000
41.891,56.612,-21.964,3.153,1.000
41.990,56.910,-22.072,3.170,1.000
42.090,57.207,-22.188,3.188,1.000
42.191,57.507,-22.311,3.239,1.000
42.291,57.815,-22.436,3.318,1.000
42.391,58.203,-22.632,3.460,1.000
42.490,58.521,-22.763,3.431,1.000
42.590,58.845,-22.890,3.482,1.000
42.691,59.170,-23.020,3.494,1.000
42.791,59.498,-23.159,3.556,1.000
42.891,59.834,-23.308,3.654,1.000
42.990,60.170,-23.469,3.718,1.000
43.090,60.515,-23.639,3.825,1.000
43.191,60.863,-23.819,3.904,1.000
43.291,61.213,-24.006,3.954,1.000
43.391,61.670,-24.258,4.104,1.000
43.490,62.051,-24.427,4.154,1.000
43.590,62.436,-24.596,4.198,1.000
43.691,62.830,-24.764,4.261,1.000
43.791,63.234,-24.930,4.341,1.000
43.891,63.642,-25.095,4.381,1.000
43.990,64.052,-25.271,4.437,1.000
44.090,64.459,-25.462,4.478,1.000
44.191,64.879,-25.658,4.583,1.000
44.291,65.308,-25.842,4.636,1.000
44.391,65.848,-26.088,4.753,1.000
44.490,66.299,-26.250,4.775,1.000
44.590,66.763,-26.402,4.853,1.000
44.691,67.226,-26.551,4.858,1.000
44.791,67.702,-26.703,4.949,1.000
44.891,68.184,-26.861,5.020,1.000
44.990,68.672,-27.033,5.111,1.000
45.090,69.158,-27.209,5.144,1.000
45.191,69.661,-27.377,5.240,1.000
45.291,70.158,-27.525,5.207,1.000
45.391,70.771,-27.735,5.288,1.000
45.490,71.260,-27.892,5.196,1.000
45.590,71.759,-28.066,5.252,1.000
45.691,72.244,-28.255,5.221,1.000
45.791,72.730,-28.459,5.251,1.000
45.891,73.204,-28.656,5.183,1.000
45.990,73.701,-28.844,5.255,1.000
46.090,74.200,-29.019,5.272,1.000
46.191,74.704,-29.190,5.301,1.000
46.291,75.195,-29.357,5.241,1.000
46.391,75.798,-29.581,5.298,1.000
46.490,76.301,-29.759,5.320,1.000
46.590,76.800,-29.947,5.328,1.000
46.691,77.296,-30.143,5.325,1.000
46.791,77.794,-30.337,5.337,1.000
46.891,78.294,-30.524,5.339,1.000
46.990,78.801,-30.705,5.366,1.000
47.090,79.297,-30.872,5.293,1.000
47.191,79.801,-31.037,5.297,1.000
47.291,80.310,-31.200,5.319,1.000
47.391,80.913,-31.402,5.307,1.000
47.490,81.414,-31.557,5.276,1.000
47.590,81.910,-31.719,5.240,1.000
47.691,82.412,-31.888,5.272,1.000
47.791,82.918,-32.060,5.313,1.000
47.891,83.420,-32.234,5.311,1.000
47.990,83.929,-32.408,5.344,1.000
48.090,84.440,-32.583,5.376,1.000
48.191,84.959,-32.763,5.434,1.000
48.291,85.480,-32.949,5.483,1.000
