t_s,x_m,y_m,v,k
13.421,0.097,0.696,0.000,1.000
13.721,0.097,0.696,0.000,1.000
13.921,0.097,0.696,0.000,1.000
14.121,0.097,0.696,0.000,1.000
17.621,-0.063,-0.225,0.975,1.000
17.721,0.024,-0.217,0.848,1.000
17.821,0.014,-0.660,1.026,1.000
17.921,0.102,-0.652,0.918,1.000
18.021,0.179,-0.646,0.827,1.000
18.121,0.246,-0.643,0.736,1.000
18.221,0.316,-0.641,0.718,1.000
18.321,0.386,-0.643,0.708,1.000
18.421,0.460,-0.647,0.727,1.000
18.521,0.535,-0.654,0.740,1.000
18.621,0.623,-0.663,0.808,1.000
18.721,0.709,-0.675,0.836,1.000
18.821,0.470,-1.224,1.194,1.000
18.921,0.428,-1.338,1.232,1.000
19.021,0.382,-1.455,1.251,1.000
19.121,0.333,-1.582,1.325,1.000
19.221,0.285,-1.702,1.307,1.000
19.321,0.233,-1.840,1.402,1.000
19.421,0.180,-1.982,1.462,1.000
19.521,0.122,-2.147,1.605,1.000
19.621,0.049,-2.360,1.927,1.000
19.721,-0.025,-2.583,2.136,1.000
19.821,-0.462,-3.394,2.568,1.000
19.921,-0.538,-3.633,2.536,1.000
20.021,-0.612,-3.871,2.510,1.000
20.121,-0.685,-4.108,2.493,1.000
20.221,-0.754,-4.341,2.463,1.000
20.321,-0.821,-4.578,2.461,1.000
20.421,-0.888,-4.825,2.510,1.000
20.521,-0.955,-5.083,2.588,1.000
20.621,-1.023,-5.347,2.655,1.000
20.721,-1.091,-5.608,2.674,1.000
20.821,-1.505,-6.337,2.807,1.000
20.921,-1.599,-6.602,2.813,1.000
21.021,-1.691,-6.872,2.835,1.000
21.121,-1.779,-7.153,2.889,1.000
21.221,-1.866,-7.441,2.952,1.000
21.321,-1.953,-7.728,2.977,1.000
21.421,-2.043,-8.019,3.012,1.000
21.521,-2.137,-8.304,3.008,1.000
21.621,-2.241,-8.592,3.030,1.000
21.721,-2.353,-8.889,3.099,1.000
21.821,-2.745,-9.597,3.245,1.000
21.921,-2.868,-9.898,3.248,0.999
22.021,-2.994,-10.197,3.248,0.999
22.121,-3.122,-10.489,3.211,1.003
22.221,-3.250,-10.777,3.178,1.006
22.321,-3.379,-11.063,3.152,1.007
22.421,-3.506,-11.352,3.153,1.007
22.521,-3.629,-11.640,3.146,1.007
22.621,-3.755,-11.926,3.130,1.007
22.721,-3.888,-12.206,3.115,1.007
22.821,-4.260,-12.827,3.145,1.012
22.921,-4.412,-13.102,3.138,1.012
23.021,-4.570,-13.371,3.128,1.012
23.121,-4.732,-13.643,3.152,1.012
23.221,-4.895,-13.916,3.167,1.012
23.321,-5.064,-14.186,3.180,1.012
23.421,-5.241,-14.459,3.219,1.011
23.521,-5.420,-14.731,3.236,1.011
23.621,-5.605,-15.002,3.259,1.011
23.721,-5.794,-15.270,3.271,1.011
23.821,-6.226,-15.881,3.378,1.023
23.921,-6.428,-16.151,3.380,1.023
24.021,-6.635,-16.424,3.443,1.021
24.121,-6.848,-16.700,3.486,1.020
24.221,-7.068,-16.976,3.524,1.020
24.321,-7.293,-17.250,3.536,1.020
24.421,-7.522,-17.519,3.535,1.020
24.521,-7.761,-17.790,3.578,1.019
24.621,-8.006,-18.061,3.622,1.019
24.721,-8.257,-18.329,3.651,1.019
24.821,-8.682,-18.803,3.655,1.018
24.921,-8.933,-19.067,3.674,1.017
25.021,-9.185,-19.335,3.688,1.017
25.121,-9.434,-19.607,3.686,1.017
25.221,-9.684,-19.881,3.703,1.016
25.321,-9.932,-20.157,3.709,1.016
25.421,-10.180,-20.432,3.707,1.016
25.521,-10.427,-20.704,3.689,1.016
25.621,-10.674,-20.972,3.663,1.016
25.721,-10.923,-21.242,3.669,1.016
25.821,-11.313,-21.662,3.640,1.015
25.921,-11.564,-21.925,3.654,1.015
26.021,-11.820,-22.186,3.669,1.014
26.121,-12.082,-22.444,3.677,1.014
26.221,-12.345,-22.699,3.668,1.014
26.321,-12.609,-22.952,3.661,1.014
