t_s,x_m,y_m,v,k
13.297,0.253,0.268,0.000,1.000
13.597,0.253,0.268,0.000,1.000
13.797,0.253,0.268,0.000,1.000
14.197,0.253,0.268,0.000,1.000
17.597,-0.047,0.134,1.455,1.000
17.697,0.135,0.579,1.326,1.000
17.797,0.195,0.686,1.250,1.000
17.897,0.250,0.782,1.168,1.000
17.997,0.314,0.892,1.216,1.000
18.097,0.380,1.008,1.268,1.000
18.197,0.455,1.143,1.385,1.000
18.297,0.535,1.294,1.513,1.000
18.397,0.619,1.453,1.623,1.000
18.497,0.717,1.638,1.804,1.000
18.597,0.816,1.821,1.909,1.000
18.697,1.249,2.547,2.384,1.000
18.797,1.362,2.752,2.364,1.000
18.897,1.476,2.956,2.349,1.000
18.997,1.589,3.158,2.333,1.000
19.097,1.702,3.356,2.312,1.000
19.197,1.826,3.567,2.369,1.000
19.297,1.954,3.779,2.409,1.000
19.397,2.082,3.994,2.447,1.000
19.497,2.207,4.207,2.455,1.000
19.597,2.319,4.404,2.384,1.000
19.697,2.797,5.044,2.566,1.000
19.797,2.933,5.254,2.542,1.000
19.897,3.069,5.475,2.564,1.000
19.997,3.212,5.711,2.649,1.000
20.097,3.359,5.956,2.730,1.000
20.197,3.518,6.209,2.835,1.000
20.297,3.692,6.470,2.954,1.000
20.397,3.880,6.749,3.112,1.000
20.497,4.092,7.055,3.346,1.000
20.597,4.316,7.368,3.534,1.000
20.697,4.974,8.185,4.079,1.000
20.797,5.230,8.518,4.132,1.000
20.897,5.495,8.856,4.204,1.000
20.997,5.765,9.196,4.260,1.000
21.097,6.033,9.541,4.305,1.000
21.197,6.288,9.893,4.323,1.000
21.297,6.536,10.249,4.328,1.000
21.397,6.784,10.615,4.365,1.000
21.497,7.038,10.982,4.401,1.000
21.597,7.304,11.337,4.417,1.000
21.697,7.935,12.075,4.542,1.000
21.797,8.226,12.420,4.530,1.000
21.897,8.524,12.764,4.540,1.000
21.997,8.827,13.105,4.547,1.000
22.097,9.130,13.456,4.583,1.000
22.197,9.435,13.818,4.643,1.000
22.297,9.739,14.196,4.727,1.000
22.397,10.053,14.577,4.807,1.000
22.497,10.374,14.958,4.875,1.000
22.597,10.712,15.330,4.930,1.000
22.697,11.425,16.042,5.144,1.000
22.797,11.776,16.402,5.093,1.000
22.897,12.126,16.758,5.048,1.000
22.997,12.468,17.116,5.009,1.000
23.097,12.811,17.486,5.024,1.000
23.197,13.138,17.854,4.984,1.000
23.297,13.454,18.224,4.938,1.000
23.397,13.784,18.602,4.969,1.000
23.497,14.124,18.979,5.009,1.000
23.597,14.464,19.342,4.997,1.000
23.697,15.143,19.994,5.147,1.000
23.797,15.520,20.374,5.236,1.000
23.897,15.895,20.762,5.304,1.000
23.997,16.265,21.165,5.374,1.000
24.097,16.625,21.573,5.401,1.000
24.197,16.982,21.992,5.443,1.000
24.297,17.348,22.404,5.470,1.000
24.397,17.724,22.809,5.488,1.000
24.497,18.090,23.213,5.475,1.000
24.597,18.454,23.614,5.456,1.000
24.697,19.141,24.282,5.560,1.000
24.797,19.515,24.693,5.558,1.001
24.897,19.881,25.111,5.556,1.002
24.997,20.246,25.548,5.631,0.989
25.097,20.613,25.988,5.691,0.982
25.197,20.978,26.429,5.711,0.981
25.297,21.333,26.879,5.720,0.980
25.397,21.690,27.333,5.754,0.979
25.497,22.043,27.790,5.764,0.978
25.597,22.383,28.259,5.775,0.978
25.697,23.076,29.089,6.017,1.004
25.797,23.411,29.589,6.026,1.003
25.897,23.742,30.091,6.006,1.004
25.997,24.083,30.578,5.953,1.005
26.097,24.430,31.059,5.940,1.005
26.197,24.780,31.533,5.919,1.006
26.297,25.103,32.027,5.910,1.006
26.397,25.421,32.526,5.913,1.006
26.497,25.721,33.028,5.884,1.006
26.597,26.016,33.540,5.896,1.006
26.697,26.678,34.491,6.159,1.026
26.797,27.025,35.034,6.196,1.026
26.897,27.357,35.554,6.193,1.026
26.997,27.682,36.092,6.209,1.026
27.097,28.007,36.642,6.244,1.026
27.197,28.312,37.199,6.269,1.026
27.297,28.602,37.749,6.255,1.026
27.397,28.893,38.300,6.250,1.026
27.497,29.194,38.844,6.239,1.026
27.597,29.501,39.385,6.233,1.026
27.697,30.045,40.279,6.432,1.026
27.797,30.341,40.858,6.459,1.026
27.897,30.618,41.406,6.336,1.026
27.997,30.904,41.979,6.365,1.026
28.097,31.194,42.558,6.406,1.026
28.197,31.475,43.140,6.429,1.026
28.297,31.741,43.734,6.456,1.026
28.397,31.991,44.349,6.525,1.026
28.497,32.233,44.966,6.562,1.026
28.597,32.447,45.533,6.380,1.026
28.697,32.893,46.452,6.515,1.026
28.797,33.137,47.043,6.463,1.033
28.897,33.384,47.642,6.472,1.033
28.997,33.623,48.243,6.468,1.033
29.097,33.849,48.854,6.490,1.032
