t_s,x_m,y_m,v,k
13.297,0.253,0.268,0.000,1.000
13.597,0.253,0.268,0.000,1.000
13.797,0.253,0.268,0.000,1.000
14.197,0.253,0.268,0.000,1.000
17.597,-0.047,0.134,1.455,1.000
17.697,0.135,0.579,1.326,1.000
17.797,0.195,0.686,1.250,1.000
17.897,0.250,0.782,1.168,1.000
17.997,0.314,0.892,1.216,1.000
18.097,0.380,1.008,1.268,1.000
18.197,0.455,1.143,1.385,1.000
18.297,0.535,1.294,1.513,1.000
18.397,0.619,1.453,1.623,1.000
18.497,0.717,1.638,1.804,1.000
18.597,0.816,1.821,1.909,1.000
18.697,1.249,2.547,2.384,1.000
18.797,1.362,2.752,2.364,1.000
18.897,1.476,2.956,2.349,1.000
18.997,1.589,3.158,2.333,1.000
19.097,1.702,3.356,2.312,1.000
19.197,1.826,3.567,2.369,1.000
19.297,1.954,3.779,2.409,1.000
19.397,2.082,3.994,2.447,1.000
19.497,2.207,4.207,2.455,1.000
19.597,2.319,4.404,2.384,1.000
19.697,2.797,5.044,2.566,1.000
19.797,2.933,5.254,2.542,1.000
19.897,3.069,5.475,2.564,1.000
19.997,3.212,5.711,2.649,1.000
20.097,3.359,5.956,2.730,1.000
20.197,3.518,6.209,2.835,1.000
20.297,3.692,6.470,2.954,1.000
20.397,3.880,6.749,3.112,1.000
20.497,4.092,7.055,3.346,1.000
20.597,4.316,7.368,3.534,1.000
20.697,4.974,8.185,4.079,1.000
20.797,5.230,8.518,4.132,1.000
20.897,5.495,8.856,4.204,1.000
20.997,5.765,9.196,4.260,1.000
21.097,6.033,9.541,4.305,1.000
21.197,6.288,9.893,4.323,1.000
21.297,6.536,10.249,4.328,1.000
21.397,6.784,10.615,4.365,1.000
21.497,7.038,10.982,4.401,1.000
21.597,7.304,11.337,4.417,1.000
21.697,7.935,12.075,4.542,1.000
21.797,8.226,12.420,4.530,1.000
21.897,8.524,12.764,4.540,1.000
21.997,8.827,13.105,4.547,1.000
22.097,9.130,13.456,4.583,1.000
22.197,9.435,13.818,4.643,1.000
22.297,9.739,14.196,4.727,1.000
22.397,10.053,14.577,4.807,1.000
22.497,10.374,14.958,4.875,1.000
22.597,10.712,15.330,4.930,1.000
22.697,11.425,16.042,5.144,1.000
22.797,11.776,16.402,5.093,1.000
22.897,12.126,16.758,5.048,1.000
22.997,12.468,17.116,5.009,1.000
23.097,12.811,17.486,5.024,1.000
23.197,13.138,17.854,4.984,1.000
23.297,13.454,18.224,4.938,1.000
23.397,13.784,18.602,4.969,1.000
23.497,14.124,18.979,5.009,1.000
23.597,14.464,19.342,4.997,1.000
23.697,15.143,19.994,5.147,1.000
23.797,15.520,20.374,5.236,1.000
23.897,15.895,20.762,5.304,1.000
23.997,16.265,21.165,5.374,1.000
24.097,16.625,21.573,5.401,1.000
24.197,16.982,21.992,5.443,1.000
24.297,17.348,22.404,5.470,1.000
24.397,17.724,22.809,5.488,1.000
24.497,18.090,23.213,5.475,1.000
24.597,18.454,23.614,5.456,1.000
24.697,19.141,24.282,5.560,1.000
24.797,19.515,24.693,5.556,1.000
24.897,19.880,25.110,5.553,1.000
24.997,20.254,25.557,5.665,1.000
25.097,20.632,26.009,5.759,1.000
25.197,21.005,26.459,5.795,1.000
25.297,21.367,26.919,5.815,1.000
25.397,21.734,27.385,5.861,1.000
25.497,22.095,27.852,5.877,1.000
25.597,22.442,28.332,5.893,1.000
25.697,23.075,29.087,6.030,1.000
25.797,23.411,29.589,6.033,1.000
25.897,23.739,30.087,6.003,1.000
25.997,24.074,30.566,5.938,1.000
26.097,24.418,31.044,5.919,1.000
26.197,24.766,31.515,5.894,1.000
26.297,25.086,32.006,5.882,1.000
26.397,25.403,32.502,5.883,1.000
26.497,25.700,33.000,5.853,1.000
26.597,25.994,33.510,5.864,1.000
26.697,26.549,34.310,6.032,1.000
26.797,26.876,34.824,6.053,1.000
26.897,27.200,35.333,6.046,1.000
26.997,27.514,35.853,6.058,1.000
27.097,27.826,36.381,6.090,1.000
27.197,28.121,36.921,6.112,1.000
27.297,28.404,37.458,6.098,1.000
27.397,28.688,37.996,6.092,1.000
27.497,28.982,38.526,6.080,1.000
27.597,29.281,39.054,6.074,1.000
27.697,29.820,39.937,6.302,1.000
27.797,30.108,40.503,6.321,1.000
27.897,30.380,41.039,6.191,1.000
27.997,30.659,41.598,6.215,1.000
28.097,30.941,42.162,6.253,1.000
28.197,31.215,42.730,6.272,1.000
28.297,31.474,43.308,6.297,1.000
28.397,31.718,43.908,6.364,1.000
28.497,31.953,44.509,6.399,1.000
28.597,32.163,45.062,6.216,1.000
28.697,32.613,45.986,6.381,1.000
28.797,32.850,46.561,6.311,1.000
28.897,33.090,47.143,6.308,1.000
28.997,33.322,47.726,6.293,1.000
29.097,33.542,48.320,6.311,1.000
