t_s,x_m,y_m,v,k
13.599,-0.270,-0.450,0.000,1.000
13.899,-0.270,-0.450,0.000,1.000
14.299,-0.270,-0.450,0.000,1.000
14.399,-0.270,-0.450,0.000,1.000
17.599,0.111,0.585,1.582,1.000
17.699,0.111,0.585,1.441,1.000
17.799,0.111,0.585,1.334,1.000
17.899,0.111,0.585,1.047,1.000
17.999,0.111,0.585,1.021,1.000
18.099,0.111,0.585,1.002,1.000
18.199,0.111,0.585,0.999,1.000
18.299,0.111,0.585,1.091,1.000
18.399,0.111,0.585,1.167,1.000
18.499,0.008,1.046,1.118,1.000
18.599,0.008,1.046,1.186,1.000
18.699,0.008,1.046,1.292,1.000
18.799,0.008,1.046,1.728,1.000
18.899,0.008,1.046,2.144,1.000
18.999,0.008,1.046,2.330,1.000
19.099,0.008,1.046,2.428,1.000
19.199,0.008,1.046,2.495,1.000
19.299,0.008,1.046,2.536,1.000
19.399,0.008,1.046,2.562,1.000
19.499,-0.520,1.431,2.696,1.000
19.599,-0.360,1.643,2.643,1.000
19.699,-0.204,1.851,2.601,1.000
19.799,-0.044,2.064,2.643,1.000
19.899,0.118,2.280,2.684,1.000
19.999,0.294,2.515,2.822,1.000
20.099,0.475,2.756,2.927,1.000
20.199,0.673,3.019,3.116,1.000
20.299,0.876,3.289,3.244,1.000
20.399,1.066,3.543,3.210,1.000
20.499,1.231,4.371,3.175,1.000
20.599,1.420,4.623,3.156,1.000
20.699,1.599,4.861,3.059,1.000
20.799,1.784,5.108,3.074,1.000
20.899,1.967,5.352,3.061,1.000
20.999,2.149,5.593,3.043,1.000
21.099,2.335,5.841,3.070,1.000
21.199,2.520,6.088,3.081,1.000
21.299,2.710,6.341,3.118,1.000
21.399,2.902,6.596,3.154,1.000
21.499,3.332,6.608,3.067,1.000
21.599,3.539,6.830,3.055,1.000
21.699,3.748,7.054,3.055,1.000
21.799,3.959,7.279,3.071,1.000
21.899,4.175,7.511,3.121,1.000
21.999,4.393,7.744,3.157,1.000
22.099,4.617,7.984,3.220,1.000
22.199,4.840,8.224,3.245,1.000
22.299,5.056,8.454,3.203,1.000
22.399,5.270,8.684,3.177,1.000
22.499,6.010,8.816,3.194,1.000
22.599,6.227,9.048,3.185,1.000
22.699,6.445,9.283,3.195,1.000
22.799,6.670,9.524,3.248,1.000
22.899,6.896,9.765,3.276,1.000
22.999,7.124,10.010,3.314,1.000
23.099,7.349,10.251,3.303,1.000
23.199,7.574,10.491,3.299,1.000
