t_s,x_m,y_m,v,k
13.194,-0.073,-0.020,0.000,1.000
13.293,-0.073,-0.020,0.000,1.000
13.793,-0.072,-0.020,0.000,1.000
13.893,-0.072,-0.020,0.000,1.000
17.593,-0.039,-0.034,1.117,1.000
17.694,-0.208,-0.137,1.354,1.000
17.794,-0.208,-0.137,1.279,1.000
17.893,-0.208,-0.137,1.231,1.000
17.994,-0.208,-0.137,1.194,1.000
18.093,-0.208,-0.137,1.234,1.000
18.194,-0.208,-0.137,1.296,1.000
18.294,-0.208,-0.137,1.423,1.000
18.393,-0.208,-0.137,1.522,1.000
18.494,-0.208,-0.137,1.534,1.000
18.593,-0.208,-0.137,1.539,1.000
18.694,-0.712,-0.325,1.726,1.000
18.794,-0.712,-0.325,1.697,1.000
18.893,-0.712,-0.325,1.642,1.000
18.994,-0.712,-0.325,1.651,1.000
19.093,-0.712,-0.325,1.661,1.000
19.194,-0.712,-0.325,1.718,1.000
19.294,-0.712,-0.325,1.783,1.000
19.393,-0.712,-0.325,1.856,1.000
19.494,-0.712,-0.325,1.869,1.000
19.593,-0.712,-0.325,1.915,1.000
19.694,-1.049,-0.808,2.112,1.000
19.794,-1.128,-1.006,2.133,1.000
19.893,-1.206,-1.200,2.097,1.000
19.994,-1.283,-1.392,2.079,1.000
20.093,-1.356,-1.573,2.007,1.000
20.194,-1.429,-1.755,1.983,1.000
20.294,-1.501,-1.933,1.952,1.000
20.393,-1.587,-2.147,2.114,1.000
20.494,-1.679,-2.377,2.277,1.000
20.593,-1.781,-2.631,2.475,1.000
20.694,-2.079,-3.607,2.878,1.000
20.794,-2.191,-3.885,2.936,1.000
20.893,-2.301,-4.159,2.943,1.000
20.994,-2.413,-4.438,2.970,1.000
21.093,-2.526,-4.718,2.995,1.000
21.194,-2.639,-5.001,3.015,1.000
21.294,-2.753,-5.284,3.031,1.000
21.393,-2.868,-5.570,3.054,1.000
21.494,-2.987,-5.866,3.111,1.000
21.593,-3.108,-6.167,3.167,1.000
21.694,-3.562,-7.036,3.400,1.000
21.794,-3.789,-7.565,3.406,1.000
21.893,-3.928,-7.878,3.413,1.000
21.994,-4.068,-8.193,3.431,1.000
22.093,-4.215,-8.523,3.512,1.000
22.194,-4.362,-8.853,3.556,1.000
22.294,-4.511,-9.189,3.605,1.000
22.393,-4.659,-9.523,3.628,1.000
22.494,-4.808,-9.857,3.641,1.000
22.593,-4.960,-10.200,3.686,1.000
22.694,-5.546,-10.991,3.873,1.000
22.794,-5.704,-11.346,3.875,1.000
22.893,-5.862,-11.703,3.890,1.000
22.994,-6.021,-12.061,3.904,1.000
23.093,-6.181,-12.420,3.914,1.000
23.194,-6.341,-12.779,3.922,1.000
23.294,-6.500,-13.138,3.925,1.000
23.393,-6.660,-13.499,3.936,1.000
23.494,-6.821,-13.861,3.943,1.000
23.593,-6.981,-14.221,3.942,1.000
23.694,-7.714,-14.804,4.047,1.000
23.794,-7.877,-15.171,4.035,1.005
23.893,-8.041,-15.539,4.032,1.005
23.994,-8.204,-15.908,4.031,1.005
24.093,-8.368,-16.275,4.026,1.006
24.194,-8.532,-16.644,4.032,1.005
24.294,-9.420,-18.127,4.044,1.005
24.393,-9.665,-18.453,4.059,1.004
24.494,-9.912,-18.781,4.082,1.004
24.593,-10.162,-19.113,4.119,1.003
24.694,-10.769,-19.767,4.389,1.029
24.794,-11.032,-20.116,4.346,1.031
24.893,-11.292,-20.462,4.328,1.032
24.994,-11.552,-20.808,4.332,1.032
25.093,-11.823,-21.167,4.431,1.030
25.194,-12.097,-21.532,4.505,1.029
25.294,-12.372,-21.898,4.550,1.028
25.393,-12.650,-22.268,4.590,1.028
25.494,-12.935,-22.646,4.663,1.027
25.593,-13.222,-23.028,4.723,1.026
25.694,-15.024,-24.467,5.009,1.049
25.794,-15.413,-24.780,5.026,1.048
25.893,-15.805,-25.094,5.063,1.047
25.994,-16.201,-25.412,5.080,1.046
26.093,-16.598,-25.731,5.090,1.046
26.194,-16.998,-26.052,5.117,1.046
26.294,-17.399,-26.374,5.138,1.046
26.393,-17.803,-26.698,5.160,1.046
26.494,-18.206,-27.022,5.162,1.046
26.593,-18.609,-27.345,5.166,1.046
26.694,-19.163,-27.769,5.162,1.044
26.794,-19.566,-28.093,5.151,1.044
26.893,-19.968,-28.415,5.179,1.044
26.994,-20.371,-28.739,5.176,1.044
27.093,-20.773,-29.062,5.154,1.044
27.194,-21.179,-29.387,5.185,1.044
27.294,-21.583,-29.712,5.183,1.044
27.393,-22.841,-30.502,5.183,1.044
27.494,-23.295,-30.748,5.175,1.044
27.593,-23.744,-30.991,5.148,1.044
27.694,-24.720,-30.356,5.074,1.041
27.794,-25.168,-30.599,5.055,1.041
27.893,-25.612,-30.840,5.040,1.042
27.994,-26.055,-31.080,5.044,1.042
28.093,-26.497,-31.320,5.022,1.042
28.194,-26.938,-31.559,5.024,1.042
28.294,-27.383,-31.800,5.039,1.042
28.393,-27.822,-32.038,5.020,1.042
28.494,-28.254,-32.272,4.970,1.042
28.593,-28.687,-32.506,4.950,1.042
28.694,-29.236,-32.451,4.837,1.037
28.794,-29.658,-32.679,4.872,1.036
28.893,-30.087,-32.912,4.816,1.037
28.994,-30.509,-33.141,4.801,1.037
29.093,-30.929,-33.368,4.775,1.037
29.194,-31.350,-33.596,4.786,1.037
29.294,-31.773,-33.826,4.802,1.037
29.393,-32.198,-34.056,4.815,1.037
29.494,-32.612,-34.280,4.763,1.037
29.593,-33.019,-34.501,4.711,1.037
29.694,-34.292,-34.535,4.728,1.042
29.794,-34.739,-34.700,4.698,1.042
29.893,-35.179,-34.864,4.718,1.042
29.994,-35.621,-35.028,4.717,1.042
30.093,-36.061,-35.191,4.692,1.042
30.194,-36.498,-35.353,4.673,1.042
30.294,-36.938,-35.516,4.683,1.042
30.393,-37.381,-35.680,4.701,1.042
30.494,-37.822,-35.844,4.704,1.042
30.593,-38.265,-36.008,4.713,1.042
30.694,-38.720,-36.448,4.752,1.045
30.794,-39.167,-36.613,4.746,1.045
30.893,-39.612,-36.778,4.755,1.045
30.994,-40.057,-36.943,4.745,1.045
31.093,-40.502,-37.109,4.750,1.045
31.194,-40.951,-37.275,4.778,1.044
31.294,-41.401,-37.442,4.787,1.044
31.393,-41.853,-37.609,4.805,1.044
31.494,-42.306,-37.778,4.822,1.044
31.593,-42.762,-37.946,4.838,1.044
31.694,-43.254,-38.349,4.837,1.047
31.794,-43.706,-38.516,4.847,1.047
31.893,-44.161,-38.685,4.835,1.047
31.994,-44.614,-38.853,4.822,1.047
32.093,-45.064,-39.020,4.803,1.047
32.194,-45.510,-39.185,4.770,1.047
32.294,-45.953,-39.349,4.747,1.047
32.394,-46.402,-39.516,4.764,1.047
32.493,-46.850,-39.682,4.772,1.047
32.593,-47.295,-39.847,4.761,1.047
32.694,-47.942,-39.797,4.778,1.049
32.794,-48.390,-39.963,4.779,1.049
32.894,-49.418,-40.292,4.723,1.050
32.993,-49.879,-40.383,4.680,1.050
