t_s,x_m,y_m,v,k
13.194,-0.073,-0.020,0.000,1.000
13.293,-0.073,-0.020,0.000,1.000
13.793,-0.072,-0.020,0.000,1.000
13.893,-0.072,-0.020,0.000,1.000
17.593,-0.039,-0.034,1.117,1.000
17.694,-0.208,-0.137,1.354,1.000
17.794,-0.208,-0.137,1.279,1.000
17.893,-0.208,-0.137,1.231,1.000
17.994,-0.208,-0.137,1.194,1.000
18.093,-0.208,-0.137,1.234,1.000
18.194,-0.208,-0.137,1.296,1.000
18.294,-0.208,-0.137,1.423,1.000
18.393,-0.208,-0.137,1.522,1.000
18.494,-0.208,-0.137,1.534,1.000
18.593,-0.208,-0.137,1.539,1.000
18.694,-0.712,-0.325,1.726,1.000
18.794,-0.712,-0.325,1.697,1.000
18.893,-0.712,-0.325,1.642,1.000
18.994,-0.712,-0.325,1.651,1.000
19.093,-0.712,-0.325,1.661,1.000
19.194,-0.712,-0.325,1.718,1.000
19.294,-0.712,-0.325,1.783,1.000
19.393,-0.712,-0.325,1.856,1.000
19.494,-0.712,-0.325,1.869,1.000
19.593,-0.712,-0.325,1.915,1.000
19.694,-1.049,-0.808,2.112,1.000
19.794,-1.128,-1.006,2.133,1.000
19.893,-1.206,-1.200,2.097,1.000
19.994,-1.283,-1.392,2.079,1.000
20.093,-1.356,-1.573,2.007,1.000
20.194,-1.429,-1.755,1.983,1.000
20.294,-1.501,-1.933,1.952,1.000
20.393,-1.587,-2.147,2.114,1.000
20.494,-1.679,-2.377,2.277,1.000
20.593,-1.781,-2.631,2.475,1.000
20.694,-2.079,-3.607,2.878,1.000
20.794,-2.191,-3.885,2.936,1.000
20.893,-2.301,-4.159,2.943,1.000
20.994,-2.413,-4.438,2.970,1.000
21.093,-2.526,-4.718,2.995,1.000
21.194,-2.639,-5.001,3.015,1.000
21.294,-2.753,-5.284,3.031,1.000
21.393,-2.868,-5.570,3.054,1.000
21.494,-2.987,-5.866,3.111,1.000
21.593,-3.108,-6.167,3.167,1.000
21.694,-3.562,-7.036,3.400,1.000
21.794,-3.789,-7.565,3.406,1.000
21.893,-3.928,-7.878,3.413,1.000
21.994,-4.068,-8.193,3.431,1.000
22.093,-4.215,-8.523,3.512,1.000
22.194,-4.362,-8.853,3.556,1.000
22.294,-4.511,-9.189,3.605,1.000
22.393,-4.659,-9.523,3.628,1.000
22.494,-4.808,-9.857,3.641,1.000
22.593,-4.960,-10.200,3.686,1.000
22.694,-5.546,-10.991,3.873,1.000
22.794,-5.704,-11.346,3.875,1.000
22.893,-5.862,-11.703,3.890,1.000
22.994,-6.021,-12.061,3.904,1.000
23.093,-6.181,-12.420,3.914,1.000
23.194,-6.341,-12.779,3.922,1.000
23.294,-6.500,-13.138,3.925,1.000
23.393,-6.660,-13.499,3.936,1.000
23.494,-6.821,-13.861,3.943,1.000
23.593,-6.981,-14.221,3.942,1.000
23.694,-7.714,-14.804,4.047,1.000
23.794,-7.877,-15.170,4.030,1.000
23.893,-8.040,-15.537,4.023,1.000
23.994,-8.203,-15.904,4.018,1.000
24.093,-8.365,-16.269,4.010,1.000
24.194,-8.528,-16.637,4.015,1.000
24.294,-9.415,-18.120,4.027,1.000
24.393,-9.659,-18.445,4.043,1.000
24.494,-9.906,-18.772,4.067,1.000
24.593,-10.156,-19.105,4.106,1.000
24.694,-10.717,-19.698,4.299,1.000
24.794,-10.968,-20.031,4.239,1.000
24.893,-11.219,-20.365,4.212,1.000
24.994,-11.472,-20.702,4.211,1.000
25.093,-11.739,-21.056,4.313,1.000
25.194,-12.009,-21.415,4.388,1.000
25.294,-12.279,-21.774,4.433,1.000
25.393,-12.551,-22.136,4.473,1.000
25.494,-12.831,-22.507,4.546,1.000
25.593,-13.113,-22.882,4.607,1.000
25.694,-13.857,-23.276,4.833,1.000
25.794,-15.148,-24.567,4.838,1.000
25.893,-15.531,-24.874,4.868,1.000
25.994,-15.912,-25.180,4.878,1.000
26.093,-16.293,-25.486,4.882,1.000
26.194,-16.678,-25.795,4.905,1.000
26.294,-17.064,-26.105,4.923,1.000
26.393,-17.451,-26.416,4.944,1.000
26.494,-17.837,-26.725,4.943,1.000
26.593,-18.223,-27.035,4.946,1.000
26.694,-18.799,-27.477,4.986,1.000
26.794,-19.184,-27.786,4.962,1.000
26.893,-19.574,-28.099,4.984,1.000
26.994,-19.961,-28.410,4.974,1.000
27.093,-20.345,-28.718,4.948,1.000
27.194,-20.735,-29.031,4.976,1.000
27.294,-21.123,-29.342,4.971,1.000
27.393,-21.510,-29.653,4.970,1.000
27.494,-22.738,-30.446,4.960,1.000
27.593,-23.168,-30.679,4.932,1.000
27.694,-24.202,-30.076,4.911,1.000
27.794,-24.628,-30.307,4.881,1.000
27.893,-25.053,-30.537,4.858,1.000
27.994,-25.479,-30.768,4.857,1.000
28.093,-25.901,-30.997,4.830,1.000
28.194,-26.326,-31.227,4.829,1.000
28.294,-26.753,-31.458,4.843,1.000
28.393,-27.175,-31.687,4.822,1.000
28.494,-27.588,-31.911,4.771,1.000
28.593,-28.003,-32.136,4.751,1.000
28.694,-28.658,-32.137,4.697,1.000
28.794,-29.076,-32.364,4.727,1.000
28.893,-29.479,-32.583,4.661,1.000
28.994,-29.886,-32.803,4.641,1.000
29.093,-30.288,-33.021,4.611,1.000
29.194,-30.695,-33.241,4.621,1.000
29.294,-31.104,-33.463,4.635,1.000
29.393,-31.514,-33.685,4.647,1.000
29.494,-31.911,-33.901,4.594,1.000
29.593,-32.304,-34.114,4.542,1.000
29.694,-33.070,-33.924,4.573,1.000
29.794,-33.464,-34.138,4.532,1.000
29.893,-34.326,-34.547,4.546,1.000
29.994,-34.751,-34.705,4.540,1.000
30.093,-35.171,-34.861,4.511,1.000
30.194,-35.589,-35.016,4.489,1.000
30.294,-36.012,-35.172,4.498,1.000
30.393,-36.437,-35.330,4.514,1.000
30.494,-36.861,-35.487,4.516,1.000
30.593,-37.286,-35.645,4.524,1.000
30.694,-37.733,-36.082,4.590,1.000
30.794,-38.160,-36.240,4.573,1.000
30.893,-38.589,-36.399,4.575,1.000
30.994,-39.014,-36.557,4.557,1.000
31.093,-39.442,-36.715,4.559,1.000
31.194,-39.874,-36.876,4.584,1.000
31.294,-40.306,-37.036,4.590,1.000
31.393,-40.739,-37.197,4.606,1.000
31.494,-41.175,-37.358,4.621,1.000
31.593,-41.612,-37.520,4.637,1.000
31.694,-42.088,-37.916,4.662,1.000
31.794,-42.525,-38.078,4.662,1.000
31.893,-42.958,-38.239,4.641,1.000
31.994,-43.389,-38.399,4.621,1.000
32.093,-43.817,-38.558,4.597,1.000
32.194,-44.240,-38.714,4.561,1.000
32.294,-44.663,-38.871,4.536,1.000
32.394,-45.092,-39.030,4.552,1.000
32.493,-45.520,-39.189,4.559,1.000
32.593,-45.945,-39.346,4.547,1.000
32.694,-46.595,-39.298,4.597,1.000
32.794,-47.024,-39.457,4.586,1.000
32.894,-47.441,-39.611,4.520,1.000
32.993,-47.854,-39.765,4.469,1.000
