t_s,x_m,y_m,v,k
13.088,0.035,-0.286,0.000,1.000
13.188,0.035,-0.286,0.000,1.000
14.088,0.035,-0.286,0.000,1.000
14.188,0.035,-0.286,0.000,1.000
17.588,-0.061,0.085,1.521,1.000
17.688,0.083,0.038,1.516,1.000
17.788,0.226,-0.011,1.514,1.000
17.888,0.369,-0.062,1.516,1.000
17.988,0.513,-0.118,1.526,1.000
18.088,0.656,-0.175,1.530,1.000
18.188,0.798,-0.233,1.531,1.000
18.288,0.939,-0.289,1.529,1.000
18.388,1.082,-0.343,1.529,1.000
18.488,1.013,-0.606,1.446,1.000
18.588,1.157,-0.651,1.463,1.000
18.688,1.307,-0.693,1.491,1.000
18.788,1.459,-0.731,1.514,1.000
18.888,1.617,-0.769,1.542,1.000
18.988,1.779,-0.807,1.575,1.000
19.088,1.945,-0.846,1.607,1.000
19.188,2.103,-0.882,1.611,1.000
19.288,2.258,-0.916,1.606,1.000
19.388,2.403,-0.944,1.576,1.000
19.488,2.006,-1.492,1.825,1.000
19.588,1.943,-1.658,1.780,1.000
19.688,1.884,-1.817,1.729,1.000
19.788,1.829,-1.969,1.674,1.000
19.888,1.778,-2.115,1.627,1.000
19.988,1.724,-2.265,1.612,1.000
20.088,1.666,-2.416,1.617,1.000
20.188,1.600,-2.562,1.610,1.000
20.288,1.522,-2.724,1.662,1.000
20.388,1.418,-2.938,1.852,1.000
20.488,0.761,-3.779,2.446,1.000
20.588,0.626,-4.005,2.499,1.000
20.688,0.490,-4.236,2.554,1.000
20.788,0.350,-4.473,2.609,1.000
20.888,0.205,-4.713,2.662,1.000
20.988,0.047,-4.970,2.756,1.000
21.088,-0.116,-5.234,2.843,1.000
21.188,-0.280,-5.502,2.915,1.000
21.288,-0.443,-5.776,2.980,1.000
21.388,-0.604,-6.062,3.051,1.000
21.488,-1.282,-7.025,3.586,1.000
21.588,-1.442,-7.340,3.569,1.000
21.688,-1.597,-7.655,3.555,1.000
21.788,-1.748,-7.974,3.547,1.000
21.888,-1.896,-8.295,3.544,1.000
21.988,-2.044,-8.620,3.553,1.000
22.088,-2.191,-8.945,3.557,1.000
22.188,-2.343,-9.266,3.554,1.000
22.288,-2.501,-9.584,3.554,1.000
22.388,-2.667,-9.902,3.560,1.000
22.488,-3.209,-10.703,3.665,1.000
22.588,-3.392,-11.021,3.664,1.000
22.688,-3.585,-11.335,3.670,1.000
22.788,-3.778,-11.648,3.672,1.000
22.888,-3.969,-11.956,3.660,1.000
22.988,-4.159,-12.259,3.639,1.000
23.088,-4.358,-12.578,3.669,1.000
23.188,-4.560,-12.894,3.687,1.000
23.288,-4.757,-13.193,3.664,1.000
23.388,-4.971,-13.504,3.688,1.000
23.488,-5.533,-14.281,3.880,1.000
23.588,-5.762,-14.588,3.866,1.000
23.688,-5.996,-14.897,3.869,1.000
23.788,-6.234,-15.205,3.876,1.000
23.888,-6.474,-15.512,3.879,1.000
23.988,-6.717,-15.816,3.885,1.000
24.088,-6.978,-16.142,3.955,1.000
24.188,-7.245,-16.465,4.010,1.000
24.288,-7.527,-16.787,4.074,1.000
24.388,-7.821,-17.109,4.139,1.000
24.488,-8.454,-17.874,4.397,1.000
24.588,-8.757,-18.197,4.405,1.000
24.688,-9.057,-18.521,4.409,1.000
24.788,-9.336,-18.832,4.348,1.000
24.888,-9.638,-19.174,4.402,1.000
24.988,-9.963,-19.532,4.511,1.000
25.088,-10.306,-19.887,4.614,1.000
25.188,-10.661,-20.235,4.698,1.000
25.288,-11.027,-20.582,4.778,1.000
25.388,-11.391,-20.914,4.813,1.000
25.488,-12.056,-21.622,4.968,1.000
25.588,-12.432,-21.941,4.957,1.000
25.688,-12.810,-22.258,4.951,1.000
25.788,-13.202,-22.585,4.991,1.000
25.888,-13.596,-22.909,5.019,1.000
25.988,-13.993,-23.200,4.996,1.000
26.088,-14.418,-23.482,5.020,1.000
26.188,-14.859,-23.750,5.054,1.000
26.288,-15.309,-24.015,5.092,1.000
26.388,-16.016,-24.555,5.151,1.000
26.488,-16.467,-24.814,5.165,1.000
26.588,-16.916,-25.075,5.172,1.000
26.688,-17.367,-25.342,5.190,1.000
26.788,-17.813,-25.613,5.197,1.000
26.888,-18.249,-25.891,5.191,1.000
26.988,-18.681,-26.178,5.191,1.000
27.088,-19.103,-26.458,5.160,1.000
27.188,-19.526,-26.733,5.133,1.000
27.288,-19.961,-27.013,5.143,1.000
27.388,-20.364,-27.270,5.061,1.000
27.488,-20.945,-27.740,4.946,1.000
27.588,-21.356,-27.995,4.918,1.000
27.688,-21.763,-28.256,4.897,1.000
27.788,-22.161,-28.517,4.862,1.000
27.888,-22.562,-28.771,4.832,1.000
27.988,-22.971,-29.022,4.824,1.000
28.088,-23.376,-29.259,4.792,1.000
28.188,-23.786,-29.486,4.767,1.000
28.288,-24.195,-29.697,4.730,1.000
28.388,-24.813,-30.151,4.794,1.000
28.488,-25.229,-30.359,4.755,1.000
28.588,-25.643,-30.558,4.713,1.000
28.688,-26.058,-30.756,4.683,1.000
28.788,-26.473,-30.955,4.664,1.000
28.888,-26.891,-31.150,4.650,1.000
28.988,-27.312,-31.336,4.638,1.000
29.088,-27.736,-31.514,4.630,1.000
29.188,-28.163,-31.693,4.629,1.000
29.288,-28.586,-31.877,4.625,1.000
29.388,-29.010,-32.063,4.626,1.000
29.488,-29.694,-32.498,4.818,1.000
29.588,-30.136,-32.686,4.814,1.000
29.688,-30.584,-32.882,4.833,1.000
29.788,-31.032,-33.086,4.857,1.000
29.888,-31.470,-33.295,4.855,1.000
29.988,-31.916,-33.513,4.882,1.000
30.088,-32.369,-33.732,4.918,1.000
30.188,-32.825,-33.936,4.936,1.000
30.288,-33.288,-34.118,4.946,1.000
30.388,-33.752,-34.288,4.945,1.000
30.488,-34.486,-34.714,5.145,1.000
30.588,-34.970,-34.890,5.147,1.000
30.688,-35.458,-35.058,5.150,1.000
30.788,-35.945,-35.215,5.140,1.000
30.888,-36.436,-35.364,5.139,1.000
30.988,-36.926,-35.497,5.123,1.000
31.088,-37.410,-35.622,5.093,1.000
31.188,-37.883,-35.744,5.046,1.000
31.288,-38.368,-35.866,5.035,1.000
31.388,-38.856,-35.988,5.034,1.000
31.488,-39.561,-36.322,5.094,1.000
31.588,-40.048,-36.454,5.080,1.000
31.688,-40.531,-36.577,5.057,1.000
31.788,-41.019,-36.680,5.037,1.000
31.888,-41.502,-36.764,5.005,1.000
31.988,-41.998,-36.843,5.009,1.000
32.088,-42.490,-36.917,5.000,1.000
32.188,-42.983,-36.997,4.999,1.000
32.288,-43.472,-37.083,4.991,1.000
32.388,-44.235,-37.382,5.130,1.000
32.488,-44.737,-37.491,5.132,1.000
32.588,-45.228,-37.596,5.103,1.000
32.688,-45.729,-37.693,5.104,1.000
32.788,-46.231,-37.777,5.099,1.000
32.888,-46.738,-37.850,5.105,1.000
32.988,-47.245,-37.925,5.110,1.000
33.088,-47.742,-38.012,5.094,1.000
33.188,-48.241,-38.111,5.093,1.000
33.288,-48.745,-38.214,5.104,1.000
33.388,-49.239,-38.308,5.088,1.000
33.488,-49.998,-38.572,5.182,1.000
33.588,-50.503,-38.646,5.162,1.000
33.688,-51.008,-38.707,5.143,1.000
33.788,-51.511,-38.753,5.121,1.000
33.888,-52.009,-38.789,5.089,1.000
33.988,-52.505,-38.829,5.061,1.000
34.088,-52.991,-38.874,5.018,1.000
34.188,-53.501,-38.917,5.041,1.000
34.288,-54.005,-38.943,5.042,1.000
34.388,-54.736,-39.108,5.070,1.000
34.488,-55.235,-39.097,5.048,1.000
34.588,-55.738,-39.065,5.048,1.000
34.688,-56.248,-39.016,5.067,1.000
34.788,-56.743,-38.949,5.048,1.000
34.888,-57.231,-38.875,5.021,1.000
34.988,-57.726,-38.794,5.020,1.000
35.088,-58.221,-38.702,5.022,1.000
35.188,-58.691,-38.594,4.976,1.000
35.288,-59.171,-38.458,4.980,1.000
35.388,-59.871,-38.403,5.038,1.000
35.488,-60.343,-38.218,5.046,1.000
35.588,-60.809,-38.008,5.062,1.000
35.688,-61.250,-37.777,5.042,1.000
35.788,-61.681,-37.516,5.041,1.000
35.888,-62.089,-37.232,5.024,1.000
35.988,-62.471,-36.929,4.987,1.000
36.088,-62.858,-36.599,5.011,1.000
36.188,-63.239,-36.256,5.038,1.000
36.288,-63.605,-35.901,5.051,1.000
36.388,-64.103,-35.620,4.997,1.000
36.488,-64.433,-35.244,4.999,1.000
36.588,-64.761,-34.857,5.020,1.000
36.688,-65.087,-34.466,5.037,1.000
36.788,-65.415,-34.075,5.054,1.000
36.888,-65.748,-33.684,5.074,1.000
36.988,-66.083,-33.297,5.085,1.000
37.088,-66.404,-32.940,5.018,1.000
37.188,-66.752,-32.570,5.033,1.000
37.288,-67.105,-32.216,5.024,1.000
37.388,-67.470,-31.880,5.011,1.000
37.488,-67.921,-31.696,4.766,1.000
37.588,-68.290,-31.424,4.721,1.000
37.688,-68.694,-31.166,4.740,1.000
37.788,-69.095,-30.957,4.684,1.000
37.888,-69.525,-30.766,4.688,1.000
37.988,-69.966,-30.608,4.688,1.000
38.088,-70.408,-30.488,4.660,1.000
38.188,-70.846,-30.404,4.613,1.000
38.288,-71.312,-30.345,4.632,1.000
38.388,-71.780,-30.315,4.646,1.000
38.488,-72.369,-30.447,4.565,1.000
38.588,-72.835,-30.483,4.594,1.000
38.688,-73.298,-30.558,4.621,1.000
38.788,-73.754,-30.677,4.646,1.000
38.888,-74.196,-30.833,4.658,1.000
38.988,-74.628,-31.016,4.665,1.000
39.088,-75.051,-31.217,4.670,1.000
39.188,-75.457,-31.439,4.659,1.000
39.288,-75.842,-31.694,4.649,1.000
39.388,-76.395,-32.201,4.826,1.000
39.488,-76.741,-32.515,4.784,1.000
39.588,-77.062,-32.854,4.751,1.000
39.688,-77.351,-33.213,4.711,1.000
39.788,-77.610,-33.591,4.677,1.000
39.888,-77.851,-33.983,4.655,1.000
39.988,-78.084,-34.377,4.637,1.000
40.088,-78.321,-34.775,4.635,1.000
40.188,-78.559,-35.166,4.620,1.000
40.288,-78.812,-35.549,4.614,1.000
40.388,-79.072,-35.929,4.612,1.000
40.488,-79.420,-36.568,4.734,1.000
40.588,-79.690,-36.946,4.712,1.000
40.688,-79.977,-37.332,4.738,1.000
40.788,-80.279,-37.722,4.787,1.000
40.888,-80.598,-38.107,4.841,1.000
40.988,-80.924,-38.479,4.867,1.000
41.088,-81.256,-38.835,4.866,1.000
41.188,-81.615,-39.191,4.911,1.000
41.288,-81.993,-39.529,4.949,1.000
41.388,-82.489,-40.083,5.075,1.000
41.488,-82.887,-40.405,5.086,1.000
41.588,-83.290,-40.724,5.100,1.000
41.688,-83.698,-41.035,5.106,1.000
41.788,-84.112,-41.335,5.108,1.000
41.888,-84.542,-41.624,5.127,1.000
41.988,-84.988,-41.882,5.133,1.000
42.088,-85.453,-42.107,5.141,1.000
42.188,-85.927,-42.300,5.135,1.000
42.288,-86.402,-42.471,5.116,1.000
42.388,-86.946,-42.767,5.038,1.000
42.488,-87.431,-42.908,5.040,1.000
42.588,-87.916,-43.046,5.043,1.000
42.688,-88.404,-43.182,5.048,1.000
42.788,-88.888,-43.307,5.034,1.000
42.888,-89.366,-43.416,5.002,1.000
42.988,-89.857,-43.503,4.998,1.000
43.088,-90.357,-43.562,5.008,1.000
43.188,-90.860,-43.596,5.015,1.000
43.288,-91.343,-43.611,4.973,1.000
43.388,-91.885,-43.749,4.911,1.000
43.488,-92.370,-43.765,4.897,1.000
43.588,-92.858,-43.784,4.893,1.000
43.688,-93.347,-43.798,4.893,1.000
43.788,-93.838,-43.796,4.898,1.000
43.888,-94.329,-43.774,4.902,1.000
43.988,-94.824,-43.733,4.916,1.000
44.088,-95.318,-43.677,4.931,1.000
44.188,-95.806,-43.605,4.931,1.000
44.288,-96.282,-43.519,4.909,1.000
44.388,-96.823,-43.526,4.901,1.000
44.488,-97.291,-43.420,4.876,1.000
44.588,-97.764,-43.310,4.869,1.000
44.688,-98.239,-43.192,4.876,1.000
44.788,-98.714,-43.064,4.887,1.000
44.888,-99.184,-42.921,4.894,1.000
44.988,-99.643,-42.766,4.883,1.000
45.088,-100.107,-42.594,4.898,1.000
45.188,-100.561,-42.409,4.899,1.000
45.288,-101.004,-42.214,4.886,1.000
45.388,-101.431,-42.011,4.850,1.000
45.488,-101.888,-41.886,4.800,1.000
45.588,-102.301,-41.669,4.766,1.000
45.688,-102.706,-41.441,4.736,1.000
45.788,-103.098,-41.208,4.693,1.000
45.888,-103.483,-40.971,4.648,1.000
45.988,-103.856,-40.728,4.601,1.000
46.088,-104.213,-40.478,4.543,1.000
46.188,-104.557,-40.219,4.486,1.000
46.288,-104.896,-39.949,4.451,1.000
46.388,-105.249,-39.743,4.396,1.000
46.488,-105.583,-39.458,4.396,1.000
46.588,-105.921,-39.172,4.403,1.000
46.688,-106.249,-38.897,4.371,1.000
46.788,-106.578,-38.623,4.351,1.000
46.888,-106.904,-38.349,4.329,1.000
46.988,-107.229,-38.068,4.319,1.000
47.088,-107.555,-37.778,4.330,1.000
47.188,-107.879,-37.486,4.337,1.000
47.288,-108.187,-37.205,4.300,1.000
47.388,-108.508,-36.919,4.300,1.000
47.488,-108.937,-36.646,4.475,1.000
47.588,-109.275,-36.366,4.453,1.000
47.688,-109.614,-36.096,4.424,1.000
47.788,-109.960,-35.827,4.413,1.000
47.888,-110.307,-35.559,4.406,1.000
47.988,-110.651,-35.293,4.392,1.000
48.088,-110.988,-35.033,4.361,1.000
48.188,-111.326,-34.777,4.333,1.000
48.288,-111.667,-34.524,4.311,1.000
48.388,-112.074,-34.314,4.338,1.000
48.488,-112.426,-34.063,4.335,1.000
48.588,-112.785,-33.821,4.333,1.000
48.688,-113.155,-33.594,4.334,1.000
48.788,-113.532,-33.377,4.339,1.000
48.888,-113.914,-33.162,4.348,1.000
48.988,-114.291,-32.951,4.343,1.000
49.088,-114.671,-32.738,4.346,1.000
49.188,-115.044,-32.530,4.328,1.000
49.288,-115.418,-32.326,4.314,1.000
49.388,-115.794,-32.130,4.297,1.000
49.488,-116.173,-31.947,4.276,1.000
