t_s,x_m,y_m,v,k
13.496,-0.416,-0.120,0.013,1.000
14.196,-0.416,-0.120,0.000,1.000
14.496,-0.427,-0.113,0.000,1.000
17.596,-0.290,0.715,2.046,1.000
17.696,-0.290,0.715,1.836,1.000
17.796,-0.290,0.715,1.725,1.000
17.896,-0.290,0.715,1.703,1.000
17.996,-0.290,0.715,1.837,1.000
18.096,-0.290,0.715,1.925,1.000
18.196,-0.290,0.715,1.996,1.000
18.296,-0.290,0.715,2.064,1.000
18.396,-0.605,1.324,2.393,1.000
18.496,-0.460,1.517,2.417,1.000
18.596,-0.313,1.712,2.433,1.000
18.696,-0.164,1.911,2.460,1.000
18.796,-0.008,2.119,2.517,1.000
18.896,0.151,2.331,2.566,1.000
18.996,0.315,2.549,2.619,1.000
19.096,0.482,2.772,2.670,1.000
19.196,0.653,3.000,2.720,1.000
19.296,0.827,3.232,2.767,1.000
19.396,1.244,4.343,3.125,1.000
19.496,1.430,4.590,3.116,1.000
19.596,1.624,4.848,3.149,1.000
19.696,1.818,5.107,3.173,1.000
19.796,2.011,5.364,3.186,1.000
19.896,2.206,5.623,3.200,1.000
19.996,2.404,5.888,3.228,1.000
20.096,2.605,6.155,3.256,1.000
20.196,2.816,6.436,3.317,1.000
20.296,3.018,6.705,3.328,1.000
20.396,3.336,7.420,3.436,1.000
20.496,3.567,7.668,3.424,1.000
20.596,3.799,7.916,3.417,1.000
20.696,4.027,8.161,3.397,1.000
20.796,4.258,8.408,3.394,1.000
20.896,4.490,8.655,3.392,1.000
20.996,4.723,8.906,3.400,1.000
21.096,4.969,9.169,3.449,1.000
21.196,5.218,9.436,3.497,1.000
21.296,5.467,9.702,3.529,1.000
21.396,5.882,10.599,3.714,1.000
21.496,6.133,10.867,3.703,1.000
21.596,6.379,11.131,3.678,1.000
21.696,6.626,11.396,3.662,1.000
21.796,6.875,11.663,3.659,1.000
21.896,7.127,11.932,3.665,1.000
21.996,7.383,12.206,3.687,1.000
