t_s,x_m,y_m,v,k
13.183,-0.197,-0.015,0.000,1.000
13.283,-0.197,-0.015,0.000,1.000
13.783,-0.197,-0.015,0.000,1.000
13.983,-0.197,-0.015,0.000,1.000
14.083,-0.197,-0.015,0.000,1.000
14.183,-0.197,-0.015,0.000,1.000
14.383,-0.197,-0.015,0.000,1.000
17.583,0.135,0.010,0.000,1.000
17.683,0.135,0.010,0.000,1.000
17.783,0.135,0.010,0.000,1.000
17.883,0.135,0.010,0.000,1.000
17.983,0.135,0.010,0.000,1.000
18.083,0.135,0.010,0.000,1.000
18.183,0.135,0.010,0.000,1.000
18.283,0.135,0.010,0.000,1.000
18.383,0.135,0.010,0.000,1.000
18.483,0.132,0.006,-0.000,1.000
18.583,0.132,0.006,0.000,1.000
18.683,0.132,0.006,0.000,1.000
18.783,0.132,0.006,0.000,1.000
18.883,0.132,0.006,0.000,1.000
18.983,0.132,0.006,0.000,1.000
19.083,0.132,0.006,0.000,1.000
19.183,0.132,0.006,0.000,1.000
19.283,0.132,0.006,0.000,1.000
19.383,0.132,0.006,0.000,1.000
19.483,0.130,0.004,-0.000,1.000
19.583,0.130,0.004,0.000,1.000
19.683,0.130,0.004,0.000,1.000
19.783,0.130,0.004,0.000,1.000
19.883,0.130,0.004,0.000,1.000
19.983,0.130,0.004,0.000,1.000
20.083,0.130,0.004,0.000,1.000
20.183,0.130,0.004,0.000,1.000
20.283,0.130,0.004,0.000,1.000
20.383,0.130,0.004,0.000,1.000
20.483,0.128,0.002,-0.000,1.000
20.583,0.128,0.002,0.000,1.000
20.683,0.128,0.002,0.000,1.000
20.783,0.128,0.002,0.000,1.000
20.883,0.128,0.002,0.000,1.000
20.983,0.128,0.002,0.000,1.000
21.083,0.128,0.002,0.000,1.000
21.183,0.128,0.002,0.000,1.000
21.283,0.128,0.002,0.000,1.000
21.383,0.128,0.002,0.000,1.000
21.483,0.127,-0.000,-0.000,1.000
21.583,0.127,-0.000,0.000,1.000
21.683,0.127,-0.000,0.000,1.000
21.783,0.127,-0.000,0.000,1.000
21.883,0.127,-0.000,0.000,1.000
21.983,0.127,-0.000,0.000,1.000
22.083,0.127,-0.000,0.000,1.000
22.183,0.127,-0.000,0.000,1.000
22.283,0.127,-0.000,0.000,1.000
22.383,0.127,-0.000,0.000,1.000
22.483,0.126,-0.001,-0.000,1.000
22.583,0.126,-0.001,0.000,1.000
22.683,0.126,-0.001,0.000,1.000
22.783,0.126,-0.001,0.000,1.000
22.883,0.126,-0.001,0.000,1.000
22.983,0.126,-0.001,0.000,1.000
23.083,0.126,-0.001,0.000,1.000
23.183,0.126,-0.001,0.000,1.000
23.283,0.126,-0.001,0.000,1.000
23.383,0.126,-0.001,0.000,1.000
23.483,0.125,-0.002,-0.000,1.000
23.583,0.125,-0.002,0.000,1.000
23.683,0.125,-0.002,0.000,1.000
23.783,0.125,-0.002,0.000,1.000
23.883,0.125,-0.002,0.000,1.000
23.983,0.125,-0.002,0.000,1.000
24.083,0.125,-0.002,0.000,1.000
24.183,0.125,-0.002,0.000,1.000
24.283,0.125,-0.002,0.000,1.000
24.383,0.125,-0.002,0.000,1.000
24.483,0.123,-0.004,-0.000,1.000
24.583,0.123,-0.004,0.000,1.000
24.683,0.123,-0.004,0.000,1.000
24.783,0.123,-0.004,0.000,1.000
24.883,0.123,-0.004,0.000,1.000
24.983,0.123,-0.004,0.000,1.000
25.083,0.123,-0.004,0.000,1.000
25.183,0.123,-0.004,0.000,1.000
25.283,0.123,-0.004,0.000,1.000
25.383,0.123,-0.004,0.000,1.000
25.483,0.121,-0.006,-0.000,1.000
25.583,0.121,-0.006,0.000,1.000
25.683,0.121,-0.006,0.000,1.000
25.783,0.121,-0.006,0.000,1.000
25.883,0.121,-0.006,0.000,1.000
25.983,0.121,-0.006,0.000,1.000
26.083,0.121,-0.006,0.000,1.000
26.183,0.121,-0.006,0.000,1.000
26.283,0.121,-0.006,0.000,1.000
26.383,0.121,-0.006,0.000,1.000
26.483,0.120,-0.007,-0.000,1.000
26.583,0.120,-0.007,0.000,1.000
26.683,0.120,-0.007,0.000,1.000
26.783,0.120,-0.007,0.000,1.000
26.883,0.120,-0.007,0.000,1.000
26.983,0.120,-0.007,0.000,1.000
27.083,0.120,-0.007,0.000,1.000
27.183,0.120,-0.007,0.000,1.000
27.283,0.120,-0.007,0.000,1.000
27.383,0.120,-0.007,0.000,1.000
27.483,0.119,-0.008,-0.000,1.000
27.583,0.119,-0.008,0.000,1.000
27.683,0.119,-0.008,0.000,1.000
27.783,0.119,-0.008,0.000,1.000
27.883,0.119,-0.008,0.000,1.000
27.983,0.119,-0.008,0.000,1.000
28.083,0.119,-0.008,0.000,1.000
28.183,0.119,-0.008,0.000,1.000
28.283,0.119,-0.008,0.000,1.000
28.383,0.119,-0.008,0.000,1.000
28.483,0.118,-0.009,-0.000,1.000
28.583,0.118,-0.009,0.000,1.000
28.683,0.118,-0.009,0.000,1.000
28.783,0.118,-0.009,0.000,1.000
28.883,0.118,-0.009,0.000,1.000
28.983,0.118,-0.009,0.000,1.000
29.083,0.118,-0.009,0.000,1.000
29.183,0.118,-0.009,0.000,1.000
29.283,0.118,-0.009,0.000,1.000
29.383,0.118,-0.009,0.000,1.000
29.483,0.116,-0.011,-0.000,1.000
29.583,0.116,-0.011,0.000,1.000
29.683,0.116,-0.011,0.000,1.000
29.783,0.116,-0.011,0.000,1.000
29.883,0.116,-0.011,0.000,1.000
29.983,0.116,-0.011,0.000,1.000
30.083,0.116,-0.011,0.000,1.000
30.183,0.116,-0.011,0.000,1.000
30.283,0.116,-0.011,0.000,1.000
30.383,0.116,-0.011,0.000,1.000
30.483,0.115,-0.013,-0.000,1.000
30.583,0.115,-0.013,0.000,1.000
30.683,0.115,-0.013,0.000,1.000
30.783,0.115,-0.013,0.000,1.000
30.883,0.115,-0.013,0.000,1.000
30.983,0.115,-0.013,0.000,1.000
31.083,0.115,-0.013,0.000,1.000
31.183,0.115,-0.013,0.000,1.000
31.283,0.115,-0.013,0.000,1.000
31.383,0.115,-0.013,0.000,1.000
31.483,0.113,-0.014,-0.000,1.000
31.583,0.113,-0.014,0.000,1.000
31.683,0.113,-0.014,0.000,1.000
31.783,0.113,-0.014,0.000,1.000
31.883,0.113,-0.014,0.000,1.000
31.983,0.113,-0.014,0.000,1.000
32.083,0.113,-0.014,0.000,1.000
32.183,0.113,-0.014,0.000,1.000
32.283,0.113,-0.014,0.000,1.000
32.383,0.113,-0.014,0.001,1.000
32.483,0.112,-0.016,0.000,1.000
32.583,0.112,-0.016,0.000,1.000
32.683,0.112,-0.016,0.000,1.000
32.783,0.112,-0.016,0.000,1.000
32.883,0.112,-0.016,0.000,1.000
32.983,0.112,-0.016,0.000,1.000
33.083,0.112,-0.016,0.000,1.000
33.183,0.112,-0.016,0.000,1.000
33.283,0.112,-0.016,0.000,1.000
33.383,0.112,-0.016,0.000,1.000
33.483,0.111,-0.017,-0.000,1.000
33.583,0.111,-0.017,0.000,1.000
33.683,0.111,-0.017,0.000,1.000
33.783,0.111,-0.017,0.000,1.000
33.883,0.111,-0.017,0.000,1.000
33.983,0.111,-0.017,0.000,1.000
34.083,0.111,-0.017,0.000,1.000
34.183,0.111,-0.017,0.000,1.000
34.283,0.111,-0.017,0.000,1.000
34.383,0.111,-0.017,0.000,1.000
34.483,0.110,-0.018,-0.000,1.000
34.583,0.110,-0.018,0.000,1.000
34.683,0.110,-0.018,0.000,1.000
34.783,0.110,-0.018,0.000,1.000
34.883,0.110,-0.018,0.000,1.000
34.983,0.110,-0.018,0.000,1.000
35.083,0.110,-0.018,0.000,1.000
35.183,0.110,-0.018,0.000,1.000
35.283,0.110,-0.018,0.000,1.000
35.383,0.110,-0.018,0.000,1.000
35.483,0.108,-0.019,-0.000,1.000
35.583,0.108,-0.019,0.000,1.000
35.683,0.108,-0.019,0.000,1.000
35.783,0.108,-0.019,0.000,1.000
35.883,0.108,-0.019,0.000,1.000
35.983,0.108,-0.019,0.000,1.000
36.083,0.108,-0.019,0.000,1.000
36.183,0.108,-0.019,0.000,1.000
36.283,0.108,-0.019,0.000,1.000
36.383,0.108,-0.019,0.000,1.000
36.483,0.107,-0.021,0.000,1.000
36.583,0.107,-0.021,0.001,1.000
36.683,0.108,-0.021,0.002,1.000
36.783,0.108,-0.021,0.003,1.000
36.883,0.108,-0.021,0.004,1.000
36.983,0.109,-0.021,0.005,1.000
37.083,0.109,-0.021,0.005,1.000
37.183,0.110,-0.021,0.005,1.000
37.283,0.111,-0.021,0.005,1.000
37.383,0.111,-0.021,0.005,1.000
37.483,0.111,-0.022,0.007,1.000
37.583,0.116,-0.022,0.020,1.000
37.683,0.125,-0.022,0.044,1.000
37.783,0.146,-0.021,0.091,1.000
37.883,0.163,-0.021,0.117,1.000
37.983,0.199,-0.020,0.188,1.000
38.083,0.262,-0.018,0.314,1.000
38.183,0.326,-0.015,0.407,1.000
38.283,0.407,-0.010,0.521,1.000
38.383,0.514,-0.001,0.676,1.000
38.483,0.651,0.010,0.948,1.000
38.583,0.825,0.031,1.198,1.000
38.683,1.012,0.057,1.421,1.000
38.783,1.211,0.086,1.609,1.000
38.883,1.420,0.119,1.766,1.000
38.983,1.635,0.151,1.891,1.000
39.083,1.855,0.182,1.991,1.000
39.183,2.081,0.210,2.076,1.000
39.283,2.305,0.235,2.128,1.000
39.383,2.535,0.259,2.181,1.000
39.483,2.182,0.207,2.149,1.000
39.583,1.973,0.176,2.206,1.000
39.683,1.753,0.145,2.260,1.000
39.783,1.527,0.116,2.283,1.000
39.883,1.297,0.088,2.302,1.000
39.983,1.066,0.058,2.316,1.000
40.083,0.837,0.022,2.319,1.000
40.183,0.608,-0.021,2.322,1.000
40.283,0.425,-0.061,2.161,1.000
40.383,0.282,-0.097,1.932,1.000
40.483,-0.002,-0.147,1.633,1.000
40.583,-0.134,-0.179,1.537,1.000
40.683,-0.283,-0.216,1.536,1.000
40.783,-0.407,-0.246,1.450,1.000
40.883,-0.531,-0.274,1.389,1.000
40.983,-0.669,-0.304,1.398,1.000
41.083,-0.814,-0.334,1.422,1.000
41.183,-0.962,-0.361,1.449,1.000
41.283,-1.111,-0.387,1.468,1.000
41.383,-1.265,-0.411,1.493,1.000
41.483,-1.649,-0.460,1.638,1.000
41.583,-1.793,-0.479,1.578,1.007
41.683,-1.933,-0.497,1.524,1.012
41.783,-2.103,-0.519,1.586,1.008
41.883,-2.312,-0.546,1.756,1.000
41.983,-2.523,-0.572,1.874,0.994
42.083,-2.738,-0.600,1.968,0.989
42.183,-2.954,-0.628,2.035,0.986
42.283,-3.172,-0.658,2.086,0.984
42.383,-3.390,-0.695,2.125,0.983
42.483,-3.846,-0.760,2.238,0.990
42.583,-4.072,-0.806,2.255,0.990
42.683,-4.294,-0.849,2.256,0.990
42.783,-4.513,-0.887,2.247,0.990
42.883,-4.736,-0.924,2.251,0.990
42.983,-4.956,-0.961,2.245,0.990
43.083,-5.179,-1.000,2.251,0.990
43.183,-5.393,-1.039,2.229,0.990
43.283,-5.603,-1.081,2.206,0.990
43.383,-5.845,-1.131,2.278,0.990
43.483,-6.321,-1.203,2.429,0.990
43.583,-6.567,-1.253,2.456,0.986
43.683,-6.817,-1.306,2.490,0.982
43.783,-7.062,-1.360,2.495,0.982
43.883,-7.317,-1.424,2.540,0.979
43.983,-7.567,-1.492,2.555,0.978
44.083,-7.818,-1.564,2.573,0.977
44.183,-8.079,-1.640,2.620,0.975
44.283,-8.333,-1.718,2.635,0.975
44.383,-8.577,-1.792,2.606,0.976
44.483,-9.108,-1.901,2.758,0.995
44.583,-9.343,-1.964,2.681,0.995
44.683,-9.576,-2.016,2.607,0.995
44.783,-9.822,-2.064,2.583,0.995
44.883,-10.110,-2.119,2.675,0.995
44.983,-10.404,-2.177,2.761,0.995
45.083,-10.698,-2.237,2.826,0.995
45.183,-10.995,-2.304,2.887,0.995
45.283,-11.310,-2.376,2.980,0.995
45.383,-11.628,-2.448,3.059,0.995
45.483,-12.189,-2.543,3.198,0.995
45.583,-12.501,-2.626,3.205,0.995
45.683,-12.831,-2.718,3.275,0.995
45.783,-13.167,-2.812,3.345,0.995
45.883,-13.505,-2.904,3.393,0.995
45.983,-13.840,-2.996,3.417,0.995
46.083,-14.173,-3.087,3.427,0.995
46.183,-14.508,-3.173,3.437,0.995
46.283,-14.842,-3.248,3.434,0.995
46.383,-15.176,-3.318,3.427,0.995
46.483,-15.719,-3.403,3.437,0.995
46.583,-16.051,-3.490,3.437,0.995
46.683,-16.384,-3.577,3.438,0.995
46.783,-16.723,-3.668,3.461,0.993
46.883,-17.064,-3.760,3.487,0.991
46.983,-17.405,-3.857,3.507,0.990
47.083,-17.743,-3.964,3.520,0.989
47.183,-18.079,-4.076,3.526,0.989
47.283,-18.422,-4.188,3.554,0.988
47.383,-18.771,-4.302,3.591,0.987
47.483,-19.345,-4.419,3.671,0.991
