t_s,x_m,y_m,v,k
13.394,0.046,0.031,0.000,1.000
13.494,0.046,0.031,0.000,1.000
13.794,0.046,0.031,0.000,1.000
17.594,-0.056,-0.036,-0.000,1.000
17.694,-0.056,-0.036,0.000,1.000
17.794,-0.056,-0.036,0.000,1.000
17.894,-0.056,-0.036,0.000,1.000
17.994,-0.056,-0.036,0.000,1.000
18.094,-0.056,-0.036,0.000,1.000
18.194,-0.058,-0.037,-0.000,1.000
18.294,-0.058,-0.037,0.000,1.000
18.394,-0.058,-0.037,0.000,1.000
18.494,-0.058,-0.037,0.000,1.000
18.594,-0.058,-0.037,0.000,1.000
18.694,-0.058,-0.037,0.000,1.000
18.794,-0.058,-0.037,0.000,1.000
18.894,-0.058,-0.037,0.000,1.000
18.994,-0.058,-0.037,0.000,1.000
19.094,-0.058,-0.037,0.000,1.000
19.194,-0.059,-0.038,-0.000,1.000
19.294,-0.059,-0.038,0.000,1.000
19.394,-0.059,-0.038,0.000,1.000
19.494,-0.059,-0.038,0.000,1.000
19.594,-0.059,-0.038,0.000,1.000
19.694,-0.059,-0.038,0.000,1.000
19.794,-0.059,-0.038,0.000,1.000
19.894,-0.059,-0.038,0.000,1.000
19.994,-0.059,-0.038,0.000,1.000
20.094,-0.059,-0.038,0.000,1.000
20.194,-0.061,-0.038,-0.000,1.000
20.294,-0.061,-0.038,0.000,1.000
20.394,-0.061,-0.038,0.000,1.000
20.494,-0.061,-0.038,0.000,1.000
20.594,-0.061,-0.038,0.000,1.000
20.694,-0.061,-0.038,0.000,1.000
20.794,-0.061,-0.038,0.000,1.000
20.894,-0.061,-0.038,0.000,1.000
20.994,-0.061,-0.038,0.000,1.000
21.094,-0.061,-0.038,0.000,1.000
21.194,-0.063,-0.039,-0.000,1.000
21.294,-0.063,-0.039,0.000,1.000
21.394,-0.063,-0.039,0.000,1.000
21.494,-0.063,-0.039,0.000,1.000
21.594,-0.063,-0.039,0.000,1.000
21.694,-0.063,-0.039,0.000,1.000
21.794,-0.063,-0.039,0.000,1.000
21.894,-0.063,-0.039,0.000,1.000
21.994,-0.063,-0.039,0.000,1.000
22.094,-0.063,-0.039,0.000,1.000
22.194,-0.066,-0.041,-0.000,1.000
22.294,-0.066,-0.041,0.000,1.000
22.394,-0.066,-0.041,0.000,1.000
22.494,-0.066,-0.041,0.000,1.000
22.594,-0.066,-0.041,0.000,1.000
22.694,-0.066,-0.041,0.000,1.000
22.794,-0.066,-0.041,0.000,1.000
22.894,-0.066,-0.041,0.000,1.000
22.994,-0.066,-0.041,0.000,1.000
23.094,-0.066,-0.041,0.000,1.000
23.194,-0.068,-0.042,-0.000,1.000
23.294,-0.068,-0.042,0.000,1.000
23.394,-0.068,-0.042,0.000,1.000
23.494,-0.068,-0.042,0.000,1.000
23.594,-0.068,-0.042,0.000,1.000
23.694,-0.068,-0.042,0.000,1.000
23.794,-0.068,-0.042,0.000,1.000
23.894,-0.068,-0.042,0.000,1.000
23.994,-0.068,-0.042,0.000,1.000
24.094,-0.068,-0.042,0.000,1.000
24.194,-0.070,-0.043,-0.000,1.000
24.294,-0.070,-0.043,0.000,1.000
24.394,-0.070,-0.043,0.000,1.000
24.494,-0.070,-0.043,0.000,1.000
24.594,-0.070,-0.043,0.000,1.000
24.694,-0.070,-0.043,0.000,1.000
24.794,-0.070,-0.043,0.000,1.000
24.894,-0.070,-0.043,0.000,1.000
24.994,-0.070,-0.043,0.000,1.000
25.094,-0.070,-0.043,0.000,1.000
25.194,-0.072,-0.044,-0.000,1.000
25.294,-0.072,-0.044,0.000,1.000
25.394,-0.072,-0.044,0.000,1.000
25.494,-0.072,-0.044,0.000,1.000
25.594,-0.072,-0.044,0.000,1.000
25.694,-0.072,-0.044,0.000,1.000
25.794,-0.072,-0.044,0.000,1.000
25.894,-0.072,-0.044,0.000,1.000
25.994,-0.072,-0.044,0.000,1.000
26.094,-0.072,-0.044,0.000,1.000
26.194,-0.074,-0.045,-0.000,1.000
26.294,-0.074,-0.045,0.000,1.000
26.394,-0.074,-0.045,0.000,1.000
26.494,-0.074,-0.045,0.000,1.000
26.594,-0.074,-0.045,0.000,1.000
26.694,-0.074,-0.045,0.000,1.000
26.794,-0.074,-0.045,0.000,1.000
26.894,-0.074,-0.045,0.000,1.000
26.994,-0.074,-0.045,0.000,1.000
27.094,-0.074,-0.045,0.000,1.000
27.194,-0.076,-0.046,-0.000,1.000
27.294,-0.076,-0.046,0.000,1.000
27.394,-0.076,-0.046,0.000,1.000
27.494,-0.076,-0.046,0.000,1.000
27.594,-0.076,-0.046,0.000,1.000
27.694,-0.076,-0.046,0.000,1.000
27.794,-0.076,-0.046,0.000,1.000
27.894,-0.076,-0.046,0.000,1.000
27.994,-0.076,-0.046,0.000,1.000
28.094,-0.076,-0.046,0.000,1.000
28.194,-0.079,-0.048,-0.000,1.000
28.294,-0.079,-0.048,0.000,1.000
28.394,-0.079,-0.048,0.000,1.000
28.494,-0.079,-0.048,0.000,1.000
28.594,-0.079,-0.048,0.000,1.000
28.694,-0.079,-0.048,0.000,1.000
28.794,-0.079,-0.048,0.000,1.000
28.894,-0.079,-0.048,0.000,1.000
28.994,-0.079,-0.048,0.000,1.000
29.094,-0.079,-0.048,0.000,1.000
29.194,-0.081,-0.049,-0.000,1.000
29.294,-0.081,-0.049,0.000,1.000
29.394,-0.081,-0.049,0.000,1.000
29.494,-0.081,-0.049,0.000,1.000
29.594,-0.081,-0.049,0.000,1.000
29.694,-0.081,-0.049,0.000,1.000
29.794,-0.081,-0.049,0.000,1.000
29.894,-0.081,-0.049,0.001,1.000
29.994,-0.081,-0.049,0.002,1.000
30.094,-0.081,-0.049,0.003,1.000
30.194,-0.082,-0.050,0.004,1.000
30.294,-0.082,-0.050,0.005,1.000
30.394,-0.081,-0.050,0.005,1.000
30.494,-0.081,-0.050,0.006,1.000
30.594,-0.080,-0.050,0.006,1.000
30.694,-0.079,-0.050,0.006,1.000
30.794,-0.081,-0.050,0.000,1.000
30.894,-0.081,-0.050,0.000,1.000
30.994,-0.081,-0.050,0.000,1.000
31.094,-0.081,-0.050,0.001,1.000
31.194,-0.083,-0.052,0.002,1.000
31.294,-0.083,-0.052,0.004,1.000
31.394,-0.082,-0.052,0.007,1.000
31.494,-0.081,-0.052,0.008,1.000
31.594,-0.079,-0.052,0.010,1.000
31.694,-0.078,-0.052,0.013,1.000
31.794,-0.071,-0.052,0.027,1.000
31.894,-0.059,-0.053,0.054,1.000
31.994,-0.023,-0.056,0.133,1.000
32.094,0.066,-0.065,0.317,1.000
32.194,0.263,-0.085,0.826,1.000
32.294,0.368,-0.107,0.889,1.000
32.394,0.475,-0.133,0.943,1.000
32.494,0.575,-0.160,0.967,1.000
32.594,0.677,-0.188,0.989,1.000
32.694,0.790,-0.217,1.030,1.000
32.794,0.910,-0.244,1.078,1.000
32.894,1.024,-0.266,1.095,1.000
32.994,1.156,-0.286,1.147,1.000
33.094,1.295,-0.300,1.202,1.000
33.194,1.322,-0.288,1.305,1.000
33.294,1.462,-0.286,1.329,1.000
33.394,1.598,-0.279,1.337,1.000
33.494,1.734,-0.269,1.343,1.000
33.594,1.870,-0.259,1.349,1.000
33.694,2.005,-0.249,1.349,1.000
33.794,2.137,-0.237,1.343,1.000
33.894,2.269,-0.226,1.340,1.000
33.994,2.398,-0.218,1.331,1.000
34.094,2.529,-0.214,1.325,1.000
34.194,2.200,-0.236,1.585,1.000
34.294,2.038,-0.262,1.552,1.000
34.394,1.883,-0.280,1.524,1.000
34.494,1.733,-0.289,1.474,1.000
34.594,1.587,-0.294,1.460,1.000
34.694,1.453,-0.297,1.395,1.000
34.794,1.327,-0.304,1.338,1.000
34.894,1.208,-0.318,1.287,1.000
34.994,1.096,-0.336,1.241,1.000
35.094,0.988,-0.356,1.199,1.000
35.194,0.404,-0.402,1.551,1.000
35.294,0.274,-0.426,1.485,1.000
35.394,0.151,-0.446,1.420,1.000
35.494,0.030,-0.463,1.369,1.000
35.594,-0.100,-0.483,1.355,1.000
35.694,-0.251,-0.508,1.397,1.000
35.794,-0.425,-0.536,1.483,1.000
35.894,-0.604,-0.562,1.558,1.000
35.994,-0.812,-0.594,1.680,1.000
36.094,-1.015,-0.627,1.761,1.000
36.194,-1.790,-0.701,2.266,1.000
36.294,-2.016,-0.736,2.272,1.000
36.394,-2.236,-0.772,2.261,1.000
36.494,-2.455,-0.815,2.254,1.000
36.594,-2.683,-0.873,2.277,1.000
36.694,-2.915,-0.945,2.313,1.000
36.794,-3.155,-1.030,2.364,1.000
36.894,-3.389,-1.121,2.398,1.000
36.994,-3.636,-1.216,2.450,1.000
37.094,-3.886,-1.305,2.493,1.000
37.194,-4.600,-1.436,2.732,1.000
37.294,-4.854,-1.525,2.724,1.000
37.394,-5.107,-1.617,2.715,1.000
37.494,-5.359,-1.711,2.710,1.000
37.594,-5.615,-1.803,2.711,1.000
37.694,-5.879,-1.894,2.730,1.000
37.794,-6.143,-1.985,2.745,1.000
37.894,-6.429,-2.083,2.805,1.000
37.994,-6.723,-2.175,2.862,1.000
38.094,-7.034,-2.264,2.940,1.000
38.194,-7.749,-2.380,3.095,1.000
38.294,-8.054,-2.467,3.113,1.000
38.394,-8.367,-2.560,3.149,1.000
38.494,-8.686,-2.654,3.191,1.000
38.594,-9.009,-2.739,3.224,1.000
38.694,-9.331,-2.813,3.244,1.000
38.794,-9.665,-2.880,3.280,1.000
38.894,-10.000,-2.933,3.303,1.000
38.994,-10.334,-2.976,3.317,1.000
39.094,-10.681,-3.022,3.356,1.000
39.194,-11.361,-3.085,3.376,1.000
39.294,-11.696,-3.146,3.383,1.000
39.394,-12.034,-3.212,3.396,1.000
39.494,-12.371,-3.279,3.405,1.000
39.594,-12.706,-3.346,3.408,1.000
39.694,-13.043,-3.412,3.415,1.000
39.794,-13.377,-3.475,3.411,1.000
39.894,-13.711,-3.536,3.406,1.000
39.994,-14.049,-3.596,3.414,1.000
40.094,-14.401,-3.656,3.447,1.000
40.194,-15.066,-3.716,3.465,1.000
40.294,-15.401,-3.778,3.452,1.000
40.394,-15.750,-3.847,3.476,1.000
40.494,-16.105,-3.919,3.509,1.000
40.594,-16.465,-3.992,3.549,1.000
40.694,-16.830,-4.068,3.589,1.000
40.794,-17.189,-4.146,3.608,1.000
40.894,-17.557,-4.230,3.643,1.000
40.994,-17.905,-4.319,3.633,1.000
41.094,-18.251,-4.411,3.621,1.000
41.194,-18.911,-4.482,3.628,1.000
41.294,-19.265,-4.560,3.627,1.000
41.394,-19.628,-4.635,3.648,1.000
41.494,-19.995,-4.701,3.666,1.000
41.594,-20.359,-4.761,3.672,1.000
41.694,-20.731,-4.823,3.693,1.000
41.794,-21.104,-4.890,3.716,1.000
41.894,-21.484,-4.961,3.746,1.000
41.994,-21.848,-5.035,3.741,1.000
42.094,-22.212,-5.115,3.738,1.000
42.194,-22.894,-5.201,3.803,1.000
42.294,-23.260,-5.291,3.795,1.000
42.394,-23.633,-5.380,3.805,1.000
42.494,-24.006,-5.468,3.810,1.000
42.594,-24.381,-5.563,3.824,1.000
42.694,-24.757,-5.660,3.837,1.000
42.794,-25.134,-5.755,3.848,1.000
42.894,-25.522,-5.855,3.882,1.000
42.994,-25.897,-5.954,3.883,1.000
43.094,-26.278,-6.058,3.896,1.000
43.194,-26.979,-6.154,3.986,1.000
43.294,-27.368,-6.243,3.988,1.000
43.394,-27.757,-6.330,3.986,1.000
43.494,-28.147,-6.415,3.987,1.000
43.594,-28.541,-6.496,3.995,1.000
43.694,-28.935,-6.578,4.003,1.000
43.794,-29.331,-6.660,4.011,1.000
43.894,-29.727,-6.738,4.016,1.000
43.994,-30.137,-6.814,4.049,1.000
44.094,-30.556,-6.895,4.094,1.000
44.194,-31.295,-6.995,4.233,1.000
44.294,-31.716,-7.101,4.258,1.000
44.394,-32.135,-7.210,4.276,1.000
44.494,-32.548,-7.315,4.273,1.000
44.594,-32.962,-7.418,4.271,1.000
44.694,-33.380,-7.523,4.279,1.000
44.794,-33.803,-7.638,4.302,1.000
44.894,-34.210,-7.759,4.290,1.000
44.994,-34.626,-7.877,4.298,1.000
45.094,-35.040,-7.985,4.293,1.000
45.194,-35.751,-8.088,4.360,1.000
45.294,-36.176,-8.185,4.360,1.000
45.394,-36.623,-8.288,4.413,1.000
45.494,-37.065,-8.388,4.440,1.000
45.594,-37.510,-8.480,4.462,1.000
45.694,-37.930,-8.562,4.423,1.000
45.794,-38.348,-8.657,4.393,1.000
45.894,-38.740,-8.764,4.320,1.000
45.994,-39.101,-8.877,4.207,1.000
46.094,-39.489,-8.995,4.177,1.000
46.194,-40.169,-9.117,4.240,1.000
46.294,-40.569,-9.232,4.222,1.000
46.394,-40.969,-9.348,4.207,1.000
46.494,-41.367,-9.463,4.194,1.000
46.594,-41.773,-9.579,4.201,1.000
46.694,-42.180,-9.693,4.206,1.000
46.794,-42.587,-9.805,4.210,1.000
46.894,-42.994,-9.912,4.208,1.000
46.994,-43.409,-10.018,4.224,1.000
47.094,-43.820,-10.128,4.231,1.000
47.194,-44.536,-10.260,4.352,1.000
47.294,-44.951,-10.376,4.343,1.000
47.394,-45.368,-10.490,4.338,1.000
47.494,-45.781,-10.610,4.329,1.000
47.594,-46.190,-10.744,4.323,1.000
47.694,-46.588,-10.873,4.292,1.000
47.794,-46.988,-10.988,4.264,1.000
47.894,-47.391,-11.097,4.244,1.000
47.994,-47.797,-11.213,4.240,1.000
48.094,-48.202,-11.341,4.241,1.000
48.194,-48.923,-11.492,4.389,1.000
48.294,-49.333,-11.626,4.371,1.000
48.394,-49.738,-11.765,4.351,1.000
48.494,-50.147,-11.908,4.347,1.000
48.594,-50.562,-12.050,4.355,1.000
48.694,-50.991,-12.182,4.386,1.000
48.794,-51.414,-12.298,4.385,1.000
48.894,-51.823,-12.402,4.351,1.000
48.994,-52.230,-12.505,4.318,1.000
49.094,-52.628,-12.612,4.278,1.000
49.194,-53.334,-12.743,4.375,1.000
49.294,-53.742,-12.857,4.342,1.000
49.394,-54.155,-12.986,4.339,1.000
49.494,-54.557,-13.123,4.318,1.000
49.594,-54.967,-13.268,4.324,1.000
49.694,-55.375,-13.420,4.330,1.000
49.794,-55.773,-13.577,4.321,1.000
49.894,-56.168,-13.743,4.312,1.000
49.994,-56.567,-13.910,4.315,1.000
50.094,-56.980,-14.078,4.346,1.000
50.194,-57.702,-14.286,4.508,1.000
50.294,-58.119,-14.454,4.504,1.000
50.394,-58.538,-14.621,4.505,1.000
50.494,-58.951,-14.792,4.497,1.000
50.594,-59.369,-14.965,4.505,1.000
50.694,-59.776,-15.126,4.476,1.000
50.794,-60.171,-15.270,4.416,1.000
50.894,-60.578,-15.405,4.387,1.000
50.994,-60.970,-15.531,4.330,1.000
51.094,-61.364,-15.660,4.292,1.000
51.194,-62.070,-15.835,4.416,1.000
51.294,-62.481,-15.969,4.395,1.000
51.394,-62.907,-16.111,4.419,1.000
51.494,-63.325,-16.250,4.415,1.000
51.594,-63.768,-16.398,4.474,1.000
51.694,-64.234,-16.558,4.575,1.000
51.794,-64.691,-16.721,4.636,1.000
51.894,-65.155,-16.891,4.703,1.000
51.994,-65.611,-17.061,4.738,1.000
52.094,-66.048,-17.242,4.735,1.000
52.194,-66.714,-17.456,4.714,1.000
52.294,-67.129,-17.646,4.680,1.000
52.394,-67.541,-17.827,4.637,1.000
52.494,-67.957,-18.004,4.612,1.000
52.594,-68.376,-18.187,4.602,1.000
52.694,-68.795,-18.370,4.595,1.000
52.794,-69.221,-18.544,4.596,1.000
52.894,-69.644,-18.705,4.581,1.000
52.994,-70.073,-18.863,4.579,1.000
53.094,-70.493,-19.031,4.567,1.000
53.194,-71.148,-19.239,4.584,1.000
53.294,-71.552,-19.423,4.552,1.000
53.394,-71.955,-19.608,4.524,1.000
53.494,-72.352,-19.801,4.498,1.000
53.594,-72.736,-20.007,4.466,1.000
53.694,-73.114,-20.212,4.428,1.000
53.794,-73.491,-20.410,4.391,1.000
53.894,-73.871,-20.596,4.357,1.000
53.994,-74.247,-20.774,4.314,1.000
54.094,-74.630,-20.956,4.300,1.000
54.194,-75.297,-21.196,4.427,1.000
54.294,-75.688,-21.383,4.404,1.000
54.394,-76.064,-21.563,4.351,1.000
54.494,-76.448,-21.751,4.334,1.000
54.594,-76.834,-21.941,4.326,1.000
54.694,-77.217,-22.136,4.320,1.000
54.794,-77.593,-22.327,4.297,1.000
54.894,-77.957,-22.506,4.245,1.000
54.994,-78.326,-22.683,4.214,1.000
55.094,-78.694,-22.866,4.192,1.000
55.194,-79.365,-23.134,4.366,1.000
55.294,-79.735,-23.332,4.327,1.000
55.394,-80.093,-23.530,4.273,1.000
55.494,-80.447,-23.738,4.233,1.000
55.594,-80.801,-23.954,4.213,1.000
55.694,-81.156,-24.164,4.195,1.000
55.794,-81.508,-24.355,4.152,1.000
55.894,-81.869,-24.526,4.118,1.000
55.994,-82.236,-24.690,4.098,1.000
56.094,-82.627,-24.868,4.139,1.000
56.194,-83.365,-25.154,4.438,1.000
56.294,-83.754,-25.339,4.409,1.000
56.394,-84.138,-25.524,4.374,1.000
56.494,-84.551,-25.730,4.430,1.000
56.594,-84.976,-25.955,4.518,1.000
56.694,-85.378,-26.179,4.536,1.000
56.794,-85.787,-26.416,4.578,1.000
56.894,-86.203,-26.664,4.636,1.000
56.994,-86.627,-26.918,4.700,1.000
57.094,-87.039,-27.166,4.724,1.000
57.194,-87.704,-27.478,4.786,1.000
57.294,-88.109,-27.734,4.789,1.000
57.394,-88.509,-27.996,4.786,1.000
57.494,-88.911,-28.251,4.782,1.000
57.594,-89.322,-28.495,4.781,1.000
57.694,-89.746,-28.735,4.800,1.000
57.794,-90.171,-28.967,4.809,1.000
57.894,-90.601,-29.196,4.823,1.000
57.994,-91.026,-29.423,4.823,1.000
58.094,-91.450,-29.663,4.832,1.000
58.194,-92.086,-29.953,4.829,1.000
58.294,-92.497,-30.186,4.807,1.000
58.394,-92.910,-30.418,4.790,1.000
58.494,-93.321,-30.657,4.782,1.000
58.594,-93.728,-30.904,4.777,1.000
58.694,-94.131,-31.153,4.768,1.000
58.794,-94.531,-31.397,4.751,1.000
58.894,-94.936,-31.636,4.739,1.000
58.994,-95.328,-31.870,4.703,1.000
59.094,-95.704,-32.096,4.637,1.000
59.194,-96.281,-32.372,4.586,1.000
59.294,-96.664,-32.603,4.559,1.000
59.394,-97.043,-32.841,4.541,1.000
59.494,-97.420,-33.085,4.529,1.000
59.594,-97.801,-33.329,4.527,1.000
59.694,-98.173,-33.567,4.502,1.000
59.794,-98.545,-33.801,4.479,1.000
59.894,-98.944,-34.049,4.526,1.000
59.994,-99.326,-34.287,4.520,1.000
60.094,-99.703,-34.521,4.503,1.000
60.194,-100.318,-34.837,4.588,1.000
60.294,-100.728,-35.093,4.643,1.000
60.394,-101.135,-35.344,4.677,1.000
60.494,-101.531,-35.588,4.669,1.000
60.594,-101.918,-35.829,4.646,1.000
60.694,-102.314,-36.077,4.650,1.000
60.794,-102.718,-36.326,4.671,1.000
60.894,-103.117,-36.570,4.674,1.000
60.994,-103.515,-36.820,4.678,1.000
61.094,-103.916,-37.073,4.692,1.000
61.194,-104.498,-37.381,4.687,1.000
61.294,-104.896,-37.637,4.697,1.000
61.394,-105.286,-37.892,4.688,1.000
61.494,-105.679,-38.154,4.697,1.000
61.594,-106.083,-38.422,4.732,1.000
61.694,-106.468,-38.669,4.697,1.000
61.794,-106.850,-38.912,4.658,1.000
61.894,-107.213,-39.154,4.594,1.000
61.994,-107.567,-39.400,4.535,1.000
62.094,-107.924,-39.648,4.496,1.000
62.194,-108.456,-39.948,4.459,1.000
62.294,-108.827,-40.200,4.463,1.000
62.394,-109.192,-40.446,4.450,1.000
62.494,-109.558,-40.688,4.437,1.000
62.594,-109.926,-40.933,4.431,1.000
62.694,-110.292,-41.184,4.434,1.000
62.794,-110.675,-41.454,4.488,1.000
62.894,-111.065,-41.723,4.543,1.000
62.994,-111.457,-41.988,4.582,1.000
63.094,-111.853,-42.258,4.626,1.000
63.194,-112.441,-42.602,4.704,1.000
63.294,-112.828,-42.858,4.690,1.000
63.394,-113.228,-43.120,4.711,1.000
63.494,-113.627,-43.385,4.729,1.000
63.594,-114.021,-43.647,4.730,1.000
63.694,-114.416,-43.907,4.729,1.000
63.794,-114.805,-44.155,4.703,1.000
63.894,-115.195,-44.410,4.694,1.000
63.994,-115.576,-44.669,4.675,1.000
64.094,-115.953,-44.933,4.662,1.000
64.194,-116.324,-45.197,4.639,1.000
64.294,-116.677,-45.446,4.575,1.000
64.394,-117.027,-45.695,4.521,1.000
64.494,-117.391,-45.963,4.520,1.000
64.594,-117.756,-46.234,4.524,1.000
64.694,-118.113,-46.509,4.521,1.000
64.794,-118.460,-46.789,4.509,1.000
64.894,-118.810,-47.069,4.504,1.000
64.994,-119.168,-47.339,4.502,1.000
65.094,-119.536,-47.605,4.508,1.000
65.194,-119.890,-47.861,4.482,1.000
65.294,-120.247,-48.134,4.484,1.000
65.394,-120.597,-48.408,4.477,1.000
65.494,-120.935,-48.676,4.447,1.000
65.594,-121.269,-48.946,4.418,1.000
65.694,-121.600,-49.222,4.398,1.000
65.794,-121.918,-49.497,4.364,1.000
65.894,-122.233,-49.783,4.342,1.000
65.994,-122.540,-50.074,4.323,1.000
66.094,-122.848,-50.368,4.310,1.000
66.194,-123.155,-50.656,4.291,1.000
66.294,-123.466,-50.937,4.273,1.000
66.394,-123.782,-51.213,4.260,1.000
66.494,-124.103,-51.483,4.247,1.000
66.594,-124.436,-51.751,4.253,1.000
66.694,-124.760,-52.017,4.242,1.000
66.794,-125.077,-52.287,4.226,1.000
66.894,-125.393,-52.565,4.225,1.000
66.994,-125.707,-52.852,4.230,1.000
67.094,-126.025,-53.149,4.252,1.000
67.194,-126.336,-53.443,4.257,1.000
67.294,-126.645,-53.738,4.259,1.000
67.394,-126.947,-54.028,4.246,1.000
67.494,-127.254,-54.322,4.246,1.000
67.594,-127.559,-54.615,4.244,1.000
67.694,-127.867,-54.912,4.250,1.000
67.794,-128.168,-55.210,4.248,1.000
67.894,-128.477,-55.511,4.260,1.000
67.994,-128.795,-55.820,4.291,1.000
68.094,-129.111,-56.123,4.307,1.000
68.194,-129.437,-56.420,4.325,1.000
68.294,-129.757,-56.700,4.312,1.000
68.394,-130.083,-56.987,4.318,1.000
68.494,-130.405,-57.272,4.315,1.000
68.594,-130.716,-57.543,4.281,1.000
68.694,-131.036,-57.816,4.267,1.000
68.794,-131.367,-58.095,4.278,1.000
68.894,-131.708,-58.370,4.296,1.000
68.994,-132.007,-58.613,4.217,1.000
69.094,-132.299,-58.864,4.150,1.000
69.194,-132.597,-59.134,4.126,1.000
69.294,-132.882,-59.394,4.078,1.000
69.394,-133.170,-59.646,4.031,1.000
69.494,-133.470,-59.903,4.017,1.000
69.594,-133.769,-60.156,3.997,1.000
69.694,-134.073,-60.419,4.002,1.000
69.794,-134.387,-60.684,4.022,1.000
69.894,-134.725,-60.967,4.092,1.000
69.994,-135.070,-61.263,4.175,1.000
70.094,-135.402,-61.548,4.212,1.000
70.194,-135.742,-61.831,4.249,1.000
70.294,-136.105,-62.125,4.328,1.000
