t_s,x_m,y_m,v,k
13.198,-0.006,-0.082,0.000,1.000
13.298,-0.006,-0.082,0.000,1.000
13.598,-0.006,-0.082,0.000,1.000
13.698,-0.006,-0.082,0.000,1.000
14.198,0.006,-0.022,0.000,1.000
14.398,0.006,-0.022,0.000,1.000
17.598,0.024,0.050,0.000,1.000
17.698,0.024,0.050,0.000,1.000
17.798,0.024,0.050,0.000,1.000
17.898,0.024,0.050,0.000,1.000
17.998,0.024,0.050,0.000,1.000
18.098,0.031,0.070,0.000,1.000
18.198,0.031,0.070,0.000,1.000
18.298,0.031,0.070,0.000,1.000
18.398,0.031,0.070,0.000,1.000
18.498,0.031,0.070,0.000,1.000
18.598,0.031,0.070,0.000,1.000
18.698,0.031,0.070,0.000,1.000
18.798,0.031,0.070,0.000,1.000
18.898,0.031,0.070,0.000,1.000
18.998,0.031,0.070,0.000,1.000
19.098,0.033,0.074,0.000,1.000
19.198,0.033,0.074,0.000,1.000
19.298,0.033,0.074,0.000,1.000
19.398,0.033,0.074,0.000,1.000
19.498,0.033,0.074,0.000,1.000
19.598,0.033,0.074,0.000,1.000
19.698,0.033,0.074,0.000,1.000
19.798,0.033,0.074,0.000,1.000
19.898,0.033,0.074,0.000,1.000
19.998,0.033,0.074,0.000,1.000
20.098,0.035,0.078,0.000,1.000
20.198,0.035,0.078,0.000,1.000
20.298,0.035,0.078,0.000,1.000
20.398,0.035,0.078,0.000,1.000
20.498,0.035,0.078,0.000,1.000
20.598,0.035,0.078,0.000,1.000
20.698,0.035,0.078,0.000,1.000
20.798,0.035,0.078,0.000,1.000
20.898,0.035,0.078,0.000,1.000
20.998,0.035,0.078,0.000,1.000
21.098,0.036,0.081,0.000,1.000
21.198,0.036,0.081,0.000,1.000
21.298,0.036,0.081,0.000,1.000
21.398,0.036,0.081,0.000,1.000
21.498,0.036,0.081,0.000,1.000
21.598,0.036,0.081,0.000,1.000
21.698,0.036,0.081,0.000,1.000
21.798,0.036,0.081,0.000,1.000
21.898,0.036,0.081,0.000,1.000
21.998,0.036,0.081,0.000,1.000
22.098,0.038,0.084,0.000,1.000
22.198,0.038,0.084,0.000,1.000
22.298,0.038,0.084,0.000,1.000
22.398,0.038,0.084,0.000,1.000
22.498,0.038,0.084,0.000,1.000
22.598,0.038,0.084,0.000,1.000
22.698,0.038,0.084,0.000,1.000
22.798,0.038,0.084,0.000,1.000
22.898,0.038,0.084,0.000,1.000
22.998,0.038,0.084,0.000,1.000
23.098,0.039,0.086,0.000,1.000
23.198,0.039,0.086,0.000,1.000
23.298,0.039,0.086,0.000,1.000
23.398,0.039,0.086,0.000,1.000
23.498,0.039,0.086,0.000,1.000
23.598,0.039,0.086,0.000,1.000
23.698,0.039,0.086,0.000,1.000
23.798,0.039,0.086,0.000,1.000
23.898,0.039,0.086,0.000,1.000
23.998,0.039,0.086,0.000,1.000
24.098,0.040,0.088,0.000,1.000
24.198,0.040,0.088,0.000,1.000
24.298,0.040,0.088,0.000,1.000
24.398,0.040,0.088,0.000,1.000
24.498,0.040,0.088,0.000,1.000
24.598,0.040,0.088,0.000,1.000
24.698,0.040,0.088,0.000,1.000
24.798,0.040,0.088,0.000,1.000
24.898,0.040,0.088,0.000,1.000
24.998,0.040,0.088,0.000,1.000
25.098,0.040,0.089,0.000,1.000
25.198,0.040,0.089,0.000,1.000
25.298,0.040,0.089,0.000,1.000
25.398,0.040,0.089,0.000,1.000
25.498,0.040,0.089,0.000,1.000
25.598,0.040,0.089,0.000,1.000
25.698,0.040,0.089,0.000,1.000
25.798,0.040,0.089,0.000,1.000
25.898,0.040,0.089,0.000,1.000
25.998,0.040,0.089,0.000,1.000
26.098,0.041,0.091,0.000,1.000
26.198,0.041,0.091,0.000,1.000
26.298,0.041,0.091,0.000,1.000
26.398,0.041,0.091,0.000,1.000
26.498,0.041,0.091,0.000,1.000
26.598,0.041,0.091,0.000,1.000
26.698,0.041,0.091,0.000,1.000
26.798,0.041,0.091,0.000,1.000
26.898,0.041,0.091,0.000,1.000
26.998,0.041,0.091,0.000,1.000
27.098,0.042,0.092,0.000,1.000
27.198,0.042,0.092,0.000,1.000
27.298,0.042,0.092,0.000,1.000
27.398,0.042,0.092,0.000,1.000
27.498,0.042,0.092,0.000,1.000
27.598,0.042,0.092,0.000,1.000
27.698,0.042,0.092,0.000,1.000
27.798,0.042,0.092,0.000,1.000
27.898,0.042,0.092,0.000,1.000
27.998,0.042,0.092,0.000,1.000
28.098,0.043,0.093,0.000,1.000
28.198,0.043,0.093,0.000,1.000
28.298,0.043,0.093,0.000,1.000
28.398,0.043,0.093,0.000,1.000
28.498,0.043,0.093,0.000,1.000
28.598,0.043,0.093,0.000,1.000
28.698,0.043,0.093,0.000,1.000
28.798,0.043,0.093,0.000,1.000
28.898,0.043,0.093,0.000,1.000
28.998,0.043,0.093,0.000,1.000
29.098,0.044,0.094,0.000,1.000
29.198,0.044,0.094,0.000,1.000
29.298,0.044,0.094,0.000,1.000
29.398,0.044,0.094,0.000,1.000
29.498,0.044,0.094,0.000,1.000
29.598,0.044,0.094,0.000,1.000
29.698,0.044,0.094,0.000,1.000
29.798,0.044,0.094,0.000,1.000
29.898,0.044,0.094,0.000,1.000
29.998,0.044,0.094,0.000,1.000
30.098,0.045,0.095,0.000,1.000
30.198,0.045,0.095,0.000,1.000
30.298,0.045,0.095,0.000,1.000
30.398,0.045,0.095,0.000,1.000
30.498,0.045,0.095,0.000,1.000
30.598,0.045,0.095,0.000,1.000
30.698,0.045,0.095,0.000,1.000
30.798,0.045,0.095,0.000,1.000
30.898,0.045,0.095,0.000,1.000
30.998,0.045,0.095,0.000,1.000
31.098,0.046,0.096,0.000,1.000
31.198,0.046,0.096,0.000,1.000
31.298,0.046,0.096,0.000,1.000
31.398,0.046,0.096,0.000,1.000
31.498,0.046,0.096,0.000,1.000
31.598,0.046,0.096,0.000,1.000
31.698,0.046,0.096,0.000,1.000
31.798,0.046,0.096,0.000,1.000
31.898,0.046,0.096,0.000,1.000
31.998,0.046,0.096,0.000,1.000
32.098,0.046,0.096,0.000,1.000
32.198,0.046,0.096,0.000,1.000
32.298,0.046,0.096,0.000,1.000
32.398,0.046,0.096,0.000,1.000
32.498,0.046,0.096,0.000,1.000
32.598,0.046,0.096,0.000,1.000
32.698,0.046,0.096,0.000,1.000
32.798,0.046,0.096,0.000,1.000
32.898,0.046,0.096,0.000,1.000
32.998,0.046,0.096,0.000,1.000
33.098,0.047,0.097,0.000,1.000
33.198,0.047,0.097,0.000,1.000
33.298,0.047,0.097,0.000,1.000
33.398,0.047,0.097,0.000,1.000
33.498,0.047,0.097,0.000,1.000
33.598,0.047,0.097,0.000,1.000
33.698,0.047,0.097,0.000,1.000
33.798,0.047,0.097,0.000,1.000
33.898,0.047,0.097,0.000,1.000
33.998,0.047,0.097,0.000,1.000
34.098,0.048,0.098,0.000,1.000
34.198,0.048,0.098,0.000,1.000
34.298,0.048,0.098,0.000,1.000
34.398,0.048,0.098,0.000,1.000
34.498,0.048,0.098,0.000,1.000
34.598,0.048,0.098,0.000,1.000
34.698,0.048,0.098,0.000,1.000
34.798,0.048,0.098,0.000,1.000
34.898,0.048,0.098,0.005,1.000
34.998,0.048,0.098,0.011,1.000
35.098,0.051,0.098,0.014,1.000
35.198,0.052,0.098,0.012,1.000
35.298,0.054,0.098,0.014,1.000
35.398,0.055,0.098,0.017,1.000
35.498,0.057,0.098,0.018,1.000
35.598,0.059,0.098,0.019,1.000
35.698,0.061,0.098,0.017,1.000
35.798,0.062,0.098,0.016,1.000
35.898,0.064,0.098,0.016,1.000
35.998,0.065,0.098,0.016,1.000
36.098,0.068,0.099,0.016,1.000
36.198,0.071,0.099,0.020,1.000
36.298,0.073,0.099,0.021,1.000
36.398,0.078,0.099,0.032,1.000
36.498,0.085,0.099,0.045,1.000
36.598,0.092,0.099,0.052,1.000
36.698,0.101,0.099,0.065,1.000
36.798,0.111,0.099,0.075,1.000
36.898,0.126,0.099,0.101,1.000
36.998,0.142,0.099,0.122,1.000
37.098,0.161,0.099,0.143,1.000
37.198,0.187,0.099,0.182,1.000
37.298,0.214,0.099,0.213,1.000
37.398,0.238,0.099,0.222,1.000
37.498,0.268,0.099,0.247,1.000
37.598,0.309,0.099,0.302,1.000
37.698,0.353,0.099,0.347,1.000
37.798,0.425,0.099,0.468,1.000
37.898,0.504,0.100,0.575,1.000
37.998,0.607,0.101,0.725,1.000
38.098,0.709,0.105,0.838,1.000
38.198,0.818,0.107,0.925,1.000
38.298,0.930,0.109,0.991,1.000
38.398,1.047,0.110,1.049,1.000
38.498,1.178,0.109,1.135,1.000
38.598,1.299,0.106,1.160,1.000
38.698,1.449,0.105,1.272,1.000
38.798,1.633,0.107,1.460,1.000
38.898,1.824,0.117,1.608,1.000
38.998,2.016,0.134,1.714,1.000
39.098,2.324,0.048,2.158,1.000
39.198,2.549,-0.024,2.235,1.000
39.298,2.782,-0.098,2.317,1.000
39.398,3.029,-0.176,2.419,1.000
39.498,3.281,-0.254,2.499,1.000
39.598,3.543,-0.332,2.583,1.000
39.698,3.805,-0.414,2.640,1.000
