t_s,x_m,y_m,v,k
13.094,-0.078,-0.198,0.000,1.000
13.194,-0.078,-0.198,0.000,1.000
13.294,-0.078,-0.198,0.000,1.000
13.394,-0.078,-0.198,0.000,1.000
13.494,-0.078,-0.198,0.000,1.000
13.594,-0.078,-0.198,0.000,1.000
13.694,-0.078,-0.198,0.000,1.000
13.794,-0.078,-0.198,0.000,1.000
13.894,-0.078,-0.198,0.000,1.000
13.994,-0.029,-0.058,0.000,1.000
14.094,-0.029,-0.058,0.000,1.000
14.194,-0.029,-0.058,0.000,1.000
14.294,-0.029,-0.058,0.000,1.000
14.394,-0.029,-0.058,0.000,1.000
14.494,-0.029,-0.058,0.000,1.000
17.594,0.025,0.096,0.000,1.000
17.694,0.025,0.096,0.000,1.000
17.794,0.025,0.096,0.000,1.000
17.894,0.025,0.096,0.000,1.000
17.994,0.039,0.125,0.000,1.000
18.094,0.039,0.125,0.000,1.000
18.194,0.039,0.125,0.000,1.000
18.294,0.039,0.125,0.000,1.000
18.394,0.039,0.125,0.000,1.000
18.494,0.039,0.125,0.000,1.000
18.594,0.039,0.125,0.000,1.000
18.694,0.039,0.125,0.000,1.000
18.794,0.039,0.125,0.000,1.000
18.894,0.039,0.125,0.000,1.000
18.994,0.042,0.127,0.000,1.000
19.094,0.042,0.127,0.000,1.000
19.194,0.042,0.127,0.000,1.000
19.294,0.042,0.127,0.000,1.000
19.394,0.042,0.127,0.000,1.000
19.494,0.042,0.127,0.000,1.000
19.594,0.042,0.127,0.000,1.000
19.694,0.042,0.127,0.000,1.000
19.794,0.042,0.127,0.000,1.000
19.894,0.042,0.127,0.000,1.000
19.994,0.046,0.123,0.000,1.000
20.094,0.046,0.123,0.000,1.000
20.194,0.046,0.123,0.000,1.000
20.294,0.046,0.123,0.000,1.000
20.394,0.046,0.123,0.000,1.000
20.494,0.046,0.123,0.000,1.000
20.594,0.046,0.123,0.000,1.000
20.694,0.046,0.123,0.000,1.000
20.794,0.046,0.123,0.000,1.000
20.894,0.046,0.123,0.000,1.000
20.994,0.049,0.117,0.000,1.000
21.094,0.049,0.117,0.000,1.000
21.194,0.049,0.117,0.000,1.000
21.294,0.049,0.117,0.000,1.000
21.394,0.049,0.117,0.000,1.000
21.494,0.049,0.117,0.000,1.000
21.594,0.049,0.117,0.000,1.000
21.694,0.049,0.117,0.000,1.000
21.794,0.049,0.117,0.000,1.000
21.894,0.049,0.117,0.000,1.000
21.994,0.052,0.113,0.000,1.000
22.094,0.052,0.113,0.000,1.000
22.194,0.052,0.113,0.000,1.000
22.294,0.052,0.113,0.000,1.000
22.394,0.052,0.113,0.000,1.000
22.494,0.052,0.113,0.000,1.000
22.594,0.052,0.113,0.000,1.000
22.694,0.052,0.113,0.000,1.000
22.794,0.052,0.113,0.000,1.000
22.894,0.052,0.113,0.000,1.000
22.994,0.055,0.109,0.000,1.000
23.094,0.055,0.109,0.000,1.000
23.194,0.055,0.109,0.000,1.000
23.294,0.055,0.109,0.000,1.000
23.394,0.055,0.109,0.000,1.000
23.494,0.055,0.109,0.000,1.000
23.594,0.055,0.109,0.000,1.000
23.694,0.055,0.109,0.000,1.000
23.794,0.055,0.109,0.000,1.000
23.894,0.055,0.109,0.000,1.000
23.994,0.056,0.106,0.000,1.000
24.094,0.056,0.106,0.000,1.000
24.194,0.056,0.106,0.000,1.000
24.294,0.056,0.106,0.000,1.000
24.394,0.056,0.106,0.000,1.000
24.494,0.056,0.106,0.000,1.000
24.594,0.056,0.106,0.000,1.000
24.694,0.056,0.106,0.000,1.000
24.794,0.056,0.106,0.000,1.000
24.894,0.056,0.106,0.000,1.000
24.994,0.058,0.104,0.000,1.000
25.094,0.058,0.104,0.000,1.000
25.194,0.058,0.104,0.000,1.000
25.294,0.058,0.104,0.000,1.000
25.394,0.058,0.104,0.000,1.000
25.494,0.058,0.104,0.000,1.000
25.594,0.058,0.104,0.000,1.000
25.694,0.058,0.104,0.000,1.000
25.794,0.058,0.104,0.000,1.000
25.894,0.058,0.104,0.000,1.000
25.994,0.059,0.102,0.000,1.000
26.094,0.059,0.102,0.000,1.000
26.194,0.059,0.102,0.000,1.000
26.294,0.059,0.102,0.000,1.000
26.394,0.059,0.102,0.000,1.000
26.494,0.059,0.102,0.000,1.000
26.594,0.059,0.102,0.000,1.000
26.694,0.059,0.102,0.000,1.000
