t_s,x_m,y_m,v,k
13.091,-0.260,-0.028,0.000,1.000
13.191,-0.260,-0.028,0.000,1.000
13.290,-0.260,-0.028,0.000,1.000
13.390,-0.260,-0.028,0.000,1.000
13.491,-0.260,-0.028,0.000,1.000
13.591,-0.260,-0.028,0.000,1.000
13.691,-0.260,-0.028,0.000,1.000
13.790,-0.260,-0.028,0.000,1.000
13.890,-0.260,-0.028,0.000,1.000
13.991,-0.260,-0.028,0.000,1.000
14.091,-0.260,-0.028,0.000,1.000
14.191,-0.260,-0.028,0.000,1.000
14.290,-0.260,-0.028,0.000,1.000
14.390,-0.069,-0.025,0.000,1.000
14.491,-0.069,-0.025,0.000,1.000
17.590,0.152,-0.022,0.000,1.000
17.691,0.152,-0.022,0.000,1.000
17.791,0.152,-0.022,0.000,1.000
17.890,0.152,-0.022,0.000,1.000
17.991,0.152,-0.022,0.000,1.000
18.090,0.152,-0.022,0.000,1.000
18.191,0.152,-0.022,0.000,1.000
18.291,0.152,-0.022,0.000,1.000
18.390,0.170,-0.022,0.000,1.000
18.491,0.170,-0.022,0.000,1.000
18.590,0.170,-0.022,0.000,1.000
18.691,0.172,-0.022,0.050,1.000
18.791,0.182,-0.022,0.109,1.000
18.890,0.198,-0.022,0.163,1.000
18.991,0.222,-0.022,0.246,1.000
19.090,0.260,-0.022,0.378,1.000
19.191,0.310,-0.022,0.487,1.000
19.291,0.372,-0.022,0.614,1.000
19.390,0.452,-0.020,0.669,1.000
19.491,0.528,-0.020,0.757,1.000
19.590,0.606,-0.019,0.785,1.000
19.691,0.691,-0.019,0.848,1.000
19.791,0.787,-0.019,0.944,1.000
19.890,0.902,-0.020,1.136,1.000
19.991,1.025,-0.020,1.224,1.000
20.090,1.155,-0.021,1.291,1.000
20.191,1.298,-0.020,1.407,1.000
20.291,1.457,-0.015,1.546,1.000
20.390,1.632,-0.044,1.521,1.000
20.491,1.796,-0.024,1.614,1.000
20.590,1.974,0.009,1.735,1.000
20.691,2.167,0.052,1.874,1.000
20.791,2.362,0.101,1.944,1.000
20.890,2.556,0.149,1.970,1.000
20.991,2.771,0.198,2.075,1.000
21.090,2.992,0.242,2.149,1.000
21.191,3.204,0.281,2.152,1.000
21.291,3.424,0.317,2.181,1.000
21.390,3.641,0.141,2.147,1.000
21.491,3.848,0.070,2.169,1.000
21.590,4.056,-0.004,2.187,1.000
21.691,4.267,-0.081,2.209,1.000
21.791,4.488,-0.160,2.266,1.000
21.890,4.709,-0.240,2.300,1.000
21.991,4.933,-0.318,2.328,1.000
22.090,5.170,-0.392,2.389,1.000
22.191,5.408,-0.454,2.414,1.000
22.291,5.641,-0.514,2.411,1.000
22.390,5.864,-0.701,2.361,1.000
22.491,6.090,-0.768,2.357,1.000
