t_s,x_m,y_m,v,k
13.102,-0.008,0.008,0.000,1.000
13.202,-0.008,0.008,0.000,1.000
13.302,-0.008,0.008,0.000,1.000
13.402,-0.008,0.008,0.000,1.000
13.502,-0.008,0.008,0.000,1.000
13.602,-0.008,0.008,0.000,1.000
13.702,-0.008,0.008,0.000,1.000
13.802,-0.001,0.007,0.000,1.000
13.902,-0.001,0.007,0.000,1.000
14.002,-0.001,0.007,0.000,1.000
14.102,-0.001,0.007,0.000,1.000
14.202,-0.001,0.007,0.000,1.000
14.302,-0.001,0.007,0.000,1.000
14.402,-0.001,0.007,0.000,1.000
17.602,0.009,0.006,0.023,1.000
17.702,0.009,0.006,0.019,1.000
17.802,0.009,0.006,0.020,1.000
17.902,0.011,0.007,0.002,1.000
18.002,0.011,0.007,0.000,1.000
18.102,0.011,0.007,0.000,1.000
18.202,0.011,0.007,0.008,1.000
18.302,0.011,0.007,0.027,1.000
18.402,0.011,0.007,0.060,1.000
18.502,0.011,0.007,0.054,1.000
18.602,0.011,0.007,0.160,1.000
18.702,0.011,0.007,0.226,1.000
18.802,0.011,0.007,0.296,1.000
18.902,0.012,0.006,0.258,1.000
19.002,0.012,0.006,0.302,1.000
19.102,0.012,0.006,0.284,1.000
19.202,0.012,0.006,0.323,1.000
19.302,0.012,0.006,0.277,1.000
19.402,0.012,0.006,0.324,1.000
19.502,0.012,0.006,0.292,1.000
19.602,0.012,0.006,0.320,1.000
19.702,0.012,0.006,0.282,1.000
19.802,0.012,0.006,0.332,1.000
19.902,0.012,0.006,0.334,1.000
20.002,0.012,0.006,0.384,1.000
20.102,0.012,0.006,0.386,1.000
20.202,0.012,0.006,0.527,1.000
20.302,0.012,0.006,0.561,1.000
20.402,0.012,0.006,0.642,1.000
20.502,0.012,0.006,0.679,1.000
20.602,0.012,0.006,0.818,1.000
20.702,0.012,0.006,0.882,1.000
20.802,0.130,-0.037,1.181,1.000
20.902,0.130,-0.037,1.217,1.000
21.002,0.130,-0.037,1.302,1.000
21.102,0.130,-0.037,1.375,1.000
21.202,0.130,-0.037,1.404,1.000
21.302,0.130,-0.037,1.434,1.000
21.402,0.130,-0.037,1.532,1.000
21.502,0.130,-0.037,1.568,1.000
21.602,0.130,-0.037,1.635,1.000
21.702,0.130,-0.037,1.668,1.000
21.802,0.130,-0.037,1.757,1.000
21.902,0.462,0.005,1.942,1.000
22.002,0.641,-0.067,1.930,1.000
22.102,0.820,-0.138,1.927,1.000
22.202,1.005,-0.213,1.970,1.000
22.302,1.193,-0.288,2.004,1.000
22.402,1.388,-0.366,2.050,1.000
22.502,1.581,-0.444,2.066,1.000
22.602,1.791,-0.528,2.153,1.000
22.702,1.998,-0.611,2.188,1.000
22.802,2.206,-0.694,2.211,1.000
22.902,2.858,-0.539,2.156,1.000
23.002,3.061,-0.620,2.169,1.000
23.102,3.265,-0.702,2.183,1.000
23.202,3.467,-0.783,2.181,1.000
23.302,3.664,-0.862,2.155,1.000
23.402,3.873,-0.946,2.194,1.000
23.502,4.076,-1.027,2.194,1.000
23.602,4.289,-1.113,2.231,1.000
23.702,4.502,-1.198,2.260,1.000
23.802,5.183,-0.798,2.258,1.000
23.902,5.401,-0.885,2.302,1.000
24.002,5.621,-0.973,2.331,1.000
24.102,5.842,-1.062,2.356,1.000
24.202,6.070,-1.153,2.401,1.000
24.302,6.306,-1.248,2.464,1.000
24.402,6.545,-1.344,2.517,1.000
24.502,6.786,-1.440,2.550,1.000
24.602,7.033,-1.540,2.601,1.000
24.702,7.285,-1.640,2.649,1.000
24.802,7.801,-1.761,2.746,1.000
24.902,8.051,-1.861,2.722,1.000
25.002,8.299,-1.960,2.694,1.000
25.102,8.549,-2.060,2.693,1.000
25.202,8.796,-2.160,2.682,1.000
25.302,9.047,-2.260,2.689,1.000
25.402,9.308,-2.365,2.745,1.000
25.502,9.569,-2.470,2.777,1.000
25.602,9.829,-2.574,2.787,1.000
25.702,10.094,-2.680,2.817,1.000
25.802,10.352,-2.784,2.798,1.000
25.902,10.711,-3.339,2.932,1.000
26.002,10.978,-3.447,2.905,1.000
26.102,11.245,-3.554,2.890,1.000
26.202,11.516,-3.662,2.900,1.000
26.302,11.801,-3.777,2.987,1.000
26.402,12.076,-3.887,2.974,1.000
26.502,12.359,-4.000,3.008,1.000
26.602,12.631,-4.110,2.974,1.000
26.702,12.917,-4.224,3.026,1.000
26.802,13.197,-4.336,3.018,1.000
26.902,13.620,-4.800,3.165,1.000
27.002,13.903,-4.914,3.100,1.000
27.102,14.191,-5.029,3.100,1.000
27.202,14.476,-5.144,3.083,1.000
27.302,14.771,-5.262,3.137,1.000
27.402,15.057,-5.377,3.103,1.000
27.502,15.350,-5.494,3.132,1.000
27.602,15.644,-5.612,3.155,1.000
27.702,15.947,-5.734,3.210,1.000
27.802,16.250,-5.855,3.237,1.000
27.902,16.806,-6.069,3.403,1.000
28.002,17.125,-6.197,3.418,1.000
28.102,17.438,-6.322,3.392,1.000
28.202,17.756,-6.450,3.416,1.000
28.302,18.077,-6.579,3.438,1.000
28.402,18.395,-6.707,3.433,1.000
28.502,18.711,-6.833,3.413,1.000
28.602,19.029,-6.961,3.423,1.000
28.702,19.344,-7.087,3.407,1.000
28.802,19.967,-7.175,3.551,1.000
28.902,20.291,-7.305,3.514,1.000
29.002,20.623,-7.437,3.548,1.000
29.102,20.951,-7.569,3.544,1.000
29.202,21.285,-7.703,3.572,1.000
29.302,21.613,-7.835,3.554,1.000
29.402,21.955,-7.972,3.621,1.000
29.502,22.290,-8.106,3.617,1.000
29.602,22.630,-8.242,3.637,1.000
29.702,22.954,-8.372,3.561,1.000
29.802,23.288,-8.507,3.582,1.000
29.902,23.844,-8.827,3.682,1.000
30.002,24.176,-8.960,3.626,1.000
30.102,24.509,-9.094,3.604,1.000
30.202,24.843,-9.228,3.601,1.000
30.302,25.176,-9.361,3.596,1.000
30.402,25.521,-9.499,3.652,1.000
30.502,25.874,-9.641,3.728,1.000
30.602,26.220,-9.780,3.728,1.000
30.702,26.561,-9.917,3.706,1.000
30.802,27.196,-10.186,3.883,1.000
30.902,27.553,-10.329,3.863,1.000
31.002,27.910,-10.472,3.853,1.000
31.102,28.256,-10.611,3.795,1.000
31.202,28.608,-10.753,3.795,1.000
31.302,28.967,-10.896,3.826,1.000
31.402,29.323,-11.039,3.832,1.000
31.502,29.680,-11.182,3.837,1.000
31.602,30.033,-11.324,3.825,1.000
31.702,30.390,-11.467,3.833,1.000
31.802,30.753,-11.613,3.865,1.000
31.902,31.501,-11.774,4.127,1.000
32.002,31.887,-11.929,4.141,1.000
32.102,32.280,-12.086,4.182,1.000
32.202,32.675,-12.245,4.219,1.000
32.302,33.077,-12.406,4.269,1.000
32.402,33.482,-12.569,4.309,1.000
32.502,33.879,-12.728,4.296,1.000
32.602,34.283,-12.890,4.319,1.000
32.702,34.678,-13.048,4.291,1.000
32.802,35.076,-13.208,4.290,1.000
32.902,35.875,-13.344,4.442,1.000
33.002,36.279,-13.506,4.398,1.000
33.102,36.686,-13.669,4.391,1.000
