t_s,x_m,y_m,v,k
13.102,-0.518,-0.524,0.000,1.000
13.202,-0.518,-0.524,0.000,1.000
13.302,-0.518,-0.524,0.000,1.000
13.402,-0.518,-0.524,0.000,1.000
13.502,-0.518,-0.524,0.000,1.000
13.602,-0.518,-0.524,0.000,1.000
13.702,-0.518,-0.524,0.000,1.000
13.802,-0.518,-0.524,0.000,1.000
13.902,-0.518,-0.524,0.000,1.000
14.002,-0.518,-0.524,0.000,1.000
14.102,-0.319,-0.186,0.000,1.000
14.202,-0.319,-0.186,0.000,1.000
14.302,-0.319,-0.186,0.000,1.000
14.402,-0.319,-0.186,0.000,1.000
17.602,-0.059,0.407,1.246,1.000
17.702,-0.059,0.407,1.187,1.000
17.802,-0.059,0.407,1.237,1.000
17.902,-0.059,0.407,1.292,1.000
18.002,-0.059,0.407,1.347,1.000
18.102,-0.022,1.037,1.632,1.000
18.202,0.063,1.180,1.677,1.000
18.302,0.151,1.328,1.720,1.000
18.402,0.044,1.168,1.830,1.000
18.502,0.162,1.326,1.907,1.000
18.602,0.289,1.494,2.004,1.000
18.702,0.417,1.665,2.063,1.000
18.802,0.550,1.842,2.127,1.000
18.902,0.691,2.030,2.220,1.000
19.002,0.845,2.235,2.362,1.000
19.102,1.127,3.055,2.570,1.000
19.202,1.287,3.270,2.626,1.000
19.302,1.445,3.480,2.627,1.000
19.402,1.615,3.705,2.720,1.000
19.502,1.784,3.931,2.766,1.000
19.602,1.955,4.159,2.812,1.000
19.702,2.122,4.382,2.796,1.000
19.802,2.296,4.614,2.845,1.000
19.902,2.467,4.841,2.847,1.000
20.002,2.641,5.072,2.865,1.000
20.102,2.856,5.833,2.797,1.000
20.202,3.023,6.055,2.786,1.003
20.302,3.189,6.276,2.777,1.004
20.402,3.354,6.496,2.759,1.006
20.502,3.514,6.708,2.695,1.010
20.602,3.478,6.674,2.697,1.010
20.702,3.663,6.871,2.701,1.009
20.802,3.846,7.068,2.693,1.010
20.902,4.025,7.260,2.658,1.010
21.002,4.203,7.451,2.632,1.010
21.102,4.438,8.093,2.648,1.014
21.202,4.617,8.284,2.620,1.015
21.302,4.790,8.469,2.560,1.016
21.402,4.966,8.658,2.573,1.016
21.502,5.140,8.845,2.565,1.016
21.602,5.314,9.031,2.556,1.016
21.702,5.492,9.221,2.578,1.016
21.802,5.666,9.408,2.568,1.016
21.902,5.840,9.595,2.559,1.016
22.002,6.011,9.778,2.532,1.016
22.102,6.572,10.182,2.700,1.035
22.202,6.756,10.380,2.717,1.035
22.302,6.943,10.580,2.738,1.034
22.402,7.129,10.779,2.734,1.035
22.502,7.317,10.980,2.745,1.034
22.602,7.503,11.180,2.735,1.035
22.702,7.696,11.386,2.791,1.034
22.802,7.891,11.595,2.832,1.034
22.902,8.093,11.812,2.923,1.034
23.002,8.296,12.029,2.967,1.033
23.102,8.943,12.392,3.093,1.049
23.202,9.155,12.620,3.055,1.050
23.302,9.365,12.844,3.095,1.049
23.402,9.576,13.071,3.100,1.049
23.502,9.790,13.299,3.131,1.049
23.602,10.005,13.530,3.149,1.049
23.702,10.224,13.765,3.205,1.049
