t_s,x_m,y_m,v,k
13.102,-0.518,-0.524,0.000,1.000
13.202,-0.518,-0.524,0.000,1.000
13.302,-0.518,-0.524,0.000,1.000
13.402,-0.518,-0.524,0.000,1.000
13.502,-0.518,-0.524,0.000,1.000
13.602,-0.518,-0.524,0.000,1.000
13.702,-0.518,-0.524,0.000,1.000
13.802,-0.518,-0.524,0.000,1.000
13.902,-0.518,-0.524,0.000,1.000
14.002,-0.518,-0.524,0.000,1.000
14.102,-0.319,-0.186,0.000,1.000
14.202,-0.319,-0.186,0.000,1.000
14.302,-0.319,-0.186,0.000,1.000
14.402,-0.319,-0.186,0.000,1.000
17.602,-0.059,0.407,1.246,1.000
17.702,-0.059,0.407,1.187,1.000
17.802,-0.059,0.407,1.237,1.000
17.902,-0.059,0.407,1.292,1.000
18.002,-0.059,0.407,1.347,1.000
18.102,-0.022,1.037,1.632,1.000
18.202,0.063,1.180,1.677,1.000
18.302,0.151,1.328,1.720,1.000
18.402,0.044,1.168,1.830,1.000
18.502,0.162,1.326,1.907,1.000
18.602,0.289,1.494,2.004,1.000
18.702,0.417,1.665,2.063,1.000
18.802,0.550,1.842,2.127,1.000
18.902,0.691,2.030,2.220,1.000
19.002,0.845,2.235,2.362,1.000
19.102,1.127,3.055,2.570,1.000
19.202,1.287,3.270,2.626,1.000
19.302,1.445,3.480,2.627,1.000
19.402,1.615,3.705,2.720,1.000
19.502,1.784,3.931,2.766,1.000
19.602,1.955,4.159,2.812,1.000
19.702,2.122,4.382,2.796,1.000
19.802,2.296,4.614,2.845,1.000
19.902,2.467,4.841,2.847,1.000
20.002,2.641,5.072,2.865,1.000
20.102,2.856,5.833,2.797,1.000
20.202,3.023,6.054,2.783,1.000
20.302,3.188,6.275,2.770,1.000
20.402,3.352,6.493,2.747,1.000
20.502,3.509,6.702,2.674,1.000
20.602,3.471,6.666,2.674,1.000
20.702,3.654,6.862,2.678,1.000
20.802,3.835,7.057,2.669,1.000
20.902,4.013,7.247,2.632,1.000
21.002,4.189,7.435,2.606,1.000
21.102,4.417,8.070,2.618,1.000
21.202,4.592,8.258,2.585,1.000
21.302,4.761,8.438,2.521,1.000
21.402,4.934,8.624,2.534,1.000
21.502,5.106,8.808,2.526,1.000
21.602,5.277,8.991,2.516,1.000
21.702,5.452,9.179,2.538,1.000
21.802,5.624,9.363,2.528,1.000
21.902,5.795,9.546,2.519,1.000
22.002,5.963,9.726,2.491,1.000
22.102,6.472,10.075,2.624,1.000
22.202,6.652,10.268,2.636,1.000
22.302,6.834,10.463,2.654,1.000
22.402,7.014,10.656,2.647,1.000
22.502,7.196,10.851,2.657,1.000
22.602,7.376,11.043,2.646,1.000
22.702,7.563,11.244,2.701,1.000
22.802,7.752,11.446,2.741,1.000
22.902,7.949,11.658,2.832,1.000
23.002,8.148,11.870,2.875,1.000
23.102,8.736,12.171,2.972,1.000
23.202,8.934,12.383,2.923,1.000
23.302,9.137,12.600,2.960,1.000
23.402,9.339,12.817,2.961,1.000
23.502,9.544,13.036,2.990,1.000
23.602,9.750,13.257,3.005,1.000
23.702,9.960,13.482,3.060,1.000
