t_s,x_m,y_m,v,k
13.089,-0.194,-0.040,0.000,1.000
13.189,-0.194,-0.040,0.000,1.000
13.289,-0.194,-0.040,0.000,1.000
13.389,-0.194,-0.040,0.000,1.000
13.489,-0.194,-0.040,0.000,1.000
13.589,-0.194,-0.040,0.000,1.000
13.689,-0.194,-0.040,0.000,1.000
13.789,-0.194,-0.040,0.000,1.000
13.889,-0.194,-0.040,0.000,1.000
13.989,-0.194,-0.040,0.000,1.000
14.089,-0.194,-0.040,0.000,1.000
14.189,-0.194,-0.040,0.000,1.000
14.289,-0.194,-0.040,0.000,1.000
14.389,-0.194,-0.040,0.000,1.000
14.489,-0.194,-0.040,0.000,1.000
17.589,0.096,-0.079,1.468,1.000
17.689,0.253,-0.312,1.836,1.000
17.789,0.419,-0.273,1.726,1.000
17.889,0.589,-0.237,1.729,1.000
17.989,0.763,-0.203,1.760,1.000
18.089,0.934,-0.170,1.749,1.000
18.189,1.106,-0.136,1.751,1.000
18.289,1.282,-0.101,1.768,1.000
18.389,1.457,-0.066,1.778,1.000
18.489,1.634,-0.029,1.790,1.000
18.589,1.812,0.011,1.804,1.000
18.689,1.513,-0.619,1.788,1.000
18.789,1.473,-0.797,1.832,1.000
18.889,1.424,-0.971,1.816,1.000
18.989,1.373,-1.143,1.803,1.000
19.089,1.321,-1.314,1.792,1.000
19.189,1.266,-1.475,1.756,1.000
19.289,1.210,-1.635,1.731,1.000
19.389,1.153,-1.797,1.727,1.000
19.489,1.096,-1.959,1.724,1.000
19.589,1.034,-2.134,1.765,1.000
19.689,0.635,-2.799,1.856,1.000
19.789,0.579,-2.969,1.832,1.000
19.889,0.522,-3.146,1.842,1.000
19.989,0.468,-3.318,1.828,1.000
20.089,0.413,-3.486,1.808,1.000
20.189,0.357,-3.655,1.797,1.000
20.289,0.300,-3.824,1.792,1.000
20.389,0.236,-4.006,1.837,1.000
20.489,0.171,-4.179,1.842,1.000
20.589,0.103,-4.356,1.860,1.000
20.689,-0.269,-4.995,2.052,1.000
20.789,-0.351,-5.180,2.044,1.000
20.889,-0.432,-5.364,2.028,1.000
20.989,-0.513,-5.549,2.026,1.000
21.089,-0.593,-5.732,2.011,1.000
21.189,-0.676,-5.925,2.049,1.000
21.289,-0.760,-6.115,2.061,1.000
21.389,-0.848,-6.311,2.095,1.000
21.489,-0.937,-6.510,2.131,1.000
21.589,-1.035,-6.722,2.215,1.000
21.689,-1.384,-7.341,2.364,1.000
21.789,-1.482,-7.553,2.347,1.004
