t_s,x_m,y_m,v,k
13.087,-0.103,-0.108,0.000,1.000
13.187,-0.103,-0.108,0.000,1.000
13.287,-0.103,-0.108,0.000,1.000
13.387,-0.103,-0.108,0.000,1.000
13.487,-0.103,-0.108,0.000,1.000
13.587,-0.103,-0.108,0.000,1.000
13.687,-0.103,-0.108,0.000,1.000
13.787,-0.103,-0.108,0.000,1.000
13.887,-0.103,-0.108,0.000,1.000
13.987,-0.103,-0.108,0.000,1.000
14.087,-0.103,-0.108,0.000,1.000
14.187,-0.103,-0.108,0.000,1.000
14.287,-0.103,-0.108,0.000,1.000
14.387,-0.103,-0.108,0.000,1.000
14.487,-0.103,-0.108,0.000,1.000
17.587,0.106,0.067,1.639,1.000
17.687,0.445,0.373,1.541,1.000
17.787,0.600,0.368,1.547,1.000
17.887,0.762,0.358,1.604,1.000
17.987,0.928,0.342,1.639,1.000
18.087,1.096,0.318,1.673,1.000
18.187,1.273,0.289,1.734,1.000
18.287,1.456,0.258,1.792,1.000
18.387,1.647,0.224,1.861,1.000
18.487,1.831,0.189,1.866,1.000
18.587,2.014,0.154,1.864,1.000
18.687,2.296,0.780,2.029,1.000
18.787,2.416,0.948,2.057,1.000
18.887,2.537,1.120,2.079,1.000
18.987,2.657,1.292,2.090,1.000
19.087,2.788,1.477,2.168,1.000
19.187,2.921,1.669,2.240,1.000
19.287,3.051,1.855,2.251,1.000
19.387,3.180,2.037,2.244,1.000
19.487,3.313,2.220,2.250,1.000
19.587,3.455,2.410,2.299,1.000
19.687,3.769,3.121,2.458,1.000
19.787,3.920,3.307,2.430,1.000
19.887,4.073,3.494,2.425,1.000
19.987,4.229,3.686,2.444,1.000
20.087,4.385,3.877,2.455,1.000
20.187,4.543,4.071,2.472,1.000
20.287,4.701,4.269,2.494,1.000
20.387,4.868,4.483,2.581,1.000
20.487,5.033,4.703,2.645,1.000
20.587,5.194,4.924,2.686,1.000
20.687,5.579,5.590,2.899,1.000
20.787,5.751,5.823,2.895,1.000
20.887,5.934,6.065,2.971,1.000
20.987,6.122,6.315,3.052,1.000
21.087,6.311,6.567,3.109,1.000
21.187,6.499,6.822,3.140,1.000
21.287,6.687,7.074,3.144,1.000
21.387,6.878,7.329,3.169,1.000
21.487,7.073,7.587,3.215,1.000
21.587,7.267,7.845,3.220,1.000
21.687,7.720,8.420,3.312,1.000
21.787,7.946,8.667,3.346,1.000
21.887,8.169,8.921,3.372,1.000
21.987,8.389,9.177,3.380,1.000
22.087,8.607,9.436,3.387,1.000
22.187,8.831,9.696,3.427,1.000
22.287,9.060,9.952,3.426,1.000
22.387,9.288,10.205,3.412,1.000
22.487,9.518,10.456,3.406,1.000
22.587,9.749,10.707,3.413,1.000
22.687,10.195,11.231,3.466,1.000
22.787,10.435,11.484,3.493,1.000
22.887,10.673,11.740,3.494,1.000
22.987,10.909,11.999,3.503,1.000
23.087,11.144,12.261,3.510,1.000
23.187,11.382,12.525,3.553,1.000
23.287,11.620,12.786,3.535,1.000
23.387,11.861,13.046,3.544,1.000
23.487,12.102,13.304,3.537,1.000
23.587,12.350,13.567,3.608,1.000
23.687,12.790,14.068,3.669,1.000
23.787,13.041,14.335,3.664,1.000
23.887,13.291,14.608,3.696,1.000
23.987,13.541,14.881,3.707,1.000
24.087,13.793,15.156,3.723,1.000
24.187,14.042,15.424,3.664,1.000
24.287,14.294,15.692,3.684,1.000
24.387,14.549,15.963,3.711,1.000
24.487,14.807,16.239,3.765,1.000
24.587,15.057,16.508,3.686,1.000
24.687,15.463,16.977,3.685,1.000
24.787,15.713,17.253,3.730,1.000
24.887,15.970,17.530,3.771,1.000
