t_s,x_m,y_m,v,k
13.088,-0.062,0.039,0.000,1.000
13.188,-0.072,0.043,0.000,1.000
13.288,-0.072,0.043,0.000,1.000
13.388,-0.072,0.043,0.000,1.000
13.488,-0.072,0.043,0.000,1.000
13.588,-0.072,0.043,0.000,1.000
13.688,-0.072,0.043,0.000,1.000
13.788,-0.072,0.043,0.000,1.000
13.888,-0.072,0.043,0.000,1.000
13.988,-0.072,0.043,0.000,1.000
14.088,-0.072,0.043,0.000,1.000
14.188,-0.072,0.043,0.000,1.000
14.288,-0.082,0.028,0.000,1.000
14.388,-0.082,0.028,0.000,1.000
14.488,-0.082,0.028,0.000,1.000
17.588,-0.051,-0.047,0.300,1.000
17.688,-0.051,-0.047,0.314,1.000
17.788,-0.051,-0.047,0.360,1.000
17.888,-0.051,-0.047,0.347,1.000
17.988,-0.051,-0.047,0.376,1.000
18.088,-0.051,-0.047,0.374,1.000
18.188,-0.080,-0.237,0.494,1.000
18.288,-0.080,-0.237,0.459,1.000
18.388,-0.080,-0.237,0.472,1.000
18.488,-0.080,-0.237,0.445,1.000
18.588,-0.080,-0.237,0.523,1.000
18.688,-0.080,-0.237,0.585,1.000
18.788,-0.080,-0.237,0.659,1.000
18.888,-0.080,-0.237,0.716,1.000
18.988,-0.080,-0.237,0.793,1.000
19.088,-0.080,-0.237,0.863,1.000
19.188,-0.080,-0.237,0.959,1.000
19.288,-0.230,-1.013,1.161,1.000
19.388,-0.230,-1.013,1.186,1.000
19.488,-0.230,-1.013,1.194,1.000
19.588,-0.230,-1.013,1.208,1.000
19.688,-0.230,-1.013,1.181,1.000
19.788,-0.230,-1.013,1.171,1.000
19.888,-0.230,-1.013,1.152,1.000
19.988,-0.230,-1.013,1.151,1.000
20.088,-0.230,-1.013,1.165,1.000
20.188,-0.230,-1.013,1.187,1.000
20.288,-0.279,-1.455,1.377,1.000
20.388,-0.331,-1.583,1.377,1.000
20.488,-0.380,-1.705,1.323,1.000
20.588,-0.429,-1.828,1.330,1.000
20.688,-0.478,-1.949,1.315,1.000
20.788,-0.528,-2.075,1.333,1.000
20.888,-0.583,-2.211,1.404,1.000
20.988,-0.637,-2.346,1.427,1.000
21.088,-0.692,-2.483,1.452,1.000
21.188,-0.906,-3.161,1.675,1.000
21.288,-0.964,-3.306,1.618,1.000
21.388,-1.024,-3.456,1.614,1.000
21.488,-1.081,-3.597,1.571,1.000
21.588,-1.142,-3.749,1.603,1.000
21.688,-1.204,-3.903,1.625,1.000
21.788,-1.268,-4.062,1.667,1.000
21.888,-1.335,-4.229,1.727,1.000
21.988,-1.409,-4.414,1.853,1.000
22.088,-1.484,-4.601,1.928,1.000
22.188,-1.562,-4.796,2.011,1.000
22.288,-1.905,-5.451,2.141,1.000
22.388,-1.985,-5.651,2.149,0.998
22.488,-2.068,-5.856,2.189,0.993
22.588,-2.149,-6.057,2.177,0.994
22.688,-2.232,-6.266,2.225,0.992
22.788,-2.320,-6.485,2.312,0.989
22.888,-2.409,-6.705,2.354,0.987
22.988,-2.497,-6.925,2.364,0.987
23.088,-2.584,-7.141,2.343,0.987
23.188,-2.675,-7.369,2.414,0.987
23.288,-3.009,-8.069,2.620,1.009
23.388,-3.110,-8.319,2.641,1.009
23.488,-3.207,-8.561,2.631,1.009
23.588,-3.306,-8.807,2.641,1.009
23.688,-3.501,-9.270,2.672,1.009
23.788,-3.610,-9.516,2.682,1.009
23.888,-3.717,-9.758,2.662,1.009
23.988,-3.829,-10.009,2.712,1.009
24.088,-3.942,-10.263,2.753,1.009
24.188,-4.056,-10.520,2.796,1.009
24.288,-4.406,-11.161,2.872,1.009
24.388,-4.522,-11.421,2.845,1.015
24.488,-4.639,-11.684,2.878,1.011
24.588,-4.757,-11.950,2.910,1.009
24.688,-4.876,-12.218,2.926,1.009
24.788,-4.999,-12.494,3.010,1.007
24.888,-5.122,-12.771,3.030,1.007
24.988,-5.245,-13.048,3.034,1.007
25.088,-5.370,-13.330,3.075,1.006
25.188,-5.495,-13.612,3.082,1.006
25.288,-6.030,-14.196,3.185,1.017
25.388,-6.160,-14.489,3.233,1.016
25.488,-6.291,-14.784,3.225,1.016
25.588,-6.423,-15.080,3.244,1.016
25.688,-6.553,-15.373,3.204,1.016
25.788,-6.685,-15.669,3.241,1.016
25.888,-6.817,-15.968,3.262,1.016
25.988,-6.951,-16.270,3.304,1.016
26.088,-7.086,-16.573,3.326,1.016
26.188,-7.222,-16.879,3.344,1.016
26.288,-7.807,-17.352,3.403,1.026
26.388,-7.945,-17.662,3.442,1.025
26.488,-8.085,-17.977,3.428,1.026
26.588,-8.225,-18.291,3.447,1.025
26.688,-8.363,-18.603,3.405,1.026
26.788,-9.229,-20.005,3.443,1.026
26.888,-9.436,-20.279,3.441,1.026
26.988,-9.643,-20.555,3.446,1.026
27.088,-9.847,-20.826,3.396,1.026
27.188,-10.444,-21.164,3.472,1.030
27.288,-10.653,-21.442,3.446,1.031
27.388,-10.862,-21.720,3.509,1.030
27.488,-11.072,-21.999,3.478,1.030
27.588,-11.286,-22.283,3.554,1.030
27.688,-11.501,-22.569,3.579,1.030
27.788,-11.717,-22.856,3.601,1.030
27.888,-11.930,-23.139,3.541,1.030
27.988,-12.145,-23.425,3.566,1.030
28.088,-12.360,-23.711,3.580,1.030
28.188,-12.579,-24.002,3.621,1.030
28.288,-13.342,-24.130,3.541,1.030
28.388,-13.554,-24.413,3.549,1.030
28.488,-13.767,-24.696,3.538,1.030
28.588,-13.980,-24.978,3.526,1.030
28.688,-15.104,-26.081,3.463,1.031
28.788,-15.379,-26.302,3.503,1.031
28.888,-15.659,-26.526,3.556,1.031
28.988,-15.937,-26.750,3.563,1.031
29.088,-16.209,-26.968,3.510,1.031
29.188,-16.491,-27.194,3.573,1.031
29.288,-16.830,-27.494,3.578,1.029
29.388,-17.106,-27.716,3.624,1.028
29.488,-17.389,-27.943,3.586,1.029
29.588,-17.669,-28.167,3.582,1.029
29.688,-17.948,-28.391,3.580,1.029
29.788,-18.226,-28.615,3.570,1.029
29.888,-18.502,-28.836,3.545,1.029
29.988,-18.773,-29.054,3.503,1.029
30.088,-19.042,-29.269,3.467,1.029
30.188,-19.311,-29.486,3.458,1.029
30.288,-19.864,-29.544,3.493,1.030
30.388,-20.136,-29.762,3.501,1.030
30.488,-20.409,-29.982,3.535,1.030
30.588,-20.685,-30.203,3.551,1.030
30.688,-20.961,-30.425,3.529,1.030
30.788,-21.233,-30.643,3.492,1.030
30.888,-21.510,-30.866,3.535,1.030
30.988,-22.498,-31.551,3.624,1.030
31.088,-22.816,-31.724,3.621,1.030
31.188,-23.459,-31.534,3.625,1.033
31.288,-23.776,-31.706,3.639,1.033
31.388,-24.096,-31.879,3.647,1.032
31.488,-24.416,-32.053,3.621,1.033
31.588,-24.732,-32.224,3.589,1.033
31.688,-25.046,-32.394,3.574,1.033
31.788,-25.359,-32.564,3.567,1.033
31.888,-25.669,-32.732,3.533,1.033
31.988,-25.982,-32.901,3.548,1.033
32.088,-26.298,-33.073,3.591,1.033
32.188,-26.617,-33.245,3.619,1.033
32.288,-26.965,-33.452,3.595,1.032
32.388,-27.286,-33.626,3.553,1.033
32.488,-27.598,-33.795,3.538,1.033
32.588,-27.911,-33.965,3.578,1.033
32.688,-28.224,-34.135,3.556,1.033
32.788,-28.536,-34.303,3.539,1.033
32.888,-28.850,-34.474,3.569,1.033
32.988,-29.164,-34.644,3.570,1.033
33.088,-29.480,-34.815,3.594,1.033
33.188,-29.798,-34.987,3.613,1.033
33.288,-30.311,-34.967,3.638,1.034
33.388,-30.630,-35.141,3.638,1.034
33.488,-30.951,-35.314,3.629,1.034
33.588,-31.268,-35.486,3.588,1.035
33.688,-31.587,-35.659,3.633,1.035
33.788,-31.908,-35.833,3.655,1.035
33.888,-32.229,-36.007,3.641,1.035
33.988,-32.548,-36.180,3.637,1.035
34.088,-32.865,-36.352,3.608,1.035
34.188,-33.188,-36.526,3.652,1.035
34.288,-34.204,-36.521,3.686,1.034
34.388,-34.551,-36.649,3.675,1.034
34.488,-34.895,-36.777,3.713,1.034
34.588,-35.243,-36.906,3.732,1.034
34.688,-35.593,-37.036,3.736,1.034
34.788,-35.945,-37.166,3.760,1.034
34.888,-36.299,-37.297,3.771,1.034
34.988,-36.653,-37.429,3.772,1.034
35.088,-37.005,-37.559,3.760,1.034
35.188,-37.330,-37.641,3.675,1.031
35.288,-37.671,-37.768,3.714,1.031
35.388,-38.018,-37.897,3.778,1.031
35.488,-38.372,-38.028,3.769,1.031
35.588,-38.724,-38.158,3.748,1.031
35.688,-39.075,-38.288,3.737,1.031
35.788,-39.426,-38.419,3.745,1.031
35.888,-39.778,-38.549,3.761,1.031
35.988,-40.123,-38.677,3.673,1.031
36.088,-40.466,-38.804,3.662,1.031
36.188,-40.806,-38.930,3.640,1.031
36.288,-41.047,-39.157,3.630,1.028
36.388,-41.388,-39.283,3.625,1.028
36.488,-41.728,-39.409,3.641,1.028
36.588,-42.069,-39.535,3.622,1.028
36.688,-42.410,-39.662,3.644,1.028
36.788,-42.746,-39.786,3.575,1.028
36.888,-43.080,-39.910,3.566,1.028
36.988,-43.418,-40.035,3.590,1.028
37.088,-43.758,-40.161,3.624,1.028
37.188,-44.095,-40.286,3.588,1.028
37.288,-44.533,-40.399,3.609,1.030
37.388,-44.873,-40.526,3.592,1.031
37.488,-45.210,-40.650,3.635,1.030
37.588,-45.550,-40.777,3.600,1.031
37.688,-45.889,-40.902,3.626,1.031
37.788,-46.228,-41.028,3.606,1.031
37.888,-46.569,-41.155,3.641,1.031
37.988,-46.910,-41.281,3.636,1.031
38.088,-47.256,-41.409,3.681,1.031
38.188,-47.600,-41.537,3.676,1.031
38.288,-48.047,-41.336,3.685,1.029
38.388,-48.390,-41.463,3.704,1.029
38.488,-49.245,-41.727,3.699,1.029
38.588,-49.610,-41.799,3.756,1.029
38.688,-49.979,-41.871,3.775,1.029
38.788,-50.351,-41.944,3.791,1.029
38.888,-50.723,-42.016,3.791,1.029
38.988,-51.095,-42.089,3.792,1.029
39.088,-51.466,-42.162,3.779,1.029
39.188,-51.841,-42.235,3.817,1.029
39.288,-52.190,-42.008,3.787,1.026
39.388,-52.560,-42.080,3.801,1.026
39.488,-52.934,-42.153,3.778,1.026
39.588,-53.305,-42.226,3.782,1.026
39.688,-53.678,-42.299,3.809,1.026
39.788,-54.054,-42.373,3.834,1.026
39.888,-54.431,-42.447,3.846,1.026
39.988,-54.807,-42.520,3.831,1.026
40.088,-55.180,-42.593,3.804,1.026
40.188,-55.554,-42.667,3.810,1.026
40.288,-55.771,-42.651,3.727,1.022
40.388,-56.134,-42.722,3.754,1.021
40.488,-56.503,-42.794,3.714,1.022
40.588,-56.868,-42.865,3.717,1.022
40.688,-57.232,-42.937,3.706,1.022
40.788,-57.596,-43.008,3.716,1.022
40.888,-57.963,-43.080,3.735,1.022
40.988,-58.336,-43.153,3.804,1.022
41.088,-58.706,-43.225,3.748,1.022
41.188,-59.046,-42.921,3.691,1.019
41.288,-59.412,-42.993,3.647,1.019
41.388,-59.772,-43.063,3.732,1.019
41.488,-60.137,-43.135,3.684,1.019
41.588,-60.496,-43.205,3.648,1.019
41.688,-60.849,-43.274,3.606,1.019
41.788,-61.207,-43.344,3.636,1.019
41.888,-61.562,-43.414,3.625,1.019
41.988,-61.920,-43.484,3.641,1.019
42.088,-62.274,-43.553,3.608,1.019
42.188,-62.721,-42.883,3.656,1.018
42.288,-63.086,-42.955,3.609,1.018
42.388,-63.440,-43.024,3.583,1.019
42.488,-63.791,-43.093,3.578,1.019
42.588,-65.148,-42.934,3.613,1.019
42.688,-65.482,-42.799,3.596,1.019
42.788,-65.815,-42.665,3.591,1.019
42.888,-66.142,-42.534,3.538,1.019
42.988,-66.477,-42.399,3.581,1.019
43.088,-66.803,-42.268,3.531,1.019
43.188,-66.550,-40.752,3.520,1.019
43.288,-66.882,-40.619,3.456,1.019
43.388,-67.203,-40.489,3.477,1.019
43.488,-67.523,-40.361,3.432,1.019
43.588,-67.841,-40.233,3.432,1.019
43.688,-67.923,-40.200,3.383,1.016
43.788,-68.243,-40.071,3.429,1.016
43.888,-68.558,-39.944,3.399,1.016
43.988,-68.876,-39.817,3.417,1.016
44.088,-69.188,-39.691,3.381,1.016
44.188,-69.505,-39.564,3.398,1.016
44.288,-69.361,-38.868,3.401,1.017
44.388,-69.585,-38.614,3.417,1.016
44.488,-69.811,-38.358,3.366,1.017
44.588,-70.033,-38.105,3.360,1.017
44.688,-70.254,-37.854,3.344,1.017
44.788,-70.482,-37.595,3.425,1.017
44.888,-70.709,-37.338,3.431,1.017
44.988,-70.935,-37.082,3.418,1.017
45.088,-71.162,-36.824,3.434,1.017
45.188,-70.608,-35.880,3.467,1.016
45.288,-70.840,-35.617,3.437,1.017
45.388,-71.067,-35.359,3.411,1.017
45.488,-71.292,-35.104,3.407,1.017
45.588,-71.522,-34.842,3.482,1.017
45.688,-71.751,-34.583,3.451,1.017
45.788,-71.977,-34.326,3.428,1.017
45.888,-72.211,-34.060,3.509,1.017
45.988,-72.295,-33.981,3.593,1.017
46.088,-72.484,-33.676,3.594,1.017
46.188,-73.117,-33.685,3.585,1.016
46.288,-73.306,-33.380,3.579,1.016
46.388,-73.494,-33.076,3.621,1.016
46.488,-73.685,-32.768,3.620,1.016
46.588,-73.875,-32.459,3.626,1.016
46.688,-74.068,-32.148,3.664,1.016
46.788,-74.262,-31.835,3.673,1.016
46.888,-74.453,-31.525,3.654,1.016
46.988,-74.647,-31.213,3.665,1.016
47.088,-74.836,-30.906,3.628,1.016
47.188,-77.376,-32.015,3.718,1.017
47.288,-77.574,-31.695,3.680,1.018
47.388,-77.768,-31.382,3.676,1.018
47.488,-77.962,-31.068,3.696,1.017
47.588,-78.157,-30.753,3.705,1.017
47.688,-78.351,-30.439,3.695,1.017
47.788,-78.547,-30.123,3.707,1.017
47.888,-78.739,-29.813,3.673,1.018
47.988,-78.930,-29.503,3.657,1.018
48.088,-79.118,-29.200,3.616,1.018
48.188,-79.304,-28.900,3.580,1.018
48.288,-76.774,-29.334,3.636,1.027
48.388,-76.893,-29.679,3.602,1.027
48.488,-77.010,-30.017,3.542,1.028
48.588,-77.124,-30.345,3.480,1.028
48.688,-77.233,-30.661,3.400,1.028
48.788,-77.343,-30.977,3.375,1.028
48.888,-77.451,-31.289,3.342,1.028
48.988,-77.560,-31.604,3.336,1.028
49.088,-77.668,-31.916,3.320,1.028
49.188,-78.183,-32.838,3.383,1.037
49.288,-78.294,-33.158,3.372,1.037
49.388,-78.404,-33.477,3.383,1.037
49.488,-78.514,-33.794,3.353,1.037
49.588,-78.625,-34.113,3.372,1.037
49.688,-78.734,-34.429,3.353,1.037
49.788,-78.844,-34.746,3.353,1.037
49.888,-78.951,-35.055,3.300,1.037
49.988,-79.057,-35.361,3.268,1.037
50.088,-79.165,-35.675,3.296,1.037
50.188,-79.275,-35.992,3.332,1.037
50.288,-79.463,-36.445,3.317,1.037
50.388,-79.643,-36.807,3.369,1.037
50.488,-79.813,-37.149,3.419,1.037
50.588,-79.979,-37.484,3.472,1.037
50.688,-80.133,-37.794,3.471,1.037
50.788,-80.285,-38.100,3.450,1.037
50.888,-80.437,-38.405,3.430,1.037
50.988,-80.592,-38.717,3.462,1.037
51.088,-80.748,-39.032,3.494,1.037
51.188,-80.908,-39.353,3.552,1.037
51.288,-81.066,-39.670,3.547,1.037
51.388,-81.224,-39.988,3.549,1.037
51.488,-81.379,-40.302,3.512,1.037
51.588,-81.535,-40.615,3.503,1.037
51.688,-81.692,-40.932,3.527,1.037
51.788,-81.853,-41.256,3.597,1.037
51.888,-82.012,-41.575,3.576,1.037
51.988,-82.170,-41.893,3.549,1.037
52.088,-82.326,-42.207,3.518,1.037
52.188,-82.883,-42.982,3.596,1.037
52.288,-83.173,-43.192,3.585,1.037
52.388,-83.461,-43.399,3.552,1.037
52.488,-83.749,-43.607,3.553,1.037
52.588,-84.039,-43.817,3.578,1.037
52.688,-84.328,-44.025,3.565,1.037
52.788,-84.616,-44.233,3.554,1.037
52.888,-84.904,-44.441,3.545,1.037
52.988,-85.194,-44.650,3.578,1.037
53.088,-85.486,-44.861,3.593,1.037
53.188,-85.774,-45.069,3.561,1.037
53.288,-86.065,-45.278,3.578,1.037
53.388,-86.359,-45.491,3.625,1.037
53.488,-86.652,-45.702,3.607,1.037
53.588,-86.942,-45.911,3.582,1.037
53.688,-87.230,-46.119,3.561,1.037
53.788,-87.842,-46.439,3.597,1.037
53.888,-88.180,-46.566,3.608,1.037
53.988,-88.516,-46.691,3.589,1.037
54.088,-88.846,-46.815,3.536,1.037
54.188,-89.175,-46.937,3.513,1.037
54.288,-89.505,-47.061,3.519,1.037
54.388,-89.833,-47.183,3.509,1.037
54.488,-90.161,-47.306,3.499,1.037
54.588,-90.488,-47.428,3.499,1.037
54.688,-90.821,-47.553,3.540,1.037
54.788,-91.155,-47.678,3.558,1.037
54.888,-91.483,-47.800,3.513,1.037
54.988,-91.819,-47.926,3.572,1.037
55.088,-92.155,-48.051,3.577,1.037
55.188,-92.488,-48.176,3.565,1.037
55.288,-92.819,-48.300,3.543,1.037
55.388,-93.152,-48.424,3.553,1.037
55.488,-93.488,-48.550,3.577,1.037
55.588,-93.821,-48.674,3.557,1.037
55.688,-94.146,-48.796,3.498,1.037
55.788,-94.984,-48.943,3.510,1.037
55.888,-95.335,-48.925,3.513,1.037
55.988,-95.685,-48.907,3.506,1.037
56.088,-96.038,-48.889,3.521,1.037
56.188,-96.393,-48.871,3.545,1.037
56.288,-96.746,-48.854,3.539,1.037
56.388,-97.096,-48.836,3.517,1.037
56.488,-97.442,-48.818,3.486,1.037
56.588,-97.803,-48.800,3.564,1.037
56.688,-98.162,-48.782,3.581,1.037
56.788,-98.522,-48.764,3.596,1.037
56.888,-98.878,-48.746,3.579,1.037
56.988,-99.241,-48.727,3.610,1.037
57.088,-99.601,-48.709,3.607,1.037
57.188,-100.353,-48.592,3.602,1.037
57.288,-100.688,-48.460,3.600,1.037
57.388,-101.024,-48.327,3.609,1.037
57.488,-101.358,-48.195,3.600,1.037
57.588,-101.690,-48.065,3.575,1.037
57.688,-102.021,-47.934,3.566,1.037
57.788,-102.355,-47.802,3.584,1.037
57.888,-102.690,-47.670,3.590,1.037
57.988,-103.021,-47.540,3.571,1.037
58.088,-103.356,-47.408,3.592,1.037
58.188,-103.697,-47.273,3.644,1.037
58.288,-104.038,-47.139,3.653,1.037
58.388,-104.622,-46.756,3.638,1.037
58.488,-104.911,-46.538,3.631,1.037
58.588,-105.203,-46.318,3.645,1.037
58.688,-105.492,-46.100,3.624,1.037
58.788,-105.782,-45.881,3.635,1.037
58.888,-106.077,-45.660,3.669,1.037
58.988,-106.371,-45.437,3.684,1.037
59.088,-106.663,-45.217,3.666,1.037
59.188,-106.955,-44.998,3.651,1.037
59.288,-107.248,-44.776,3.671,1.037
59.388,-107.541,-44.556,3.666,1.037
59.488,-107.830,-44.338,3.627,1.037
59.588,-108.118,-44.121,3.615,1.037
59.688,-108.405,-43.905,3.598,1.037
59.788,-108.697,-43.685,3.645,1.037
59.888,-108.990,-43.464,3.660,1.037
59.988,-109.285,-43.242,3.684,1.037
60.088,-109.582,-43.018,3.714,1.037
60.188,-109.877,-42.795,3.698,1.037
60.288,-110.066,-42.656,3.656,1.037
60.388,-110.386,-42.464,3.717,1.037
60.488,-110.705,-42.272,3.722,1.037
60.588,-111.023,-42.080,3.720,1.037
60.688,-111.338,-41.890,3.680,1.037
60.788,-111.657,-41.698,3.714,1.037
60.888,-111.977,-41.506,3.732,1.037
60.988,-112.296,-41.314,3.724,1.037
61.088,-112.609,-41.125,3.666,1.037
61.188,-112.928,-40.933,3.717,1.037
61.288,-113.244,-40.742,3.693,1.037
61.388,-113.563,-40.550,3.718,1.037
61.488,-113.882,-40.358,3.722,1.037
61.588,-114.206,-40.163,3.781,1.037
61.688,-114.530,-39.967,3.785,1.037
61.788,-114.853,-39.773,3.771,1.037
61.888,-115.172,-39.581,3.724,1.037
61.988,-115.497,-39.385,3.783,1.037
62.088,-115.820,-39.191,3.774,1.037
62.188,-116.144,-38.995,3.788,1.037
62.288,-116.463,-38.803,3.731,1.037
62.388,-116.786,-38.609,3.760,1.037
62.488,-117.109,-38.414,3.774,1.037
62.588,-117.297,-38.305,3.759,1.037
62.688,-117.638,-38.154,3.730,1.037
62.788,-117.982,-38.002,3.757,1.037
62.888,-118.320,-37.853,3.708,1.037
62.988,-118.661,-37.703,3.722,1.037
63.088,-119.003,-37.551,3.739,1.037
63.188,-119.348,-37.399,3.762,1.037
63.288,-119.693,-37.247,3.769,1.037
63.388,-120.036,-37.095,3.757,1.037
63.488,-120.378,-36.945,3.736,1.037
63.588,-120.725,-36.792,3.784,1.037
63.688,-121.067,-36.641,3.746,1.037
63.788,-121.411,-36.489,3.761,1.037
63.888,-121.749,-36.339,3.705,1.037
63.988,-122.087,-36.190,3.691,1.037
64.088,-122.420,-36.043,3.648,1.037
64.188,-122.755,-35.895,3.664,1.037
64.288,-123.089,-35.748,3.651,1.037
64.388,-123.426,-35.599,3.681,1.037
64.488,-123.760,-35.452,3.651,1.037
64.588,-124.091,-35.305,3.625,1.037
64.688,-124.424,-35.159,3.635,1.037
64.788,-124.761,-35.010,3.680,1.037
64.888,-125.097,-34.861,3.670,1.037
