t_s,x_m,y_m,v,k
13.088,-0.013,0.019,0.000,1.000
13.188,-0.013,0.019,0.000,1.000
13.288,-0.013,0.019,0.000,1.000
13.388,-0.013,0.019,0.000,1.000
13.488,-0.013,0.019,0.000,1.000
13.588,-0.013,0.019,0.000,1.000
13.688,-0.013,0.019,0.000,1.000
13.788,-0.013,0.019,0.000,1.000
13.888,-0.013,0.019,0.000,1.000
13.988,-0.013,0.019,0.000,1.000
14.088,-0.013,0.019,0.000,1.000
14.188,-0.013,0.019,0.000,1.000
14.288,-0.044,0.013,-0.000,1.000
14.388,-0.044,0.013,0.000,1.000
14.488,-0.044,0.013,0.000,1.000
17.588,-0.084,-0.034,0.300,1.000
17.688,-0.053,-0.034,0.314,1.000
17.788,-0.017,-0.034,0.360,1.000
17.888,0.017,-0.035,0.347,1.000
17.988,0.055,-0.036,0.376,1.000
18.088,0.093,-0.036,0.374,1.000
18.188,0.079,-0.216,0.494,1.000
18.288,0.125,-0.217,0.459,1.000
18.388,0.172,-0.218,0.472,1.000
18.488,0.216,-0.219,0.445,1.000
18.588,0.269,-0.218,0.523,1.000
18.688,0.329,-0.217,0.585,1.000
18.788,0.397,-0.216,0.659,1.000
18.888,0.470,-0.213,0.716,1.000
18.988,0.553,-0.210,0.793,1.000
19.088,0.643,-0.206,0.863,1.000
19.188,0.745,-0.202,0.959,1.000
19.288,0.571,-0.631,1.161,1.000
19.388,0.535,-0.744,1.186,1.000
19.488,0.495,-0.856,1.194,1.000
19.588,0.453,-0.970,1.209,1.000
19.688,0.411,-1.079,1.181,1.000
19.788,0.369,-1.187,1.171,1.000
19.888,0.328,-1.292,1.152,1.000
19.988,0.287,-1.400,1.151,1.000
20.088,0.247,-1.511,1.165,1.000
20.188,0.207,-1.626,1.187,1.000
20.288,-0.069,-2.183,1.378,1.000
20.388,-0.112,-2.314,1.378,1.000
20.488,-0.152,-2.434,1.324,1.000
20.588,-0.196,-2.561,1.331,1.000
20.688,-0.239,-2.683,1.316,1.000
20.788,-0.285,-2.810,1.334,1.000
20.888,-0.337,-2.950,1.404,1.000
20.988,-0.387,-3.087,1.427,1.000
21.088,-0.438,-3.225,1.452,1.000
21.188,-0.723,-3.824,1.675,1.000
21.288,-0.781,-3.970,1.618,1.000
21.388,-0.843,-4.118,1.614,1.000
21.488,-0.906,-4.257,1.571,1.000
21.588,-0.975,-4.406,1.603,1.000
21.688,-1.045,-4.555,1.625,1.000
21.788,-1.118,-4.711,1.667,1.000
21.888,-1.194,-4.873,1.727,1.000
21.988,-1.279,-5.055,1.853,1.000
22.088,-1.364,-5.237,1.928,1.000
22.188,-1.450,-5.429,2.011,1.000
22.288,-1.758,-6.055,2.140,1.000
22.388,-1.844,-6.252,2.150,1.000
22.488,-1.930,-6.458,2.198,1.000
22.588,-2.013,-6.660,2.187,1.000
22.688,-2.098,-6.871,2.240,1.000
22.788,-2.190,-7.093,2.334,1.000
22.888,-2.284,-7.315,2.381,1.000
22.988,-2.379,-7.536,2.393,1.000
23.088,-2.472,-7.752,2.372,1.000
23.188,-2.573,-7.980,2.445,1.000
23.288,-2.897,-8.629,2.604,1.000
23.388,-3.011,-8.866,2.619,1.000
23.488,-3.126,-9.099,2.610,1.000
23.588,-3.243,-9.334,2.619,1.000
23.688,-3.361,-9.573,2.649,1.000
23.788,-3.482,-9.810,2.659,1.000
23.888,-3.604,-10.043,2.638,1.000
23.988,-3.731,-10.283,2.689,1.000
24.088,-3.859,-10.526,2.729,1.000
24.188,-3.991,-10.772,2.771,1.000
24.288,-4.322,-11.406,2.850,1.000
24.388,-4.453,-11.655,2.814,1.000
24.488,-4.586,-11.907,2.849,1.000
24.588,-4.719,-12.164,2.884,1.000
24.688,-4.854,-12.422,2.901,1.000
24.788,-4.998,-12.687,2.990,1.000
24.888,-5.146,-12.949,3.010,1.000
24.988,-5.299,-13.209,3.014,1.000
25.088,-5.460,-13.470,3.055,1.000
25.188,-5.626,-13.728,3.063,1.000
25.288,-5.989,-14.344,3.138,1.000
25.388,-6.173,-14.604,3.186,1.000
25.488,-6.361,-14.860,3.176,1.000
25.588,-6.552,-15.116,3.194,1.000
25.688,-6.741,-15.368,3.153,1.000
25.788,-6.931,-15.625,3.190,1.000
25.888,-7.123,-15.883,3.211,1.000
25.988,-7.318,-16.143,3.252,1.000
26.088,-7.517,-16.404,3.274,1.000
26.188,-7.721,-16.663,3.293,1.000
26.288,-8.107,-17.244,3.326,1.000
26.388,-8.327,-17.498,3.363,1.000
26.488,-8.552,-17.746,3.345,1.000
26.588,-8.781,-17.993,3.363,1.000
26.688,-9.008,-18.234,3.320,1.000
26.788,-9.239,-18.478,3.358,1.000
26.888,-9.471,-18.721,3.355,1.000
26.988,-9.704,-18.963,3.361,1.000
27.088,-9.933,-19.201,3.310,1.000
27.188,-10.334,-19.733,3.382,1.000
27.288,-10.566,-19.975,3.350,1.000
27.388,-10.805,-20.220,3.412,1.000
27.488,-11.043,-20.459,3.378,1.000
27.588,-11.291,-20.702,3.453,1.000
27.688,-11.543,-20.943,3.478,1.000
27.788,-11.800,-21.180,3.499,1.000
27.888,-12.056,-21.406,3.438,1.000
27.988,-12.320,-21.632,3.462,1.000
28.088,-12.588,-21.855,3.477,1.000
28.188,-12.860,-22.080,3.517,1.000
28.288,-13.277,-22.550,3.450,1.000
28.388,-13.542,-22.771,3.454,1.000
28.488,-13.805,-22.992,3.439,1.000
