t_s,x_m,y_m,v,k
13.091,0.006,-0.005,0.000,1.000
13.191,0.006,-0.005,0.000,1.000
13.291,0.006,-0.005,0.000,1.000
13.391,0.006,-0.005,0.000,1.000
13.491,0.006,-0.005,0.000,1.000
13.591,0.006,-0.005,0.000,1.000
13.691,0.006,-0.005,0.000,1.000
13.791,0.006,-0.005,0.000,1.000
13.891,0.006,-0.003,0.000,1.000
13.991,0.006,-0.003,0.000,1.000
14.091,0.006,-0.003,0.000,1.000
14.191,0.006,-0.003,0.000,1.000
14.291,0.006,-0.003,0.000,1.000
14.391,0.006,-0.003,0.000,1.000
14.491,0.006,-0.003,0.000,1.000
17.591,0.184,-0.224,2.347,1.000
17.691,0.184,-0.224,2.198,1.000
17.791,0.184,-0.224,2.137,1.000
17.891,0.343,-0.741,2.114,1.000
17.991,0.343,-0.741,2.125,1.000
18.091,0.343,-0.741,2.148,1.000
18.191,0.343,-0.741,2.155,1.000
18.291,0.343,-0.741,2.181,1.000
18.391,0.343,-0.741,2.269,1.000
18.491,0.343,-0.741,2.351,1.000
18.591,0.343,-0.741,2.431,1.000
18.691,0.343,-0.741,2.480,1.000
18.791,0.343,-0.741,2.582,1.000
18.891,0.407,-1.473,2.780,1.000
18.991,0.304,-1.730,2.752,1.000
19.091,0.202,-1.984,2.740,1.000
19.191,0.097,-2.243,2.779,1.000
19.291,-0.010,-2.509,2.826,1.000
19.391,-0.120,-2.783,2.889,1.000
19.491,-0.229,-3.055,2.909,1.000
19.591,-0.341,-3.333,2.949,1.000
19.691,-0.459,-3.627,3.046,1.000
19.791,-0.575,-3.916,3.078,1.000
19.891,-0.716,-5.058,3.253,1.000
19.991,-0.837,-5.359,3.247,1.000
20.091,-0.961,-5.667,3.283,1.000
20.191,-1.085,-5.977,3.313,1.000
20.291,-1.214,-6.297,3.385,1.000
20.391,-1.345,-6.622,3.446,1.000
20.491,-1.479,-6.956,3.527,1.000
20.591,-1.611,-7.286,3.547,1.000
20.691,-1.743,-7.613,3.533,1.000
20.791,-1.875,-7.943,3.548,1.000
20.891,-1.988,-9.016,3.663,1.000
20.991,-2.126,-9.358,3.683,1.000
21.091,-2.263,-9.699,3.676,1.000
21.191,-2.401,-10.043,3.704,1.000
21.291,-2.541,-10.392,3.746,1.000
21.391,-2.683,-10.746,3.807,1.000
21.491,-2.914,-11.310,3.872,1.000
21.591,-3.072,-11.665,3.881,1.000
21.691,-3.231,-12.022,3.903,1.000
21.791,-3.390,-12.380,3.919,1.000
21.891,-3.742,-13.308,4.009,1.000
21.991,-3.905,-13.676,4.018,0.995
22.091,-4.068,-14.042,4.006,0.997
22.191,-4.230,-14.408,4.000,0.998
22.291,-4.394,-14.777,4.044,0.996
22.391,-4.558,-15.145,4.030,0.997
22.491,-4.724,-15.518,4.083,0.996
22.591,-4.890,-15.892,4.096,0.996
22.691,-5.058,-16.271,4.143,0.996
22.791,-5.225,-16.646,4.103,0.996
22.891,-5.944,-17.447,4.349,1.015
22.991,-6.120,-17.844,4.328,1.016
23.091,-6.298,-18.244,4.417,1.015
23.191,-6.476,-18.644,4.359,1.015
23.291,-6.656,-19.049,4.424,1.015
23.391,-6.833,-19.448,4.367,1.015
23.491,-7.015,-19.857,4.452,1.015
23.591,-7.194,-20.260,4.417,1.015
23.691,-7.379,-20.677,4.526,1.015
23.791,-8.272,-22.205,4.499,1.015
23.891,-9.076,-22.763,4.644,1.029
23.991,-9.358,-23.137,4.564,1.031
24.091,-9.634,-23.504,4.606,1.031
24.191,-9.908,-23.868,4.544,1.031
24.291,-10.185,-24.236,4.594,1.031
24.391,-10.462,-24.605,4.608,1.031
24.491,-10.747,-24.983,4.698,1.031
24.591,-11.030,-25.359,4.702,1.031
24.691,-11.319,-25.744,4.774,1.030
24.791,-11.603,-26.120,4.734,1.030
24.891,-12.541,-26.428,4.820,1.032
24.991,-12.831,-26.813,4.824,1.032
25.091,-13.121,-27.198,4.840,1.031
25.191,-14.345,-28.399,4.789,1.032
25.291,-14.718,-28.698,4.786,1.032
25.391,-15.090,-28.997,4.780,1.032
25.491,-15.462,-29.295,4.768,1.032
25.591,-15.829,-29.591,4.741,1.032
25.691,-16.212,-29.898,4.821,1.032
25.791,-16.590,-30.201,4.837,1.032
25.891,-17.151,-30.631,4.868,1.034
25.991,-17.534,-30.938,4.824,1.035
26.091,-17.910,-31.240,4.838,1.035
26.191,-18.287,-31.543,4.827,1.035
26.291,-18.661,-31.843,4.805,1.035
26.391,-19.034,-32.142,4.788,1.035
26.491,-19.421,-32.453,4.887,1.035
26.591,-19.808,-32.763,4.927,1.035
26.691,-20.194,-33.073,4.942,1.035
26.791,-20.565,-33.372,4.835,1.035
26.891,-22.035,-33.839,4.779,1.035
26.991,-22.458,-34.068,4.749,1.035
27.091,-22.875,-34.294,4.701,1.036
27.191,-23.285,-34.516,4.664,1.036
27.291,-23.696,-34.739,4.673,1.036
27.391,-24.108,-34.962,4.680,1.036
27.491,-24.526,-35.189,4.727,1.036
27.591,-24.942,-35.414,4.733,1.036
27.691,-25.359,-35.640,4.738,1.036
27.791,-25.780,-35.868,4.772,1.036
27.891,-26.428,-36.128,4.860,1.041
27.991,-26.862,-36.363,4.819,1.042
28.091,-27.286,-36.593,4.817,1.042
28.191,-27.709,-36.822,4.824,1.042
28.291,-28.136,-37.054,4.858,1.042
28.391,-28.559,-37.283,4.818,1.042
28.491,-28.987,-37.515,4.850,1.042
28.591,-29.423,-37.751,4.922,1.042
28.691,-29.864,-37.990,4.984,1.041
28.791,-30.298,-38.225,4.951,1.042
28.891,-31.287,-37.943,5.025,1.047
28.991,-31.726,-38.181,5.040,1.047
29.091,-32.166,-38.419,5.103,1.046
29.191,-33.101,-38.871,5.075,1.047
29.291,-33.582,-39.049,5.140,1.046
29.391,-34.069,-39.230,5.202,1.046
29.491,-34.568,-39.415,5.300,1.046
29.591,-35.065,-39.599,5.303,1.046
29.691,-35.570,-39.786,5.356,1.045
29.791,-36.077,-39.974,5.394,1.045
29.891,-36.695,-39.787,5.373,1.042
29.991,-37.205,-39.976,5.344,1.042
30.091,-37.704,-40.161,5.380,1.042
30.191,-38.208,-40.348,5.394,1.042
30.291,-38.715,-40.536,5.408,1.041
30.391,-39.223,-40.724,5.414,1.041
30.491,-39.738,-40.915,5.472,1.041
30.591,-40.257,-41.107,5.512,1.041
30.691,-40.775,-41.299,5.522,1.041
30.791,-41.283,-41.488,5.460,1.041
30.891,-41.826,-41.346,5.388,1.036
30.991,-42.320,-41.529,5.457,1.035
31.091,-42.833,-41.720,5.438,1.036
31.191,-43.343,-41.909,5.424,1.036
31.291,-43.852,-42.097,5.434,1.036
31.391,-44.365,-42.288,5.461,1.036
31.491,-44.870,-42.475,5.412,1.036
31.591,-45.366,-42.659,5.348,1.036
31.691,-45.866,-42.844,5.342,1.036
31.791,-46.379,-43.034,5.396,1.036
31.891,-46.743,-43.226,5.240,1.031
31.991,-47.237,-43.409,5.217,1.032
32.091,-47.726,-43.591,5.226,1.031
32.191,-48.712,-43.862,5.302,1.031
32.291,-49.229,-43.963,5.263,1.031
32.391,-49.742,-44.064,5.231,1.031
32.491,-50.258,-44.165,5.249,1.031
32.591,-50.785,-44.268,5.317,1.031
32.691,-51.304,-44.370,5.295,1.031
32.791,-51.812,-44.469,5.239,1.031
32.891,-52.179,-44.583,5.150,1.027
32.991,-52.681,-44.682,5.177,1.027
33.091,-53.191,-44.782,5.110,1.027
33.191,-53.690,-44.879,5.058,1.028
33.291,-54.188,-44.977,5.076,1.028
33.391,-54.687,-45.074,5.079,1.028
33.491,-55.178,-45.171,5.030,1.028
33.591,-55.666,-45.266,5.000,1.028
33.691,-56.158,-45.363,5.009,1.028
33.791,-56.652,-45.459,5.020,1.028
33.891,-57.078,-45.348,4.982,1.025
33.991,-57.562,-45.443,5.011,1.025
34.091,-58.054,-45.539,5.020,1.024
34.191,-58.547,-45.635,5.031,1.024
34.291,-59.040,-45.732,5.019,1.024
34.391,-59.536,-45.829,5.051,1.024
34.491,-60.032,-45.926,5.053,1.024
34.591,-60.521,-46.022,5.011,1.024
34.691,-61.005,-46.117,4.965,1.024
34.791,-61.497,-46.213,4.991,1.024
34.891,-62.005,-45.191,4.838,1.020
34.991,-62.482,-45.284,4.824,1.020
35.091,-62.955,-45.377,4.799,1.021
35.191,-64.444,-45.180,4.818,1.020
35.291,-64.887,-45.002,4.777,1.021
35.391,-65.330,-44.824,4.771,1.021
35.491,-65.772,-44.646,4.770,1.021
35.591,-66.219,-44.466,4.795,1.021
35.691,-66.662,-44.288,4.789,1.021
35.791,-67.108,-44.109,4.795,1.021
35.891,-66.521,-41.816,4.747,1.018
35.991,-66.958,-41.640,4.776,1.017
36.091,-67.402,-41.462,4.732,1.018
36.191,-67.841,-41.285,4.720,1.018
36.291,-68.273,-41.112,4.656,1.018
36.391,-68.485,-41.045,4.640,1.018
36.491,-68.790,-40.699,4.620,1.018
36.591,-69.092,-40.356,4.588,1.018
36.691,-69.394,-40.013,4.581,1.018
36.791,-69.695,-39.671,4.565,1.018
36.891,-68.970,-38.578,4.514,1.016
36.991,-69.266,-38.242,4.556,1.016
37.091,-69.567,-37.901,4.557,1.016
37.191,-69.869,-37.558,4.568,1.016
37.291,-70.174,-37.212,4.628,1.016
37.391,-70.482,-36.862,4.675,1.016
37.491,-70.792,-36.510,4.684,1.016
37.591,-71.102,-36.158,4.695,1.016
37.691,-71.220,-36.041,4.654,1.016
37.791,-71.467,-35.642,4.682,1.016
37.891,-72.197,-35.723,4.594,1.012
37.991,-72.438,-35.333,4.603,1.012
38.091,-72.681,-34.942,4.596,1.012
38.191,-72.924,-34.549,4.632,1.012
38.291,-73.168,-34.154,4.650,1.012
38.391,-73.413,-33.758,4.658,1.012
38.491,-73.658,-33.363,4.647,1.012
38.591,-73.904,-32.965,4.666,1.012
38.691,-74.149,-32.568,4.665,1.012
38.791,-74.399,-32.165,4.699,1.012
38.891,-77.349,-33.446,4.774,1.013
38.991,-77.600,-33.040,4.782,1.013
39.091,-77.852,-32.633,4.760,1.013
39.191,-78.101,-32.230,4.728,1.014
39.291,-78.345,-31.836,4.657,1.014
39.391,-78.584,-31.449,4.603,1.014
39.491,-75.078,-30.963,4.548,1.014
39.591,-75.225,-31.389,4.534,1.014
39.691,-75.366,-31.796,4.463,1.014
39.791,-75.508,-32.207,4.429,1.014
39.891,-76.106,-33.421,4.598,1.024
39.991,-76.251,-33.843,4.583,1.024
40.091,-76.388,-34.236,4.532,1.024
40.191,-76.536,-34.664,4.532,1.024
40.291,-76.673,-35.060,4.480,1.024
40.391,-76.817,-35.476,4.468,1.024
40.491,-76.954,-35.873,4.420,1.024
40.591,-77.099,-36.291,4.422,1.024
40.691,-77.247,-36.718,4.441,1.024
40.791,-77.393,-37.139,4.444,1.024
40.891,-78.132,-38.100,4.543,1.024
40.991,-78.359,-38.707,4.545,1.024
41.091,-78.560,-39.112,4.537,1.024
41.191,-78.763,-39.521,4.550,1.024
41.291,-78.962,-39.922,4.522,1.024
41.391,-79.162,-40.324,4.510,1.024
41.491,-79.368,-40.738,4.555,1.024
41.591,-79.571,-41.147,4.559,1.024
41.691,-79.776,-41.559,4.580,1.024
41.791,-79.986,-41.981,4.639,1.024
