t_ns,ax,ay,az,bx,by,bz
15855468721342,-0.4019942,9.01137,4.0869412,0.0,0.0,0.0
15855471100509,-0.37328035,9.030513,4.0007997,0.0,0.0,0.0
15855473479624,-0.35413775,8.9826565,3.938586,0.0,0.0,0.0
15855475858790,-0.33499518,8.973084,3.9720855,0.0,0.0,0.0
15855478238009,-0.31106696,8.9826565,4.048656,0.0,0.0,0.0
15855480617176,-0.27756742,8.968299,4.101298,0.0,0.0,0.0
15855482996394,-0.2009971,8.953942,4.1108694,0.0,0.0,0.0
15855485375561,-0.17706887,8.963513,4.0677986,0.0,0.0,0.0
15855487754780,-0.148355,8.992228,3.9720855,0.0,0.0,0.0
15855490133946,-0.11964113,8.977871,3.9050865,0.0,0.0,0.0
15855492513113,-0.11964113,8.963513,3.9146578,0.0,0.0,0.0
15855494892332,-0.16271193,8.9348,4.005585,0.0,0.0,0.0
15855497271499,-0.20578274,8.930014,4.0773697,0.0,0.0,0.0
15855499650717,-0.2632105,8.944371,4.106084,0.0,0.0,0.0
15855502029884,-0.28713873,8.944371,4.0677986,0.0,0.0,0.0
15855504409103,-0.3493521,8.958728,4.0103707,0.0,0.0,0.0
15855506788269,-0.39720857,8.963513,3.991228,0.0,0.0,0.0
15855509167488,-0.4546363,8.963513,3.9864426,0.0,0.0,0.0
15855511546655,-0.47377887,8.953942,4.034299,0.0,0.0,0.0
15855513925821,-0.5024927,8.958728,4.101298,0.0,0.0,0.0
15855516305040,-0.5407779,8.949157,4.115655,0.0,0.0,0.0
15855518684207,-0.53599226,8.953942,4.091727,0.0,0.0,0.0
15855521063426,-0.55513483,8.973084,4.0534415,0.0,0.0,0.0
15855523442592,-0.53599226,9.001799,4.0295134,0.0,0.0,0.0
15855525821811,-0.51206404,9.01137,4.0103707,0.0,0.0,0.0
15855528200926,-0.4977071,8.997013,4.0295134,0.0,0.0,0.0
15855530580092,-0.4546363,8.9826565,4.0773697,0.0,0.0,0.0
15855532959363,-0.40677986,8.997013,4.101298,0.0,0.0,0.0
15855535338530,-0.3684947,8.992228,4.072584,0.0,0.0,0.0
15855537717749,-0.34456646,9.001799,4.034299,0.0,0.0,0.0
15855540096915,-0.33499518,8.992228,4.0151563,0.0,0.0,0.0
15855542476134,-0.32542387,8.987442,4.0151563,0.0,0.0,0.0
15855544855301,-0.31106696,8.997013,4.0534415,0.0,0.0,0.0
15855547234519,-0.32542387,8.997013,4.0869412,0.0,0.0,0.0
15855549613686,-0.33020952,8.987442,4.125226,0.0,0.0,0.0
15855551992853,-0.37328035,8.973084,4.125226,0.0,0.0,0.0
15855554372071,-0.39720857,8.9826565,4.101298,0.0,0.0,0.0
15855556751238,-0.43070808,8.9826565,4.082155,0.0,0.0,0.0
15855559130457,-0.4642076,8.997013,4.0773697,0.0,0.0,0.0
15855561509624,-0.4833502,9.01137,4.101298,0.0,0.0,0.0
15855563888842,-0.4977071,9.040084,4.115655,0.0,0.0,0.0
15855566268009,-0.52163535,9.059227,4.125226,0.0,0.0,0.0
15855568647176,-0.5312066,9.044869,4.101298,0.0,0.0,0.0
15855571026394,-0.4977071,9.059227,4.058227,0.0,0.0,0.0
15855573405561,-0.47856453,9.073584,4.0103707,0.0,0.0,0.0
15855575784780,-0.4546363,9.044869,4.019942,0.0,0.0,0.0
15855578163946,-0.41635114,9.040084,4.0295134,0.0,0.0,0.0
15855580543165,-0.40677986,9.030513,4.0438704,0.0,0.0,0.0
15855582922332,-0.37328035,9.016156,4.058227,0.0,0.0,0.0
15855585301551,-0.36370903,9.016156,4.0677986,0.0,0.0,0.0
15855587680717,-0.32063824,9.020942,4.0534415,0.0,0.0,0.0
15855590059884,-0.32063824,9.016156,4.005585,0.0,0.0,0.0
15855592439103,-0.32063824,9.016156,3.9768713,0.0,0.0,0.0
15855594818269,-0.33499518,9.020942,3.9864426,0.0,0.0,0.0
15855597197488,-0.33499518,8.987442,4.0151563,0.0,0.0,0.0
15855599576655,-0.34456646,8.997013,4.034299,0.0,0.0,0.0
15855601955874,-0.3684947,9.016156,4.034299,0.0,0.0,0.0
15855604335040,-0.37328035,9.049655,4.0007997,0.0,0.0,0.0
15855606714207,-0.39720857,9.035298,4.0103707,0.0,0.0,0.0
15855609093426,-0.41156548,9.035298,4.0103707,0.0,0.0,0.0
15855611472592,-0.42592242,9.040084,4.0103707,0.0,0.0,0.0
15855613851811,-0.44506502,9.01137,4.0295134,0.0,0.0,0.0
15855616230978,-0.44985065,9.030513,4.058227,0.0,0.0,0.0
15855618610144,-0.42592242,9.025727,4.072584,0.0,0.0,0.0
15855620989363,-0.44506502,9.025727,4.063013,0.0,0.0,0.0
15855623368530,-0.42592242,9.01137,4.0534415,0.0,0.0,0.0
15855625747696,-0.4019942,9.01137,4.058227,0.0,0.0,0.0
15855628126915,-0.39720857,9.006584,4.0773697,0.0,0.0,0.0
15855630506134,-0.39720857,8.987442,4.0773697,0.0,0.0,0.0
15855632885301,-0.3684947,8.968299,4.0869412,0.0,0.0,0.0
15855635264519,-0.37328035,8.977871,4.072584,0.0,0.0,0.0
15855637643686,-0.37806597,8.963513,4.082155,0.0,0.0,0.0
15855640022853,-0.37806597,8.953942,4.082155,0.0,0.0,0.0
15855642402071,-0.37806597,8.944371,4.058227,0.0,0.0,0.0
15855644781238,-0.40677986,8.953942,4.058227,0.0,0.0,0.0
15855647160457,-0.42592242,8.939586,4.072584,0.0,0.0,0.0
