t_ns,hPa
15855655451030,983.2014
15855695452644,983.20166
15855735450978,983.2041
15855775450196,983.2073
15855815452436,983.2031
15855855452696,983.20874
15855895451446,983.20703
15855935519051,983.2151
15855975455040,983.21606
15856015451290,983.21826
15856055452228,983.22095
15856095451759,983.22144
15856135453634,983.2212
15856175450249,983.2241
15856215451499,983.22046
15856255453061,983.2185
15856295452436,983.21704
15856335464103,983.2158
15856375450613,983.2095
15856415451446,983.21655
15856455452019,983.2246
15856495453217,983.22534
15856535452332,983.2229
15856575560665,983.2268
15856615450978,983.22
15856655451811,983.22437
15856695453894,983.2212
15856735451551,983.22046
15856775507696,983.2219
15856815451186,983.22363
15856855450301,983.2239
15856895453634,983.2195
15856935468894,983.2136
15856975453738,983.21484
15857015450457,983.2146
15857055451707,983.21875
15857095508217,983.2195
15857135452957,983.21875
15857175458061,983.21216
15857215456446,983.2136
15857255454051,983.2239
15857295457749,983.2195
15857335457644,983.2207
15857375458269,983.2168
15857415584259,983.2185
15857455454832,983.2134
15857495457592,983.2239
15857535455040,983.22095
15857575456446,983.2207
15857615460092,983.2195
15857655455665,983.2241
15857695454728,983.2234
15857735457540,983.2212
15857775456915,983.2163
15857815456603,983.2224
15857855456030,983.22534
15857895457905,983.22437
15857935456811,983.2307
15857975457644,983.22437
15858015455978,983.2173
15858055455821,983.21606
15858095457124,983.2202
15858135454155,983.2195
15858175459624,983.2173
15858215456915,983.2217
15858255459415,983.229
15858295456238,983.23145
15858335457749,983.2273
15858375456551,983.2278
15858415458738,983.22754
15858455457019,983.21826
15858495459988,983.2163
15858535454988,983.21387
15858575456863,983.22266
15858615456967,983.22705
15858655456394,983.21655
15858695459207,983.2173
15858735454728,983.2202
15858775454259,983.21484
15858815456655,983.21704
15858855456238,983.2178
15858895457384,983.2217
15858935459936,983.22046
15858975459571,983.22974
15859015458842,983.22656
15859055460874,983.2224
15859095456134,983.22046
15859135456603,983.22046
15859175455353,983.21265
15859215457592,983.2102
15859255463374,983.2158
15859295456551,983.218
15859335457384,983.22266
15859375457332,983.2212
15859415454519,983.21875
15859455456603,983.21826
15859495456499,983.21875
15859535459363,983.2146
15859575457644,983.2141
15859615457592,983.21655
15859655458999,983.21875
15859695457696,983.2156
15859735457749,983.21387
15859775460040,983.21387
15859815454832,983.2107
15859855493374,983.2141
15859895459571,983.2163
15859935456446,983.2124
15859975524936,983.21094
15860015453582,983.218
15860055454988,983.21704
15860095459571,983.22363
15860135456551,983.2197
15860175460301,983.2134
15860215454676,983.2097
15860255455405,983.2058
15860295460665,983.20435
15860335455874,983.2046
15860375453946,983.21045
15860415455249,983.21704
15860455455353,983.2085
15860495456603,983.21216
15860535460040,983.2058
15860575456342,983.21387
15860615600040,983.2168
15860655456551,983.21265
15860695455821,983.209
15860735577749,983.2178
15860775458842,983.21826
15860815459988,983.2141
15860855457801,983.21094
15860895458269,983.2158
15860935531603,983.218
15860975471707,983.2217
15861015458842,983.2136
15861055455092,983.2119
15861095456030,983.208
15861135490978,983.2114
15861175458426,983.21875
15861215456290,983.21826
15861255501655,983.21606
15861295453582,983.21436
15861335547853,983.22046
15861375456915,983.2202
15861415456759,983.21313
15861455458894,983.208
15861495453946,983.21313
15861535455196,983.2207
15861575459988,983.21484
15861615456967,983.2107
15861655454624,983.2117
15861695457957,983.2158
15861735457696,983.21533
15861775456811,983.21533
15861815456863,983.2129
15861855456915,983.2092
15861895454936,983.2097
15861935456863,983.20703
15861975453686,983.2092
15862015459624,983.21875
15862055456655,983.2239
15862095459936,983.21826
15862135470509,983.21313
15862175456967,983.2117
15862215455353,983.20605
15862255527071,983.2092
15862295458478,983.2146
15862335463582,983.208
15862375458269,983.2036
15862415455457,983.20703
15862455601446,983.2041
15862495457384,983.2068
15862535541499,983.2114
15862575460249,983.2175
15862615454884,983.2158
15862655498009,983.2163
15862695458634,983.21387
15862735496394,983.2102
15862775454780,983.20874
15862815455665,983.2114
15862855457176,983.2107
15862895457853,983.218
15862935460613,983.22363
15862975457384,983.2261
15863015454728,983.2278
15863055511915,983.2317
15863095455509,983.2324
15863135456811,983.23096
15863175542644,983.2334
15863215457592,983.2329
15863255455821,983.22656
15863295457071,983.2217
15863335457957,983.22
15863375456655,983.2229
15863415471707,983.22046
15863455456967,983.22217
15863495456499,983.21265
15863535457644,983.2134
15863575458582,983.20605
15863615458165,983.20874
15863655455040,983.2185
15863695530353,983.2119
15863735460249,983.2112
15863775455978,983.21216
15863815455978,983.21484
15863855454103,983.20874
15863895457696,983.20825
15863935460353,983.2141
15863975457540,983.2058
15864015456603,983.2112
15864055454832,983.2178
15864095505561,983.21924
15864135460405,983.21533
15864175458894,983.21436
15864215453738,983.2197
15864255458478,983.2251
15864295454155,983.23
15864335456655,983.2246
15864375457332,983.2261
15864415459780,983.2258
15864455458738,983.2219
15864495462540,983.22314
15864535454207,983.2158
15864575455509,983.20874
15864615460457,983.2158
15864655457592,983.2075
15864695456030,983.2085
15864735457644,983.2068
15864775457592,983.2095
15864815514363,983.2195
15864855456446,983.2175
15864895464051,983.21704
15864935455040,983.22095
15864975480509,983.2178
15865015457540,983.2168
15865055456811,983.21875
15865095538478,983.2141
15865135453946,983.2107
15865175454884,983.2175
15865215459832,983.2156
15865255458530,983.21313
15865295456603,983.20483
15865335455405,983.2134
15865375457280,983.2185
15865415459624,983.2224
