t_ns,qx,qy,qz,qw
15855521714728,0.3660713,0.39827272,0.58427644,0.60497254
15855526473061,0.36700505,0.3990253,0.58382833,0.6043432
15855531231499,0.3675626,0.39875817,0.5840215,0.60399383
15855535989884,0.3682753,0.39789554,0.5846028,0.60356617
15855540748269,0.36926603,0.39739072,0.58496404,0.60294306
15855545506655,0.3700143,0.3968983,0.5853075,0.60247517
15855550264988,0.37029183,0.39632034,0.5856984,0.6023052
15855555023374,0.37026703,0.39602706,0.5858985,0.6023187
15855559781759,0.37016,0.39608338,0.5858691,0.60237616
15855564540144,0.3699355,0.39620113,0.5857854,0.6025179
15855569298530,0.3696863,0.3963975,0.5856507,0.60267264
15855574056915,0.36974055,0.3966579,0.58548677,0.60262734
15855578815301,0.3698982,0.39676654,0.5854235,0.60252047
15855583573686,0.37006146,0.39670926,0.5854663,0.60241634
15855588332019,0.37027597,0.39655492,0.585573,0.6022824
15855593090405,0.37060252,0.39649805,0.5856219,0.6020715
15855597848790,0.37084195,0.3964539,0.58565927,0.6019168
15855602607176,0.37097636,0.3964017,0.58569765,0.60183096
15855607365561,0.37111312,0.3964573,0.5856675,0.60173935
15855612123946,0.3711785,0.39654315,0.5856153,0.6016933
15855616882280,0.3711534,0.39660743,0.5855733,0.6017072
15855621640665,0.37112305,0.39662054,0.5855639,0.60172653
15855626399051,0.37112948,0.3966113,0.58557,0.6017227
15855631157436,0.37112513,0.39655083,0.58560836,0.60172784
15855635915821,0.37113777,0.39645478,0.5856701,0.6017233
15855640674207,0.37112793,0.39636767,0.5857252,0.6017331
15855645432592,0.3711189,0.39632484,0.5857522,0.60174066
15855650190978,0.37104034,0.39632142,0.58575135,0.60179216
15855654949363,0.37095937,0.39635026,0.5857298,0.601844
15855659707696,0.37083936,0.39644197,0.5856667,0.60191894
15855664466082,0.37069443,0.39654344,0.58559656,0.6020097
15855669224467,0.37053633,0.39663956,0.5855291,0.60210925
15855673982853,0.37044165,0.39674792,0.5854564,0.6021669
15855678741238,0.37037382,0.39682493,0.5854046,0.6022082
15855683499624,0.3703367,0.3968468,0.5853892,0.60223156
15855688258009,0.37037104,0.39684883,0.58538926,0.6022091
15855693016290,0.37046626,0.3968184,0.58541226,0.6021481
15855697774728,0.37060773,0.39674985,0.5854615,0.6020584
15855702533113,0.37074283,0.39667273,0.5855159,0.6019731
15855707291499,0.37087125,0.39661723,0.5855562,0.60189134
15855712049884,0.37099007,0.39655185,0.58560246,0.6018162
15855716808269,0.37109825,0.39647427,0.58565617,0.6017484
15855721566655,0.37122372,0.39642295,0.5856937,0.6016683
15855726324988,0.37134427,0.39639628,0.58571535,0.6015904
15855731083374,0.37144494,0.3963933,0.58572114,0.6015246
15855735841759,0.37151062,0.39640462,0.58571637,0.60148114
15855740600144,0.3715558,0.3964168,0.58571035,0.60145104
15855745358530,0.37159804,0.39643013,0.5857035,0.60142285
15855750116863,0.37163723,0.39645448,0.5856895,0.60139626
15855754875249,0.37166837,0.39646772,0.5856823,0.6013753
15855759633634,0.37171417,0.39646718,0.5856844,0.6013453
15855764392019,0.37174958,0.39644456,0.5857002,0.60132295
15855769150405,0.37178212,0.39641,0.5857234,0.6013029
15855773908790,0.37185287,0.39638487,0.5857421,0.6012575
15855778667071,0.3719157,0.39634028,0.5857731,0.601218
15855783425561,0.3719461,0.39628765,0.58580774,0.6012001
15855788183946,0.37197506,0.39625338,0.5858306,0.6011824
15855792942280,0.37200344,0.3962328,0.5858448,0.6011646
15855797700665,0.37202296,0.3962122,0.58585876,0.60115254
15855802459051,0.37202123,0.39619416,0.5858701,0.6011544
15855807217436,0.37202555,0.39617923,0.5858797,0.6011521
15855811975821,0.37205216,0.39616886,0.58588743,0.6011351
15855816734207,0.37208864,0.39615014,0.5859007,0.6011118
15855821492592,0.37212983,0.39611784,0.5859229,0.601086
15855826250926,0.37216705,0.39609385,0.5859395,0.60106254
15855831009311,0.3721885,0.3960921,0.58594155,0.60104847
15855835767696,0.37219056,0.3961095,0.5859306,0.60104644
15855840526082,0.37216866,0.3961577,0.58589894,0.601059
15855845284467,0.37213618,0.39621872,0.585859,0.601078
15855850042853,0.37209064,0.39629543,0.5858084,0.6011049
15855854801186,0.37205395,0.39635548,0.5857687,0.6011267
15855859559571,0.37202305,0.39641672,0.5857284,0.6011446
15855864317957,0.37202245,0.39646018,0.58570063,0.60114336
15855869076342,0.372038,0.39648336,0.5856865,0.6011322
15855873834728,0.37205318,0.39649135,0.58568203,0.60112196
15855878593113,0.37208658,0.39648756,0.5856858,0.60110015
15855883351499,0.37211236,0.3964838,0.5856891,0.6010834
15855888109832,0.3721359,0.39648515,0.5856892,0.60106784
15855892868217,0.37215203,0.39649433,0.58568394,0.60105693
15855897626603,0.3721731,0.3964857,0.5856902,0.6010434
15855902384936,0.37218317,0.39647156,0.5856996,0.6010374
15855907143374,0.3722149,0.39644355,0.5857187,0.6010176
15855911901759,0.3722507,0.39640287,0.58574605,0.60099566
15855916660144,0.37229973,0.39635468,0.58577853,0.6009653
15855921418426,0.37234074,0.39630306,0.5858131,0.6009403
15855926176863,0.37236506,0.39625347,0.58584565,0.6009263
