t_ns,gx,gy,gz,bx,by,bz
15855489607957,-0.013439025,-0.0036651888,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855491987124,-0.015882485,0.0024434591,-0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855494366342,-0.015882485,0.0061086477,-0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855496745509,-0.017104214,0.0097738365,-0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855499124728,-0.014660755,0.012217295,-0.008552107,-0.0120037,8.72664E-5,0.0070713
15855501503894,-0.010995566,0.013439025,-0.008552107,-0.0120037,8.72664E-5,0.0070713
15855503883113,-0.012217295,0.015882485,-0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855506262280,-0.013439025,0.014660755,-0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855508641499,-0.014660755,0.015882485,-0.008552107,-0.0120037,8.72664E-5,0.0070713
15855511020665,-0.015882485,0.013439025,-0.0073303776,-0.0120037,8.72664E-5,0.0070713
15855513399832,-0.015882485,0.010995566,-0.0061086477,-0.0120037,8.72664E-5,0.0070713
15855515779051,-0.013439025,0.0073303776,-0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855518158217,-0.012217295,0.0036651888,-0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855520537436,-0.010995566,0.0024434591,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855522916603,-0.013439025,-0.0024434591,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855525295821,-0.014660755,-0.0048869182,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855527674936,-0.014660755,-0.0061086477,0.0061086477,-0.0120037,8.72664E-5,0.0070713
15855530054103,-0.014660755,-0.0097738365,0.0061086477,-0.0120037,8.72664E-5,0.0070713
15855532433374,-0.013439025,-0.0073303776,0.0073303776,-0.0120037,8.72664E-5,0.0070713
15855534812540,-0.013439025,-0.0061086477,0.0073303776,-0.0120037,8.72664E-5,0.0070713
15855537191759,-0.012217295,-0.0024434591,0.0073303776,-0.0120037,8.72664E-5,0.0070713
15855539570926,-0.012217295,-0.0012217296,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855541950144,-0.012217295,0.0012217296,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855544329311,-0.013439025,0.0048869182,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855546708530,-0.012217295,0.0073303776,0.0,-0.0120037,8.72664E-5,0.0070713
15855549087696,-0.012217295,0.0097738365,-0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855551466863,-0.012217295,0.010995566,-0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855553846082,-0.0097738365,0.012217295,-0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855556225249,-0.010995566,0.012217295,-0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855558604467,-0.012217295,0.010995566,-0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855560983634,-0.012217295,0.008552107,-0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855563362853,-0.012217295,0.0073303776,0.0,-0.0120037,8.72664E-5,0.0070713
15855565742019,-0.012217295,0.0036651888,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855568121186,-0.0097738365,0.0,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855570500405,-0.0097738365,-0.0024434591,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855572879571,-0.010995566,-0.0024434591,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855575258790,-0.010995566,-0.0048869182,0.0061086477,-0.0120037,8.72664E-5,0.0070713
15855577637957,-0.010995566,-0.0061086477,0.0061086477,-0.0120037,8.72664E-5,0.0070713
15855580017176,-0.012217295,-0.0048869182,0.0073303776,-0.0120037,8.72664E-5,0.0070713
15855582396342,-0.012217295,-0.0036651888,0.0061086477,-0.0120037,8.72664E-5,0.0070713
15855584775561,-0.010995566,-0.0024434591,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855587154728,-0.0097738365,-0.0012217296,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855589533894,-0.0097738365,0.0,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855591913113,-0.010995566,0.0024434591,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855594292280,-0.012217295,0.0036651888,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855596671499,-0.010995566,0.0061086477,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855599050665,-0.010995566,0.0073303776,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855601429884,-0.010995566,0.0073303776,0.0,-0.0120037,8.72664E-5,0.0070713
15855603809051,-0.0097738365,0.0073303776,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855606188217,-0.010995566,0.0061086477,0.0,-0.0120037,8.72664E-5,0.0070713
15855608567436,-0.012217295,0.0048869182,0.0,-0.0120037,8.72664E-5,0.0070713
15855610946603,-0.013439025,0.0036651888,0.0,-0.0120037,8.72664E-5,0.0070713
15855613325821,-0.012217295,0.0048869182,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855615704988,-0.010995566,0.0024434591,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855618084155,-0.010995566,0.0024434591,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855620463374,-0.010995566,0.0,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855622842540,-0.012217295,-0.0012217296,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855625221707,-0.010995566,-0.0024434591,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855627600926,-0.012217295,-0.0036651888,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855629980144,-0.012217295,-0.0024434591,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855632359311,-0.012217295,-0.0024434591,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855634738530,-0.010995566,-0.0024434591,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855637117696,-0.010995566,-0.0012217296,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855639496863,-0.010995566,0.0,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855641876082,-0.012217295,0.0024434591,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855644255249,-0.010995566,0.0036651888,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855646634467,-0.012217295,0.0036651888,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855649013634,-0.0097738365,0.0048869182,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855651392853,-0.010995566,0.0048869182,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855653772019,-0.010995566,0.0048869182,0.0012217296,-0.0120037,8.72664E-5,0.0070713
15855656151238,-0.0097738365,0.0036651888,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855658530405,-0.0097738365,0.0036651888,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15855660909571,-0.010995566,0.0036651888,0.0024434591,-0.0120037,8.72664E-5,0.0070713
15855663288790,-0.010995566,0.0012217296,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15855665667957,-0.0097738365,0.0,0.008552107,-0.0120037,8.72664E-5,0.0070713
15855668047176,-0.0097738365,-0.0012217296,0.008552107,-0.0120037,8.72664E-5,0.0070713
15855670426342,-0.008552107,-0.0024434591,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855672805561,-0.008552107,-0.0036651888,0.010995566,-0.0120037,8.72664E-5,0.0070713
15855675184728,-0.0097738365,-0.0048869182,0.010995566,-0.0120037,8.72664E-5,0.0070713
15855677563894,-0.0097738365,-0.0061086477,0.012217295,-0.0120037,8.72664E-5,0.0070713
15855679943113,-0.008552107,-0.008552107,0.012217295,-0.0120037,8.72664E-5,0.0070713
15855682322280,-0.0097738365,-0.008552107,0.012217295,-0.0120037,8.72664E-5,0.0070713
15855684701499,-0.008552107,-0.0073303776,0.012217295,-0.0120037,8.72664E-5,0.0070713
15855687080665,-0.008552107,-0.0061086477,0.010995566,-0.0120037,8.72664E-5,0.0070713
15855689459884,-0.008552107,-0.0048869182,0.012217295,-0.0120037,8.72664E-5,0.0070713
15855691839051,-0.008552107,-0.0048869182,0.012217295,-0.0120037,8.72664E-5,0.0070713
15855694218165,-0.008552107,-0.0036651888,0.010995566,-0.0120037,8.72664E-5,0.0070713
15855696597436,-0.008552107,-0.0012217296,0.010995566,-0.0120037,8.72664E-5,0.0070713
15855698976603,-0.008552107,0.0,0.010995566,-0.0120037,8.72664E-5,0.0070713
15855701355821,-0.0097738365,-0.0012217296,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855703734988,-0.008552107,-0.0012217296,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855706114207,-0.0097738365,0.0,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855708493374,-0.0097738365,0.0,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855710872540,-0.0097738365,0.0012217296,0.010995566,-0.0120037,8.72664E-5,0.0070713
15855713251759,-0.0097738365,0.0,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855715630926,-0.0097738365,0.0012217296,0.008552107,-0.0120037,8.72664E-5,0.0070713
15855718010144,-0.008552107,0.0012217296,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855720389311,-0.008552107,0.0036651888,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855722768530,-0.0097738365,0.0024434591,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855725147696,-0.0097738365,0.0024434591,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15855727526863,-0.008552107,0.0036651888,0.008552107,-0.0120037,8.72664E-5,0.0070713
15855729906082,-0.0097738365,0.0048869182,0.008552107,-0.0120037,8.72664E-5,0.0070713
15855732285249,-0.0097738365,0.0036651888,0.0073303776,-0.0120037,8.72664E-5,0.0070713
