t_ns,ax,ay,az
15855526473061,0.006452441,0.031949997,-0.04715109
15855531231499,0.040617555,0.01143074,-0.010320663
15855535989884,0.1032452,0.0129852295,0.01850605
15855540748269,0.12603796,0.012825012,-0.03643036
15855545506655,0.1268279,0.006917,-0.023041248
15855550264988,0.10310659,0.0060720444,0.042661667
15855555023374,0.041173518,-0.0073747635,0.04438591
15855559781759,-0.018424451,0.004149437,0.00980711
15855564540144,-0.055558413,0.036417007,0.035021305
15855569298530,-0.08374348,0.057476997,0.036574364
15855574056915,-0.041966558,0.066290855,-0.03909588
15855578815301,0.009826511,0.039331436,-0.045186043
15855583573686,0.05161026,0.018838882,-0.017597675
15855588332019,0.09332508,0.013139725,-0.0074362755
15855593090405,0.10832006,0.0101156235,-0.07228708
15855597848790,0.08910081,-0.0017528534,-0.059178352
15855602607176,0.06440416,5.893707E-4,-0.024247646
15855607365561,0.034292907,0.034664154,-0.050287247
15855612123946,0.0010963678,0.028484344,-0.04336071
15855616882280,-0.026129395,0.011191368,-0.009367466
15855621640665,-0.013397545,0.015283585,0.013943195
15855626399051,0.007880658,8.869171E-4,0.001906395
15855631157436,0.02371335,-0.012921333,0.022490501
15855635915821,0.048214793,-0.035443306,0.023964405
15855640674207,0.039728582,-0.047953606,0.025399685
15855645432592,0.024748623,-0.05546856,0.0014419556
15855650190978,-0.024289876,-0.05819702,0.01764059
15855654949363,-0.044027925,-0.042398453,0.01018858
15855659707696,-0.097949564,-0.024845123,0.005302429
15855664466082,-0.12499881,-0.049595833,0.002887249
15855669224467,-0.13757598,-0.06903458,0.007554531
15855673982853,-0.11751729,-0.04384041,-0.025073051
15855678741238,-0.093592644,-0.012434006,-0.007982254
15855683499624,-0.04715693,-0.016804695,0.0062999725
15855688258009,0.009699434,-0.009441376,-0.021676064
15855693016290,0.06741953,0.02335167,-0.025629997
15855697774728,0.12613222,0.03200531,-0.027161598
15855702533113,0.13217351,0.031147003,-0.019368172
15855707291499,0.117163,0.05134964,-0.023471355
15855712049884,0.11891648,0.059422493,-0.006467819
15855716808269,0.12543353,0.05097103,0.007826805
15855721566655,0.12252557,0.07547665,-0.015610695
15855726324988,0.105733246,0.07374287,-0.033855915
15855731083374,0.080069155,0.053369522,-0.049404144
15855735841759,0.04806575,0.05921936,-0.031857967
15855740600144,0.03075993,0.032173157,-0.028751373
15855745358530,0.030256838,0.015082359,-0.037469387
15855750116863,0.018000275,-0.0063877106,-0.050641537
15855754875249,0.022443384,-0.015660286,-0.044915676
15855759633634,0.04554698,-0.024737358,-0.053450823
15855764392019,0.058903724,-0.028978348,-0.02188158
15855769150405,0.0697228,-0.03552246,-0.007291794
15855773908790,0.10157326,-0.027850151,-0.051724434
15855778667071,0.11888552,-0.034377098,-0.03437662
15855783425561,0.100729644,-0.050248146,0.0062704086
15855788183946,0.09007278,-0.047056198,-0.007840157
15855792942280,0.07485312,-0.05805111,-0.026416779
15855797700665,0.059799343,-0.0406456,-0.009403229
15855802459051,0.030798584,-0.03999138,0.007276535
15855807217436,0.023278028,-0.041740417,1.8978119E-4
15855811975821,0.0370135,0.0036201477,-0.009140015
15855816734207,0.057633072,0.017653465,-0.0041913986
15855821492592,0.0827477,0.031476974,0.0124640465
15855826250926,0.08174008,0.026262283,0.0029273033
15855831009311,0.05265349,0.039981842,0.0029950142
15855835767696,0.014641613,0.04644966,0.0030350685
15855840526082,-0.04876733,0.06931877,0.007841587
15855845284467,-0.083063275,0.0919075,0.0077824593
15855850042853,-0.1312463,0.08116436,-0.0017166138
15855854801186,-0.11046499,0.070596695,6.799698E-4
15855859559571,-0.11368811,0.07670498,-0.006401062
15855864317957,-0.053118378,0.07094288,-0.025188446
