t_ns,mx,my,mz,bx,by,bz
15855508594988,32.475002,33.862503,-7.9125004,21.779999,6.48,20.76
15855518594988,32.475002,33.112503,-7.1250005,21.779999,6.48,20.76
15855528594988,31.837502,34.162502,-6.01875,21.779999,6.48,20.76
15855538594988,33.131252,33.45,-6.15,21.779999,6.48,20.76
15855548594988,31.518751,34.10625,-5.9812503,21.779999,6.48,20.76
15855558594988,34.275,35.100002,-8.793751,21.779999,6.48,20.76
15855568594988,34.03125,35.325,-10.14375,21.779999,6.48,20.76
15855578594988,34.2,35.2125,-10.78125,21.779999,6.48,20.76
15855588594988,33.956253,34.3125,-8.118751,21.779999,6.48,20.76
15855598594988,33.99375,35.325,-9.075001,21.779999,6.48,20.76
15855608594988,31.968752,33.787502,-6.7875004,21.779999,6.48,20.76
15855618594988,32.4,33.225002,-8.962501,21.779999,6.48,20.76
15855628594988,34.256252,34.612503,-6.4687505,21.779999,6.48,20.76
15855638594988,32.943752,34.800003,-7.6875005,21.779999,6.48,20.76
15855648594988,32.7,34.275,-7.8,21.779999,6.48,20.76
15855658594988,34.0875,33.7125,-5.64375,21.779999,6.48,20.76
15855668594988,31.81875,33.15,-5.68125,21.779999,6.48,20.76
15855678594988,33.54375,32.625,-8.625,21.779999,6.48,20.76
15855688594988,33.075,33.9375,-6.9187503,21.779999,6.48,20.76
15855698594988,35.4,35.5125,-8.15625,21.779999,6.48,20.76
15855708594988,34.6875,34.162502,-7.5750003,21.779999,6.48,20.76
15855718594988,32.756252,33.525,-8.400001,21.779999,6.48,20.76
15855728594988,31.931252,32.662502,-6.6000004,21.779999,6.48,20.76
15855738594988,33.9,34.3125,-6.4125004,21.779999,6.48,20.76
15855748594988,34.256252,35.362503,-6.95625,21.779999,6.48,20.76
15855758594988,34.875,35.0625,-8.700001,21.779999,6.48,20.76
15855768594988,33.84375,35.41875,-8.587501,21.779999,6.48,20.76
15855778594988,33.412502,34.987503,-6.8437505,21.779999,6.48,20.76
15855788594988,33.09375,34.95,-6.80625,21.779999,6.48,20.76
15855798594988,34.050003,33.45,-5.9437504,21.779999,6.48,20.76
15855808594988,33.09375,34.95,-7.2562504,21.779999,6.48,20.76
15855818594988,33.018753,34.55625,-6.7875004,21.779999,6.48,20.76
15855828594988,33.80625,34.425003,-7.9500003,21.779999,6.48,20.76
15855838594988,34.443752,34.256252,-8.775001,21.779999,6.48,20.76
15855848594988,34.7625,34.425003,-8.212501,21.779999,6.48,20.76
15855858594988,32.5125,33.61875,-5.30625,21.779999,6.48,20.76
15855868594988,32.71875,34.518753,-7.2000003,21.779999,6.48,20.76
15855878594988,34.050003,34.95,-7.8375,21.779999,6.48,20.76
15855888594988,32.2125,34.2,-7.4437504,21.779999,6.48,20.76
15855898594988,33.75,35.15625,-7.0312505,21.779999,6.48,20.76
15855908594988,34.0875,33.45,-7.0312505,21.779999,6.48,20.76
15855918594988,32.34375,33.225002,-7.275,21.779999,6.48,20.76
15855928594988,34.537502,35.1375,-7.4437504,21.779999,6.48,20.76
15855938594988,32.04375,33.300003,-7.0875,21.779999,6.48,20.76
15855948594988,33.131252,33.45,-6.15,21.779999,6.48,20.76
15855958594988,33.075,33.1875,-5.6625004,21.779999,6.48,20.76
15855968594988,33.075,33.1875,-5.6625004,21.779999,6.48,20.76
15855978594988,33.91875,33.5625,-5.775,21.779999,6.48,20.76
15855988594988,32.68125,34.256252,-7.18125,21.779999,6.48,20.76
15855998594988,35.2125,33.600002,-7.1625004,21.779999,6.48,20.76
15856008594988,32.04375,33.300003,-7.0875,21.779999,6.48,20.76
15856018594988,33.675003,34.518753,-7.7812505,21.779999,6.48,20.76
15856028594988,32.775,34.162502,-6.2812505,21.779999,6.48,20.76
15856038594988,31.650002,33.75,-7.2000003,21.779999,6.48,20.76
15856048594988,33.600002,33.506252,-6.20625,21.779999,6.48,20.76
15856058594988,30.206251,32.41875,-7.4625,21.779999,6.48,20.76
15856068594988,32.8125,33.412502,-6.1125,21.779999,6.48,20.76
15856078594988,32.568752,33.61875,-7.1625004,21.779999,6.48,20.76
15856088594988,32.193752,32.568752,-5.7000003,21.779999,6.48,20.76
15856098594988,33.956253,34.55625,-6.7312503,21.779999,6.48,20.76
15856108594988,32.15625,33.9375,-7.1250005,21.779999,6.48,20.76
15856118594988,32.71875,34.518753,-7.2000003,21.779999,6.48,20.76
15856128594988,31.85625,34.162502,-6.3187504,21.779999,6.48,20.76
15856138594988,32.9625,35.30625,-5.86875,21.779999,6.48,20.76
15856148594988,32.04375,33.5625,-6.01875,21.779999,6.48,20.76
15856158594988,33.09375,33.1875,-6.1312504,21.779999,6.48,20.76
15856168594988,31.687502,34.256252,-5.3812504,21.779999,6.48,20.76
15856178594988,35.081253,35.456253,-7.8187504,21.779999,6.48,20.76
15856188594988,33.506252,33.61875,-7.425,21.779999,6.48,20.76
15856198594988,32.325,33.206253,-6.5062504,21.779999,6.48,20.76
15856208594988,32.4,32.71875,-6.6562505,21.779999,6.48,20.76
15856218594988,33.206253,34.8375,-6.3562503,21.779999,6.48,20.76
15856228594988,33.881252,33.300003,-6.2250004,21.779999,6.48,20.76
15856238594988,33.0,32.30625,-7.7812505,21.779999,6.48,20.76
15856248594988,32.756252,33.9,-6.58125,21.779999,6.48,20.76
15856258594988,33.73125,34.40625,-5.4750004,21.779999,6.48,20.76
15856268594988,32.925003,34.800003,-7.3875003,21.779999,6.48,20.76
15856278594988,31.725,32.5125,-6.1125,21.779999,6.48,20.76
15856288594988,34.331253,34.237503,-5.55,21.779999,6.48,20.76
15856298594988,33.45,34.987503,-7.9125004,21.779999,6.48,20.76
15856308594988,34.068752,34.2,-7.3500004,21.779999,6.48,20.76
15856318594988,33.956253,35.325,-7.9875,21.779999,6.48,20.76
15856328594988,34.29375,34.612503,-7.0875,21.779999,6.48,20.76
15856338594988,31.706251,32.5125,-5.64375,21.779999,6.48,20.76
15856348594988,34.275,34.350002,-7.8375,21.779999,6.48,20.76
15856358594988,32.175003,35.2125,-6.24375,21.779999,6.48,20.76
15856368594988,31.9125,33.412502,-7.2187505,21.779999,6.48,20.76
15856378594988,33.9,34.3125,-6.4125004,21.779999,6.48,20.76
15856388594988,32.756252,32.4,-4.8375,21.779999,6.48,20.76
15856398594988,33.956253,33.5625,-7.3125005,21.779999,6.48,20.76
15856408594988,34.068752,34.4625,-5.83125,21.779999,6.48,20.76
15856418594988,31.556252,33.112503,-7.18125,21.779999,6.48,20.76
15856428594988,31.66875,34.0125,-6.15,21.779999,6.48,20.76
15856438594988,30.843752,33.9,-5.26875,21.779999,6.48,20.76
15856448594988,31.893751,34.40625,-6.3375,21.779999,6.48,20.76
15856458594988,32.662502,34.518753,-5.6625004,21.779999,6.48,20.76
15856468594988,31.893751,33.412502,-6.4500003,21.779999,6.48,20.76
15856478594988,31.48125,34.10625,-4.89375,21.779999,6.48,20.76
15856488594988,31.218752,33.318752,-5.30625,21.779999,6.48,20.76
15856498594988,32.662502,34.256252,-6.7312503,21.779999,6.48,20.76
15856508594988,32.53125,32.60625,-6.20625,21.779999,6.48,20.76
15856518594988,32.550003,34.7625,-5.8125,21.779999,6.48,20.76
15856528594988,30.862501,33.6375,-7.1062503,21.779999,6.48,20.76
15856538594988,32.4375,33.862503,-6.8437505,21.779999,6.48,20.76
15856548594988,33.956253,33.5625,-6.8625,21.779999,6.48,20.76
15856558594988,34.425003,35.006252,-9.262501,21.779999,6.48,20.76
15856568594988,33.975002,34.575,-7.5000005,21.779999,6.48,20.76
15856578594988,31.48125,33.862503,-6.2625003,21.779999,6.48,20.76
15856588594988,31.48125,33.862503,-6.2625003,21.779999,6.48,20.76
15856598594988,34.78125,33.675003,-8.043751,21.779999,6.48,20.76
15856608594988,32.475002,33.61875,-4.3875003,21.779999,6.48,20.76
15856618594988,34.331253,35.362503,-9.5625,21.779999,6.48,20.76
15856628594988,34.48125,34.5,-8.793751,21.779999,6.48,20.76
15856638594988,35.0625,34.2,-9.0,21.779999,6.48,20.76
15856648594988,36.2625,36.61875,-9.993751,21.779999,6.48,20.76
15856658594988,37.0125,35.475002,-10.200001,21.779999,6.48,20.76
15856668594988,35.850002,34.575,-7.7250004,21.779999,6.48,20.76
15856678594988,35.175003,35.100002,-7.9687505,21.779999,6.48,20.76
15856688594988,33.0,33.300003,-7.9687505,21.779999,6.48,20.76
15856698594988,34.96875,34.818752,-8.1,21.779999,6.48,20.76
15856708594988,34.10625,34.4625,-7.36875,21.779999,6.48,20.76
15856718594988,36.3375,34.5,-8.25,21.779999,6.48,20.76
15856728594988,35.775,35.30625,-6.5062504,21.779999,6.48,20.76
15856738594988,34.143753,34.0875,-5.3625,21.779999,6.48,20.76
15856748594988,34.78125,35.0625,-5.775,21.779999,6.48,20.76
15856758594988,33.28125,34.350002,-6.5062504,21.779999,6.48,20.76
15856768594988,32.49375,34.36875,-5.7937503,21.779999,6.48,20.76
15856778594988,34.0875,35.456253,-6.01875,21.779999,6.48,20.76
15856788594988,31.837502,34.912502,-6.80625,21.779999,6.48,20.76
15856798594988,31.63125,33.0,-5.49375,21.779999,6.48,20.76
15856808594988,34.21875,33.3375,-6.58125,21.779999,6.48,20.76
15856818594988,32.68125,32.756252,-5.30625,21.779999,6.48,20.76
15856828594988,34.0125,34.2,-5.8125,21.779999,6.48,20.76
15856838594988,32.568752,34.0125,-5.3250003,21.779999,6.48,20.76
15856848594988,31.050001,34.3125,-5.15625,21.779999,6.48,20.76
15856858594988,32.60625,33.2625,-5.45625,21.779999,6.48,20.76
15856868594988,33.600002,33.506252,-5.7375,21.779999,6.48,20.76
15856878594988,31.781252,34.912502,-5.4187503,21.779999,6.48,20.76
15856888594988,33.2625,34.350002,-5.71875,21.779999,6.48,20.76
15856898594988,32.643753,34.518753,-4.74375,21.779999,6.48,20.76
15856908594988,33.018753,34.55625,-6.7875004,21.779999,6.48,20.76
15856918594988,32.71875,33.9,-5.49375,21.779999,6.48,20.76
15856928594988,32.175003,34.2,-6.3562503,21.779999,6.48,20.76
15856938594988,31.63125,33.0,-5.49375,21.779999,6.48,20.76
15856948594988,33.768753,34.162502,-7.6312504,21.779999,6.48,20.76
15856958594988,33.393753,33.35625,-5.25,21.779999,6.48,20.76
15856968594988,32.831253,34.40625,-6.6000004,21.779999,6.48,20.76
15856978594988,33.61875,33.2625,-7.5750003,21.779999,6.48,20.76
15856988594988,34.48125,35.1375,-5.8875003,21.779999,6.48,20.76
15856998594988,34.85625,33.300003,-7.1062503,21.779999,6.48,20.76
15857008594988,33.225002,34.8375,-6.6562505,21.779999,6.48,20.76
15857018594988,32.775,34.162502,-5.8125,21.779999,6.48,20.76
15857028594988,34.162502,34.0875,-5.9812503,21.779999,6.48,20.76
15857038594988,35.025,35.71875,-5.3625,21.779999,6.48,20.76
15857048594988,31.968752,35.0625,-5.5875,21.779999,6.48,20.76
15857058594988,34.237503,34.350002,-6.76875,21.779999,6.48,20.76
15857068594988,35.268753,35.25,-5.3812504,21.779999,6.48,20.76
15857078594988,36.54375,33.28125,-6.8625,21.779999,6.48,20.76
15857088594988,33.1875,35.100002,-4.6687503,21.779999,6.48,20.76
15857098594988,34.0125,34.95,-6.7500005,21.779999,6.48,20.76
15857108594988,33.581253,34.0125,-7.74375,21.779999,6.48,20.76
15857118594988,34.18125,34.350002,-5.3812504,21.779999,6.48,20.76
15857128594988,35.193752,34.612503,-6.43125,21.779999,6.48,20.76
15857138594988,36.112503,34.350002,-6.99375,21.779999,6.48,20.76
15857148594988,33.037502,33.9375,-5.8500004,21.779999,6.48,20.76
15857158594988,35.456253,35.1375,-6.9375005,21.779999,6.48,20.76
15857168594988,32.15625,34.2,-6.05625,21.779999,6.48,20.76
15857178594988,34.575,33.768753,-6.01875,21.779999,6.48,20.76
15857188594988,35.1375,35.362503,-5.83125,21.779999,6.48,20.76
15857198594988,35.49375,33.506252,-7.05,21.779999,6.48,20.76
15857208594988,34.256252,33.862503,-5.53125,21.779999,6.48,20.76
15857218594988,32.831253,34.40625,-6.6000004,21.779999,6.48,20.76
15857228594988,32.662502,32.5125,-6.05625,21.779999,6.48,20.76
15857238594988,31.10625,32.8125,-4.96875,21.779999,6.48,20.76
15857248594988,31.35,33.206253,-5.4750004,21.779999,6.48,20.76
15857258594988,32.90625,33.037502,-6.2625003,21.779999,6.48,20.76
15857268594988,33.73125,34.40625,-5.4750004,21.779999,6.48,20.76
15857278594988,31.575,33.75,-4.74375,21.779999,6.48,20.76
15857288594988,33.65625,33.768753,-6.525,21.779999,6.48,20.76
15857298594988,33.600002,34.256252,-6.99375,21.779999,6.48,20.76
15857308594988,33.037502,33.9375,-5.53125,21.779999,6.48,20.76
15857318594988,34.537502,33.506252,-6.0,21.779999,6.48,20.76
15857328594988,31.7625,34.65,-5.71875,21.779999,6.48,20.76
15857338594988,31.893751,33.412502,-6.4500003,21.779999,6.48,20.76
15857348594988,34.256252,33.862503,-5.53125,21.779999,6.48,20.76
15857358594988,32.550003,33.61875,-6.39375,21.779999,6.48,20.76
15857368594988,33.65625,32.756252,-6.6562505,21.779999,6.48,20.76
15857378594988,34.706253,33.65625,-5.8875003,21.779999,6.48,20.76
15857388594988,33.28125,34.0875,-7.55625,21.779999,6.48,20.76
15857398594988,34.800003,34.66875,-8.212501,21.779999,6.48,20.76
15857408594988,34.068752,32.7,-5.4750004,21.779999,6.48,20.76
15857418594988,31.893751,34.162502,-7.4062505,21.779999,6.48,20.76
15857428594988,33.54375,32.86875,-7.55625,21.779999,6.48,20.76
15857438594988,33.300003,34.612503,-5.7375,21.779999,6.48,20.76
15857448594988,33.43125,35.49375,-5.175,21.779999,6.48,20.76
15857458594988,34.068752,34.4625,-5.83125,21.779999,6.48,20.76
15857468594988,33.9375,34.55625,-5.9625,21.779999,6.48,20.76
15857478594988,32.60625,34.256252,-5.34375,21.779999,6.48,20.76
15857488594988,33.412502,34.987503,-6.8437505,21.779999,6.48,20.76
15857498594988,34.537502,35.1375,-7.4437504,21.779999,6.48,20.76
15857508594988,35.081253,34.706253,-7.18125,21.779999,6.48,20.76
15857518594988,34.85625,34.55625,-5.925,21.779999,6.48,20.76
15857528594988,32.71875,32.756252,-6.3750005,21.779999,6.48,20.76
15857538594988,32.643753,32.25,-6.6562505,21.779999,6.48,20.76
15857548594988,33.506252,34.0125,-5.2875004,21.779999,6.48,20.76
15857558594988,34.10625,34.4625,-6.9,21.779999,6.48,20.76
15857568594988,33.99375,34.2,-4.89375,21.779999,6.48,20.76
15857578594988,32.756252,34.162502,-5.5125003,21.779999,6.48,20.76
15857588594988,33.7125,34.162502,-6.24375,21.779999,6.48,20.76
15857598594988,33.318752,34.350002,-7.275,21.779999,6.48,20.76
15857608594988,33.412502,33.35625,-5.86875,21.779999,6.48,20.76
15857618594988,35.025,34.2,-8.231251,21.779999,6.48,20.76
15857628594988,34.3875,35.25,-7.1062503,21.779999,6.48,20.76
15857638594988,31.25625,33.7125,-5.0062504,21.779999,6.48,20.76
15857648594988,33.3375,33.112503,-4.93125,21.779999,6.48,20.76
15857658594988,34.162502,35.100002,-5.8500004,21.779999,6.48,20.76
15857668594988,33.09375,33.45,-5.3812504,21.779999,6.48,20.76
15857678594988,33.61875,33.768753,-5.1375003,21.779999,6.48,20.76
15857688594988,33.225002,32.456253,-4.89375,21.779999,6.48,20.76
15857698594988,34.8375,34.818752,-3.9375002,21.779999,6.48,20.76
15857708594988,31.9125,33.787502,-5.08125,21.779999,6.48,20.76
15857718594988,32.925003,34.3125,-5.3812504,21.779999,6.48,20.76
15857728594988,31.368752,32.456253,-4.9875,21.779999,6.48,20.76
15857738594988,31.85625,33.412502,-5.3812504,21.779999,6.48,20.76
15857748594988,32.7,33.9,-5.1937504,21.779999,6.48,20.76
15857758594988,32.1375,34.443752,-4.36875,21.779999,6.48,20.76
15857768594988,31.612501,33.0,-5.1937504,21.779999,6.48,20.76
15857778594988,33.375,33.61875,-3.5625002,21.779999,6.48,20.76
15857788594988,33.3375,33.112503,-4.93125,21.779999,6.48,20.76
15857798594988,32.775,33.9,-7.3500004,21.779999,6.48,20.76
15857808594988,34.425003,35.8875,-5.1375003,21.779999,6.48,20.76
15857818594988,34.350002,34.237503,-6.3187504,21.779999,6.48,20.76
15857828594988,33.075,34.2,-5.55,21.779999,6.48,20.76
15857838594988,32.86875,34.800003,-5.8500004,21.779999,6.48,20.76
15857848594988,33.75,34.40625,-5.7937503,21.779999,6.48,20.76
15857858594988,34.85625,34.55625,-5.925,21.779999,6.48,20.76
15857868594988,35.081253,33.956253,-5.925,21.779999,6.48,20.76
15857878594988,33.675003,33.768753,-6.8250003,21.779999,6.48,20.76
15857888594988,34.875,35.30625,-7.18125,21.779999,6.48,20.76
15857898594988,33.300003,34.350002,-6.80625,21.779999,6.48,20.76
15857908594988,34.256252,33.3375,-7.9687505,21.779999,6.48,20.76
15857918594988,34.143753,34.0875,-5.6625004,21.779999,6.48,20.76
15857928594988,34.893753,34.55625,-6.99375,21.779999,6.48,20.76
15857938594988,34.95,33.45,-4.9875,21.779999,6.48,20.76
15857948594988,32.756252,33.15,-5.625,21.779999,6.48,20.76
15857958594988,32.5125,33.35625,-6.675,21.779999,6.48,20.76
15857968594988,34.818752,34.55625,-4.6875,21.779999,6.48,20.76
15857978594988,33.61875,32.756252,-5.5687504,21.779999,6.48,20.76
15857988594988,32.41875,34.10625,-5.15625,21.779999,6.48,20.76
15857998594988,34.256252,33.862503,-5.53125,21.779999,6.48,20.76
15858008594988,34.706253,33.65625,-5.5687504,21.779999,6.48,20.76
15858018594988,34.987503,33.45,-5.90625,21.779999,6.48,20.76
15858028594988,35.006252,34.2,-7.1625004,21.779999,6.48,20.76
15858038594988,34.29375,32.362503,-4.40625,21.779999,6.48,20.76
15858048594988,33.15,31.81875,-5.7937503,21.779999,6.48,20.76
15858058594988,32.53125,33.61875,-6.0750003,21.779999,6.48,20.76
15858068594988,32.568752,34.0125,-5.3250003,21.779999,6.48,20.76
15858078594988,32.60625,33.506252,-3.9375002,21.779999,6.48,20.76
15858088594988,31.800001,34.162502,-4.93125,21.779999,6.48,20.76
15858098594988,34.893753,34.55625,-6.6937504,21.779999,6.48,20.76
15858108594988,33.581253,32.756252,-4.65,21.779999,6.48,20.76
15858118594988,33.1875,35.100002,-4.6687503,21.779999,6.48,20.76
15858128594988,34.237503,34.987503,-3.7125,21.779999,6.48,20.76
15858138594988,34.143753,34.0875,-5.3625,21.779999,6.48,20.76
15858148594988,32.49375,33.61875,-5.0062504,21.779999,6.48,20.76
15858158594988,32.5125,31.987501,-4.3500004,21.779999,6.48,20.76
15858168594988,33.09375,33.45,-5.3812504,21.779999,6.48,20.76
15858178594988,33.787502,34.050003,-4.0875,21.779999,6.48,20.76
15858188594988,31.368752,32.456253,-4.9875,21.779999,6.48,20.76
