t_ns,qx,qy,qz,qw,heading_acc_rad
15855531231499,0.53287226,0.10078431,0.10844045,0.83314484,-1.0
15855535989884,0.53297794,0.09940864,0.10875845,0.8332011,-1.0
15855540748269,0.5326736,0.102643065,0.11602726,0.8320222,-1.0
15855545506655,0.53302085,0.101624794,0.116301425,0.8318865,-1.0
15855550264988,0.53333765,0.098675154,0.11309656,0.83248025,-1.0
15855555023374,0.53315496,0.0983916,0.113152005,0.8326233,-1.0
15855559781759,0.5327318,0.100485116,0.1161941,0.832225,-1.0
15855564540144,0.5326116,0.10075955,0.11611595,0.8322797,-1.0
15855569298530,0.5324654,0.10138804,0.11642029,0.8322544,-1.0
15855574056915,0.5326559,0.10160333,0.11637292,0.83211285,-1.0
15855578815301,0.5328206,0.10173777,0.11660353,0.8319587,-1.0
15855583573686,0.53292465,0.10156299,0.11664944,0.831907,-1.0
15855588332019,0.5330168,0.101258054,0.11673082,0.83187366,-1.0
15855593090405,0.5331203,0.10168433,0.11793211,0.8315859,-1.0
15855597848790,0.5332937,0.10147528,0.11800339,0.8314901,-1.0
15855602607176,0.5333273,0.10158614,0.11844709,0.83139193,-1.0
15855607365561,0.5334716,0.101545036,0.11846822,0.83130133,-1.0
15855612123946,0.53369683,0.100934066,0.117453456,0.8313752,-1.0
15855616882280,0.53371215,0.10101317,0.117430665,0.83135897,-1.0
15855621640665,0.53381485,0.100408204,0.11642489,0.83150774,-1.0
15855626399051,0.5338162,0.10038844,0.11641882,0.8315101,-1.0
15855631157436,0.53360206,0.101268366,0.11788955,0.83133364,-1.0
15855635915821,0.5335601,0.10115955,0.11790497,0.83137167,-1.0
15855640674207,0.5335301,0.10094009,0.1177023,0.83144623,-1.0
15855645432592,0.53349906,0.10090286,0.11770712,0.83147,-1.0
15855650190978,0.53347516,0.10072639,0.11733304,0.8315596,-1.0
15855654949363,0.5334243,0.1008111,0.11730624,0.83158576,-1.0
15855659707696,0.53322875,0.10176038,0.11846532,0.8314312,-1.0
15855664466082,0.533165,0.101961546,0.11840771,0.8314557,-1.0
15855669224467,0.53314155,0.10188336,0.11790627,0.83155155,-1.0
15855673982853,0.5331235,0.10205526,0.11785803,0.8315489,-1.0
15855678741238,0.533092,0.10227239,0.11797118,0.83152634,-1.0
15855683499624,0.5330742,0.10231594,0.117951185,0.8315352,-1.0
15855688258009,0.5331041,0.102291994,0.11795611,0.8315183,-1.0
15855693016290,0.53315353,0.10226167,0.11808924,0.8314715,-1.0
15855697774728,0.5332322,0.102097705,0.1181426,0.8314336,-1.0
15855702533113,0.53316635,0.102631144,0.119289726,0.8312463,-1.0
15855707291499,0.5332417,0.10248902,0.11933659,0.8312088,-1.0
15855712049884,0.53320897,0.10283596,0.12015036,0.8310697,-1.0
15855716808269,0.53325534,0.10268652,0.12019765,0.8310516,-1.0
15855721566655,0.5333781,0.102303095,0.11985717,0.83106923,-1.0
15855726324988,0.5334626,0.10219731,0.11989976,0.8310219,-1.0
15855731083374,0.53359735,0.10184723,0.11949389,0.83103687,-1.0
15855735841759,0.5336576,0.10181515,0.11951166,0.8309995,-1.0
15855740600144,0.5336449,0.10209382,0.11998452,0.8309053,-1.0
15855745358530,0.53368735,0.10207721,0.119991526,0.8308791,-1.0
15855750116863,0.53367704,0.10236784,0.120453455,0.8307831,-1.0
15855754875249,0.53371084,0.10235594,0.12045326,0.8307629,-1.0
15855759633634,0.533692,0.10261819,0.120923325,0.8306744,-1.0
15855764392019,0.5337096,0.102567255,0.12093085,0.8306683,-1.0
15855769150405,0.5337171,0.10251299,0.12095027,0.8306673,-1.0
