t_ns,wall_ms,lat,lon,alt,acc_h,acc_v,speed,has_speed,speed_acc,bearing,has_bearing,bearing_acc,provider,elapsed_unc_ns,is_mock,n_sats_used
15974725625029,1788545920899,28.5239875,77.5723075,171.20001220703125,4.212,0.8310602,0.0,true,0.10200455,NaN,false,NaN,fused,NaN,false,34
15975770625029,1788545921944,28.5239878,77.5723076,171.20001220703125,4.001,0.6979412,0.0,true,0.090668365,NaN,false,NaN,fused,NaN,false,34
15976771020185,1788545922945,28.5239878,77.5723078,171.20001220703125,3.93,0.70444375,0.0,true,0.070674405,NaN,false,NaN,fused,NaN,false,47
15977774352997,1788545923948,28.5239879,77.5723074,171.20001220703125,3.895,0.7109654,0.0,true,0.0706743,NaN,false,NaN,fused,NaN,false,50
15978773793726,1788545924947,28.523988,77.5723072,171.20001220703125,3.874,0.71746176,0.0,true,0.07067426,NaN,false,NaN,fused,NaN,false,52
15979766676642,1788545925940,28.5239882,77.572307,171.20001220703125,3.79,0.7239155,0.0,true,0.07069251,NaN,false,NaN,fused,NaN,false,52
15980767030444,1788545926941,28.5239884,77.5723068,171.20001220703125,3.79,0.7304178,0.0,true,0.070692435,NaN,false,NaN,fused,NaN,false,54
15981772345391,1788545927946,28.5239884,77.5723063,171.20001220703125,3.79,0.7368632,0.0,true,0.070692495,NaN,false,NaN,fused,NaN,false,53
15982772946589,1788545928947,28.5239884,77.5723058,171.20001220703125,3.79,0.6814955,0.0,true,0.070692495,NaN,false,NaN,fused,NaN,false,52
15983768050182,1788545929942,28.5239883,77.5723056,171.20001220703125,3.79,0.68796366,0.0,true,0.07069295,NaN,false,NaN,fused,NaN,false,52
15984763186952,1788545930937,28.5239885,77.5723052,171.20001220703125,3.79,0.6944321,0.0,true,0.07069262,NaN,false,NaN,fused,NaN,false,51
15985763912525,1788545931937,28.5239885,77.5723048,171.20001220703125,3.79,0.7009368,0.0,true,0.07069259,NaN,false,NaN,fused,NaN,false,50
15986773433619,1788545932947,28.5239885,77.5723047,171.20001220703125,3.79,0.70749867,0.0,true,0.07069264,NaN,false,NaN,fused,NaN,false,51
15987770502472,1788545933944,28.5239885,77.5723047,171.20001220703125,3.79,0.7139186,0.0,true,0.07069267,NaN,false,NaN,fused,NaN,false,52
15988771201534,1788545934945,28.5239885,77.5723047,171.20001220703125,3.79,0.72030896,0.0,true,0.07069245,NaN,false,NaN,fused,NaN,false,52
15989769458773,1788545935943,28.5239889,77.5723013,171.20001220703125,3.79,0.6675743,0.37,true,0.72849244,116.0,true,26.342035,fused,NaN,false,53
15990768703096,1788545936942,28.5239941,77.5722865,171.20001220703125,3.79,0.67406934,1.96,true,0.05329262,294.0,true,1.7466948,fused,NaN,false,58
15991762998252,1788545937936,28.5240021,77.572267,171.20001220703125,3.79,0.6805323,2.04,true,0.0313672,293.0,true,0.9852585,fused,NaN,false,60
15992774583669,1788545938948,28.5240095,77.5722438,171.20001220703125,3.79,0.68710756,2.39,true,0.038595855,288.0,true,1.0363154,fused,NaN,false,59
15993772808772,1788545939946,28.5240163,77.5722163,171.20001220703125,3.79,0.69359607,2.77,true,0.037818436,285.0,true,0.87532955,fused,NaN,false,59
15994773377261,1788545940947,28.5240238,77.572187,171.20001220703125,3.79,0.7001044,2.95,true,0.03206535,286.0,true,0.6970828,fused,NaN,false,60
15995767242000,1788545941942,28.5240325,77.5721571,171.20001220703125,3.79,0.70674515,3.02,true,0.124898225,288.0,true,2.6593587,fused,NaN,false,60
15996770867729,1788545942944,28.5240416,77.5721278,171.20001220703125,3.79,0.65642786,2.96,true,0.15878612,289.0,true,3.4593494,fused,NaN,false,60
15997769698250,1788545943943,28.5240516,77.5720985,171.20001220703125,3.79,0.6629203,3.06,true,0.07423167,290.0,true,1.5571524,fused,NaN,false,60
15998774590176,1788545944948,28.5240619,77.5720686,171.20001220703125,3.79,0.6694521,3.07,true,0.052703492,291.0,true,1.1023345,fused,NaN,false,60
15999770367416,1788545945944,28.5240729,77.5720389,171.20001220703125,3.79,0.67592466,3.12,true,0.049704988,292.0,true,1.0226747,fused,NaN,false,61
16000766919395,1788545946940,28.5240838,77.5720096,171.20001220703125,3.79,0.6823265,3.04,true,0.040829055,292.0,true,0.86280906,fused,NaN,false,61
16001772647936,1788545947946,28.5240947,77.5719804,171.20001220703125,3.79,0.6891596,3.06,true,0.039922096,292.0,true,0.8380875,fused,NaN,false,61
16002769953456,1788545948944,28.5241059,77.5719514,171.20001220703125,3.79,0.69581145,3.07,true,0.047741286,293.0,true,0.99682117,fused,NaN,false,61
