t_ns,gx,gy,gz,accuracy
15973084385568,-6.108648E-4,-0.0042760535,-0.00320704,3
15973086764682,-0.0018325944,0.0042760535,-0.008093959,3
15973089143797,-6.108648E-4,0.010384701,-0.0129808765,3
15973091522911,-6.108648E-4,0.016493348,-0.015424335,3
15973093902026,-6.108648E-4,0.021380268,-0.019089524,3
15973096281141,-0.0018325944,0.023823727,-0.021532983,3
15973098660307,-0.0018325944,0.025045456,-0.022754714,3
15973101039422,-0.0042760535,0.025045456,-0.022754714,3
15973103418536,-0.0042760535,0.021380268,-0.022754714,3
15973105797651,-0.0030543238,0.017715078,-0.021532983,3
15973108176766,-0.0018325944,0.0140498895,-0.019089524,3
15973110555880,-0.0018325944,0.007941242,-0.016646065,3
15973112934995,-0.0030543238,0.0042760535,-0.015424335,3
15973115314109,-0.0042760535,-6.108648E-4,-0.011759147,3
15973117693224,-0.005497783,-0.005497783,-0.010537418,3
15973120072338,-0.0042760535,-0.010384701,-0.009315688,3
15973122451453,-0.0042760535,-0.01282816,-0.008093959,3
15973124830568,-0.0030543238,-0.01527162,-0.006872229,3
15973127209734,-0.0018325944,-0.017715078,-0.0056504994,3
15973129588849,-0.0030543238,-0.018936807,-0.0056504994,3
15973131967963,-0.0042760535,-0.018936807,-0.0056504994,3
15973134347078,-0.0042760535,-0.017715078,-0.008093959,3
15973136726193,-0.0042760535,-0.016493348,-0.008093959,3
15973139105255,-0.0042760535,-0.016493348,-0.009315688,3
15973141484422,-0.0018325944,-0.0140498895,-0.009315688,3
15973143863536,-0.0030543238,-0.0140498895,-0.010537418,3
15973146242651,-0.0018325944,-0.010384701,-0.0129808765,3
15973148621766,-0.0030543238,-0.010384701,-0.014202606,3
15973151000880,-0.0030543238,-0.010384701,-0.015424335,3
15973153380047,-0.0030543238,-0.009162972,-0.015424335,3
15973155759161,-0.0030543238,-0.011606431,-0.015424335,3
15973158138276,-0.0030543238,-0.007941242,-0.016646065,3
15973160517391,-0.0030543238,-0.0067195124,-0.015424335,3
15973162896505,-0.0018325944,-0.0042760535,-0.017867794,3
15973165275620,-0.0030543238,-0.0030543238,-0.020311253,3
