t_ns,mx,my,mz,accuracy
15973099804474,27.112501,9.525001,-16.9125,3
15973109804474,26.456251,9.1875,-17.8875,3
15973119804474,25.781252,9.975,-16.7625,3
15973129804474,27.6375,10.33125,-19.29375,3
15973139804474,27.91875,10.387501,-18.2625,3
15973149804474,27.54375,9.69375,-20.04375,3
15973159804474,26.906252,9.4875,-20.41875,3
15973169804474,25.85625,9.975,-18.91875,3
15973179804474,27.018751,11.137501,-20.325,3
15973189804474,26.1,10.762501,-17.737501,3
15973199804474,25.518751,9.1875,-17.625,3
15973209804474,27.900002,10.125,-19.331251,3
15973219804474,27.7875,10.2375,-19.931252,3
15973229804474,26.6625,10.59375,-17.19375,3
15973239804474,25.9125,9.8625,-16.63125,3
15973249804474,26.19375,9.900001,-15.900001,3
15973259804474,26.718752,9.58125,-19.1625,3
15973269804474,25.81875,8.962501,-18.431252,3
15973279804474,28.7625,9.4875,-20.325,3
15973289804474,25.931252,10.2375,-20.325,3
15973299804474,26.437502,8.925,-18.65625,3
15973309804474,26.437502,9.168751,-17.118752,3
15973319804474,25.781252,8.475,-15.337501,3
15973329804474,25.06875,9.75,-15.13125,3
15973339804474,25.63125,9.075001,-16.725,3
15973349804474,24.562502,9.431251,-15.843751,3
15973359804474,25.312502,9.543751,-14.55,3
15973369804474,25.893751,9.1125,-15.375001,3
15973379804474,27.54375,9.58125,-15.58125,3
15973389804474,27.35625,9.431251,-15.39375,3
15973399804474,26.56875,9.075001,-16.987501,3
15973409804474,24.45,8.925,-15.187501,3
15973419804474,25.050001,8.118751,-13.406251,3
15973429804474,25.593752,9.075001,-15.95625,3
15973439804474,26.04375,9.262501,-14.156251,3
15973449804474,26.775002,8.475,-16.6875,3
15973459804474,25.800001,10.21875,-16.462502,3
15973469804474,23.8125,8.962501,-14.512501,3
15973479804474,25.10625,7.8750005,-16.3125,3
15973489804474,25.462502,9.168751,-15.7875,3
15973499804474,25.5375,9.056251,-13.950001,3
15973509804474,23.775002,10.06875,-17.1375,3
15973519804474,24.675001,9.075001,-16.462502,3
15973529804474,24.13125,8.868751,-15.150001,3
15973539804474,26.587502,9.58125,-15.31875,3
15973549804474,25.800001,8.212501,-17.025002,3
15973559804474,25.931252,9.356251,-15.075001,3
15973569804474,26.19375,10.1625,-14.512501,3
15973579804474,25.29375,9.28125,-15.3,3
15973589804474,25.63125,8.56875,-14.718751,3
15973599804474,22.21875,7.6125,-15.356251,3
15973609804474,25.425001,8.175,-14.981251,3
15973619804474,24.468752,8.6625,-16.575,3
15973629804474,26.8875,10.125,-16.893751,3
15973639804474,27.656252,7.8375,-18.300001,3
15973649804474,26.868752,9.1125,-16.40625,3
15973659804474,27.562502,10.087501,-18.675001,3
15973669804474,27.206251,10.1625,-16.931252,3
15973679804474,27.393751,8.418751,-16.9125,3
15973689804474,26.118752,9.262501,-16.63125,3
15973699804474,26.175001,9.525001,-16.95,3
15973709804474,29.212502,9.918751,-17.325,3
15973719804474,25.7625,9.58125,-18.13125,3
15973729804474,24.993752,9.375,-15.1125,3
15973739804474,26.118752,9.525001,-15.562501,3
15973749804474,22.5375,8.400001,-16.331251,3
15973759804474,25.63125,7.5750003,-14.981251,3
15973769804474,25.66875,8.325001,-16.85625,3
15973779804474,26.962502,9.375,-18.112501,3
15973789804474,26.1,9.262501,-15.8625,3
15973799804474,24.093752,8.625,-15.150001,3
15973809804474,24.656252,9.075001,-15.675,3
15973819804474,25.95,9.375,-15.69375,3
15973829804474,26.737501,9.225,-16.85625,3
15973839804474,24.618752,9.825001,-15.543751,3
15973849804474,24.075,7.8562503,-13.425,3
15973859804474,26.775002,8.71875,-15.618751,3
15973869804474,24.862501,9.46875,-15.262501,3
15973879804474,25.0125,9.1125,-16.800001,3
15973889804474,24.750002,8.325001,-17.6625,3
15973899804474,27.431252,11.0625,-19.143751,3
15973909804474,28.44375,10.3125,-20.306252,3
15973919804474,28.06875,11.64375,-21.075,3
15973929804474,26.19375,9.262501,-18.7875,3
15973939804474,28.275002,9.4125,-19.96875,3
15973949804474,28.031252,11.025001,-18.28125,3
15973959804474,27.225,11.53125,-19.893751,3
15973969804474,28.35,9.675,-21.056252,3
15973979804474,27.993752,10.125,-21.9375,3
15973989804474,29.7,11.3625,-20.19375,3
15973999804474,29.531252,10.837501,-22.7625,3
15974009804474,29.643751,10.725,-21.84375,3
15974019804474,26.212502,10.012501,-20.34375,3
15974029804474,31.2,9.675,-22.3125,3
15974039804474,28.837502,9.75,-21.112501,3
15974049804474,28.0125,10.63125,-20.118752,3
15974059804474,31.875002,10.78125,-23.19375,3
15974069804474,30.0375,11.2875,-21.45,3
15974079804474,27.112501,9.01875,-19.81875,3
