t_ns,wall_ms,sentence
15973138686540,1788545919312,"$BDMSG,JAMMER_MSG,000000/000000/000000/000000/000000,PASS*00 "
15975250141487,1788545921424,"$GPGSV,2,1,08,06,73,168,34,11,38,202,39,14,41,100,31,17,41,038,42,1*69  "
15975250566852,1788545921424,"$GPGSV,2,2,08,19,62,344,40,22,56,075,37,24,35,297,37,30,16,165,36,1*69  "
15975250593206,1788545921424,"$GPGSV,1,1,01,30,16,165,31,8*58  "
15975250815862,1788545921424,"$GLGSV,2,1,05,09,60,351,43,16,50,116,40,20,43,223,34,19,74,359,31,1*76  "
15975250828935,1788545921424,"$GLGSV,2,2,05,21,01,216,29,1*41  "
15975250933050,1788545921424,"$GAGSV,2,1,08,02,62,029,45,08,16,238,41,15,06,202,37,18,66,312,37,7*7C  "
15975251095394,1788545921424,"$GAGSV,2,2,08,25,26,096,34,30,32,315,38,34,52,176,36,36,57,069,37,7*77  "
15975251330498,1788545921424,"$GAGSV,2,1,07,02,62,029,31,08,16,238,35,15,06,202,36,18,66,312,29,1*7B  "
15975251464248,1788545921424,"$GAGSV,2,2,07,30,32,315,29,34,52,176,26,36,57,069,27,1*45  "
15975252098362,1788545921424,"$GQGSV,1,1,01,02,25,086,36,1*5A  "
15975252124925,1788545921424,"$GBGSV,2,1,08,38,78,327,31,28,33,237,44,23,66,319,42,13,62,251,34,1*7A  "
15975252141071,1788545921424,"$GBGSV,2,2,08,10,26,154,37,08,41,039,33,06,15,126,41,02,54,175,40,1*7E  "
15975254031175,1788545921428,"$GNGSA,A,3,06,11,14,17,19,22,24,30,,,,,0.8,0.5,0.7,1*33  "
15975254775289,1788545921428,"$PSSGR,GSA,A,3,30,,,,,,,,,,,,0.8,0.5,0.7,1,8*4C  "
15975254799144,1788545921428,"$GNGSA,A,3,80,83,,,,,,,,,,,0.8,0.5,0.7,2*3B  "
15975254813987,1788545921428,"$GNGSA,A,3,02,08,15,18,25,30,34,36,,,,,0.8,0.5,0.7,3*38  "
15975255200446,1788545921428,"$PSSGR,GSA,A,3,302,308,315,318,330,336,,,,,,,0.8,0.5,0.7,3,1*45  "
15975255220237,1788545921428,"$GNGSA,A,3,02,06,08,10,13,23,28,38,,,,,0.8,0.5,0.7,4*31  "
15975255231956,1788545921428,"$GNGSA,A,3,02,,,,,,,,,,,,0.8,0.5,0.7,5*3D  "
15975255383519,1788545921428,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
15975255524039,1788545921428,"$GNDTM,W84,,0000.000000,N,00000.000000,E,0.000,W84*41  "
15975255702894,1788545921428,"$GNRMC,181840.95,A,2831.439252,N,07734.338449,E,0.0,,040926,1.3,E,A,V*79  "
15975255867685,1788545921428,"$GNGNS,181840.95,2831.439252,N,07734.338449,E,AAAAAN,27,0.5,209.0,-54.0,,,V*07  "
15975256307060,1788545921428,"$GNGGA,181840.95,2831.439252,N,07734.338449,E,1,12,0.5,209.0,M,-54.0,M,,*5E  "
15975256342581,1788545921430,"$PSMSG,magcal=FAIL,bluesky=0*00 "
15975783942841,1788545921957,"$GNGSA,A,3,06,11,14,17,19,22,24,30,,,,,0.7,0.4,0.5,1*3F  "
15975783988571,1788545921957,"$PSSGR,GSA,A,3,11,30,,,,,,,,,,,0.7,0.4,0.5,1,8*40  "
15975784841591,1788545921957,"$GNGSA,A,3,80,83,,,,,,,,,,,0.7,0.4,0.5,2*37  "
15975786282893,1788545921957,"$GNGSA,A,3,02,07,08,15,18,25,30,34,36,,,,0.7,0.4,0.5,3*33  "
15975787890862,1788545921957,"$PSSGR,GSA,A,3,302,307,308,315,318,325,330,336,,,,,0.7,0.4,0.5,3,1*49  "
15975787925133,1788545921957,"$GNGSA,A,3,02,06,08,09,10,13,23,25,28,37,38,,0.7,0.4,0.5,4*37  "
15975787947321,1788545921957,"$PSSGR,GSA,A,3,223,225,228,237,,,,,,,,,0.7,0.4,0.5,4,5*43  "
15975788916539,1788545921957,"$GNGSA,A,3,02,,,,,,,,,,,,0.7,0.4,0.5,5*31  "
15975789015706,1788545921957,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
15975789025914,1788545921957,"$GNDTM,W84,,0000.000000,N,00000.000000,E,0.000,W84*41  "
15975789034716,1788545921957,"$GNRMC,181842.00,A,2831.439269,N,07734.338457,E,0.0,,040926,1.3,E,A,V*70  "
15975789043414,1788545921957,"$GNGNS,181842.00,2831.439269,N,07734.338457,E,AAAAAN,31,0.4,209.2,-54.0,,,V*0A  "
