t_ns,hPa
18826603005496,982.947
18826643005861,982.9402
18826683001954,982.93945
18826723001642,982.9436
18826763003256,982.9426
18826803003725,982.94214
18826843004298,982.94385
18826883001121,982.93823
18826923002788,982.93555
18826963002215,982.947
18827003003673,982.9392
18827043001069,982.9426
18827083005079,982.94434
18827123000913,982.93896
18827163002944,982.93604
18827203002788,982.9353
18827243001798,982.9348
18827283009298,982.9353
18827323002267,982.9321
18827363001798,982.9375
18827403000392,982.948
18827443002736,982.9463
18827483006590,982.938
18827523004090,982.9358
18827563001069,982.9431
18827603003829,982.94824
18827643003152,982.95337
18827683002319,982.9509
18827723003204,982.9441
18827763002215,982.93896
18827803000600,982.94604
18827843001694,982.93896
18827883001069,982.9363
18827923005496,982.9402
18827963000913,982.9387
18828003001017,982.94214
18828043001173,982.93774
18828083002475,982.93945
18828123005496,982.9397
18828163001642,982.9392
18828203001069,982.947
18828243003986,982.9509
18828283002059,982.93994
18828323002892,982.93604
18828363005496,982.9346
18828403000496,982.94214
18828443000704,982.94556
18828483000756,982.94434
18828523002944,982.93823
18828563006538,982.9487
18828603000861,982.9512
18828643004663,982.949
18828683001121,982.9448
18828723001225,982.9424
18828763005600,982.94727
18828803005288,982.947
18828843001173,982.95264
18828883002631,982.9468
18828923002944,982.9492
18828963003465,982.948
18829003002059,982.9441
18829043000652,982.93823
18829083000600,982.93506
18829123004402,982.9231
18829163005704,982.93335
18829203003204,982.93896
18829243002006,982.9387
18829283001902,982.9407
18829323003881,982.948
18829363003465,982.9419
18829403005027,982.947
18829443002163,982.94824
18829483001642,982.94946
18829523001798,982.94727
18829563001954,982.94727
18829603003204,982.94214
18829643001069,982.9446
18829683001486,982.93726
18829723000809,982.9426
18829763004663,982.94995
18829803001850,982.9458
18829843001746,982.93994
18829883002996,982.94434
18829923003465,982.93994
18829963001173,982.9441
18830003002059,982.95386
18830043004298,982.9509
18830083001486,982.9414
18830123002684,982.93896
18830163002684,982.9419
18830203003569,982.9431
18830243004767,982.9363
18830283000131,982.9309
18830323003100,982.9248
18830363002006,982.9314
18830403002475,982.9375
18830443005079,982.9331
18830483004663,982.9326
18830523001902,982.9341
18830563002579,982.93286
18830603003517,982.93896
18830643001434,982.93774
18830683010861,982.93823
18830723002736,982.9407
18830763001069,982.9424
18830803002527,982.93774
18830843003621,982.93726
18830883004663,982.94556
18830923000861,982.9404
18830963002631,982.9387
18831003001746,982.93945
18831043003413,982.9365
18831083002684,982.9353
18831123003725,982.9387
18831163001694,982.9309
18831203003204,982.9341
18831243001017,982.92993
18831283001486,982.9258
18831323002163,982.927
18831363002996,982.927
18831403003361,982.9363
18831443003934,982.9321
18831483002892,982.9282
18831523004090,982.9326
18831563002423,982.92944
18831603003204,982.9302
18831643000496,982.94165
18831683003048,982.9402
18831723004506,982.9407
18831763002527,982.9414
18831803000652,982.93823
18831843004298,982.9375
18831883001069,982.9436
18831923002631,982.94946
18831963010340,982.94727
18832003001486,982.9475
18832043002215,982.94946
18832083002944,982.9404
18832123002631,982.9404
18832163002684,982.9358
18832203001902,982.93823
18832243003881,982.94116
18832283001225,982.93335
18832323005756,982.9248
18832363005027,982.93066
18832403003725,982.9397
18832443003621,982.9446
18832483001538,982.9402
18832523002371,982.93896
18832563003569,982.93726
18832603004663,982.9468
18832643001069,982.9407
18832683002371,982.938
18832723003986,982.94556
18832763002215,982.93994
18832803004246,982.93823
18832843003725,982.93555
18832883000184,982.9385
18832923001746,982.9365
18832963002319,982.9397
18833003001746,982.9468
18833043003569,982.9502
18833083003881,982.949
18833123001486,982.9385
18833163001798,982.9453
18833203002319,982.9431
18833243006590,982.94385
18833283002423,982.9407
18833323002788,982.93896
18833363003204,982.9365
18833403003725,982.93384
18833443001850,982.9341
18833483000392,982.9392
18833523000704,982.94385
18833563000809,982.9502
18833603002006,982.9468
18833643002736,982.947
18833683003829,982.9358
18833723001381,982.938
18833763002215,982.93896
18833803003881,982.9404
18833843001434,982.9424
18833883002006,982.93896
18833923000496,982.93677
18833963003621,982.92944
18834003002892,982.9297
18834043003725,982.9402
18834083004559,982.9397
18834123004246,982.9343
18834163000236,982.93896
18834203000496,982.93335
18834243001381,982.92993
18834283008465,982.937
18834323003152,982.9424
18834363001850,982.9385
18834403001381,982.9375
18834443002736,982.9424
