t_ns,gx,gy,gz,accuracy
18826456401381,-0.04382955,0.038179047,-0.12675445,3
18826458780600,-0.021838415,0.24342962,-0.0033597562,3
18826461159871,0.056352276,0.21410811,0.014966187,3
18826463539090,0.12232567,0.046731155,-0.065667965,3
18826465918361,0.057574004,0.0051923506,-0.098654665,3
18826468297631,-0.023060145,0.11514801,-0.05589413,3
18826470676850,-0.091477,0.13713914,-0.0021380268,3
18826473056121,-0.07925971,0.10293072,-0.035124727,3
18826475435340,-0.020616686,-0.021685699,-0.060781047,3
18826477814611,0.027030766,0.00763581,-0.031459536,3
18826480193829,0.030695954,0.028405212,0.050396346,3
18826482573100,0.025809037,0.016187917,0.06139191,3
18826484952319,0.0074830935,-0.116980605,0.03573559,3
18826487331590,-0.024281874,-0.17562363,0.029626941,3
18826489710809,-0.062155493,-0.17928882,0.07849612,3
18826492090079,-0.052381653,-0.13775001,0.100487255,3
18826494469350,-0.0108428495,-0.17684536,0.09682207,3
18826496848569,0.031917684,-0.21471897,0.09193515,3
18826499227840,0.038026333,-0.2159407,0.1065959,3
18826501607059,0.01970039,-0.20250167,0.11759147,3
18826503986277,-0.0035124724,-0.1915061,0.107817635,3
18826506365548,-0.030390523,-0.2073886,0.08460477,3
18826508744819,-0.03527744,-0.18539746,0.068722285,3
18826511124038,-0.03161225,-0.13652828,0.06627883,3
18826513503309,-0.0108428495,-0.07910699,0.05650499,3
18826515882527,0.01970039,-0.04856375,0.032070402,3
18826518261798,0.033139415,-0.016798781,0.008857539,3
18826520641017,0.01847866,0.03451386,-0.0058032153,3
18826523020288,-0.007177661,0.07849612,-0.024129158,3
18826525399559,-0.019394957,0.094378605,-0.04856375,3
18826527778777,-0.014508039,0.10537417,-0.065667965,3
18826530158048,-0.0059559317,0.13713914,-0.06933315,3
18826532537267,0.009926553,0.160352,-0.065667965,3
18826534916538,0.027030766,0.160352,-0.06444623,3
18826537295756,0.025809037,0.13836087,-0.0632245,3
18826539675027,0.008704823,0.12247839,-0.05589413,3
18826542054246,-0.00962112,0.101708986,-0.042455103,3
18826544433517,-0.016951498,0.06994402,-0.032681264,3
18826546812788,-0.0108428495,0.032070402,-0.01802051,3
18826549192006,1.527162E-4,0.00763581,-9.162972E-4,3
18826551571277,0.008704823,-0.02046397,0.018631376,3
18826553950496,0.013591741,-0.04367683,0.03451386,3
18826556329767,0.006261364,-0.0754418,0.043065965,3
18826558708986,-0.0059559317,-0.098654665,0.050396346,3
18826561088256,-0.016951498,-0.11575887,0.05650499,3
18826563467475,-0.019394957,-0.118202336,0.05894845,3
18826565846746,-0.012064579,-0.116980605,0.06017018,3
18826568226017,0.0013744457,-0.10720677,0.05650499,3
18826570605236,0.008704823,-0.09498947,0.051618073,3
18826572984454,0.0074830935,-0.07299834,0.045509428,3
18826575363725,-0.002290743,-0.05222894,0.03084867,3
18826577742996,-0.007177661,-0.033902995,0.017409647,3
18826580122215,-0.0108428495,-0.011911863,0.0051923506,3
18826582501486,-0.00962112,0.017409647,-0.0058032153,3
18826584880704,1.527162E-4,0.041844238,-0.014355322,3
18826587259975,0.008704823,0.06017018,-0.024129158,3
18826589639194,0.011148282,0.07238748,-0.027794348,3
18826592018465,0.006261364,0.08093958,-0.032681264,3
18826594397684,-0.0010690134,0.083383046,-0.033902995,3
18826596776954,-0.0059559317,0.07849612,-0.032681264,3
18826599156173,-0.007177661,0.068722285,-0.029016078,3
18826601535444,-0.002290743,0.057726722,-0.02046397,3
18826603914715,0.003817905,0.043065965,-0.010690134,3
18826606293934,0.006261364,0.027183482,-9.162972E-4,3
18826608673204,0.006261364,0.003970621,0.010079269,3
18826611052423,1.527162E-4,-0.01924224,0.019853106,3
18826613431694,-0.007177661,-0.036346454,0.029626941,3
18826615810913,-0.00962112,-0.053450666,0.03573559,3
18826618190184,-0.008399391,-0.066889696,0.041844238,3
18826620569402,-0.0035124724,-0.07666353,0.046731155,3
18826622948673,1.527162E-4,-0.07788526,0.050396346,3
18826625327892,0.0013744457,-0.0754418,0.051618073,3
18826627707163,1.527162E-4,-0.07299834,0.047952887,3
