t_ns,gx,gy,gz,bx,by,bz
18826458780600,-0.032986697,0.24434592,0.0036651888,-0.011166461,8.5266546E-4,0.0069658575
18826461159871,0.045203995,0.2150244,0.021991132,-0.011166461,8.5266546E-4,0.0069658575
18826463539090,0.11117739,0.047647454,-0.05864302,-0.011166461,8.5266546E-4,0.0069658575
18826465918361,0.046425723,0.0061086477,-0.091629714,-0.011166461,8.5266546E-4,0.0069658575
18826468297631,-0.034208428,0.11606431,-0.04886918,-0.011166461,8.5266546E-4,0.0069658575
18826470676850,-0.10262528,0.13805544,0.0048869182,-0.011166461,8.5266546E-4,0.0069658575
18826473056121,-0.09040799,0.10384701,-0.028099779,-0.011166461,8.5266546E-4,0.0069658575
18826475435340,-0.03176497,-0.020769402,-0.0537561,-0.011166461,8.5266546E-4,0.0069658575
18826477814611,0.015882485,0.008552107,-0.02443459,-0.011166461,8.5266546E-4,0.0069658575
18826480193829,0.019547673,0.02932151,0.05742129,-0.011166461,8.5266546E-4,0.0069658575
18826482573100,0.014660755,0.017104214,0.068416856,-0.011166461,8.5266546E-4,0.0069658575
18826484952319,-0.0036651888,-0.11606431,0.042760536,-0.011166461,8.5266546E-4,0.0069658575
18826487331590,-0.035430156,-0.17470732,0.036651887,-0.011166461,8.5266546E-4,0.0069658575
18826489710809,-0.073303774,-0.17837252,0.08552107,-0.011166461,8.5266546E-4,0.0069658575
18826492090079,-0.06352994,-0.13683371,0.1075122,-0.011166461,8.5266546E-4,0.0069658575
18826494469350,-0.021991132,-0.17592905,0.10384701,-0.011166461,8.5266546E-4,0.0069658575
18826496848569,0.020769402,-0.21380267,0.098960094,-0.011166461,8.5266546E-4,0.0069658575
18826499227840,0.02687805,-0.2150244,0.11362085,-0.011166461,8.5266546E-4,0.0069658575
18826501607059,0.008552107,-0.20158538,0.124616414,-0.011166461,8.5266546E-4,0.0069658575
18826503986277,-0.014660755,-0.19058982,0.11484258,-0.011166461,8.5266546E-4,0.0069658575
18826506365548,-0.041538805,-0.20647229,0.091629714,-0.011166461,8.5266546E-4,0.0069658575
18826508744819,-0.046425723,-0.18448116,0.07574723,-0.011166461,8.5266546E-4,0.0069658575
18826511124038,-0.042760536,-0.13561198,0.073303774,-0.011166461,8.5266546E-4,0.0069658575
18826513503309,-0.021991132,-0.07819069,0.06352994,-0.011166461,8.5266546E-4,0.0069658575
18826515882527,0.008552107,-0.047647454,0.039095346,-0.011166461,8.5266546E-4,0.0069658575
18826518261798,0.021991132,-0.015882485,0.015882485,-0.011166461,8.5266546E-4,0.0069658575
18826520641017,0.0073303776,0.035430156,0.0012217296,-0.011166461,8.5266546E-4,0.0069658575
18826523020288,-0.018325943,0.07941242,-0.017104214,-0.011166461,8.5266546E-4,0.0069658575
18826525399559,-0.03054324,0.09529491,-0.041538805,-0.011166461,8.5266546E-4,0.0069658575
18826527778777,-0.02565632,0.106290475,-0.05864302,-0.011166461,8.5266546E-4,0.0069658575
18826530158048,-0.017104214,0.13805544,-0.062308207,-0.011166461,8.5266546E-4,0.0069658575
18826532537267,-0.0012217296,0.16126831,-0.05864302,-0.011166461,8.5266546E-4,0.0069658575
18826534916538,0.015882485,0.16126831,-0.05742129,-0.011166461,8.5266546E-4,0.0069658575
18826537295756,0.014660755,0.13927718,-0.056199558,-0.011166461,8.5266546E-4,0.0069658575
18826539675027,-0.0024434591,0.12339468,-0.04886918,-0.011166461,8.5266546E-4,0.0069658575
18826542054246,-0.020769402,0.10262528,-0.035430156,-0.011166461,8.5266546E-4,0.0069658575
18826544433517,-0.028099779,0.07086031,-0.02565632,-0.011166461,8.5266546E-4,0.0069658575
18826546812788,-0.021991132,0.032986697,-0.010995566,-0.011166461,8.5266546E-4,0.0069658575
18826549192006,-0.010995566,0.008552107,0.0061086477,-0.011166461,8.5266546E-4,0.0069658575
18826551571277,-0.0024434591,-0.019547673,0.02565632,-0.011166461,8.5266546E-4,0.0069658575
18826553950496,0.0024434591,-0.042760536,0.041538805,-0.011166461,8.5266546E-4,0.0069658575
18826556329767,-0.0048869182,-0.074525505,0.050090913,-0.011166461,8.5266546E-4,0.0069658575
18826558708986,-0.017104214,-0.09773836,0.05742129,-0.011166461,8.5266546E-4,0.0069658575
18826561088256,-0.028099779,-0.11484258,0.06352994,-0.011166461,8.5266546E-4,0.0069658575
18826563467475,-0.03054324,-0.11728604,0.06597339,-0.011166461,8.5266546E-4,0.0069658575
18826565846746,-0.023212861,-0.11606431,0.067195125,-0.011166461,8.5266546E-4,0.0069658575
