t_ns,ax,ay,az
18826467095756,0.0,0.0,0.0
18826471854246,-0.54429126,-0.6322727,-0.5820383
18826476612736,-0.2690097,0.23112774,2.6604931
18826481371225,-1.4613211,-0.79641724,0.82811904
18826486129715,0.0030946732,0.5361681,-0.28075576
18826490888204,-0.5552788,-0.35866928,-0.60020876
18826495646694,0.16176438,0.0053806305,1.7607846
18826500405184,0.24915886,-0.2710333,0.5035045
18826505163673,0.9781034,0.2434578,-0.62257004
18826509922163,1.4198892,-0.06301308,-0.18606901
18826514680652,1.4925151,-0.0838089,1.1117682
18826519439142,1.7937559,-0.05754471,0.61220837
18826524197684,1.5725789,0.09534168,-0.5635114
18826528956173,1.0850874,-0.0042037964,0.22140789
18826533714663,0.15834033,-0.17137718,0.793417
18826538473152,-0.2483877,-0.017068863,0.1440587
18826543231642,-0.7644644,0.0024108887,-0.5175419
18826547990131,-1.0692812,-0.035987854,0.29981995
18826552748621,-1.1824007,-0.116075516,0.48603535
18826557507111,-0.77214074,0.05080986,-0.16623688
18826562265600,-0.343323,0.03465557,-0.3239293
18826567024142,0.08813572,7.991791E-4,0.3065009
18826571782579,0.5248128,-0.018033028,0.29521227
18826576541121,0.9299813,0.08583164,-0.22435117
18826581299611,1.0054027,0.06880951,-0.121590614
18826586058100,0.81430936,0.017886162,0.3023386
18826590816590,0.53565305,0.07255173,0.10303545
18826595575079,0.17559576,0.1140728,-0.29022622
18826600333569,-0.267228,0.091897964,-0.04436493
18826605092059,-0.5928209,0.026322365,0.17265558
18826609850548,-0.63929164,0.060050964,-0.08060312
18826614609038,-0.56122684,0.039574623,-0.2757516
18826619367527,-0.3478359,-0.0012493134,0.02192974
18826624126017,-0.060123205,-0.024787903,0.1183548
18826628884559,0.32661796,0.015182495,-0.08780813
18826633643048,0.5921847,0.0053949356,-0.10926533
18826638401538,0.71734667,-0.020421982,0.15894032
18826643160027,0.71984875,-0.010632515,0.17834044
18826647918517,0.56999975,0.010709763,-0.0077753067
18826652677006,0.2894404,0.0012807846,0.037030697
18826657435496,-0.04735005,-0.029040337,0.18598509
18826662193986,-0.30436385,-0.016669273,0.09082985
18826666952475,-0.49586892,-0.034942627,-0.04923153
18826671710965,-0.55815494,-0.057580948,0.047513008
18826676469454,-0.5033959,-0.08690262,0.1327219
18826681227944,-0.29149675,-0.06416035,0.049805164
18826685986486,-0.025828242,-0.037177086,0.005940914
18826690744975,0.21117818,-0.036543846,0.1341362
18826695503465,0.38552892,-0.04768753,0.18975401
18826700261954,0.51283455,-0.018667221,0.09667492
18826705020444,0.52386487,-0.018299103,0.08303499
18826709778934,0.39233875,-0.03435707,0.1590352
18826714537423,0.2050283,-0.03842163,0.13992167
18826719295913,0.025688052,-0.05417919,0.029555798
18826724054402,-0.14626706,-0.05321884,0.033773422
18826728812892,-0.23613918,-0.061761856,0.07775307
18826733571381,-0.22180438,-0.05615139,0.050395966
18826738329871,-0.11189425,-0.020076752,0.018632889
18826743088361,0.019530892,-0.012857437,0.03209591
18826747846850,0.19845068,-0.012811661,0.071297646
18826752605392,0.31862938,0.006085396,0.02058649
18826757363881,0.34117877,0.022384644,-0.0032935143
18826762122371,0.2651503,0.017263412,0.018081665
18826766880861,0.15306735,0.047551155,-0.003130436
18826771639350,-0.0138117075,0.030283928,-0.045268536
18826776397840,-0.18793452,0.053341866,-0.082169056
18826781156329,-0.33174288,0.06425476,-0.06442928
18826785914819,-0.41525853,0.07494831,-0.0965395
18826790673309,-0.40641022,0.09726715,-0.102445126
18826795431798,-0.3251319,0.10277939,-0.09665203
18826800190288,-0.21938503,0.09640312,-0.0744586
18826804948777,-0.072754264,0.0688858,-0.07854462
18826809707267,0.09099269,0.05594158,-0.07311487
18826814465756,0.20570064,0.08097935,-0.07007122
18826819224298,0.26500762,0.070316315,-0.036326885
18826823982736,0.25781834,0.06926727,-0.031286716
18826828741277,0.22738099,0.06354618,-0.03574848
18826833499767,0.15262651,0.053209305,-0.0354414
18826838258256,0.07171857,0.035931587,-0.037535667
18826843016746,-0.008252859,0.044848442,-0.03486967
18826847775236,-0.042557716,0.03946495,-0.05590439
18826852533725,-0.10967326,0.029434204,-0.06256914
18826857292215,-0.10533571,0.033678055,-0.076262474
18826862050704,-0.10831714,0.04026413,-0.08281422
