t_ns,mx,my,mz,accuracy
18826466193777,6.8437505,-24.13125,30.6375,3
18826476193777,5.0062504,-26.118752,33.525,3
18826486193777,5.7937503,-25.125002,33.393753,3
18826496193777,5.9812503,-24.225,32.5875,3
18826506193777,5.9437504,-24.0,30.281252,3
18826516193777,8.53125,-23.400002,29.962502,3
18826526193777,7.7250004,-23.625,29.906252,3
18826536193777,6.61875,-24.525002,30.825,3
18826546193777,6.3750005,-24.675001,32.25,3
18826556193777,6.43125,-24.431252,31.7625,3
18826566193777,3.2812502,-24.73125,31.687502,3
18826576193777,5.71875,-24.900002,32.475002,3
18826586193777,6.4125004,-24.675001,31.48125,3
18826596193777,6.6000004,-23.53125,31.725,3
18826606193777,6.8625,-24.487501,32.643753,3
18826616193777,6.4687505,-24.4125,30.69375,3
18826626193777,7.3500004,-23.79375,30.712502,3
18826636193777,5.1375003,-26.118752,29.831251,3
18826646193777,7.14375,-23.325,30.112501,3
18826656193777,7.0125003,-24.73125,26.94375,3
18826666193777,7.0312505,-22.837502,31.031252,3
18826676193777,7.4062505,-23.79375,29.025002,3
18826686193777,8.475,-23.400002,31.650002,3
18826696193777,6.9375005,-24.73125,29.41875,3
18826706193777,9.262501,-24.675001,30.056252,3
18826716193777,6.8250003,-24.375002,30.0375,3
18826726193777,7.5750003,-24.525002,29.94375,3
18826736193777,6.6375003,-25.5375,29.625002,3
18826746193777,7.3500004,-24.187502,29.04375,3
18826756193777,6.7500005,-24.6375,30.656252,3
18826766193777,7.05,-24.6,31.3875,3
18826776193777,5.1937504,-23.587502,31.425001,3
18826786193777,7.14375,-24.337502,30.000002,3
18826796193777,7.89375,-23.475,30.337502,3
18826806193777,6.6937504,-25.0125,30.675001,3
18826816193777,7.275,-23.681252,29.19375,3
18826826193777,7.2375,-26.081251,32.49375,3
18826836193777,7.0875,-24.6,30.31875,3
18826846193777,5.9625,-24.487501,31.518751,3
18826856193777,7.05,-23.85,30.45,3
18826866193777,6.9750004,-24.975,31.725,3
18826876193777,6.0750003,-22.837502,31.9125,3
18826886193777,7.7812505,-24.112501,30.375002,3
18826896193777,7.0687504,-22.575,31.650002,3
18826906193777,6.0,-24.225,31.81875,3
18826916193777,5.3625,-24.562502,30.525002,3
18826926193777,5.3812504,-24.31875,31.275002,3
18826936193777,5.49375,-24.431252,32.04375,3
18826946193777,6.5437503,-24.7875,31.612501,3
18826956193777,5.34375,-24.31875,32.662502,3
18826966193777,4.9125004,-25.3875,31.050001,3
18826976193777,4.8375,-25.650002,31.5375,3
18826986193777,5.49375,-24.675001,30.975,3
18826996193777,7.3125005,-23.175001,30.562502,3
18827006193777,7.2937503,-24.45,29.681252,3
18827016193777,6.99375,-25.237501,30.0375,3
18827026193777,9.225,-23.175001,29.250002,3
18827036193777,6.6375003,-23.5125,30.337502,3
18827046193777,6.76875,-24.375002,31.425001,3
18827056193777,6.525,-24.7875,31.931252,3
18827066193777,5.68125,-24.525002,30.7875,3
18827076193777,6.8625,-24.750002,31.575,3
18827086193777,7.93125,-25.725,31.63125,3
18827096193777,7.0312505,-24.6,31.706251,3
