t_ns,wall_ms,batt_pct,charging,batt_temp_c,thermal_status,rotation,free_bytes
18831521560335,1788548777695,52,false,33.9,0,0,5927911424
18836540660229,1788548782714,52,false,33.9,0,0,5924589568
18841563749029,1788548787738,52,false,33.9,0,0,5922430976
18846582594079,1788548792756,52,false,33.9,0,0,5919813632
18851601943973,1788548797776,52,false,33.9,0,0,5918883840
18856661400794,1788548802835,52,false,33.9,0,0,5917913088
18861741398553,1788548807915,52,false,33.9,0,0,5913677824
18866786355686,1788548812960,52,false,33.9,0,0,5912727552
18871867360893,1788548818041,52,false,33.9,0,0,5911789568
18876913867089,1788548823088,52,false,33.9,0,0,5910847488
18881962497503,1788548828136,52,false,33.9,0,0,5909921792
18886984839741,1788548833159,52,false,33.9,0,0,5908996096
18892004362864,1788548838178,52,false,33.9,0,0,5908041728
18897021295050,1788548843195,52,false,33.9,0,0,5907091456
18902041275308,1788548848215,52,false,33.9,0,0,5906141184
18907059117181,1788548853233,52,false,33.9,0,0,5903372288
18912077645304,1788548858251,52,false,33.9,0,0,5902405632
18917093458271,1788548863267,52,false,33.3,0,0,5901455360
18922124517019,1788548868298,52,false,33.3,0,0,5900509184
18927155493996,1788548873329,52,false,33.3,0,0,5896757248
18934378352015,1788548880552,52,false,33.3,0,0,5895036928
18939410285450,1788548885584,52,false,33.3,0,0,5894283264
18944454283000,1788548890628,51,false,33.5,0,0,5893316608
18949493158936,1788548895667,51,false,33.5,0,0,5889720320
18955444154923,1788548901618,51,false,33.5,0,0,5886033920
18960454635182,1788548906628,51,false,33.5,0,0,5882392576
18965489374607,1788548911663,51,false,33.5,0,0,5881200640
18970564731272,1788548916739,51,false,33.5,0,0,5909143552
