t_ns,ax,ay,az,accuracy
19030638016990,-0.16271193,8.968299,4.0151563,3
19030640393865,-0.15792629,8.973084,4.101298,3
19030642770740,-0.10049855,9.016156,4.168297,3
19030645152302,-0.06699903,8.963513,4.115655,3
19030647531469,-0.06699903,8.953942,3.9960139,3
19030649910688,-0.09092726,8.997013,3.9146578,3
19030652289854,-0.11006984,9.006584,3.8907297,3
19030654669073,-0.124426775,8.949157,3.9050865,3
19030657048292,-0.15314065,8.987442,3.991228,3
19030659427459,-0.17706887,9.001799,4.0438704,3
19030661806677,-0.19621146,8.977871,4.0438704,3
19030664185844,-0.22492532,8.973084,4.0007997,3
19030666565063,-0.25842485,8.997013,3.9290147,3
19030668944282,-0.31106696,8.997013,3.9098723,3
19030671323448,-0.30149564,8.9826565,3.900301,3
19030673702667,-0.32542387,9.016156,3.9481573,3
19030676081834,-0.33499518,9.001799,4.019942,3
19030678460479,-0.3684947,8.987442,4.063013,3
19030680840271,-0.3397808,8.9826565,4.048656,3
19030683219438,-0.33499518,9.006584,4.019942,3
19030685598657,-0.31585258,8.992228,3.9720855,3
19030687977823,-0.28235307,8.9826565,3.938586,3
19030690357042,-0.2536392,8.9826565,3.9625144,3
19030692736261,-0.23928227,8.968299,4.019942,3
19030695115427,-0.22013968,8.992228,4.0773697,3
19030697494646,-0.21535404,8.987442,4.106084,3
19030699873813,-0.19142582,8.958728,4.1204405,3
19030702253032,-0.19142582,8.949157,4.0773697,3
19030704632250,-0.16749759,8.977871,4.063013,3
19030707011417,-0.18185452,8.987442,4.058227,3
19030709390636,-0.17706887,8.987442,4.0677986,3
19030711769802,-0.17706887,8.987442,4.1347976,3
19030714149021,-0.19142582,9.006584,4.2017965,3
19030716528240,-0.23449662,9.020942,4.2257247,3
19030718907407,-0.22971097,8.997013,4.1778684,3
19030721286625,-0.22013968,9.020942,4.1108694,3
19030723665844,-0.22492532,9.006584,4.106084,3
19030726045011,-0.2536392,9.025727,4.106084,3
19030728424229,-0.22492532,9.025727,4.106084,3
19030730803396,-0.20578274,9.016156,4.1491547,3
19030733182615,-0.15314065,9.040084,4.1491547,3
19030735561834,-0.14356937,9.059227,4.106084,3
19030737941000,-0.13399807,9.044869,4.072584,3
19030740320219,-0.11485548,9.020942,4.048656,3
19030742699334,-0.12921242,9.016156,4.0295134,3
19030745078604,-0.18664017,9.030513,4.058227,3
19030747457823,-0.23928227,9.025727,4.0677986,3
19030749836990,-0.2727818,9.035298,4.0773697,3
19030752216209,-0.3397808,9.040084,4.0534415,3
19030754595427,-0.39720857,9.049655,4.0103707,3
19030756974594,-0.46899325,9.059227,3.991228,3
19030759353813,-0.4977071,9.078369,4.0103707,3
19030761732979,-0.4833502,9.068798,4.0103707,3
19030764112198,-0.45942193,9.073584,3.9960139,3
19030766491365,-0.44985065,9.044869,4.0103707,3
19030768870584,-0.40677986,9.035298,4.0103707,3
19030771249802,-0.3589234,9.049655,4.005585,3
19030773628969,-0.3397808,9.049655,4.005585,3
19030776008188,-0.3062813,9.01137,3.9960139,3
19030778387354,-0.29192436,8.987442,4.005585,3
19030780766573,-0.2632105,9.006584,4.019942,3
19030783145792,-0.2536392,9.006584,4.0438704,3
19030785524959,-0.24885355,8.9826565,4.0534415,3
19030787904177,-0.23449662,8.9826565,4.063013,3
19030790283344,-0.23449662,8.963513,4.0534415,3
19030792662563,-0.24885355,8.9826565,4.0534415,3
19030795041782,-0.2536392,8.997013,4.072584,3
19030797420948,-0.2727818,8.992228,4.091727,3
19030799800115,-0.29192436,8.997013,4.106084,3
19030802179386,-0.32542387,8.997013,4.0965123,3
19030804558552,-0.33499518,8.9826565,4.115655,3
19030806937771,-0.33499518,8.963513,4.091727,3
19030809316938,-0.36370903,8.963513,4.0869412,3
19030811696157,-0.3684947,8.944371,4.0677986,3
19030814075375,-0.3493521,8.973084,4.072584,3
19030816454542,-0.32063824,8.9826565,4.101298,3
19030818833761,-0.30149564,8.953942,4.101298,3
19030821212927,-0.2727818,8.953942,4.115655,3
19030823592146,-0.2440679,8.953942,4.101298,3
19030825971365,-0.2009971,8.944371,4.063013,3
19030828350532,-0.15792629,8.953942,4.0677986,3
19030830729750,-0.148355,8.9826565,4.0677986,3
19030833108917,-0.12921242,9.001799,4.072584,3
19030835488136,-0.124426775,9.001799,4.082155,3
19030837867354,-0.13878371,9.006584,4.072584,3
19030840246521,-0.19621146,9.001799,4.063013,3
19030842625740,-0.25842485,9.020942,4.0534415,3
19030845004907,-0.3062813,9.01137,4.048656,3
19030847384125,-0.3493521,9.025727,4.0534415,3
19030849763344,-0.41156548,9.035298,4.0677986,3
19030852142511,-0.4642076,9.01137,4.0773697,3
19030854521729,-0.47377887,9.006584,4.0869412,3
19030856900896,-0.49292147,9.006584,4.0773697,3
19030859280115,-0.51206404,9.001799,4.058227,3
19030861659334,-0.5024927,8.992228,4.058227,3
19030864038500,-0.4881358,8.997013,4.034299,3
19030866417719,-0.4546363,8.9826565,4.034299,3
19030868796886,-0.41156548,8.977871,4.0295134,3
19030871176104,-0.40677986,8.9826565,4.058227,3
19030873555323,-0.40677986,8.977871,4.063013,3
19030875934490,-0.39720857,8.987442,4.0677986,3
19030878313709,-0.38285163,8.987442,4.048656,3
19030880692875,-0.37328035,8.997013,4.0390844,3
19030883072094,-0.35413775,8.973084,4.034299,3
19030885451313,-0.38285163,8.9826565,4.0390844,3
19030887830479,-0.37328035,9.016156,4.0534415,3
19030890209698,-0.4019942,8.992228,4.0773697,3
19030892588865,-0.40677986,8.992228,4.0965123,3
19030894968084,-0.4211368,8.992228,4.0677986,3
19030897347250,-0.42592242,8.992228,4.058227,3
19030899726469,-0.39720857,9.001799,4.0438704,3
19030902105688,-0.39720857,9.001799,4.048656,3
19030904484854,-0.38285163,8.987442,4.058227,3
19030906864073,-0.4019942,9.001799,4.091727,3
19030909243292,-0.38763726,8.997013,4.091727,3
19030911622459,-0.38285163,9.016156,4.0965123,3
19030914001677,-0.37328035,9.001799,4.063013,3
19030916380844,-0.3589234,9.01137,4.0534415,3
19030918760063,-0.3589234,8.997013,4.0390844,3
19030921139282,-0.3493521,9.006584,4.0438704,3
19030923518448,-0.34456646,9.006584,4.0534415,3
19030925897667,-0.32063824,8.992228,4.063013,3
19030928276834,-0.29671,9.001799,4.0677986,3
19030930656052,-0.2632105,9.006584,4.0390844,3
19030933035271,-0.2536392,9.006584,4.0295134,3
19030935414438,-0.2632105,9.030513,4.0151563,3
19030937793657,-0.24885355,9.030513,4.0103707,3
19030940172823,-0.2536392,9.016156,3.9864426,3
19030942552042,-0.2632105,8.997013,4.019942,3
19030944931261,-0.26799613,9.001799,4.048656,3
19030947310427,-0.30149564,8.9826565,4.034299,3
19030949689646,-0.31585258,8.973084,4.019942,3
19030952068813,-0.33499518,9.001799,4.034299,3
19030954448032,-0.36370903,9.01137,4.0295134,3
19030956827250,-0.37328035,8.997013,4.0390844,3
19030959206417,-0.3924229,8.9826565,4.0438704,3
19030961585636,-0.43070808,8.968299,4.082155,3
19030963964802,-0.44506502,8.973084,4.0773697,3
19030966344021,-0.43070808,8.977871,4.0438704,3
19030968723240,-0.41156548,8.997013,4.0534415,3
19030971102407,-0.43070808,9.020942,4.058227,3
19030973481625,-0.40677986,9.006584,4.063013,3
19030975860792,-0.38285163,9.001799,4.063013,3
19030978240011,-0.3589234,9.01137,4.0534415,3
19030980619229,-0.33020952,9.025727,4.0390844,3
19030982998396,-0.29671,9.030513,4.0390844,3
19030985377615,-0.2727818,9.025727,4.0534415,3
19030987756782,-0.26799613,9.025727,4.048656,3
19030990136000,-0.2440679,9.040084,4.0438704,3
19030992515219,-0.25842485,9.044869,4.019942,3
19030994894386,-0.27756742,9.025727,4.019942,3
19030997273604,-0.27756742,9.040084,4.024728,3
19030999652771,-0.3062813,9.040084,4.019942,3
19031002031990,-0.33499518,9.064013,4.0295134,3
19031004411209,-0.35413775,9.064013,4.0438704,3
19031006790375,-0.38285163,9.064013,4.034299,3
19031009169594,-0.4211368,9.064013,4.034299,3
19031011548761,-0.4354937,9.0544405,4.005585,3
19031013927979,-0.44027936,9.0544405,3.991228,3
19031016307198,-0.4546363,9.068798,3.9960139,3
19031018686365,-0.4354937,9.078369,4.0007997,3
19031021065584,-0.41156548,9.064013,4.019942,3
19031023444750,-0.37806597,9.030513,4.048656,3
19031025823969,-0.3397808,9.035298,4.048656,3
19031028203188,-0.31585258,9.040084,4.0295134,3
19031030582354,-0.25842485,9.030513,4.019942,3
19031032961573,-0.2105684,9.020942,4.0007997,3
19031035340740,-0.18664017,9.006584,4.0103707,3
19031037719959,-0.14356937,9.006584,4.019942,3
19031040099125,-0.124426775,8.977871,4.0438704,3
19031042478344,-0.124426775,8.9826565,4.0390844,3
19031044857563,-0.148355,8.9826565,4.063013,3
19031047236729,-0.148355,9.006584,4.0390844,3
19031049615896,-0.18185452,9.01137,4.019942,3
