t_ns,gx,gy,gz
19030657699594,-0.13887961,8.974498,3.9508855
19030662457979,-0.16259257,8.958259,3.986672
19030667216417,-0.18916538,8.962006,3.9770672
19030671974802,-0.2187835,8.969203,3.9592807
19030676732615,-0.24101442,8.968177,3.9603167
19030681491573,-0.2596607,8.962323,3.9723709
19030686249959,-0.268778,8.961726,3.9731119
19030691008396,-0.26847082,8.963169,3.9698741
19030695766782,-0.263858,8.960337,3.9765728
19030700525167,-0.25755605,8.95566,3.9875093
19030705283552,-0.2504453,8.953168,3.9935522
19030710041938,-0.24463718,8.951604,3.997416
19030714800375,-0.24009402,8.947414,4.007058
19030719558761,-0.23960795,8.943028,4.0168667
19030724317146,-0.23859519,8.941554,4.0202084
19030729075532,-0.23887095,8.940418,4.0227165
19030733833969,-0.23574656,8.938593,4.0269556
19030738592354,-0.23092493,8.9384985,4.0274463
19030743350740,-0.22605132,8.93908,4.0264277
19030748109125,-0.2263004,8.939177,4.0262012
19030752867563,-0.23083319,8.939218,4.025853
19030757625948,-0.2404439,8.940317,4.022847
19030762384334,-0.25135252,8.941223,4.020166
19030767142719,-0.25951147,8.942118,4.0176573
19030771901104,-0.2640205,8.942802,4.0158386
19030776659490,-0.26588318,8.943491,4.014182
19030781417927,-0.266024,8.943829,4.0134196
19030786176313,-0.2653467,8.943651,4.0138607
19030790934698,-0.26431963,8.943262,4.0147977
19030795693084,-0.2640474,8.942892,4.015639
19030800451521,-0.26488826,8.942114,4.017314
19030805209907,-0.26714656,8.941262,4.0190616
19030809968292,-0.26990584,8.94051,4.02055
19030814726677,-0.27272907,8.939969,4.021562
19030819485063,-0.27410975,8.939218,4.0231376
19030824243500,-0.27414972,8.9384,4.0249505
19030829001886,-0.27231288,8.938077,4.0257926
19030833760271,-0.2699211,8.937944,4.0262485
19030838518657,-0.26783797,8.937823,4.0266566
19030843277042,-0.26844007,8.937865,4.026523
19030848035479,-0.2714589,8.937917,4.026207
19030852793865,-0.27671018,8.937732,4.0262613
19030857552250,-0.2825761,8.93738,4.0266337
19030862310636,-0.28838772,8.937188,4.0266466
19030867069021,-0.2930106,8.937185,4.026319
19030871827459,-0.29599735,8.937107,4.0262737
19030876585844,-0.29873767,8.936907,4.026517
19030881344229,-0.3008669,8.936929,4.0263095
19030886102615,-0.3027849,8.936936,4.026149
19030890861000,-0.30486456,8.936798,4.026299
19030895619386,-0.30737445,8.936557,4.0266433
19030900377823,-0.30965626,8.936533,4.026523
19030905136209,-0.31142148,8.936461,4.026544
19030909894594,-0.3131432,8.936176,4.027043
19030914652979,-0.31445128,8.936011,4.027307
19030919411417,-0.31541273,8.936069,4.027105
19030924169802,-0.3161433,8.936123,4.026928
19030928928188,-0.31628186,8.93607,4.0270348
19030933686573,-0.31571257,8.936264,4.0266485
19030938444959,-0.31522936,8.93663,4.025875
19030943203396,-0.31506884,8.936968,4.0251346
19030947961782,-0.3154433,8.937049,4.024928
19030952720167,-0.31647745,8.937134,4.024659
19030957478552,-0.31819168,8.937218,4.0243354
19030962236938,-0.3203609,8.9370575,4.02452
19030966995375,-0.3227892,8.936927,4.0246162
19030971753761,-0.3247245,8.936921,4.0244737
19030976512146,-0.32606977,8.936891,4.0244327
19030981270532,-0.32667005,8.936984,4.0241756
19030986028917,-0.32650676,8.937121,4.023884
19030990787354,-0.32598883,8.937277,4.023578
19030995545740,-0.3256588,8.937555,4.0229874
19031000304125,-0.32564446,8.937815,4.0224123
19031005062511,-0.32618433,8.938032,4.021888
19031009820896,-0.3272677,8.938224,4.021374
19031014579334,-0.32849646,8.938533,4.020586
19031019337719,-0.329481,8.938868,4.0197606
19031024096104,-0.32961866,8.939,4.019454
19031028854490,-0.32891807,8.93909,4.019314
19031033612875,-0.3272286,8.9392805,4.0190253
19031038371261,-0.32511267,8.939422,4.018883
19031043129698,-0.32290155,8.939418,4.0190725
19031047888032,-0.3213181,8.939395,4.019249
19031052646469,-0.3205325,8.939486,4.0191116
19031057404854,-0.32031074,8.939375,4.0193734
19031062163292,-0.320528,8.939166,4.01982
19031066921677,-0.32101884,8.938934,4.020297
19031071680063,-0.3216459,8.938761,4.020632
19031076438448,-0.3227323,8.93851,4.021103
19031081196834,-0.32400933,8.938173,4.021749
19031085955271,-0.3261511,8.937944,4.022084
19031090713657,-0.32884166,8.937774,4.0222464
19031095472042,-0.33148766,8.937554,4.022514
19031100230427,-0.33324596,8.937354,4.0228148
19031104988813,-0.33426324,8.937295,4.022863
19031109747198,-0.33478853,8.93731,4.0227847
19031114505636,-0.335321,8.937225,4.022928
19031119264021,-0.3355955,8.937281,4.0227814
19031124022407,-0.336753,8.937196,4.022874
19031128780792,-0.33828154,8.937027,4.023123
19031133539229,-0.3404671,8.936893,4.0232325
19031138297615,-0.34287634,8.93677,4.0233016
19031143056000,-0.34554958,8.936483,4.0237103
19031147814386,-0.34799778,8.936289,4.0239334
19031152572771,-0.35026443,8.936077,4.0242047
19031157331209,-0.35287204,8.93575,4.0247035
19031162089594,-0.35642827,8.9354725,4.0250053
19031166847979,-0.36069402,8.935414,4.024756
19031171606365,-0.3656781,8.935266,4.024637
19031176364750,-0.3713213,8.934942,4.0248375
19031181123136,-0.3773563,8.934608,4.025017
19031185881573,-0.383826,8.934393,4.0248833
19031190639959,-0.38917488,8.934291,4.024595
19031195398344,-0.39380753,8.934072,4.0246334
19031200156729,-0.3965559,8.933725,4.025133
19031204915115,-0.39749774,8.933643,4.02522
19031209673552,-0.39682624,8.933692,4.02518
19031214431938,-0.39529154,8.933546,4.025654
19031219190323,-0.39426577,8.933445,4.02598
19031223948709,-0.39415613,8.933508,4.0258484
19031228707094,-0.3956089,8.933419,4.0259023
19031233465532,-0.39840394,8.933064,4.0264163
19031238223917,-0.4019737,8.9327135,4.026839
19031242982302,-0.40539277,8.93243,4.027125
19031247740688,-0.40800565,8.932137,4.0275116
19031252499073,-0.40919468,8.931857,4.028013
19031257257511,-0.40904003,8.931844,4.028059
19031262015896,-0.40823552,8.931914,4.0279813
19031266774282,-0.40734664,8.932165,4.0275154
19031271532667,-0.40751034,8.932473,4.0268183
19031276291052,-0.40974945,8.932741,4.025994
19031281049490,-0.4139341,8.932799,4.0254354
19031285807875,-0.4194814,8.93268,4.0251293
19031290566261,-0.42629427,8.932538,4.024725
19031295324646,-0.43340325,8.932391,4.0242906
19031300083032,-0.43984887,8.932168,4.024091
19031304841417,-0.44532603,8.93201,4.0238404
19031309599854,-0.44847727,8.931935,4.0236564
19031314358240,-0.4495123,8.931931,4.02355
19031319116625,-0.44822463,8.931992,4.023557
19031323875011,-0.44564098,8.932131,4.023534
19031328633396,-0.44208273,8.932332,4.0234795
19031333391834,-0.4385824,8.9324665,4.023566
19031338150219,-0.4357296,8.932492,4.0238185
19031342908604,-0.43376893,8.932557,4.0238843
19031347666990,-0.43264753,8.9326725,4.02375
19031352425375,-0.43194187,8.932593,4.0240045
19031357183761,-0.43107113,8.932353,4.024628
19031361942198,-0.4294191,8.932246,4.02504
19031366700584,-0.42669484,8.932356,4.0250883
19031371458969,-0.42308685,8.932499,4.0251555
19031376217354,-0.4189791,8.93261,4.0253367
19031380975740,-0.41480523,8.9327345,4.0254908
19031385734177,-0.41089743,8.933004,4.0252924
19031390492563,-0.4075449,8.933229,4.0251327
19031395250948,-0.4047977,8.933415,4.0250006
19031400009334,-0.4023192,8.933539,4.0249715
19031404767719,-0.40028846,8.933651,4.0249276
19031409526104,-0.39784572,8.933802,4.024833
19031414284542,-0.3946205,8.933924,4.0248804
19031419042927,-0.39046353,8.93411,4.0248733
19031423801313,-0.38552833,8.934453,4.0245876
19031428559698,-0.38043594,8.934737,4.02444
19031433318084,-0.3753211,8.935146,4.0240135
19031438076521,-0.3708987,8.935467,4.0237117
19031442834907,-0.3673943,8.935383,4.024221
19031447593292,-0.3648842,8.935268,4.0247016
19031452351625,-0.36335623,8.935414,4.024518
19031457110063,-0.36261317,8.935494,4.0244074
19031461868448,-0.3623816,8.935082,4.0253406
19031466626886,-0.3624762,8.934512,4.026599
19031471385271,-0.36292595,8.934136,4.027392
19031476143657,-0.3638519,8.933746,4.028173
