run,pair,direction,status,session_name,zip,duration_s,ride_s,acc_hz,gyr_hz,dropped,gaps_gt50ms,n_gnss_fix,mean_h_acc_m,mount_pitch_deg,lean_roll_deg,start_offset_m,end_offset_m,notes
1,1,AB,KEEP,20260905_003612_SNU_AJB_AB_run1,zips/20260905_003612_SNU_AJB_AB_run1.zip,145.4,115.3,418.8,418.8,0,0,145,3.79,24.84,-7.28,1.2,0.9,
2,1,BA,KEEP,20260905_003936_SNU_AJB_BA_run2,zips/20260905_003936_SNU_AJB_BA_run2.zip,128.4,98.3,418.8,418.8,0,0,127,3.79,24.31,2.19,1.4,0.9,
3,2,AB,KEEP,20260905_004343_SNU_AJB_AB_run3,zips/20260905_004343_SNU_AJB_AB_run3.zip,134.5,104.4,418.8,418.8,0,0,132,3.79,23.01,-2.64,0.7,2.8,
4,2,BA,KEEP,20260905_004615_SNU_AJB_BA_run4,zips/20260905_004615_SNU_AJB_BA_run4.zip,119.4,89.2,418.8,418.8,0,0,118,3.79,26.13,0.22,4.6,0.6,
5,3,AB,KEEP,20260905_004834_SNU_AJB_AB_run5,zips/20260905_004834_SNU_AJB_AB_run5.zip,127.0,96.9,418.8,418.8,0,0,126,3.79,26.62,-2.72,0.2,0.9,
6,3,BA,KEEP,20260905_005057_SNU_AJB_BA_run6,zips/20260905_005057_SNU_AJB_BA_run6.zip,120.3,90.2,418.8,418.8,0,0,119,3.79,26.82,1.55,1.3,0.7,
7,4,AB,KEEP,20260905_005315_SNU_AJB_AB_run7,zips/20260905_005315_SNU_AJB_AB_run7.zip,126.3,96.2,418.8,418.8,0,0,125,3.79,27.14,-0.08,0.3,0.5,
8,,BA,EXCLUDED,20260905_005537_SNU_AJB_BA_run8,zips/_excluded/20260905_005537_SNU_AJB_BA_run8.zip,61.3,31.1,418.8,418.8,0,0,60,3.79,27.52,2.87,1.4,218.9,"ABORTED: ended 219m short of endpoint A, 31s ride only"
9,4,BA,KEEP,20260905_005724_SNU_AJB_BA_run9,zips/20260905_005724_SNU_AJB_BA_run9.zip,125.4,95.3,418.8,418.8,0,0,124,3.79,25.92,-3.67,0.7,0.9,
10,5,AB,KEEP,20260905_010232_SNU_AJB_AB_run10,zips/20260905_010232_SNU_AJB_AB_run10.zip,101.4,71.2,418.8,418.8,0,0,100,3.79,25.22,1.10,0.9,0.8,
11,5,BA,KEEP,20260905_010441_SNU_AJB_BA_run11,zips/20260905_010441_SNU_AJB_BA_run11.zip,95.6,65.5,418.8,418.8,0,0,94,3.79,24.54,-3.81,2.4,1.4,
12,6,AB,KEEP,20260905_010646_SNU_AJB_AB_run12,zips/20260905_010646_SNU_AJB_AB_run12.zip,102.0,71.8,418.8,418.8,0,0,101,3.79,24.91,2.69,1.0,0.9,
13,6,BA,KEEP,20260905_010841_SNU_AJB_BA_run13,zips/20260905_010841_SNU_AJB_BA_run13.zip,102.5,72.3,418.8,418.8,0,0,101,3.79,25.23,1.62,1.5,1.9,
14,7,AB,KEEP,20260905_011109_SNU_AJB_AB_run14,zips/20260905_011109_SNU_AJB_AB_run14.zip,103.2,72.3,418.8,418.8,0,0,102,3.79,25.10,0.01,2.4,1.7,
15,7,BA,KEEP,20260905_011306_SNU_AJB_BA_run15,zips/20260905_011306_SNU_AJB_BA_run15.zip,108.8,78.6,418.8,418.8,0,0,108,3.79,25.45,0.03,2.0,0.2,
16,8,AB,KEEP,20260905_011609_SNU_AJB_AB_run16,zips/20260905_011609_SNU_AJB_AB_run16.zip,122.9,92.7,418.8,418.8,0,0,122,3.79,24.86,-3.04,1.1,0.3,
17,8,BA,KEEP,20260905_011824_SNU_AJB_BA_run17,zips/20260905_011824_SNU_AJB_BA_run17.zip,116.5,86.4,418.8,418.8,0,0,115,3.79,25.78,-4.09,1.0,0.1,
18,9,AB,KEEP,20260905_012036_SNU_AJB_AB_run18,zips/20260905_012036_SNU_AJB_AB_run18.zip,109.3,79.2,418.8,418.8,0,0,108,3.79,25.58,-3.48,2.1,0.5,
19,9,BA,KEEP,20260905_012236_SNU_AJB_BA_run19,zips/20260905_012236_SNU_AJB_BA_run19.zip,99.8,69.7,418.8,418.8,0,0,99,3.79,25.81,-1.99,1.8,0.9,
20,10,AB,KEEP,20260905_012431_SNU_AJB_AB_run20,zips/20260905_012431_SNU_AJB_AB_run20.zip,111.0,80.9,418.8,418.8,0,0,110,3.79,25.09,-3.40,1.0,1.0,
21,10,BA,KEEP,20260905_012632_SNU_AJB_BA_run21,zips/20260905_012632_SNU_AJB_BA_run21.zip,114.7,84.6,418.8,418.8,0,0,114,3.79,25.66,-1.50,1.4,1.3,
