t_ns,ax,ay,az,accuracy
18826447410027,-2.5507488,8.3174515,-0.21535404,3
18826449789611,-0.34456646,8.925228,0.6843473,3
18826452168881,1.4261223,10.145568,4.2017965,3
18826454548100,-1.3304094,9.753145,4.8765726,3
18826456927371,-4.0773697,7.800602,4.9292145,3
18826459306590,-3.0963125,7.04447,6.101698,3
18826461685861,-0.5886344,9.169296,7.2263246,3
18826464065079,-0.4833502,10.212567,4.0151563,3
18826466444350,-1.3304094,9.016156,1.4835501,3
18826468823621,-2.3688943,7.987242,0.35413775,3
18826471202840,-1.6271194,8.709874,2.8235307,3
18826473582111,-1.430908,9.82493,5.948557,3
18826475961329,-2.2875385,8.829515,6.3744793,3
18826478340600,-3.751946,7.8053875,5.058427,3
18826480719819,-3.3212378,8.26481,4.1491547,3
18826483099090,-2.1870399,9.518648,3.8476589,3
18826485478309,-1.9477576,9.485149,3.0053852,3
18826487857579,-2.8426733,8.671589,2.4023938,3
18826490236798,-2.617748,8.398808,3.5796626,3
18826492616069,-2.1248264,8.839087,5.2833524,3
18826494995340,-1.8329022,8.963513,6.0107703,3
18826497374559,-1.8376877,8.657232,5.072784,3
18826499753829,-1.8568304,8.518449,3.8524444,3
18826502133048,-1.3256238,9.001799,3.37388,3
18826504512267,-0.65084773,9.265009,3.1489546,3
18826506891538,-0.3397808,8.973084,3.37388,3
18826509270809,-0.42592242,8.666803,3.9864426,3
18826511650027,-0.3493521,8.705089,4.7856455,3
18826514029298,0.033499517,8.877372,5.393422,3
18826516408517,0.33499518,8.79123,5.1206403,3
18826518787788,0.27756742,8.834301,4.168297,3
18826521167006,0.19621146,8.944371,3.3882368,3
18826523546277,0.22971097,9.001799,3.455236,3
18826525925548,0.062213387,8.939586,3.9816568,3
18826528304767,-0.4546363,8.805588,4.465007,3
18826530684038,-1.0001999,8.695518,4.8095737,3
18826533063256,-1.2346965,8.690732,4.8909297,3
18826535442527,-1.416551,8.796016,4.5320063,3
18826537821746,-1.6749759,8.896515,3.885944,3
18826540201017,-2.0195422,8.906086,3.455236,3
18826542580236,-2.2061825,8.82473,3.574877,3
18826544959506,-2.3928227,8.829515,4.130012,3
18826547338777,-2.5698915,8.819944,4.570291,3
18826549717996,-2.7038896,8.752945,4.6803613,3
18826552097267,-2.6129622,8.724232,4.4458647,3
18826554476486,-2.4071796,8.853444,4.082155,3
18826556855756,-2.1631117,8.963513,3.723232,3
18826559234975,-1.9764715,8.930014,3.6323047,3
