t_ns,hPa
19030792000844,982.85864
19030831999907,982.864
19030871999177,982.864
19030911999854,982.8662
19030951998448,982.8662
19030991999177,982.8679
19031032001261,982.8667
19031071999698,982.8701
19031111999907,982.8701
19031151999802,982.86914
19031191998552,982.87134
19031232000219,982.87036
19031271999698,982.8618
19031312000011,982.8616
19031352001157,982.86084
19031391998865,982.85474
19031432000011,982.85913
19031471999802,982.86914
19031511999229,982.87427
19031552000271,982.8838
19031591999802,982.885
19031632001625,982.88086
19031671998552,982.87695
19031711999386,982.8684
19031751999854,982.8633
19031791998865,982.8623
19031831999646,982.8638
19031871999698,982.8635
19031912000115,982.8635
19031951999802,982.8679
19031992000479,982.865
19032031998240,982.8628
19032071999854,982.8606
19032111999802,982.8613
19032152000011,982.86816
19032192001261,982.86816
19032231997615,982.87036
19032272001157,982.8677
19032311999490,982.8616
19032351999854,982.8635
19032392000115,982.8611
19032431999698,982.8677
19032471998344,982.8677
19032512004229,982.8672
19032552004750,982.85596
19032592038865,982.84985
19032632004750,982.85913
19032672003292,982.8533
19032712006261,982.8535
19032752004646,982.8623
19032792005584,982.864
19032832001782,982.85815
19032872002719,982.8562
19032912007407,982.8611
19032952002302,982.85645
19032992050532,982.85986
19033032004334,982.85767
19033072002354,982.8611
19033112003084,982.8645
19033152003136,982.8633
19033192006521,982.8616
19033232003552,982.8579
19033272003865,982.8616
19033312003813,982.85547
19033352004125,982.8618
19033392005271,982.8635
19033432003709,982.87036
19033472003604,982.8662
19033512005427,982.8635
19033552005792,982.8662
19033592005427,982.8723
19033632005271,982.87305
19033672004334,982.87305
19033712003657,982.8755
19033752004386,982.87256
19033792005323,982.8696
19033832002927,982.864
19033872145271,982.865
19033912004021,982.8667
19033952003396,982.8689
19033992003709,982.86865
19034032004177,982.8618
19034072005115,982.86426
19034112003344,982.86035
19034152002094,982.8613
19034192005219,982.85913
19034232003136,982.8623
19034272006052,982.8601
19034312179594,982.8662
19034352002042,982.86426
19034392005063,982.86084
19034432005636,982.8623
19034472004490,982.8635
19034512210167,982.8613
