t_ns,wall_ms,lat,lon,alt,acc_h,acc_v,speed,has_speed,speed_acc,bearing,has_bearing,bearing_acc,provider,elapsed_unc_ns,is_mock,n_sats_used
19991212000000,1788549937386,28.521553,77.5715906,171.3000030517578,6.826,2.9391758,NaN,false,NaN,NaN,false,NaN,fused,NaN,false,0
19992820802913,1788549938995,28.5215535,77.5715916,171.3000030517578,7.433,2.977084,0.0,true,0.10780271,NaN,false,NaN,fused,NaN,false,28
19993755802912,1788549939929,28.5215532,77.5715927,171.3000030517578,6.826,3.2161968,0.0,true,0.09025073,NaN,false,NaN,fused,NaN,false,28
19994751407912,1788549940925,28.5215535,77.5715937,171.3000030517578,6.826,3.6392965,0.0,true,0.070675895,NaN,false,NaN,fused,NaN,false,54
19995748310255,1788549941922,28.5215536,77.5715947,171.3000030517578,6.826,3.0894825,0.0,true,0.070675254,NaN,false,NaN,fused,NaN,false,57
19996758073796,1788549942932,28.5215536,77.5715955,171.3000030517578,3.79,2.4311137,0.0,true,0.07067559,NaN,false,NaN,fused,NaN,false,60
19997760761610,1788549943935,28.5215536,77.5715963,171.3000030517578,3.79,2.6605465,0.0,true,0.07069285,NaN,false,NaN,fused,NaN,false,59
19998749498952,1788549944923,28.5215536,77.5715968,171.3000030517578,3.79,2.6880386,0.0,true,0.07069272,NaN,false,NaN,fused,NaN,false,60
19999756654837,1788549945930,28.5215534,77.571597,171.3000030517578,3.79,2.6463528,0.0,true,0.070692845,NaN,false,NaN,fused,NaN,false,61
20000751996608,1788549946925,28.5215535,77.5715973,171.3000030517578,3.79,2.5865035,0.0,true,0.07069278,NaN,false,NaN,fused,NaN,false,60
20001752504472,1788549947926,28.5215536,77.5715973,171.3000030517578,3.79,2.5410402,0.0,true,0.0706927,NaN,false,NaN,fused,NaN,false,59
20002756257492,1788549948931,28.5215536,77.5715975,171.3000030517578,3.79,2.52096,0.0,true,0.07069272,NaN,false,NaN,fused,NaN,false,58
20003755675878,1788549949929,28.5215537,77.5715975,171.3000030517578,3.79,2.3743975,0.0,true,0.07069274,NaN,false,NaN,fused,NaN,false,58
20004751062230,1788549950925,28.5215537,77.5715976,171.3000030517578,3.79,2.3834815,0.0,true,0.07069288,NaN,false,NaN,fused,NaN,false,58
20005752408794,1788549951926,28.5215538,77.5715977,171.3000030517578,3.79,2.9204495,0.0,true,0.07069291,NaN,false,NaN,fused,NaN,false,59
