t_ns,gx,gy,gz,accuracy
20098225098707,1.527162E-4,-0.038026333,0.027030766,3
20098227477666,1.527162E-4,-0.0368046,0.025809037,3
20098229856676,0.0025961753,-0.033139415,0.023365578,3
20098232235686,0.0013744457,-0.028252495,0.020922119,3
20098234614697,0.0025961753,-0.022143848,0.01725693,3
20098236993707,0.0013744457,-0.016035201,0.016035201,3
20098239372718,0.0013744457,-0.0074830935,0.012370012,3
20098241751728,1.527162E-4,-1.527162E-4,0.008704823,3
20098244130739,0.0013744457,0.0059559317,0.0050396346,3
20098246509384,0.0025961753,0.0108428495,0.003817905,3
20098248888707,0.0025961753,0.014508039,1.527162E-4,3
20098251267718,0.0025961753,0.015729768,-0.0010690134,3
20098253646728,0.0025961753,0.016951498,0.0013744457,3
20098256025739,0.0013744457,0.016951498,0.0013744457,3
20098258404749,0.0013744457,0.015729768,0.0025961753,3
20098260783395,1.527162E-4,0.0108428495,0.0025961753,3
20098263162718,0.0013744457,0.008399391,0.0050396346,3
20098265541728,0.0013744457,0.004734202,0.003817905,3
20098267920739,0.0025961753,0.0010690134,0.006261364,3
20098270299749,0.0025961753,-0.0025961753,0.0074830935,3
20098272678759,0.0013744457,-0.0074830935,0.008704823,3
20098275057770,1.527162E-4,-0.012370012,0.009926553,3
20098277436780,-0.0010690134,-0.016035201,0.009926553,3
20098279815739,1.527162E-4,-0.01847866,0.012370012,3
20098282194749,0.0013744457,-0.020922119,0.012370012,3
20098284573759,1.527162E-4,-0.022143848,0.012370012,3
20098286952770,0.0013744457,-0.022143848,0.013591741,3
20098289331780,0.0013744457,-0.022143848,0.011148282,3
20098291710791,0.0013744457,-0.01970039,0.011148282,3
20098294089801,0.0025961753,-0.01725693,0.011148282,3
20098296468811,0.003817905,-0.013591741,0.009926553,3
20098298847822,0.0025961753,-0.008704823,0.0074830935,3
20098301226780,0.003817905,-0.003817905,0.003817905,3
20098303605791,0.0050396346,0.0035124724,0.0025961753,3
20098305984801,0.003817905,0.0059559317,-0.0010690134,3
20098308363811,0.003817905,0.00962112,-0.002290743,3
