t_ns,gx,gy,gz,bx,by,bz
20405929662864,-0.014660755,-0.0048869182,0.010995566,-0.012342738,1.7725988E-4,0.005757766
20405932041927,-0.010995566,-0.008552107,0.014660755,-0.012342738,1.7725988E-4,0.005757766
20405934421041,-0.010995566,-0.012217295,0.015882485,-0.012342738,1.7725988E-4,0.005757766
20405936800104,-0.010995566,-0.014660755,0.017104214,-0.012342738,1.7725988E-4,0.005757766
20405939179218,-0.012217295,-0.017104214,0.018325943,-0.012342738,1.7725988E-4,0.005757766
20405941558281,-0.013439025,-0.020769402,0.019547673,-0.012342738,1.7725988E-4,0.005757766
20405943937395,-0.013439025,-0.023212861,0.020769402,-0.012342738,1.7725988E-4,0.005757766
20405946316458,-0.013439025,-0.019547673,0.020769402,-0.012342738,1.7725988E-4,0.005757766
20405948695520,-0.013439025,-0.018325943,0.019547673,-0.012342738,1.7725988E-4,0.005757766
20405951074635,-0.010995566,-0.013439025,0.018325943,-0.012342738,1.7725988E-4,0.005757766
20405953453697,-0.010995566,-0.0097738365,0.014660755,-0.012342738,1.7725988E-4,0.005757766
20405955832812,-0.013439025,-0.0061086477,0.010995566,-0.012342738,1.7725988E-4,0.005757766
20405958211875,-0.013439025,-0.0012217296,0.008552107,-0.012342738,1.7725988E-4,0.005757766
20405960590989,-0.012217295,0.0036651888,0.0073303776,-0.012342738,1.7725988E-4,0.005757766
20405962970052,-0.013439025,0.0061086477,0.0048869182,-0.012342738,1.7725988E-4,0.005757766
20405965349114,-0.013439025,0.008552107,0.0036651888,-0.012342738,1.7725988E-4,0.005757766
20405967728229,-0.012217295,0.0073303776,0.0036651888,-0.012342738,1.7725988E-4,0.005757766
20405970107291,-0.012217295,0.0048869182,0.0048869182,-0.012342738,1.7725988E-4,0.005757766
20405972486406,-0.010995566,0.0024434591,0.0048869182,-0.012342738,1.7725988E-4,0.005757766
20405974865468,-0.012217295,0.0,0.0048869182,-0.012342738,1.7725988E-4,0.005757766
20405977244583,-0.013439025,-0.0036651888,0.0073303776,-0.012342738,1.7725988E-4,0.005757766
20405979623645,-0.013439025,-0.0073303776,0.0073303776,-0.012342738,1.7725988E-4,0.005757766
20405982002708,-0.010995566,-0.010995566,0.010995566,-0.012342738,1.7725988E-4,0.005757766
20405984381822,-0.012217295,-0.012217295,0.0097738365,-0.012342738,1.7725988E-4,0.005757766
20405986760885,-0.012217295,-0.015882485,0.010995566,-0.012342738,1.7725988E-4,0.005757766
20405989140000,-0.012217295,-0.014660755,0.012217295,-0.012342738,1.7725988E-4,0.005757766
20405991519062,-0.012217295,-0.014660755,0.010995566,-0.012342738,1.7725988E-4,0.005757766
20405993898125,-0.012217295,-0.013439025,0.0097738365,-0.012342738,1.7725988E-4,0.005757766
20405996277239,-0.012217295,-0.012217295,0.010995566,-0.012342738,1.7725988E-4,0.005757766
20405998656302,-0.012217295,-0.008552107,0.0073303776,-0.012342738,1.7725988E-4,0.005757766
20406001035416,-0.010995566,-0.0036651888,0.0048869182,-0.012342738,1.7725988E-4,0.005757766
