t_ns,wall_ms,sentence
20408097597338,1788550354271,"$GPGSV,3,1,09,06,66,031,38,11,72,231,40,13,00,000,41,14,17,130,35,1*61  "
20408097707077,1788550354271,"$GPGSV,3,2,09,17,22,066,39,19,47,036,34,21,22,164,35,22,37,121,41,1*6C  "
20408098489004,1788550354271,"$GPGSV,3,3,09,24,35,255,43,1*58  "
20408099271661,1788550354271,"$GPGSV,2,1,05,06,66,031,29,11,72,231,32,14,17,130,32,21,22,164,34,8*67  "
20408099640827,1788550354271,"$GPGSV,2,2,05,24,35,255,39,8*50  "
20408099849682,1788550354271,"$GLGSV,2,1,05,09,75,161,30,16,18,150,36,20,63,293,45,19,36,023,37,1*79  "
20408100180984,1788550354271,"$GLGSV,2,2,05,21,29,245,39,1*4C  "
20408100447338,1788550354271,"$GAGSV,2,1,07,02,61,092,37,15,32,212,41,18,63,013,36,25,11,121,25,7*75  "
20408100807494,1788550354271,"$GAGSV,2,2,07,30,53,332,42,34,84,163,31,36,38,040,36,7*47  "
20408101035411,1788550354271,"$GAGSV,2,1,05,02,61,092,35,15,32,212,24,18,63,013,28,30,53,332,22,1*7A  "
20408101344525,1788550354271,"$GAGSV,2,2,05,36,38,040,32,1*4B  "
20408101739629,1788550354271,"$GQGSV,1,1,02,02,23,099,30,03,32,061,31,1*60  "
20408101914265,1788550354271,"$GQGSV,1,1,02,02,23,099,32,03,32,061,27,8*6C  "
20408102078067,1788550354271,"$GBGSV,5,1,18,42,08,092,27,38,54,024,41,37,38,311,44,33,05,143,35,1*7B  "
20408102365463,1788550354271,"$GBGSV,5,2,18,28,52,275,40,27,13,250,36,25,30,159,33,23,72,212,41,1*7D  "
20408102651921,1788550354271,"$GBGSV,5,3,18,14,04,071,30,13,67,333,41,10,14,164,31,09,25,145,36,1*76  "
20408102922859,1788550354271,"$GBGSV,5,4,18,08,37,050,40,07,04,161,28,06,33,118,30,03,40,128,37,1*79  "
20408103228484,1788550354271,"$GBGSV,5,5,18,02,54,175,34,01,16,104,33,1*7B  "
20408103623900,1788550354271,"$GBGSV,2,1,07,23,72,212,32,25,30,159,32,27,13,250,22,28,52,275,35,5*71  "
20408103934786,1788550354271,"$GBGSV,2,2,07,37,38,311,36,38,54,024,31,42,08,092,30,5*44  "
20408110250359,1788550354283,"$GNGSA,A,3,06,11,14,17,19,21,22,24,,,,,0.7,0.4,0.5,1*3F  "
20408110377338,1788550354283,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.7,0.4,0.5,1,8*45  "
20408111122546,1788550354283,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.7,0.4,0.5,2*3A  "
20408111137494,1788550354283,"$GNGSA,A,3,02,15,18,25,30,34,36,,,,,,0.7,0.4,0.5,3*3C  "
20408111148536,1788550354283,"$PSSGR,GSA,A,3,302,315,318,330,336,,,,,,,,0.7,0.4,0.5,3,1*72  "
20408111386921,1788550354283,"$GNGSA,A,3,01,02,06,08,09,10,13,23,25,27,28,37,0.7,0.4,0.5,4*38  "
20408111597702,1788550354283,"$PSSGR,GSA,A,3,223,225,227,228,237,238,242,,,,,,0.7,0.4,0.5,4,5*79  "
20408111899629,1788550354283,"$GNGSA,A,3,02,03,,,,,,,,,,,0.7,0.4,0.5,5*32  "
20408112061921,1788550354283,"$PSSGR,GSA,A,3,194,195,,,,,,,,,,,0.7,0.4,0.5,5,8*46  "
20408112362806,1788550354283,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
20408112630879,1788550354283,"$GNDTM,W84,,0000.000000,N,00000.000000,E,0.000,W84*41  "
20408112924890,1788550354283,"$GNRMC,193233.80,A,2831.360433,N,07734.439597,E,0.0,,040926,1.3,E,A,V*7E  "
20408113548536,1788550354283,"$GNGNS,193233.80,2831.360433,N,07734.439597,E,AAAAAN,34,0.4,208.8,-54.0,,,V*0A  "
20408114034369,1788550354283,"$GNGGA,193233.80,2831.360433,N,07734.439597,E,1,12,0.4,208.8,M,-54.0,M,,*51  "
20408114060463,1788550354288,"$PSMSG,magcal=FAIL,bluesky=0*00 "
20408768875306,1788550354941,"$GNGSA,A,3,06,11,12,14,17,19,21,22,24,,,,0.6,0.4,0.5,1*3D  "
20408769386400,1788550354941,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.6,0.4,0.5,1,8*44  "
20408772739629,1788550354941,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.6,0.4,0.5,2*3B  "
20408774242442,1788550354941,"$GNGSA,A,3,02,15,18,25,30,34,36,,,,,,0.6,0.4,0.5,3*3D  "
20408774524577,1788550354941,"$PSSGR,GSA,A,3,302,315,318,330,336,,,,,,,,0.6,0.4,0.5,3,1*73  "
20408774590567,1788550354941,"$GNGSA,A,3,01,02,06,08,09,10,13,23,25,27,28,37,0.6,0.4,0.5,4*39  "
20408774831765,1788550354941,"$PSSGR,GSA,A,3,223,225,227,228,237,238,242,,,,,,0.6,0.4,0.5,4,5*78  "
20408775001192,1788550354941,"$GNGSA,A,3,02,03,,,,,,,,,,,0.6,0.4,0.5,5*33  "
20408775191296,1788550354941,"$PSSGR,GSA,A,3,194,195,,,,,,,,,,,0.6,0.4,0.5,5,8*47  "
20408775431035,1788550354941,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
