t_ns,ax,ay,az
20535864014225,0.0,0.0,0.0
20535868772245,-0.05509132,0.009616852,0.010787487
20535873530318,-0.15002584,0.012858391,0.027964592
20535878288391,-0.22241765,0.027675629,0.006611824
20535883046464,-0.28027922,0.039455414,0.035886765
20535887804485,-0.2669785,0.034923553,0.053805828
20535892562558,-0.17552614,0.021784782,0.031644344
20535897320631,-0.057516694,-0.014403343,0.025473595
20535902078704,0.10613805,-0.038280487,0.001250267
20535906836777,0.21198499,-0.04731655,-0.007583618
20535911594797,0.29568315,-0.045114517,-0.011272907
20535916352870,0.28104526,-0.028089523,-0.005958557
20535921110943,0.21910465,-0.045661926,0.025385857
20535925869016,0.13208085,-0.035616875,0.061415672
20535930627037,0.024725378,-0.01971531,0.06406498
20535935385110,-0.073738456,-0.013895035,0.03994465
20535940143183,-0.12425947,-0.017500877,0.00838232
20535944901256,-0.11863989,0.0061445236,-0.007899761
20535949659277,-0.048178136,0.017234802,-0.027932167
20535954417350,0.041272998,0.014174461,-0.031129837
20535959175422,0.14271057,0.009012222,-0.02053976
20535963933495,0.21281162,-0.018708229,-0.015042782
20535968691568,0.24638957,-0.020084381,-0.016622066
20535973449589,0.19925594,-0.030604362,-0.018107891
20535978207662,0.12019819,-0.045339584,-0.0080599785
20535982965735,0.012235165,-0.059566498,-0.009937763
20535987723808,-0.121762335,-0.057216644,-0.009488583
20535992481881,-0.20297581,-0.064291954,0.02557087
20535997239850,-0.25432366,-0.04579544,0.010884285
20536001997975,-0.28849357,-0.023349762,0.008206844
20536006756047,-0.24573296,-0.04101658,0.024105072
20536011514120,-0.17223382,-0.035012245,0.023322582
20536016272141,-0.101144135,-0.012994766,0.027254105
20536021030214,-0.022681415,0.0060548782,0.01950407
20536025788287,0.0281291,0.008286476,-0.015852928
20536030546360,0.042935073,0.019780159,-0.02230215
20536035304433,0.020206988,0.033309937,-0.009959221
20536040062454,-0.032087445,0.041874886,-0.037595272
20536044820527,-0.099508226,0.031591415,-0.05056429
20536049578600,-0.15383828,0.040240288,-0.025930882
20536054336672,-0.15813571,0.025361061,0.007381916
20536059094693,-0.14856523,-0.0031909943,0.025921822
20536063852766,-0.10671568,-0.012366295,0.011264324
20536068610839,-0.042553008,-0.051753998,0.00866127
20536073368912,0.02256167,-0.11371136,-0.019558907
20536078126985,0.06539005,-0.09708595,-0.03319502
20536082885006,0.06299943,-0.0761919,-0.030097485
20536087643079,0.058525264,-0.093260765,0.012797356
20536092401152,0.026239157,-0.08189297,0.010320663
20536097159225,-0.012376606,-0.08483124,0.019576073
20536101917297,-0.07608253,-0.04787731,0.035719395
20536106675318,-0.10355848,-0.011670113,0.02340746
20536111433391,-0.12132406,0.03792858,-0.0027594566
20536116191464,-0.1131286,0.04433155,-0.007297039
20536120949537,-0.08646339,0.050610542,-0.0046863556
20536125707558,-0.046178937,0.05915928,-0.02094698
20536130465631,-0.046519518,0.055858612,-0.041699886
20536135223704,-0.025594711,0.06206703,-0.008061409
20536139981777,-0.06611109,0.042300224,0.015640736
20536144739850,-0.096500695,0.03231144,0.0012664795
20536149497870,-0.1711415,0.0060157776,-0.036398888
20536154255943,-0.20466542,-0.029299736,-0.026332855
20536159014016,-0.26851022,-0.009900093,-0.056502342
20536163772089,-0.29858643,0.016275406,-0.07213926
20536168530162,-0.33787942,0.030264854,-0.061658382
20536173288183,-0.35108012,0.05817032,-0.053735256
20536178046256,-0.32907873,0.017292023,-0.078939915
20536182804329,-0.29352474,0.017111778,-0.070854664
20536187562402,-0.23041701,0.03108406,-0.077079296
20536192320422,-0.16129768,0.035420418,-0.0997448
20536197078495,-0.11677581,0.049183846,-0.0703125
20536201836568,-0.058677137,0.020275116,0.0059461594
20536206594641,-0.008442223,-0.03656578,0.06703234
20536211352714,0.041196465,-0.040714264,0.07774687
20536216110735,0.06197363,-0.05661297,0.060011864
20536220868808,0.08714807,-0.058184624,0.089821815
20536225626881,0.10256803,-0.038482666,0.12397432
20536230384954,0.13659674,-0.02143097,0.096328735
20536235142975,0.17495817,-0.018778801,0.07379198
20536239901047,0.20580506,-0.018535614,0.06811571
20536244659120,0.22935134,-0.0111866,-0.020213127
20536249417193,0.25043166,8.31604E-4,-0.06023693
20536254175266,0.23602033,-0.0014829636,-0.05010128
20536258933339,0.19603187,-0.02739811,-0.08263683
20536263691360,0.14243805,-0.02933979,-0.107747555
20536268449433,0.08476895,-0.009943008,-0.11846566
20536273207506,0.0206545,-2.1839142E-4,-0.07706976
20536277965579,-0.07350749,0.011744499,-0.055054665
20536282723600,-0.12409949,0.02593422,-0.049852848
20536287481672,-0.17189103,0.058916092,-0.006913185
20536292239745,-0.2073996,0.08204651,0.026143074
20536296997818,-0.23076457,0.097818375,0.07307005
20536301755787,-0.23735946,0.11105347,0.10768652
20536306513912,-0.2582304,0.102832794,0.1182971
20536311271985,-0.27893436,0.08759689,0.13830042
20536316030058,-0.27362007,0.074858665,0.11789656
20536320788131,-0.2543549,0.045684814,0.081097126
20536325546204,-0.19529194,0.03575325,0.08964968
20536330304225,-0.1487642,0.028276443,0.10525131
20536335062297,-0.07435572,-4.377365E-4,0.049617767
20536339820370,-0.010071278,-0.02409172,0.0039539337
20536344578443,0.015655994,-0.021492958,-0.005636692
20536349336516,0.05795729,-0.0047035217,-0.060110092
20536354094537,0.059578,-0.0402174,-0.10457277
20536358852610,0.044685483,-0.054037094,-0.13207626
20536363610683,-0.019863486,-0.060625076,-0.111926556
20536368368756,-0.06735194,-0.076628685,-0.09675932
20536373126777,-0.08849889,-0.07822609,-0.11268711
20536377884850,-0.10497832,-0.07511139,-0.05969429
20536382642922,-0.10505092,-0.0767889,-0.023822308
20536387400995,-0.053142846,-0.06423187,-0.019133568
20536392159068,0.026536047,-0.051813126,0.04953766
20536396917089,0.09596616,-0.07034969,0.09390259
20536401675162,0.20060945,-0.06264782,0.10000515
20536406433235,0.29770476,-0.06451416,0.12989187
20536411191308,0.3350501,-0.023674965,0.1572485
20536415949381,0.2918496,-0.030635834,0.16312122
20536420707402,0.25161237,-0.023302078,0.16661787
20536425465475,0.15500557,-0.013651848,0.16538143
20536430223547,0.052275896,-0.008862495,0.15241098
20536434981620,-0.08982998,-0.001750946,0.1182394
20536439739693,-0.22608519,0.014770508,0.055909157
20536444497714,-0.35195088,0.045376778,0.022555828
20536449255787,-0.43212825,0.040103912,-0.012908936
20536454013860,-0.4669838,0.03725052,-0.04580307
20536458771933,-0.41425866,0.06998825,-0.118813515
20536463530006,-0.29824495,0.09060383,-0.1509769
20536468288027,-0.14310622,0.06360054,-0.1426096
20536473046100,0.034407377,0.034460068,-0.105870485
20536477804172,0.20114797,0.038826942,-0.1074605
20536482562245,0.33369577,0.007581711,-0.08525944
20536487320318,0.40641993,-0.0020198822,-0.034703255
20536492078339,0.38420185,-0.013876915,-0.0035171509
20536496836412,0.29844922,-0.009027481,-0.003358364
20536501594485,0.16595578,-0.025560379,0.020497322
20536506352558,0.024778247,-0.027769089,0.06555891
20536511110631,-0.046938896,-0.025213242,0.072172165
20536515868652,-0.07587844,-0.013225555,0.038366795
20536520626725,-0.029054046,0.0010490417,0.009475231
20536525384797,0.026723385,-0.01331234,0.021226406
20536530142870,0.13917106,-0.015715599,0.009245396
20536534900891,0.17504609,-0.0038118362,-0.04302311
20536539658964,0.16127616,-0.029969215,-0.03306961
20536544417037,0.10061258,-0.063014984,-0.039749622
20536549175110,-0.009188056,-0.041172028,-0.105736494
20536553933183,-0.12763613,0.013719559,-0.14985752
20536558691256,-0.21461934,0.0752697,-0.13197899
20536563449277,-0.2729702,0.076981544,-0.10723972
20536568207350,-0.26269126,0.09528828,-0.10656977
20536572965422,-0.17220336,0.07072353,-0.003932953
20536577723495,-0.04233271,0.036845207,0.04566145
20536582481568,0.07706815,-0.00860405,0.049758434
20536587239589,0.19835275,-0.048905373,0.058617115
20536591997662,0.21958226,-0.0366745,0.055676937
20536596755735,0.18652481,0.0063085556,0.059957027
20536601513808,0.035470426,0.013336182,0.064285755
20536606271881,-0.10723007,0.010812759,0.06620073
20536611029902,-0.25384927,0.008254051,0.0918808
20536615787975,-0.37134153,0.022299767,0.112549305
20536620546047,-0.40790886,0.045668602,0.07605839
20536625304120,-0.3806615,0.03795719,0.03747511
20536630062193,-0.26604265,0.03269577,-0.012722492
20536634820214,-0.12861258,-0.0057401657,-0.064872265
