t_ns,wall_ms,sentence
20538022034476,1788550484195,"$GPGSV,3,1,09,06,65,031,41,11,73,233,39,12,30,320,30,13,00,000,36,1*64  "
20538023440101,1788550484195,"$GPGSV,3,2,09,14,16,130,27,17,21,066,26,19,46,038,39,21,23,163,34,1*62  "
20538024828955,1788550484195,"$GPGSV,3,3,09,22,36,122,36,1*5C  "
20538025062080,1788550484195,"$GPGSV,1,1,03,06,65,031,35,11,73,233,31,24,35,254,29,8*53  "
20538025355830,1788550484195,"$GLGSV,1,1,04,09,74,163,39,16,17,151,34,20,63,296,41,19,35,023,37,1*7F  "
20538025873955,1788550484195,"$GAGSV,2,1,05,02,60,094,33,18,63,015,38,30,54,332,37,34,85,160,38,7*7D  "
20538026483278,1788550484195,"$GAGSV,2,2,05,36,37,040,35,7*45  "
20538027292653,1788550484195,"$GAGSV,2,1,06,02,60,094,40,15,32,213,23,18,63,015,35,25,11,121,22,1*72  "
20538027801819,1788550484195,"$GAGSV,2,2,06,30,54,332,38,36,37,040,27,1*78  "
20538028143590,1788550484195,"$GQGSV,1,1,02,02,23,100,41,03,32,061,41,1*60  "
20538028609319,1788550484195,"$GQGSV,1,1,02,02,23,100,35,03,32,061,28,8*65  "
20538029012757,1788550484195,"$GBGSV,3,1,12,38,54,025,33,37,39,311,40,33,06,142,27,28,52,276,40,1*7D  "
20538029298747,1788550484195,"$GBGSV,3,2,12,27,14,251,25,25,29,159,30,23,71,210,39,13,67,335,46,1*7D  "
20538029589580,1788550484195,"$GBGSV,3,3,12,08,37,051,38,06,34,118,44,03,40,128,44,02,54,175,35,1*75  "
20538030134580,1788550484195,"$GBGSV,2,1,05,23,71,210,28,25,29,159,24,28,52,276,28,37,39,311,37,5*70  "
20538030363017,1788550484195,"$GBGSV,2,2,05,38,54,025,30,5*49  "
20538033307132,1788550484207,"$GNGSA,A,3,06,11,12,14,17,19,21,22,24,,,,0.7,0.4,0.6,1*3F  "
20538033534111,1788550484207,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.7,0.4,0.6,1,8*46  "
20538033830361,1788550484207,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.7,0.4,0.6,2*39  "
20538034009215,1788550484207,"$GNGSA,A,3,02,15,18,25,30,34,36,,,,,,0.7,0.4,0.6,3*3F  "
20538035276819,1788550484207,"$PSSGR,GSA,A,3,302,315,318,330,334,336,,,,,,,0.7,0.4,0.6,3,1*45  "
20538035297549,1788550484207,"$GNGSA,A,3,02,06,08,09,10,13,23,25,27,28,37,38,0.7,0.4,0.6,4*31  "
20538035307653,1788550484207,"$PSSGR,GSA,A,3,223,225,228,237,238,,,,,,,,0.7,0.4,0.6,4,5*79  "
20538035315986,1788550484207,"$GNGSA,A,3,02,03,,,,,,,,,,,0.7,0.4,0.6,5*31  "
20538035323278,1788550484207,"$PSSGR,GSA,A,3,194,195,,,,,,,,,,,0.7,0.4,0.6,5,8*45  "
20538035490778,1788550484207,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
20538035955569,1788550484207,"$GNDTM,W84,,0000.000000,N,00000.000000,E,0.000,W84*41  "
20538036157653,1788550484207,"$GNRMC,193443.73,A,2831.293849,N,07734.295531,E,0.0,,040926,1.3,E,A,V*73  "
20538036260726,1788550484207,"$GNGNS,193443.73,2831.293849,N,07734.295531,E,AAAAAN,33,0.4,207.7,-54.0,,,V*00  "
20538036444684,1788550484207,"$GNGGA,193443.73,2831.293849,N,07734.295531,E,1,12,0.4,207.7,M,-54.0,M,,*5C  "
20538036727705,1788550484210,"$PSMSG,magcal=FAIL,bluesky=0*00 "
20538770689944,1788550484943,"$GNGSA,A,3,06,11,12,14,17,19,21,22,24,,,,0.6,0.4,0.5,1*3D  "
20538771320100,1788550484943,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.6,0.4,0.5,1,8*44  "
20538771803902,1788550484943,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.6,0.4,0.5,2*3B  "
20538772644163,1788550484943,"$GNGSA,A,3,02,15,18,27,30,34,36,,,,,,0.6,0.4,0.5,3*3F  "
20538774599632,1788550484943,"$PSSGR,GSA,A,3,302,315,318,327,330,334,336,,,,,,0.6,0.4,0.5,3,1*71  "
20538775042288,1788550484943,"$GNGSA,A,3,01,02,06,08,09,10,13,23,25,27,28,37,0.6,0.4,0.5,4*39  "
20538775078642,1788550484943,"$PSSGR,GSA,A,3,223,225,228,237,238,,,,,,,,0.6,0.4,0.5,4,5*7B  "
20538775193642,1788550484943,"$GNGSA,A,3,02,03,,,,,,,,,,,0.6,0.4,0.5,5*33  "
20538775921663,1788550484943,"$PSSGR,GSA,A,3,194,195,,,,,,,,,,,0.6,0.4,0.5,5,8*47  "
20538776324580,1788550484943,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
20538777763486,1788550484943,"$GNDTM,W84,,0000.000000,N,00000.000000,E,0.000,W84*41  "
20538777829892,1788550484943,"$GNRMC,193445.00,A,2831.293886,N,07734.295572,E,0.0,,040926,1.3,E,A,V*75  "
20538778243225,1788550484943,"$GNGNS,193445.00,2831.293886,N,07734.295572,E,AAAAAN,35,0.4,207.7,-54.0,,,V*00  "
20538778928486,1788550484943,"$GNGGA,193445.00,2831.293886,N,07734.295572,E,1,12,0.4,207.7,M,-54.0,M,,*5A  "
20538778952340,1788550484952,"$PSMSG,magcal=PASS,bluesky=0*00 "
20539767705100,1788550485941,"$GPGSV,3,1,10,05,01,190,25,06,65,031,43,11,73,233,41,12,30,320,31,1*6C  "
20539767802808,1788550485941,"$GPGSV,3,2,10,13,00,000,43,17,21,066,24,19,46,038,40,21,23,163,32,1*60  "
20539768006038,1788550485941,"$GPGSV,3,3,10,22,36,122,38,41,00,000,41,1*6A  "
20539769730569,1788550485941,"$GPGSV,2,1,05,06,65,031,37,11,73,233,32,14,16,130,21,21,23,163,23,8*6B  "
20539769753746,1788550485941,"$GPGSV,2,2,05,24,35,254,29,8*50  "
20539770728381,1788550485941,"$GLGSV,2,1,05,09,74,163,41,16,17,151,35,20,63,296,44,19,35,023,36,1*77  "
20539771154163,1788550485941,"$GLGSV,2,2,05,21,29,246,32,1*44  "
20539771393538,1788550485941,"$GAGSV,2,1,06,02,60,094,33,15,32,213,31,18,63,015,41,30,54,332,36,7*70  "
20539771851610,1788550485941,"$GAGSV,2,2,06,34,85,160,42,36,37,040,32,7*7A  "
20539772649006,1788550485941,"$GAGSV,2,1,08,02,60,094,41,15,32,213,23,18,63,015,34,25,11,121,20,1*7E  "
20539773219996,1788550485941,"$GAGSV,2,2,08,27,08,312,24,30,54,332,38,34,85,160,21,36,37,040,28,1*7C  "
20539774219110,1788550485941,"$GQGSV,1,1,02,02,23,100,40,03,32,061,40,1*60  "
20539774839475,1788550485941,"$GQGSV,1,1,02,02,23,100,35,03,32,061,29,8*64  "
20539775158069,1788550485941,"$GBGSV,4,1,14,42,08,091,24,38,54,025,32,37,39,311,42,33,06,142,26,1*74  "
20539775346298,1788550485941,"$GBGSV,4,2,14,28,52,276,38,27,14,251,25,25,29,159,27,23,71,210,41,1*74  "
20539775568538,1788550485941,"$GBGSV,4,3,14,13,67,335,45,08,37,051,39,06,34,118,44,03,40,128,44,1*74  "
20539776065360,1788550485941,"$GBGSV,4,4,14,02,54,175,40,01,16,104,28,1*7E  "
20539776379475,1788550485941,"$GBGSV,2,1,05,23,71,210,29,25,29,159,22,28,52,276,27,37,39,311,38,5*77  "
20539776397444,1788550485941,"$GBGSV,2,2,05,38,54,025,29,5*41  "
20539778370673,1788550485952,"$GNGSA,A,3,06,11,12,14,17,19,21,22,24,,,,0.6,0.4,0.5,1*3D  "
20539778523642,1788550485952,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.6,0.4,0.5,1,8*44  "
20539778655048,1788550485952,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.6,0.4,0.5,2*3B  "
20539779671402,1788550485952,"$GNGSA,A,3,02,15,18,27,30,34,36,,,,,,0.6,0.4,0.5,3*3F  "
20539779685933,1788550485952,"$PSSGR,GSA,A,3,302,315,318,327,330,334,336,,,,,,0.6,0.4,0.5,3,1*71  "
20539779702913,1788550485952,"$GNGSA,A,3,01,02,06,08,10,13,23,25,27,28,37,38,0.6,0.4,0.5,4*3B  "
20539779708642,1788550485952,"$PSSGR,GSA,A,3,223,225,228,237,238,,,,,,,,0.6,0.4,0.5,4,5*7B  "
20539779792860,1788550485952,"$GNGSA,A,3,02,03,,,,,,,,,,,0.6,0.4,0.5,5*33  "
20539779798069,1788550485952,"$PSSGR,GSA,A,3,194,195,,,,,,,,,,,0.6,0.4,0.5,5,8*47  "
20539780172548,1788550485952,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
20539780497548,1788550485952,"$GNDTM,W84,,0000.000000,N,00000.000000,E,0.000,W84*41  "
20539780648850,1788550485952,"$GNRMC,193446.00,A,2831.293940,N,07734.295636,E,0.0,,040926,1.3,E,A,V*7E  "
20539781536923,1788550485952,"$GNGNS,193446.00,2831.293940,N,07734.295636,E,AAAAAN,34,0.4,207.8,-54.0,,,V*05  "
20539781562913,1788550485952,"$GNGGA,193446.00,2831.293940,N,07734.295636,E,1,12,0.4,207.8,M,-54.0,M,,*5E  "
20539781717704,1788550485955,"$PSMSG,magcal=PASS,bluesky=0*00 "
20540769084839,1788550486942,"$GPGSV,3,1,11,06,65,031,44,11,73,233,40,12,30,320,32,13,00,000,45,1*60  "
20540769125777,1788550486942,"$GPGSV,3,2,11,14,16,130,29,17,21,066,28,19,46,038,37,21,23,163,25,1*65  "
20540769357339,1788550486942,"$GPGSV,3,3,11,22,36,122,40,41,00,000,38,47,00,000,37,1*5D  "
20540769604318,1788550486942,"$GPGSV,2,1,05,06,65,031,38,11,73,233,33,14,16,130,21,21,23,163,22,8*64  "
20540769875725,1788550486942,"$GPGSV,2,2,05,24,35,254,29,8*50  "
20540770529683,1788550486942,"$GLGSV,2,1,05,09,74,163,41,16,17,151,30,20,63,296,44,19,35,023,39,1*7D  "
20540770566089,1788550486942,"$GLGSV,2,2,05,21,29,246,31,1*47  "
20540771072652,1788550486942,"$GAGSV,2,1,06,02,60,094,29,15,32,213,32,18,63,015,44,30,54,332,35,7*7E  "
20540771298798,1788550486942,"$GAGSV,2,2,06,34,85,160,43,36,37,040,31,7*78  "
20540771479631,1788550486942,"$GAGSV,2,1,08,02,60,094,41,15,32,213,23,18,63,015,35,25,11,121,23,1*7C  "
20540771708745,1788550486942,"$GAGSV,2,2,08,27,08,312,24,30,54,332,38,34,85,160,24,36,37,040,29,1*78  "
20540771986245,1788550486942,"$GQGSV,1,1,02,02,23,100,40,03,32,061,41,1*61  "
20540772200204,1788550486942,"$GQGSV,1,1,02,02,23,100,36,03,32,061,25,8*6B  "
20540772366975,1788550486942,"$GBGSV,4,1,14,42,08,091,24,38,54,025,37,37,39,311,44,33,06,142,29,1*78  "
20540773363120,1788550486942,"$GBGSV,4,2,14,28,52,276,36,25,29,159,27,23,71,210,43,13,67,335,43,1*78  "
20540773383329,1788550486942,"$GBGSV,4,3,14,10,13,164,28,08,37,051,40,06,34,118,44,03,40,128,44,1*77  "
20540773393485,1788550486942,"$GBGSV,4,4,14,02,54,175,40,01,16,104,29,1*7F  "
20540773400725,1788550486942,"$GBGSV,2,1,07,23,71,210,41,25,29,159,25,27,14,251,24,28,52,276,36,3*7C  "
20540773418693,1788550486942,"$GBGSV,2,2,07,33,06,142,23,37,39,311,42,38,54,025,34,3*42  "
20540773542235,1788550486942,"$GBGSV,2,1,06,23,71,210,28,25,29,159,22,28,52,276,28,37,39,311,38,5*7A  "
20540773867756,1788550486942,"$GBGSV,2,2,06,38,54,025,30,42,08,091,18,5*75  "
20540776732704,1788550486950,"$GNGSA,A,3,06,11,12,14,17,19,21,22,24,,,,0.6,0.4,0.5,1*3D  "
20540776867235,1788550486950,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.6,0.4,0.5,1,8*44  "
20540777006193,1788550486950,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.6,0.4,0.5,2*3B  "
20540777153850,1788550486950,"$GNGSA,A,3,02,15,18,27,30,34,36,,,,,,0.6,0.4,0.5,3*3F  "
20540777399631,1788550486950,"$PSSGR,GSA,A,3,302,315,318,327,330,334,336,,,,,,0.6,0.4,0.5,3,1*71  "
