t_ns,qx,qy,qz,qw,heading_acc_rad
20775054756372,0.5338512,-0.007500603,-0.08391544,0.8413708,-1.0
20775059514757,0.53378004,-0.008552024,-0.084036365,0.8413939,-1.0
20775064272309,0.5331864,-0.009685262,-0.084156476,0.8417459,-1.0
20775069030642,0.53328204,-0.010655151,-0.08427359,0.8416619,-1.0
20775073788611,0.5335894,-0.01152123,-0.08438733,0.8414442,-1.0
20775078546528,0.53367054,-0.012007004,-0.084447004,0.84138,-1.0
20775083304497,0.53378284,-0.012084083,-0.08445505,0.84130687,-1.0
20775088062465,0.53415304,-0.011824825,-0.0844216,0.8410789,-1.0
20775092820382,0.5344601,-0.01111298,-0.08433482,0.8409022,-1.0
20775097578299,0.5346755,-0.010059826,-0.08420443,0.84079164,-1.0
20775102336320,0.5348518,-0.008792874,-0.08404443,0.8407097,-1.0
20775107094236,0.53503686,-0.007545276,-0.08389122,0.8406193,-1.0
20775111852205,0.53519374,-0.006384839,-0.08375068,0.8405431,-1.0
20775116610174,0.5353057,-0.005485793,-0.08364018,0.84048915,-1.0
20775121368142,0.5353343,-0.004978522,-0.08357725,0.8404804,-1.0
20775126126059,0.5353673,-0.004847552,-0.083560996,0.84046173,-1.0
20775130884028,0.53537315,-0.005069414,-0.08359073,0.84045374,-1.0
20775135641997,0.53520143,-0.005437094,-0.08363335,0.84055656,-1.0
20775140399913,0.53503966,-0.0057780324,-0.08367242,0.84065336,-1.0
20775145157882,0.5349446,-0.0059424485,-0.08368911,0.84071106,-1.0
20775149915851,0.53490764,-0.0057841325,-0.08366411,0.8407382,-1.0
20775154673767,0.5349198,-0.005290784,-0.083598,0.84074026,-1.0
20775159431736,0.53491473,-0.0044508358,-0.08348398,0.8407597,-1.0
20775164189705,0.5349193,-0.003469788,-0.08335219,0.8407744,-1.0
20775168947622,0.5349534,-0.002466213,-0.08321297,0.8407701,-1.0
20775173705590,0.5349981,-0.0016348051,-0.08309802,0.84075505,-1.0
20775178463559,0.53503966,-0.0010909963,-0.08301978,0.8407372,-1.0
20775183221528,0.53512335,-9.622743E-4,-0.08299739,0.8406863,-1.0
20775187979445,0.5352427,-0.001152379,-0.08302084,0.8406078,-1.0
20775192737413,0.53533226,-0.001587908,-0.083074704,0.8405447,-1.0
20775197495382,0.5353914,-0.002178952,-0.083149925,0.8404983,-1.0
20775202253299,0.53548104,-0.0027838042,-0.0832283,0.8404317,-1.0
20775207011267,0.5355648,-0.0032522385,-0.083286256,0.84037083,-1.0
20775211769236,0.5356294,-0.0034419606,-0.083302714,0.8403273,-1.0
20775216527153,0.53573895,-0.0033665742,-0.08328282,0.84025973,-1.0
20775221285122,0.53587776,-0.0030803112,-0.08323628,0.84017694,-1.0
20775226043090,0.5359353,-0.002602542,-0.08316261,0.84014916,-1.0
20775230801007,0.53595287,-0.0019835376,-0.08306772,0.840149,-1.0
20775235558976,0.53596646,-0.0013785994,-0.08297973,0.84015024,-1.0
20775240316945,0.5359398,-8.247676E-4,-0.08289892,0.8401759,-1.0
20775245074861,0.53585255,-4.6464655E-4,-0.08284656,0.840237,-1.0
20775249832830,0.5357765,-3.5258653E-4,-0.08283245,0.84028697,-1.0
20775254590799,0.53568006,-5.5531773E-4,-0.08285686,0.8403459,-1.0
20775259348715,0.535514,-9.897631E-4,-0.08291114,0.84044605,-1.0
20775264106684,0.53537023,-0.0015480677,-0.08298377,0.8405296,-1.0
20775268864653,0.535342,-0.0021274579,-0.083059244,0.84053886,-1.0
20775273622622,0.53535205,-0.002639226,-0.08312754,0.84052426,-1.0
20775278380538,0.5353778,-0.0029547673,-0.08316976,0.8405026,-1.0
20775283138507,0.53547645,-0.0030234838,-0.083180085,0.84043854,-1.0
20775287896476,0.5356794,-0.0028841274,-0.083166294,0.84031105,-1.0
20775292654392,0.5358714,-0.0025401139,-0.08312367,0.8401939,-1.0
20775297412361,0.536042,-0.002066568,-0.08306054,0.84009266,-1.0
20775302170330,0.5362427,-0.0015398266,-0.08298567,0.83997303,-1.0
20775306928299,0.5364424,-0.0010742602,-0.08291249,0.8398535,-1.0
20775311686215,0.53658354,-7.2045194E-4,-0.08284993,0.8397699,-1.0
20775316444184,0.5366989,-5.3817884E-4,-0.0828064,0.83970064,-1.0
20775321202153,0.53677887,-4.6706744E-4,-0.08277898,0.83965224,-1.0
20775325960070,0.5368183,-4.7208706E-4,-0.082764596,0.8396284,-1.0
20775330718038,0.536823,-4.7417998E-4,-0.082751304,0.8396267,-1.0
20775335476007,0.536805,-4.404944E-4,-0.0827327,0.83964014,-1.0
20775340233924,0.5367585,-3.4720605E-4,-0.082705595,0.83967257,-1.0
20775344991892,0.53668714,-2.1787989E-4,-0.08267155,0.83972156,-1.0
20775349749861,0.5365953,-1.0683064E-4,-0.08263691,0.83978367,-1.0
20775354507778,0.53649354,-5.736584E-5,-0.0826083,0.8398515,-1.0
20775359265747,0.5363987,-9.213924E-5,-0.08259049,0.8399138,-1.0
20775364023715,0.536303,-1.957609E-4,-0.082578465,0.8399761,-1.0
20775368781632,0.5362298,-3.8017804E-4,-0.082577825,0.84002286,-1.0
20775373539601,0.5361922,-6.043623E-4,-0.08258606,0.84004587,-1.0
20775378297570,0.536172,-8.1106444E-4,-0.0825942,0.8400578,-1.0
20775383055538,0.5361781,-9.5901015E-4,-0.082598664,0.8400533,-1.0
20775387813455,0.5362177,-0.0010225612,-0.08259776,0.84002805,-1.0
20775392571424,0.53628176,-9.800264E-4,-0.082584366,0.8399885,-1.0
20775397329392,0.5363803,-8.7707094E-4,-0.08255737,0.8399284,-1.0
20775402087309,0.5365096,-7.2266127E-4,-0.082524784,0.8398492,-1.0
20775406845278,0.5366184,-5.774568E-4,-0.0824931,0.83978283,-1.0
20775411603247,0.53670835,-4.5775383E-4,-0.082465366,0.8397282,-1.0
20775416361163,0.5367861,-3.9780707E-4,-0.0824497,0.83968,-1.0
20775421119132,0.5368625,-4.0025532E-4,-0.08243934,0.8396322,-1.0
20775425877101,0.5369016,-4.663464E-4,-0.08243955,0.8396072,-1.0
20775430635017,0.5369112,-5.3634966E-4,-0.08244086,0.83960086,-1.0
20775435392986,0.53699106,-6.15748E-4,-0.08243751,0.83955,-1.0
20775440150903,0.5370866,-6.655372E-4,-0.08242569,0.83949006,-1.0
20775444908924,0.5371162,-6.3836836E-4,-0.08239289,0.8394743,-1.0
20775449666840,0.53706086,-5.577067E-4,-0.082344525,0.83951455,-1.0
20775454424809,0.53697735,-4.3422988E-4,-0.08228854,0.83957356,-1.0
20775459182778,0.5369198,-2.8737672E-4,-0.082230136,0.8396162,-1.0
20775463940695,0.5369003,-1.4689066E-4,-0.08217457,0.8396341,-1.0
20775468698663,0.53686917,-2.817115E-5,-0.0821237,0.839659,-1.0
20775473456632,0.5367962,2.0497086E-5,-0.082081005,0.8397098,-1.0
20775478214549,0.5367112,-9.185236E-6,-0.082050845,0.83976704,-1.0
20775482972517,0.5366201,-1.2457743E-4,-0.082030445,0.8398273,-1.0
20775487730486,0.5365242,-3.1539184E-4,-0.08202213,0.83988935,-1.0
20775492488403,0.5364505,-5.5503624E-4,-0.08201592,0.83993685,-1.0
20775497246372,0.53639394,-8.182263E-4,-0.08201444,0.8399729,-1.0
20775502004340,0.5363312,-0.0010439539,-0.082009904,0.8400132,-1.0
20775506762309,0.53627497,-0.001223121,-0.082006015,0.8400492,-1.0
20775511520226,0.536268,-0.0013390426,-0.08199264,0.8400548,-1.0
20775516278195,0.5363156,-0.0013768463,-0.08197245,0.8400263,-1.0
20775521036163,0.53636587,-0.0013678315,-0.08194659,0.83999676,-1.0
20775525794080,0.53641135,-0.0013327494,-0.08191916,0.83997047,-1.0
20775530551997,0.5364813,-0.0012913535,-0.08188427,0.8399292,-1.0
20775535310017,0.5365508,-0.0012791024,-0.081857346,0.83988744,-1.0
20775540067934,0.5365758,-0.0013076187,-0.081833236,0.8398738,-1.0
