t_ns,ax,ay,az,bx,by,bz
20922880012889,1.0671989,8.896515,4.1922255,0.0,0.0,0.0
20922882389504,0.9619147,8.939586,3.9720855,0.0,0.0,0.0
20922884768462,0.82313097,8.953942,3.9050865,0.0,0.0,0.0
20922887147316,0.6987042,8.925228,4.0534415,0.0,0.0,0.0
20922889526379,0.5168497,8.906086,4.2831526,0.0,0.0,0.0
20922891904712,0.4019942,8.915657,4.45065,0.0,0.0,0.0
20922894284348,0.30149564,8.886943,4.4458647,0.0,0.0,0.0
20922896663306,0.22013968,8.9013,4.3118663,0.0,0.0,0.0
20922899042264,0.18664017,8.915657,4.125226,0.0,0.0,0.0
20922901420754,0.19621146,8.930014,4.034299,0.0,0.0,0.0
20922903800181,0.23449662,8.915657,4.0773697,0.0,0.0,0.0
20922906179139,0.32063824,8.925228,4.2161536,0.0,0.0,0.0
20922908558098,0.42592242,8.915657,4.3405805,0.0,0.0,0.0
20922910937056,0.55034924,8.9108715,4.3740797,0.0,0.0,0.0
20922913315598,0.6795616,8.9013,4.3118663,0.0,0.0,0.0
20922915694973,0.8039884,8.9013,4.1874394,0.0,0.0,0.0
20922918073931,0.8997013,8.891729,4.0677986,0.0,0.0,0.0
20922920452889,0.9762716,8.886943,4.063013,0.0,0.0,0.0
20922922831431,0.9906286,8.891729,4.130012,0.0,0.0,0.0
20922925210858,1.0001999,8.9013,4.2352962,0.0,0.0,0.0
20922927589816,0.971486,8.882157,4.321438,0.0,0.0,0.0
20922929968775,0.90448695,8.886943,4.3070807,0.0,0.0,0.0
20922932347733,0.8135597,8.886943,4.211368,0.0,0.0,0.0
20922934726639,0.72263247,8.9013,4.130012,0.0,0.0,0.0
20922937105650,0.6269195,8.891729,4.0773697,0.0,0.0,0.0
20922939484608,0.5312066,8.9108715,4.139583,0.0,0.0,0.0
20922941863566,0.42592242,8.925228,4.2161536,0.0,0.0,0.0
20922944242525,0.3589234,8.939586,4.2975097,0.0,0.0,0.0
20922946621483,0.33499518,8.9108715,4.316652,0.0,0.0,0.0
20922949000493,0.34456646,8.920443,4.2927237,0.0,0.0,0.0
20922951379452,0.35413775,8.906086,4.206582,0.0,0.0,0.0
20922953758410,0.3924229,8.915657,4.1491547,0.0,0.0,0.0
20922956137368,0.44985065,8.9108715,4.1443686,0.0,0.0,0.0
20922958516327,0.5312066,8.896515,4.206582,0.0,0.0,0.0
20922960895285,0.61734825,8.9013,4.249653,0.0,0.0,0.0
20922963274243,0.6939186,8.9108715,4.278367,0.0,0.0,0.0
20922965653202,0.7704889,8.930014,4.2448673,0.0,0.0,0.0
20922968032160,0.8327023,8.9108715,4.182654,0.0,0.0,0.0
20922970411118,0.8709874,8.920443,4.15394,0.0,0.0,0.0
20922972790077,0.89491564,8.925228,4.139583,0.0,0.0,0.0
20922975169035,0.89013004,8.9013,4.1587257,0.0,0.0,0.0
20922977548046,0.83748794,8.877372,4.197011,0.0,0.0,0.0
20922979927004,0.79920274,8.896515,4.2352962,0.0,0.0,0.0
20922982305962,0.74177504,8.9013,4.254439,0.0,0.0,0.0
20922984684921,0.6987042,8.896515,4.2448673,0.0,0.0,0.0
20922987063879,0.6364908,8.891729,4.197011,0.0,0.0,0.0
20922989442837,0.5407779,8.920443,4.1874394,0.0,0.0,0.0
20922991821796,0.4977071,8.925228,4.1922255,0.0,0.0,0.0
20922994200754,0.4642076,8.906086,4.220939,0.0,0.0,0.0
20922996579712,0.46899325,8.925228,4.2448673,0.0,0.0,0.0
20922998958671,0.45942193,8.896515,4.2592244,0.0,0.0,0.0
20923001337629,0.4977071,8.9013,4.249653,0.0,0.0,0.0
20923003716587,0.5312066,8.896515,4.211368,0.0,0.0,0.0
20923006095546,0.56470615,8.920443,4.1874394,0.0,0.0,0.0
20923008474504,0.6221339,8.9108715,4.173083,0.0,0.0,0.0
20923010853514,0.6652047,8.891729,4.168297,0.0,0.0,0.0
20923013232473,0.7513463,8.906086,4.1874394,0.0,0.0,0.0
20923015611431,0.79441714,8.9013,4.2017965,0.0,0.0,0.0
20923017990389,0.79920274,8.906086,4.1922255,0.0,0.0,0.0
20923020369348,0.8039884,8.882157,4.182654,0.0,0.0,0.0
20923022748306,0.82313097,8.886943,4.1635113,0.0,0.0,0.0
20923025127264,0.81834537,8.891729,4.168297,0.0,0.0,0.0
20923027506171,0.7848458,8.872586,4.173083,0.0,0.0,0.0
20923029885181,0.74177504,8.906086,4.168297,0.0,0.0,0.0
20923032264139,0.71306115,8.896515,4.2161536,0.0,0.0,0.0
20923034643150,0.66041905,8.896515,4.2448673,0.0,0.0,0.0
20923037022108,0.5886344,8.896515,4.23051,0.0,0.0,0.0
20923039401066,0.59342,8.896515,4.2161536,0.0,0.0,0.0
20923041780025,0.57427746,8.882157,4.1874394,0.0,0.0,0.0
20923044158983,0.56470615,8.9013,4.1874394,0.0,0.0,0.0
20923046537941,0.5455636,8.896515,4.220939,0.0,0.0,0.0
20923048916900,0.57427746,8.896515,4.2352962,0.0,0.0,0.0
20923051295858,0.59342,8.9108715,4.2257247,0.0,0.0,0.0
20923053674816,0.6221339,8.9013,4.220939,0.0,0.0,0.0
20923056053775,0.6891329,8.891729,4.211368,0.0,0.0,0.0
20923058432733,0.6891329,8.882157,4.1874394,0.0,0.0,0.0
20923060811691,0.72263247,8.906086,4.168297,0.0,0.0,0.0
20923063190650,0.7800602,8.930014,4.1778684,0.0,0.0,0.0
20923065569660,0.7848458,8.896515,4.1874394,0.0,0.0,0.0
20923067948618,0.7848458,8.891729,4.1922255,0.0,0.0,0.0
20923070327577,0.75613195,8.906086,4.2017965,0.0,0.0,0.0
20923072706535,0.7513463,8.9108715,4.2017965,0.0,0.0,0.0
20923075085493,0.74177504,8.9108715,4.1922255,0.0,0.0,0.0
20923077464452,0.70348984,8.939586,4.1874394,0.0,0.0,0.0
20923079843410,0.67477596,8.925228,4.2017965,0.0,0.0,0.0
20923082222368,0.6556334,8.915657,4.2017965,0.0,0.0,0.0
20923084601327,0.65084773,8.906086,4.197011,0.0,0.0,0.0
20923086980285,0.6221339,8.915657,4.220939,0.0,0.0,0.0
20923089359243,0.6029913,8.906086,4.2161536,0.0,0.0,0.0
20923091738254,0.59342,8.896515,4.1922255,0.0,0.0,0.0
20923094117212,0.59342,8.9013,4.173083,0.0,0.0,0.0
20923096496171,0.59342,8.906086,4.1874394,0.0,0.0,0.0
20923098875129,0.6364908,8.9013,4.1778684,0.0,0.0,0.0
20923101254087,0.6556334,8.896515,4.1922255,0.0,0.0,0.0
20923103633046,0.67477596,8.882157,4.211368,0.0,0.0,0.0
20923106012004,0.71306115,8.882157,4.2017965,0.0,0.0,0.0
20923108390962,0.72741807,8.882157,4.197011,0.0,0.0,0.0
20923110769921,0.72263247,8.867801,4.1922255,0.0,0.0,0.0
20923113148879,0.72741807,8.882157,4.1874394,0.0,0.0,0.0
20923115527837,0.74177504,8.896515,4.2017965,0.0,0.0,0.0
20923117906848,0.74177504,8.915657,4.2017965,0.0,0.0,0.0
20923120285806,0.7178468,8.915657,4.2017965,0.0,0.0,0.0
20923122664712,0.6987042,8.930014,4.1922255,0.0,0.0,0.0
20923125043723,0.6795616,8.9013,4.1922255,0.0,0.0,0.0
20923127422681,0.6652047,8.9108715,4.197011,0.0,0.0,0.0
20923129801639,0.61734825,8.915657,4.2161536,0.0,0.0,0.0
20923132180598,0.57906306,8.9108715,4.2017965,0.0,0.0,0.0
20923134559556,0.57906306,8.930014,4.206582,0.0,0.0,0.0
20923136938514,0.6029913,8.9348,4.182654,0.0,0.0,0.0
20923139317473,0.6125626,8.930014,4.1922255,0.0,0.0,0.0
20923141696431,0.6269195,8.9108715,4.1922255,0.0,0.0,0.0
20923144075389,0.64606214,8.9013,4.1874394,0.0,0.0,0.0
20923146454348,0.6412765,8.896515,4.1778684,0.0,0.0,0.0
20923148833358,0.6556334,8.9013,4.1778684,0.0,0.0,0.0
20923151212316,0.6987042,8.915657,4.182654,0.0,0.0,0.0
20923153591275,0.7322037,8.920443,4.197011,0.0,0.0,0.0
20923155970233,0.74177504,8.925228,4.206582,0.0,0.0,0.0
20923158349191,0.7322037,8.9013,4.197011,0.0,0.0,0.0
20923160728150,0.71306115,8.891729,4.1874394,0.0,0.0,0.0
20923163107108,0.74177504,8.891729,4.197011,0.0,0.0,0.0
20923165486066,0.7322037,8.9013,4.1922255,0.0,0.0,0.0
20923167865025,0.6987042,8.920443,4.1922255,0.0,0.0,0.0
20923170243983,0.66041905,8.9108715,4.1922255,0.0,0.0,0.0
20923172622941,0.6125626,8.896515,4.206582,0.0,0.0,0.0
20923175001900,0.6029913,8.882157,4.197011,0.0,0.0,0.0
20923177380910,0.5599205,8.886943,4.211368,0.0,0.0,0.0
20923179759868,0.57427746,8.886943,4.206582,0.0,0.0,0.0
20923182138827,0.5982057,8.906086,4.206582,0.0,0.0,0.0
20923184517785,0.59342,8.9013,4.1922255,0.0,0.0,0.0
20923186896743,0.5886344,8.9108715,4.2017965,0.0,0.0,0.0
20923189275702,0.59342,8.915657,4.206582,0.0,0.0,0.0
20923191654660,0.6029913,8.906086,4.197011,0.0,0.0,0.0
20923194033618,0.6412765,8.906086,4.2257247,0.0,0.0,0.0
20923196412577,0.66041905,8.925228,4.2161536,0.0,0.0,0.0
20923198791535,0.67477596,8.920443,4.197011,0.0,0.0,0.0
20923201170493,0.70348984,8.9348,4.197011,0.0,0.0,0.0
20923203549504,0.7322037,8.930014,4.2017965,0.0,0.0,0.0
20923205928462,0.7465607,8.930014,4.1778684,0.0,0.0,0.0
20923208307421,0.72263247,8.9108715,4.1874394,0.0,0.0,0.0
20923210686379,0.6843473,8.9013,4.206582,0.0,0.0,0.0
20923213065337,0.6891329,8.920443,4.197011,0.0,0.0,0.0
20923215444296,0.6843473,8.9013,4.2161536,0.0,0.0,0.0
20923217823254,0.6556334,8.906086,4.206582,0.0,0.0,0.0
20923220202212,0.61734825,8.9108715,4.206582,0.0,0.0,0.0
20923222581171,0.6029913,8.915657,4.211368,0.0,0.0,0.0
20923224960129,0.5886344,8.9108715,4.206582,0.0,0.0,0.0
20923227339139,0.5599205,8.915657,4.1874394,0.0,0.0,0.0
20923229718098,0.5599205,8.915657,4.2017965,0.0,0.0,0.0
20923232097056,0.56470615,8.920443,4.197011,0.0,0.0,0.0
20923234476014,0.5838487,8.925228,4.211368,0.0,0.0,0.0
20923236854973,0.5886344,8.906086,4.1922255,0.0,0.0,0.0
20923239233931,0.6029913,8.920443,4.206582,0.0,0.0,0.0
20923241612889,0.6221339,8.920443,4.211368,0.0,0.0,0.0
20923243991848,0.63170516,8.906086,4.220939,0.0,0.0,0.0
20923246370806,0.6652047,8.920443,4.197011,0.0,0.0,0.0
20923248749764,0.7082755,8.9013,4.2017965,0.0,0.0,0.0
20923251128723,0.7082755,8.9108715,4.1922255,0.0,0.0,0.0
20923253507681,0.7178468,8.9108715,4.1922255,0.0,0.0,0.0
20923255886691,0.7082755,8.920443,4.1778684,0.0,0.0,0.0
20923258265650,0.6843473,8.925228,4.1922255,0.0,0.0,0.0
20923260644608,0.6939186,8.9108715,4.206582,0.0,0.0,0.0
20923263023566,0.6556334,8.920443,4.1922255,0.0,0.0,0.0
20923265402525,0.6412765,8.925228,4.1922255,0.0,0.0,0.0
20923267781483,0.63170516,8.9108715,4.197011,0.0,0.0,0.0
20923270160441,0.61734825,8.9108715,4.211368,0.0,0.0,0.0
20923272539400,0.59342,8.896515,4.2017965,0.0,0.0,0.0
20923274918358,0.5838487,8.9108715,4.197011,0.0,0.0,0.0
20923277297316,0.55513483,8.906086,4.2017965,0.0,0.0,0.0
20923279676327,0.56470615,8.882157,4.206582,0.0,0.0,0.0
20923282055285,0.57427746,8.9013,4.1922255,0.0,0.0,0.0
20923284434243,0.6029913,8.906086,4.211368,0.0,0.0,0.0
20923286813202,0.6029913,8.9013,4.206582,0.0,0.0,0.0
20923289192160,0.61734825,8.9013,4.197011,0.0,0.0,0.0
20923291571118,0.6269195,8.9108715,4.197011,0.0,0.0,0.0
20923293950077,0.6652047,8.896515,4.211368,0.0,0.0,0.0
20923296329035,0.6987042,8.906086,4.1874394,0.0,0.0,0.0
20923298707993,0.6987042,8.9013,4.182654,0.0,0.0,0.0
20923301086952,0.71306115,8.906086,4.206582,0.0,0.0,0.0
20923303465910,0.72263247,8.925228,4.197011,0.0,0.0,0.0
20923305844868,0.72741807,8.906086,4.182654,0.0,0.0,0.0
20923308223879,0.6939186,8.915657,4.197011,0.0,0.0,0.0
20923310602837,0.6795616,8.920443,4.1874394,0.0,0.0,0.0
20923312981796,0.66999036,8.939586,4.1874394,0.0,0.0,0.0
20923315360754,0.6556334,8.915657,4.197011,0.0,0.0,0.0
20923317739712,0.6269195,8.925228,4.2257247,0.0,0.0,0.0
20923320118671,0.6125626,8.930014,4.2161536,0.0,0.0,0.0
20923322497629,0.57427746,8.930014,4.2017965,0.0,0.0,0.0
20923324876587,0.55513483,8.915657,4.1922255,0.0,0.0,0.0
20923327255546,0.5694918,8.915657,4.206582,0.0,0.0,0.0
20923329634504,0.5886344,8.9013,4.211368,0.0,0.0,0.0
20923332013462,0.5886344,8.891729,4.2017965,0.0,0.0,0.0
20923334392421,0.5982057,8.9108715,4.1922255,0.0,0.0,0.0
20923336771431,0.6221339,8.925228,4.182654,0.0,0.0,0.0
20923339150389,0.6412765,8.915657,4.182654,0.0,0.0,0.0
20923341529348,0.6412765,8.906086,4.182654,0.0,0.0,0.0
20923343908306,0.6795616,8.9013,4.182654,0.0,0.0,0.0
20923346287264,0.6987042,8.896515,4.2017965,0.0,0.0,0.0
20923348666223,0.7082755,8.891729,4.182654,0.0,0.0,0.0
20923351045181,0.72263247,8.920443,4.197011,0.0,0.0,0.0
20923353424087,0.74177504,8.915657,4.1922255,0.0,0.0,0.0
20923355803098,0.7322037,8.920443,4.1922255,0.0,0.0,0.0
20923358182056,0.7082755,8.9108715,4.1874394,0.0,0.0,0.0
20923360560962,0.6795616,8.925228,4.197011,0.0,0.0,0.0
20923362939973,0.6652047,8.925228,4.2017965,0.0,0.0,0.0
20923365318983,0.63170516,8.906086,4.182654,0.0,0.0,0.0
20923367697889,0.65084773,8.920443,4.1874394,0.0,0.0,0.0
20923370076900,0.6364908,8.930014,4.1874394,0.0,0.0,0.0
