t_ns,gx,gy,gz
20922902072316,0.19129884,8.916918,4.0770564
20922906830233,0.23460259,8.903127,4.1048355
20922911587733,0.31863552,8.86952,4.171387
20922916346066,0.42395815,8.859893,4.1824565
20922921103566,0.52665293,8.865406,4.159039
20922925861952,0.6035843,8.860755,4.158497
20922930619868,0.6493566,8.850224,4.173998
20922935377785,0.662693,8.850584,4.1711364
20922940135702,0.6524945,8.854836,4.1637125
20922944893618,0.6255986,8.854256,4.169072
20922949651587,0.59931743,8.852079,4.177548
20922954409504,0.58100265,8.853973,4.17612
20922959167421,0.57476175,8.854986,4.174835
20922963925337,0.58091307,8.852887,4.1784353
20922968683254,0.59560347,8.85203,4.178182
20922973441171,0.6131473,8.85259,4.174459
20922978199139,0.6271956,8.852061,4.1734905
20922982957056,0.6341576,8.8506,4.1755376
20922987714973,0.63512254,8.850037,4.1765842
20922992472889,0.6288661,8.850772,4.1759725
20922997230806,0.62103057,8.850765,4.1771617
20923001988723,0.6148114,8.850207,4.1792603
20923006746639,0.6123329,8.850491,4.1790237
20923011504608,0.61409414,8.850893,4.1779165
20923016262525,0.6205949,8.850662,4.1774426
20923021020441,0.6274062,8.850445,4.1768866
20923025778306,0.6341457,8.8504715,4.175811
20923030536275,0.6381668,8.850554,4.175021
20923035294243,0.6392347,8.850044,4.175943
20923040052160,0.63727164,8.849835,4.1766834
20923044810077,0.6350692,8.850075,4.176512
20923049567993,0.63290995,8.849847,4.1773224
20923054325910,0.6323722,8.849681,4.177757
20923059083827,0.63426024,8.849541,4.177767
20923063841796,0.6376073,8.849751,4.17681
20923068599712,0.64143956,8.849606,4.176533
20923073357629,0.64401424,8.849483,4.176396
20923078115546,0.6455937,8.849593,4.175919
20923082873462,0.64566034,8.849645,4.1757994
20923087631379,0.6451371,8.849629,4.175912
20923092389348,0.64388597,8.849667,4.176026
20923097147264,0.6427767,8.849941,4.1756153
20923101905181,0.64299995,8.850053,4.1753445
20923106663098,0.64422923,8.849853,4.1755786
20923111421014,0.64597356,8.849723,4.1755853
20923116178983,0.64764464,8.849606,4.1755753
20923120936848,0.6489693,8.84956,4.1754665
20923125694816,0.6492996,8.849659,4.175203
20923130452733,0.64866155,8.849704,4.17521
20923135210650,0.64698523,8.849858,4.1751404
20923139968566,0.64612067,8.850146,4.174663
20923144726483,0.6459626,8.850266,4.1744366
20923149484452,0.6460351,8.85042,4.174098
20923154242368,0.64725953,8.850452,4.17384
20923159000285,0.6487045,8.850388,4.1737514
20923163758202,0.6497466,8.850338,4.173695
20923168516118,0.6504209,8.850381,4.173501
20923173274035,0.6497203,8.850458,4.173444
20923178032004,0.6482304,8.850471,4.1736503
20923182789921,0.646985,8.850495,4.1737914
20923187547837,0.6459995,8.850549,4.1738305
20923192305754,0.64527696,8.850608,4.1738153
20923197063671,0.6454423,8.850501,4.174017
20923201821639,0.64610994,8.850567,4.173775
20923206579556,0.64733905,8.850641,4.173428
20923211337473,0.6479005,8.850627,4.173371
20923216095389,0.6480731,8.8505945,4.173413
20923220853306,0.6475077,8.85061,4.1734657
20923225611275,0.64643884,8.850647,4.1735535
20923230369191,0.6450781,8.850803,4.1734343
20923235127108,0.6440795,8.850894,4.173396
20923239885025,0.64351374,8.850938,4.173389
20923244642941,0.6434182,8.850879,4.173531
20923249400858,0.6440268,8.850855,4.1734867
20923254158827,0.64479554,8.850857,4.173364
20923258916743,0.64515805,8.850953,4.173101
20923263674660,0.6452092,8.850963,4.1730733
20923268432577,0.6447442,8.851056,4.1729474
20923273190493,0.643991,8.851051,4.173073
20923277948462,0.6429198,8.851116,4.1731033
20923282706379,0.6420966,8.851118,4.173224
20923287464296,0.6418114,8.851097,4.173311
20923292222212,0.6417785,8.851124,4.17326
20923296980129,0.64236987,8.85109,4.17324
20923301738046,0.64310485,8.851072,4.1731668
20923306496014,0.64386326,8.851095,4.1730027
20923311253931,0.6440526,8.851154,4.1728454
20923316011848,0.6440117,8.851232,4.172687
20923320769764,0.6435312,8.851189,4.1728554
20923325527681,0.6425251,8.851273,4.1728315
20923330285598,0.6419011,8.85128,4.1729097
20923335043566,0.6415534,8.851312,4.172898
20923339801483,0.6416884,8.851388,4.172714
20923344559400,0.6420374,8.851428,4.1725764
20923349317316,0.6427339,8.8514,4.1725307
20923354075233,0.6435234,8.8513975,4.172414
20923358833098,0.644154,8.851415,4.1722794
20923363591118,0.64419067,8.851422,4.172256
20923368349035,0.64391154,8.851484,4.172169
20923373106952,0.6433836,8.85156,4.1720896
20923377864868,0.64288986,8.851594,4.1720953
20923382622785,0.64265424,8.851658,4.1719947
20923387380754,0.64292467,8.851703,4.171855
20923392138671,0.64319235,8.851719,4.171783
20923396896587,0.6436815,8.851681,4.1717873
20923401654504,0.64432627,8.851671,4.171708
20923406412421,0.64491665,8.851663,4.1716347
20923411170337,0.64504254,8.851668,4.1716037
20923415928306,0.6448629,8.851693,4.1715813
20923420686223,0.6445021,8.851697,4.171626
20923425444139,0.6441724,8.851727,4.171614
20923430202056,0.64382887,8.8517275,4.1716666
20923434959973,0.6439311,8.851686,4.1717377
20923439717889,0.6442096,8.851675,4.171718
20923444475858,0.644645,8.851683,4.1716347
20923449233775,0.6450765,8.851669,4.1715946
20923453991691,0.6454578,8.851697,4.171478
20923458749608,0.64566815,8.851689,4.1714606
20923463507525,0.6455933,8.851649,4.1715593
20923468265493,0.6454563,8.851586,4.1717134
20923473023410,0.6452105,8.851602,4.17172
20923477781275,0.64489645,8.851629,4.171709
20923482539243,0.64476395,8.851686,4.1716104
20923487297160,0.6447369,8.851697,4.1715903
20923492055077,0.64485973,8.851692,4.171581
20923496813046,0.64517635,8.851646,4.1716304
20923501570962,0.64541894,8.851636,4.171612
20923506328879,0.64544207,8.851675,4.171528
20923511086796,0.6453518,8.851725,4.1714373
20923515844712,0.64499205,8.85181,4.1713095
20923520602681,0.6445863,8.851828,4.171336
20923525360598,0.644159,8.851806,4.171448
20923530118514,0.6439698,8.851782,4.171529
20923534876431,0.64384985,8.851809,4.1714916
20923539634348,0.6437985,8.851788,4.171541
20923544392316,0.64372736,8.851709,4.1717176
20923549150233,0.64383525,8.851687,4.1717496
20923553908150,0.6437345,8.851723,4.1716924
20923558666014,0.64351696,8.85176,4.1716437
20923563423983,0.64335436,8.85177,4.1716466
20923568181900,0.6430423,8.851742,4.1717553
20923572939868,0.6426465,8.851743,4.1718144
20923577697785,0.6422381,8.851766,4.171831
20923582455702,0.6420681,8.851742,4.171906
20923587213618,0.64196736,8.8518,4.1717978
20923591971535,0.6421372,8.851794,4.1717844
20923596729504,0.64235175,8.851765,4.171813
20923601487421,0.6423622,8.851761,4.171819
20923606245337,0.6423032,8.851813,4.1717167
