t_ns,value
20922939336171,8.0
20924619337264,3.0
20924779341327,0.0
20924939345441,8.0
20925259342889,1.0
20925419341848,0.0
20927979343306,3.0
20928139343202,0.0
20932459345285,0.0
20936779345262,0.0
20939659530106,3.0
20939819342658,0.0
20940459342866,2.0
20940619447293,3.0
20940939408179,2.0
20941099342762,0.0
20941899342658,1.0
20942059340366,2.0
20942379342606,1.0
20942539340106,0.0
20942859344168,1.0
20943179339897,2.0
20943339340522,0.0
20944619341512,13.0
20944779340366,11.0
20944939342658,9.0
20945099340210,4.0
20945259343074,0.0
20945419343543,2.0
20945579343283,4.0
20945739340158,3.0
20945899360106,2.0
20946059343179,0.0
20950379341616,0.0
20951339342137,1.0
20951499343908,2.0
20951659344272,0.0
20951979340522,3.0
20952139343804,0.0
20952619340002,1.0
20952779507554,2.0
20952939342293,1.0
20953259340522,0.0
20953579343127,1.0
20954219342814,0.0
20954379342606,1.0
20954539339533,2.0
20954699360158,0.0
20954859342606,1.0
20955019344949,0.0
20955819340314,6.0
20955979345054,5.0
20956139342606,0.0
20956459340418,2.0
20956779342189,1.0
20956939340314,0.0
20957099340627,1.0
20957259342658,2.0
20957419342449,3.0
20957579340366,0.0
20957739345939,1.0
20957899346460,0.0
20958539342345,5.0
20958699342658,9.0
20958859339897,6.0
20959019341929,5.0
20959179341616,1.0
20959339344741,0.0
20959499339897,3.0
20959659489689,2.0
20960139340731,1.0
20960459342918,0.0
20960619343127,1.0
20961099345731,0.0
20964939341720,1.0
20965099340991,0.0
20965419342918,4.0
20965579342137,6.0
20965739340158,0.0
20966219431356,6.0
20966379340470,4.0
20966539469897,3.0
20966699341356,0.0
20967019340418,1.0
20967339343231,0.0
20967659340366,1.0
20967819372085,2.0
20968139343699,1.0
20968459343804,0.0
20968939340522,6.0
20969099342866,11.0
20969259342814,2.0
20969419342085,7.0
20969579340366,6.0
20969739343231,5.0
20969899345210,4.0
20970059339741,3.0
20970379343908,1.0
20970539343543,2.0
20970699340210,3.0
20970859341043,1.0
20971179445835,9.0
20971339340262,6.0
20971499343387,1.0
20971979339533,0.0
20972459343127,2.0
20972619340627,1.0
20972779343595,0.0
20973899339689,1.0
20974059343022,2.0
20974219341929,0.0
20975179340783,1.0
20975339343335,0.0
20976139342085,1.0
20977099339897,0.0
20977419342710,5.0
20977579340574,19.0
20977739341356,0.0
20978059414533,20.0
20978219340418,38.0
20978379343856,5.0
20978539343699,0.0
20978859339793,12.0
20979019341512,8.0
20979179346147,4.0
20979339345627,1.0
20979499340627,0.0
20979659343491,1.0
20979819342710,2.0
20980139340939,1.0
20980299483647,2.0
20980459342241,4.0
20980619342397,11.0
20980779340522,0.0
20981099342293,1.0
20981259342189,0.0
20981419340210,1.0
20981579389220,0.0
20981899342658,26.0
20982059339637,25.0
20982219344481,11.0
20982379342137,0.0
20982699340106,13.0
20982859342658,12.0
20983019345522,10.0
20983179340627,9.0
20983339340366,0.0
20983499343752,3.0
20983659345366,6.0
20983819340262,5.0
20984139341199,4.0
20984299344689,1.0
20984459340314,2.0
20984619339585,1.0
20984779341720,0.0
20984939342449,1.0
20985099340106,2.0
20985259343231,0.0
20985899342658,2.0
20986219343804,1.0
20986379340054,0.0
20986539344533,1.0
20986699341981,2.0
20987019339845,1.0
20987339342085,2.0
20987499345627,4.0
20987659340314,1.0
20988139342293,0.0
20988459342554,1.0
20988619343283,0.0
20988779346460,2.0
20988939339585,9.0
20989099344012,7.0
20989259342449,0.0
20989419344637,1.0
20989739342710,2.0
20989899404689,4.0
20990219340470,2.0
20990379343960,1.0
20990699416929,2.0
20991499341616,6.0
20991819407814,1.0
20991979339793,17.0
20992139343387,20.0
20992299340366,1.0
20992779360314,13.0
20992939340835,22.0
20993099341981,18.0
20993259339689,14.0
20993419512293,1.0
20993579343387,3.0
20993739342397,5.0
20994059437866,4.0
20994219342658,3.0
20995019342843,2.0
20995339342791,1.0
20996139343572,2.0
20996299339562,20.0
20996459340291,16.0
20996619344874,0.0
20996779342374,2.0
20996939342999,3.0
20997099339562,5.0
20997259346541,4.0
20997419433260,3.0
20997579340499,2.0
20997739342427,1.0
20997899341906,3.0
20998219340291,1.0
20998859339458,14.0
20999019343781,10.0
20999179342843,1.0
20999339343677,12.0
20999499340916,23.0
20999659497999,21.0
20999819343052,0.0
21000139340031,1.0
21000299453208,7.0
21000459343260,3.0
21000939374302,1.0
21001259344197,2.0
21001579344822,1.0
21002219342947,2.0
21002379342062,5.0
21002539340239,1.0
21002699339874,0.0
21002859342427,18.0
21003019345187,33.0
21003179343781,1.0
21003819339979,15.0
21003979344302,25.0
21004139342166,19.0
21004299342843,13.0
21004459339822,9.0
21004619343833,6.0
21004779344562,5.0
21004939344927,4.0
21005099340447,3.0
21005579344822,2.0
21005899455187,3.0
21006219342635,2.0
21006539450239,1.0
21010859345083,1.0
21015179339927,1.0
21016299339718,0.0
21016779343156,1.0
21017419342374,0.0
21019019400916,1.0
21020299344822,0.0
21020459343729,1.0
21020619345083,0.0
21020779474614,1.0
21021739342479,2.0
21022379410135,10.0
21022539339510,18.0
21022699343208,17.0
21022859343677,18.0
21023339344197,19.0
21023499342166,20.0
21023659340291,18.0
21024619470708,19.0
21024779342947,18.0
21025259412322,19.0
