t_ns,ax,ay,az,bx,by,bz
21040401000916,-0.47377887,8.853444,4.3357944,0.0,0.0,0.0
21040403379822,-0.47377887,8.877372,4.345366,0.0,0.0,0.0
21040405759197,-0.4833502,8.906086,4.2831526,0.0,0.0,0.0
21040408138208,-0.4977071,8.9013,4.1922255,0.0,0.0,0.0
21040410517218,-0.47856453,8.9013,4.1635113,0.0,0.0,0.0
21040412896281,-0.4977071,8.896515,4.173083,0.0,0.0,0.0
21040415275291,-0.526421,8.9108715,4.240082,0.0,0.0,0.0
21040417654302,-0.51206404,8.906086,4.2831526,0.0,0.0,0.0
21040420033260,-0.5312066,8.896515,4.3070807,0.0,0.0,0.0
21040422412322,-0.5455636,8.9013,4.2687955,0.0,0.0,0.0
21040424791333,-0.55513483,8.915657,4.206582,0.0,0.0,0.0
21040427170395,-0.5168497,8.9348,4.1635113,0.0,0.0,0.0
21040429549406,-0.52163535,8.920443,4.173083,0.0,0.0,0.0
21040431928416,-0.4977071,8.920443,4.220939,0.0,0.0,0.0
21040434307427,-0.4977071,8.9013,4.2687955,0.0,0.0,0.0
21040436686437,-0.5024927,8.867801,4.278367,0.0,0.0,0.0
21040439065447,-0.46899325,8.867801,4.2592244,0.0,0.0,0.0
21040441444510,-0.47856453,8.867801,4.23051,0.0,0.0,0.0
21040443823520,-0.44506502,8.867801,4.1778684,0.0,0.0,0.0
21040446202531,-0.4354937,8.85823,4.168297,0.0,0.0,0.0
21040448581541,-0.44506502,8.863015,4.2017965,0.0,0.0,0.0
21040450960552,-0.45942193,8.867801,4.2257247,0.0,0.0,0.0
21040453339562,-0.47856453,8.877372,4.2352962,0.0,0.0,0.0
21040455718572,-0.47377887,8.877372,4.240082,0.0,0.0,0.0
21040458097635,-0.47377887,8.872586,4.2161536,0.0,0.0,0.0
21040460476645,-0.49292147,8.877372,4.1922255,0.0,0.0,0.0
21040462855656,-0.52163535,8.9013,4.182654,0.0,0.0,0.0
21040465234666,-0.5407779,8.886943,4.1922255,0.0,0.0,0.0
21040467613624,-0.5694918,8.863015,4.2257247,0.0,0.0,0.0
21040469992687,-0.5886344,8.882157,4.2352962,0.0,0.0,0.0
21040472371749,-0.59342,8.886943,4.2448673,0.0,0.0,0.0
21040474750760,-0.5982057,8.872586,4.2448673,0.0,0.0,0.0
21040477129770,-0.56470615,8.882157,4.2017965,0.0,0.0,0.0
21040479508781,-0.57906306,8.882157,4.1778684,0.0,0.0,0.0
21040481887791,-0.55513483,8.906086,4.182654,0.0,0.0,0.0
21040484266802,-0.5312066,8.891729,4.197011,0.0,0.0,0.0
21040486645864,-0.5168497,8.882157,4.2352962,0.0,0.0,0.0
21040489024874,-0.51206404,8.886943,4.249653,0.0,0.0,0.0
21040491403885,-0.4881358,8.886943,4.273581,0.0,0.0,0.0
21040493782895,-0.44027936,8.877372,4.2592244,0.0,0.0,0.0
21040496161906,-0.42592242,8.877372,4.2592244,0.0,0.0,0.0
21040498540916,-0.43070808,8.915657,4.26401,0.0,0.0,0.0
21040500919927,-0.44027936,8.9013,4.2831526,0.0,0.0,0.0
21040503298989,-0.44985065,8.906086,4.3118663,0.0,0.0,0.0
21040505677999,-0.4354937,8.882157,4.331009,0.0,0.0,0.0
21040508057010,-0.44506502,8.891729,4.331009,0.0,0.0,0.0
21040510436020,-0.44985065,8.882157,4.287938,0.0,0.0,0.0
21040512815031,-0.4833502,8.886943,4.2831526,0.0,0.0,0.0
21040515194041,-0.4833502,8.891729,4.2592244,0.0,0.0,0.0
21040517573104,-0.47377887,8.9013,4.23051,0.0,0.0,0.0
21040519952114,-0.4881358,8.891729,4.2687955,0.0,0.0,0.0
21040522331124,-0.4881358,8.9013,4.2831526,0.0,0.0,0.0
21040524710135,-0.49292147,8.896515,4.2831526,0.0,0.0,0.0
21040527089145,-0.4977071,8.920443,4.254439,0.0,0.0,0.0
21040529468156,-0.5168497,8.906086,4.2352962,0.0,0.0,0.0
21040531847166,-0.526421,8.9348,4.211368,0.0,0.0,0.0
21040534226229,-0.5455636,8.930014,4.220939,0.0,0.0,0.0
21040536605239,-0.5599205,8.915657,4.249653,0.0,0.0,0.0
21040538984249,-0.5694918,8.930014,4.2352962,0.0,0.0,0.0
21040541363260,-0.59342,8.9348,4.2161536,0.0,0.0,0.0
21040543742270,-0.59342,8.930014,4.2017965,0.0,0.0,0.0
21040546121333,-0.5982057,8.9348,4.1922255,0.0,0.0,0.0
21040548500343,-0.6029913,8.930014,4.173083,0.0,0.0,0.0
21040550879354,-0.6125626,8.9348,4.168297,0.0,0.0,0.0
21040553258364,-0.5982057,8.920443,4.1874394,0.0,0.0,0.0
21040555637374,-0.5838487,8.9108715,4.1922255,0.0,0.0,0.0
21040558016385,-0.56470615,8.891729,4.197011,0.0,0.0,0.0
21040560395395,-0.5312066,8.9108715,4.1635113,0.0,0.0,0.0
21040562774458,-0.51206404,8.9013,4.1443686,0.0,0.0,0.0
21040565153468,-0.4977071,8.891729,4.139583,0.0,0.0,0.0
21040567532479,-0.4833502,8.886943,4.1443686,0.0,0.0,0.0
21040569911489,-0.4642076,8.906086,4.168297,0.0,0.0,0.0
21040572290499,-0.45942193,8.9108715,4.1922255,0.0,0.0,0.0
21040574669510,-0.47377887,8.9348,4.206582,0.0,0.0,0.0
21040577048572,-0.46899325,8.906086,4.23051,0.0,0.0,0.0
21040579427583,-0.45942193,8.886943,4.2017965,0.0,0.0,0.0
21040581806593,-0.47377887,8.9108715,4.197011,0.0,0.0,0.0
21040584185604,-0.4833502,8.915657,4.2352962,0.0,0.0,0.0
21040586564614,-0.4546363,8.9108715,4.26401,0.0,0.0,0.0
21040588943624,-0.45942193,8.891729,4.2687955,0.0,0.0,0.0
21040591322635,-0.49292147,8.886943,4.278367,0.0,0.0,0.0
21040593701697,-0.47377887,8.877372,4.287938,0.0,0.0,0.0
21040596080708,-0.51206404,8.891729,4.254439,0.0,0.0,0.0
21040598459718,-0.5168497,8.891729,4.240082,0.0,0.0,0.0
21040600838729,-0.5168497,8.886943,4.254439,0.0,0.0,0.0
21040603217739,-0.52163535,8.872586,4.273581,0.0,0.0,0.0
21040605596749,-0.51206404,8.867801,4.287938,0.0,0.0,0.0
21040607975760,-0.51206404,8.882157,4.2687955,0.0,0.0,0.0
21040610354822,-0.49292147,8.863015,4.2687955,0.0,0.0,0.0
21040612733833,-0.49292147,8.872586,4.2257247,0.0,0.0,0.0
21040615112843,-0.5024927,8.891729,4.2161536,0.0,0.0,0.0
21040617491854,-0.53599226,8.896515,4.23051,0.0,0.0,0.0
21040619870864,-0.5407779,8.896515,4.23051,0.0,0.0,0.0
21040622249927,-0.55034924,8.886943,4.2017965,0.0,0.0,0.0
21040624628937,-0.5599205,8.882157,4.173083,0.0,0.0,0.0
21040627007947,-0.57427746,8.872586,4.173083,0.0,0.0,0.0
21040629386958,-0.5886344,8.9013,4.1635113,0.0,0.0,0.0
21040631765968,-0.5982057,8.915657,4.15394,0.0,0.0,0.0
21040634144979,-0.60777694,8.9108715,4.15394,0.0,0.0,0.0
21040636524041,-0.6221339,8.9108715,4.139583,0.0,0.0,0.0
21040638903052,-0.6269195,8.9108715,4.125226,0.0,0.0,0.0
21040641282062,-0.6125626,8.920443,4.1347976,0.0,0.0,0.0
21040643661072,-0.5982057,8.891729,4.115655,0.0,0.0,0.0
21040646040083,-0.6125626,8.906086,4.1204405,0.0,0.0,0.0
21040648419093,-0.60777694,8.920443,4.1443686,0.0,0.0,0.0
21040650798156,-0.5838487,8.896515,4.1443686,0.0,0.0,0.0
21040653177166,-0.59342,8.886943,4.1491547,0.0,0.0,0.0
21040655556177,-0.5838487,8.872586,4.168297,0.0,0.0,0.0
21040657935187,-0.5407779,8.872586,4.2017965,0.0,0.0,0.0
21040660314197,-0.52163535,8.85823,4.2017965,0.0,0.0,0.0
21040662693208,-0.51206404,8.843872,4.23051,0.0,0.0,0.0
21040665072270,-0.51206404,8.867801,4.23051,0.0,0.0,0.0
21040667451281,-0.5024927,8.848659,4.240082,0.0,0.0,0.0
21040669830291,-0.4977071,8.877372,4.254439,0.0,0.0,0.0
21040672209302,-0.4833502,8.9013,4.278367,0.0,0.0,0.0
21040674588312,-0.49292147,8.9108715,4.278367,0.0,0.0,0.0
21040676967322,-0.47377887,8.906086,4.273581,0.0,0.0,0.0
21040679346333,-0.47856453,8.915657,4.2592244,0.0,0.0,0.0
21040681725395,-0.4546363,8.896515,4.254439,0.0,0.0,0.0
21040684104406,-0.4354937,8.925228,4.249653,0.0,0.0,0.0
21040686483416,-0.44506502,8.949157,4.26401,0.0,0.0,0.0
21040688862427,-0.41156548,8.915657,4.287938,0.0,0.0,0.0
21040691241437,-0.3924229,8.9013,4.2831526,0.0,0.0,0.0
21040693620447,-0.37806597,8.9108715,4.2592244,0.0,0.0,0.0
21040695999510,-0.3397808,8.915657,4.2352962,0.0,0.0,0.0
21040698378520,-0.33020952,8.906086,4.2161536,0.0,0.0,0.0
21040700757531,-0.33499518,8.930014,4.211368,0.0,0.0,0.0
21040703136541,-0.34456646,8.9348,4.173083,0.0,0.0,0.0
21040705515552,-0.37806597,8.9348,4.168297,0.0,0.0,0.0
21040707894614,-0.40677986,8.953942,4.1587257,0.0,0.0,0.0
21040710273624,-0.4354937,8.958728,4.139583,0.0,0.0,0.0
21040712652635,-0.47856453,8.953942,4.139583,0.0,0.0,0.0
21040715031645,-0.5072784,8.953942,4.125226,0.0,0.0,0.0
21040717410656,-0.55034924,8.968299,4.139583,0.0,0.0,0.0
21040719789666,-0.60777694,8.963513,4.130012,0.0,0.0,0.0
21040722168729,-0.6269195,8.977871,4.125226,0.0,0.0,0.0
21040724547739,-0.6364908,8.968299,4.1347976,0.0,0.0,0.0
21040726926749,-0.6556334,8.953942,4.139583,0.0,0.0,0.0
21040729305760,-0.65084773,8.963513,4.125226,0.0,0.0,0.0
21040731684770,-0.6221339,8.973084,4.115655,0.0,0.0,0.0
21040734063781,-0.6269195,8.968299,4.1347976,0.0,0.0,0.0
21040736442791,-0.61734825,8.963513,4.15394,0.0,0.0,0.0
21040738821854,-0.5694918,8.968299,4.168297,0.0,0.0,0.0
21040741200864,-0.53599226,8.958728,4.1874394,0.0,0.0,0.0
21040743579874,-0.52163535,8.949157,4.2161536,0.0,0.0,0.0
21040745958885,-0.46899325,8.930014,4.2352962,0.0,0.0,0.0
21040748337895,-0.44027936,8.925228,4.249653,0.0,0.0,0.0
21040750716906,-0.38763726,8.891729,4.2448673,0.0,0.0,0.0
21040753095968,-0.36370903,8.867801,4.2687955,0.0,0.0,0.0
21040755474979,-0.37328035,8.82473,4.2592244,0.0,0.0,0.0
21040757853989,-0.37806597,8.810373,4.2592244,0.0,0.0,0.0
21040760232999,-0.38285163,8.805588,4.2592244,0.0,0.0,0.0
21040762612010,-0.41635114,8.82473,4.240082,0.0,0.0,0.0
21040764991020,-0.43070808,8.815159,4.240082,0.0,0.0,0.0
21040767370083,-0.44985065,8.819944,4.2352962,0.0,0.0,0.0
21040769749093,-0.47856453,8.843872,4.23051,0.0,0.0,0.0
21040772128104,-0.5024927,8.848659,4.254439,0.0,0.0,0.0
21040774507114,-0.5455636,8.834301,4.2831526,0.0,0.0,0.0
21040776886124,-0.5886344,8.839087,4.2975097,0.0,0.0,0.0
21040779265187,-0.61734825,8.867801,4.287938,0.0,0.0,0.0
21040781644197,-0.66041905,8.848659,4.26401,0.0,0.0,0.0
21040784023208,-0.67477596,8.853444,4.2687955,0.0,0.0,0.0
21040786402218,-0.6795616,8.882157,4.2592244,0.0,0.0,0.0
21040788781229,-0.6891329,8.9013,4.254439,0.0,0.0,0.0
21040791160239,-0.6891329,8.882157,4.254439,0.0,0.0,0.0
21040793539249,-0.6843473,8.896515,4.2352962,0.0,0.0,0.0
21040795918312,-0.66041905,8.886943,4.2352962,0.0,0.0,0.0
21040798297270,-0.6364908,8.9108715,4.2592244,0.0,0.0,0.0
21040800676333,-0.57906306,8.877372,4.240082,0.0,0.0,0.0
21040803055343,-0.5407779,8.863015,4.2448673,0.0,0.0,0.0
21040805434354,-0.4881358,8.867801,4.273581,0.0,0.0,0.0
21040807813364,-0.44506502,8.867801,4.26401,0.0,0.0,0.0
21040810192427,-0.38763726,8.867801,4.2448673,0.0,0.0,0.0
21040812571437,-0.3493521,8.867801,4.240082,0.0,0.0,0.0
21040814950447,-0.34456646,8.882157,4.23051,0.0,0.0,0.0
21040817329458,-0.32542387,8.891729,4.2352962,0.0,0.0,0.0
21040819708468,-0.33020952,8.9013,4.2352962,0.0,0.0,0.0
21040822087479,-0.33499518,8.915657,4.240082,0.0,0.0,0.0
21040824466541,-0.3589234,8.906086,4.254439,0.0,0.0,0.0
21040826845552,-0.39720857,8.9013,4.273581,0.0,0.0,0.0
21040829224562,-0.44506502,8.9108715,4.278367,0.0,0.0,0.0
21040831603572,-0.47856453,8.896515,4.287938,0.0,0.0,0.0
21040833982583,-0.51206404,8.882157,4.3070807,0.0,0.0,0.0
21040836361645,-0.57906306,8.891729,4.2687955,0.0,0.0,0.0
21040838740656,-0.5982057,8.863015,4.2592244,0.0,0.0,0.0
21040841119666,-0.59342,8.891729,4.2592244,0.0,0.0,0.0
21040843498677,-0.59342,8.9013,4.254439,0.0,0.0,0.0
21040845877687,-0.60777694,8.891729,4.240082,0.0,0.0,0.0
21040848256645,-0.59342,8.9013,4.2161536,0.0,0.0,0.0
21040850635760,-0.61734825,8.930014,4.2257247,0.0,0.0,0.0
21040853014770,-0.5982057,8.915657,4.2017965,0.0,0.0,0.0
21040855393781,-0.59342,8.906086,4.182654,0.0,0.0,0.0
21040857772791,-0.56470615,8.9348,4.1635113,0.0,0.0,0.0
21040860151802,-0.53599226,8.944371,4.173083,0.0,0.0,0.0
21040862530812,-0.526421,8.920443,4.168297,0.0,0.0,0.0
21040864909874,-0.55034924,8.9108715,4.173083,0.0,0.0,0.0
21040867288885,-0.5599205,8.906086,4.1922255,0.0,0.0,0.0
21040869667895,-0.59342,8.920443,4.1778684,0.0,0.0,0.0
21040872046906,-0.6221339,8.915657,4.173083,0.0,0.0,0.0
21040874425916,-0.64606214,8.915657,4.1874394,0.0,0.0,0.0
21040876804927,-0.66999036,8.9013,4.2017965,0.0,0.0,0.0
21040879183989,-0.6891329,8.896515,4.211368,0.0,0.0,0.0
21040881562999,-0.70348984,8.882157,4.2017965,0.0,0.0,0.0
21040883942010,-0.72263247,8.863015,4.1874394,0.0,0.0,0.0
21040886321020,-0.6939186,8.886943,4.206582,0.0,0.0,0.0
21040888700031,-0.6843473,8.863015,4.211368,0.0,0.0,0.0
21040891079093,-0.6652047,8.863015,4.197011,0.0,0.0,0.0
21040893458104,-0.64606214,8.848659,4.206582,0.0,0.0,0.0
21040895837062,-0.6029913,8.853444,4.1922255,0.0,0.0,0.0
21040898216124,-0.5886344,8.85823,4.206582,0.0,0.0,0.0
21040900595135,-0.5694918,8.848659,4.197011,0.0,0.0,0.0
21040902974145,-0.5599205,8.877372,4.206582,0.0,0.0,0.0
21040905353156,-0.57906306,8.9013,4.197011,0.0,0.0,0.0
21040907732218,-0.61734825,8.925228,4.2017965,0.0,0.0,0.0
21040910111177,-0.64606214,8.9108715,4.1874394,0.0,0.0,0.0
21040912490239,-0.70348984,8.9348,4.1874394,0.0,0.0,0.0
21040914869249,-0.76570326,8.949157,4.2017965,0.0,0.0,0.0
21040917248260,-0.80877405,8.953942,4.220939,0.0,0.0,0.0
21040919627322,-0.8327023,8.958728,4.249653,0.0,0.0,0.0
21040922006333,-0.8997013,8.939586,4.2687955,0.0,0.0,0.0
21040924385343,-0.9762716,8.9348,4.278367,0.0,0.0,0.0
21040926764354,-1.0193424,8.920443,4.278367,0.0,0.0,0.0
21040929143364,-1.0336994,8.930014,4.273581,0.0,0.0,0.0
21040931522374,-1.0336994,8.920443,4.2831526,0.0,0.0,0.0
21040933901437,-1.038485,8.915657,4.3070807,0.0,0.0,0.0
21040936280447,-1.0289137,8.906086,4.2927237,0.0,0.0,0.0
21040938659458,-0.98584294,8.896515,4.2831526,0.0,0.0,0.0
21040941038468,-0.91405827,8.9013,4.2927237,0.0,0.0,0.0
21040943417479,-0.82313097,8.896515,4.273581,0.0,0.0,0.0
21040945796489,-0.7704889,8.882157,4.273581,0.0,0.0,0.0
21040948175552,-0.65084773,8.85823,4.2687955,0.0,0.0,0.0
